META; english/fa-cup/arsenal-v-lincoln; 2017-02-21 04:22:58 GMT+2; 2017-03-11 15:00; e70300-dr003
Arsenal; 1/12; ; ; ; 1/12; ; 1/18; ; ; ; ; ; ; 1/20; ; 1/12; ; ; ; ; ; ; ; ; ; 1/12; ; 
Draw; 9; ; ; ; 12; ; 12; ; ; ; ; ; ; 10; ; 12; ; ; ; ; ; ; ; ; ; 19/2; ; 
Lincoln; 25; ; ; ; 33; ; 28; ; ; ; ; ; ; 25; ; 33; ; ; ; ; ; ; ; ; ; 24; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-21 08:23:55 GMT+2; 2017-03-11 15:00; e70300-dr003
Arsenal; 1/12; ; ; ; 1/12; ; 1/18; ; ; ; ; ; ; 1/20; ; 1/12; ; ; ; ; ; ; ; ; ; 1/12; ; 
Draw; 9; ; ; ; 12; ; 12; ; ; ; ; ; ; 10; ; 12; ; ; ; ; ; ; ; ; ; 19/2; ; 
Lincoln; 25; ; ; ; 33; ; 28; ; ; ; ; ; ; 25; ; 33; ; ; ; ; ; ; ; ; ; 27; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-21 12:24:13 GMT+2; 2017-03-11 15:00; e70300-dr003
Arsenal; 1/12; ; ; ; 1/12; ; 1/18; ; 1/12; ; ; ; 1/14; 1/20; 1/10; 1/12; 1/12; ; 1/14; 1/12; 9/100; ; 1/14; ; ; 1/12; ; 
Draw; 9; ; ; ; 12; ; 12; ; 10; ; ; ; 9; 10; 10; 12; 17/2; ; 9; 17/2; 12; ; 9; ; ; 52/5; ; 
Lincoln; 25; ; ; ; 33; ; 28; ; 28; ; ; ; 16; 25; 18; 33; 23; ; 35; 23; 33; ; 35; ; ; 27; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-21 16:26:20 GMT+2; 2017-03-11 15:00; e70300-dr003
Arsenal; 1/12; 1/12; ; ; 1/12; ; 1/16; ; 1/12; ; ; ; 1/14; 1/20; 1/9; 1/11; 1/12; 1/12; 1/14; 1/12; 9/100; ; 1/14; ; ; 1/12; ; 
Draw; 9; 9; ; ; 12; ; 11; ; 10; ; ; ; 9; 10; 10; 11; 17/2; 9; 9; 17/2; 12; ; 9; ; ; 52/5; ; 
Lincoln; 25; 28; ; ; 40; ; 28; ; 28; ; ; ; 16; 25; 16; 33; 89/4; 22; 35; 89/4; 33; ; 35; ; ; 27; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-21 20:25:19 GMT+2; 2017-03-11 15:00; e70300-dr003
Arsenal; 1/12; 1/12; ; 1/12; 1/12; ; 1/16; 1/20; 1/14; ; ; 1/12; 1/14; 1/20; 1/9; 1/11; 1/12; 1/12; 1/14; 1/12; 9/100; ; 1/14; ; ; 1/12; ; 
Draw; 9; 9; ; 9; 12; ; 11; 9; 10; ; ; 9; 9; 14; 10; 11; 17/2; 9; 9; 17/2; 12; ; 9; ; ; 52/5; ; 
Lincoln; 25; 28; ; 25; 40; ; 28; 50; 33; ; ; 25; 22; 45; 16; 33; 89/4; 22; 35; 89/4; 33; ; 35; ; ; 27; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-22 00:23:11 GMT+2; 2017-03-11 15:00; e70300-dr003
Arsenal; 1/12; 1/12; ; 1/12; 1/12; ; 1/16; 1/20; 1/14; ; 1/14; 1/12; 1/14; 1/14; 1/9; 1/12; 1/14; 1/12; 1/14; 1/14; 9/100; ; 1/14; ; ; 1/12; ; 
Draw; 9; 9; ; 9; 12; ; 11; 9; 10; ; 10; 17/2; 9; 10; 9; 11; 17/2; 9; 9; 17/2; 12; ; 9; ; ; 52/5; ; 
Lincoln; 25; 28; ; 25; 40; ; 28; 50; 33; ; 40; 28; 22; 28; 18; 40; 53/2; 22; 35; 53/2; 33; ; 35; ; ; 28; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-22 04:22:29 GMT+2; 2017-03-11 15:00; e70300-dr003
Arsenal; 1/12; 1/12; ; 1/12; 1/12; ; 1/16; 1/20; 1/14; ; 1/14; 1/12; 1/14; 1/14; 1/9; 1/12; 1/14; 1/12; 1/14; 1/14; 9/100; ; 1/14; ; ; 1/12; ; 
Draw; 9; 9; ; 9; 12; ; 11; 9; 10; ; 10; 9; 9; 10; 9; 11; 17/2; 9; 9; 17/2; 12; ; 9; ; ; 52/5; ; 
Lincoln; 25; 28; ; 25; 40; ; 28; 50; 33; ; 40; 25; 22; 28; 18; 40; 105/4; 22; 35; 105/4; 33; ; 35; ; ; 28; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-22 08:22:52 GMT+2; 2017-03-11 15:00; e70300-dr003
Arsenal; 1/12; 1/12; ; 1/12; 1/12; ; 1/16; 1/20; 1/12; ; 1/14; 1/12; 1/14; 1/14; 1/9; 1/12; 1/12; 1/12; 1/14; 1/12; 9/100; ; 1/14; ; ; 1/12; ; 
