META; english/fa-cup/slough-v-dartford; 2016-10-01 08:24:21 GMT+3; 2016-10-01 15:00; e70300-dr003
Dartford; 11/10; 11/10; 5/4; 23/20; 11/10; ; 11/10; 11/10; 5/4; ; ; 21/20; ; ; 23/20; 6/5; 15/13; 11/10; ; 11/10; ; 11/10; ; ; 23/20; ; 21/20; ; 
Slough; 17/10; 17/10; 2; 17/10; 7/4; ; 9/5; 7/4; 15/8; ; ; 7/4; ; ; 9/5; 2; 9/5; 17/10; ; 7/4; ; 17/10; ; ; 9/5; ; 13/8; ; 
Draw; 11/4; 13/5; 13/5; 5/2; 5/2; ; 27/10; 11/4; 3; ; ; 13/5; ; ; 12/5; 14/5; 14/5; 27/10; ; 27/10; ; 27/10; ; ; 14/5; ; 11/5; ; 
META; english/fa-cup/slough-v-dartford; 2016-10-01 12:24:08 GMT+3; 2016-10-01 15:00; e70300-dr003
Dartford; 11/10; 11/10; 5/4; 23/20; 11/10; ; ; 11/10; 5/4; ; ; 21/20; ; ; 23/20; 6/5; 15/13; 11/10; ; 11/10; ; 11/10; ; ; 23/20; ; 21/20; ; 
Slough; 17/10; 17/10; 2; 17/10; 7/4; ; ; 7/4; 15/8; ; ; 7/4; ; ; 9/5; 2; 9/5; 17/10; ; 7/4; ; 17/10; ; ; 9/5; ; 13/8; ; 
Draw; 11/4; 13/5; 13/5; 5/2; 5/2; ; ; 11/4; 3; ; ; 13/5; ; ; 12/5; 14/5; 14/5; 11/4; ; 27/10; ; 11/4; ; ; 14/5; ; 11/5; ; 
META; english/fa-cup/slough-v-dartford; 2016-10-01 16:25:10 GMT+3; 2016-10-01 15:00; e70300-dr003
Dartford; 11/10; 11/10; 5/4; 11/10; 11/10; ; 11/10; 11/10; 5/4; ; ; 21/20; ; ; 23/20; 6/5; 15/13; 11/10; ; 11/10; ; 11/10; ; ; 23/20; ; 5/6; ; 
Slough; 17/10; 7/4; 2; 9/5; 13/8; ; 9/5; 7/4; 15/8; ; ; 7/4; ; ; 9/5; 2; 9/5; 17/10; ; 7/4; ; 17/10; ; ; 9/5; ; 13/10; ; 
Draw; 11/4; 13/5; 13/5; 5/2; 13/5; ; 11/4; 11/4; 3; ; ; 13/5; ; ; 12/5; 14/5; 14/5; 27/10; ; 27/10; ; 27/10; ; ; 14/5; ; 2; ; 
