Gloucester; 1; 19/20; 21/20; 1; 10/11; 19/20; 20/21; 10/11; 21/20; ; 1; ; ; ; 10/11; 21/20; 1; 19/20; ; ; ; 19/20; ; 42/41; ; ; 5/6; 10/11; 
Hemel Hempstead; 11/5; 21/10; 12/5; 21/10; 21/10; 39/20; 11/5; 11/5; 12/5; ; 23/10; ; ; ; 21/10; 21/10; 9/4; 21/10; ; ; ; 21/10; ; 79/40; ; ; 19/10; 2; 
Draw; 13/5; 5/2; 27/10; 12/5; 5/2; 13/5; 13/5; 13/5; 14/5; ; 14/5; ; ; ; 5/2; 14/5; 13/5; 27/11; ; ; ; 27/11; ; 27/10; ; ; 23/10; 12/5; 
META; english/fa-cup/gloucester-v-hemel-hempstead; 2016-09-30 20:24:54 GMT+3; 2016-10-01 15:00; e70300-dr003
Gloucester; 1; 19/20; 21/20; 20/21; 10/11; 19/20; 20/21; 10/11; 21/20; ; 1; 1; ; ; 10/11; 21/20; 1; 19/20; ; 10/11; ; 19/20; ; 42/41; 1; ; 5/6; 10/11; 
Hemel Hempstead; 11/5; 21/10; 12/5; 11/5; 21/10; 39/20; 11/5; 11/5; 12/5; ; 23/10; 15/8; ; ; 21/10; 21/10; 11/5; 28/13; ; 9/4; ; 28/13; ; 79/40; 9/4; ; 19/10; 2; 
Draw; 13/5; 5/2; 27/10; 5/2; 5/2; 13/5; 13/5; 13/5; 14/5; ; 14/5; 13/5; ; ; 5/2; 14/5; 11/4; 5/2; ; 13/5; ; 5/2; ; 27/10; 11/4; ; 23/10; 12/5; 
META; english/fa-cup/gloucester-v-hemel-hempstead; 2016-09-30 23:48:05 GMT+3; 2016-10-01 15:00; e70300-dr003
Gloucester; 1; 19/20; 21/20; 20/21; 10/11; 19/20; 20/21; 10/11; 21/20; ; 1; 1; ; ; 10/11; 21/20; 1; 19/20; ; 10/11; ; 19/20; ; 42/41; 1; ; 5/6; 10/11; 
Hemel Hempstead; 11/5; 21/10; 12/5; 11/5; 21/10; 39/20; 11/5; 11/5; 12/5; ; 23/10; 15/8; ; ; 21/10; 21/10; 11/5; 28/13; ; 9/4; ; 28/13; ; 79/40; 9/4; ; 19/10; 2; 
Draw; 13/5; 5/2; 27/10; 5/2; 5/2; 13/5; 13/5; 13/5; 14/5; ; 14/5; 13/5; ; ; 5/2; 14/5; 11/4; 5/2; ; 13/5; ; 5/2; ; 27/10; 11/4; ; 23/10; 12/5; 
META; english/fa-cup/gloucester-v-hemel-hempstead; 2016-10-01 00:23:41 GMT+3; 2016-10-01 15:00; e70300-dr003
Gloucester; 1; 10/11; 1; 20/23; 9/10; 19/20; 9/10; 10/11; 1; ; 20/21; 1; ; ; 17/20; 19/20; 1; 19/20; ; 10/11; ; 19/20; ; 42/41; 19/20; ; 4/5; 5/6; 
Hemel Hempstead; 11/5; 11/5; 49/20; 23/10; 11/5; 39/20; 23/10; 11/5; 5/2; ; 5/2; 15/8; ; ; 23/10; 12/5; 9/4; 11/5; ; 9/4; ; 11/5; ; 79/40; 12/5; ; 21/10; 21/10; 
Draw; 13/5; 5/2; 27/10; 5/2; 5/2; 13/5; 27/10; 13/5; 14/5; ; 14/5; 13/5; ; ; 13/5; 14/5; 11/4; 28/11; ; 13/5; ; 28/11; ; 27/10; 11/4; ; 12/5; 12/5; 
META; english/fa-cup/gloucester-v-hemel-hempstead; 2016-10-01 01:06:02 GMT+3; 2016-10-01 15:00; e70300-dr003
Gloucester; 1; 10/11; 1; 20/23; 9/10; 19/20; 9/10; 10/11; 1; ; 20/21; 1; ; ; 17/20; 19/20; 1; 19/20; ; 10/11; ; 19/20; ; 42/41; 19/20; ; 4/5; 5/6; 
Hemel Hempstead; 11/5; 11/5; 49/20; 23/10; 11/5; 39/20; 23/10; 11/5; 5/2; ; 5/2; 15/8; ; ; 23/10; 12/5; 9/4; 11/5; ; 9/4; ; 11/5; ; 79/40; 12/5; ; 21/10; 21/10; 
Draw; 13/5; 5/2; 27/10; 5/2; 5/2; 13/5; 27/10; 13/5; 14/5; ; 14/5; 13/5; ; ; 13/5; 14/5; 11/4; 28/11; ; 13/5; ; 28/11; ; 27/10; 11/4; ; 12/5; 12/5; 
META; english/fa-cup/gloucester-v-hemel-hempstead; 2016-10-01 01:47:47 GMT+3; 2016-10-01 15:00; e70300-dr003
Gloucester; 1; 10/11; 1; 20/23; 9/10; 19/20; 9/10; 10/11; 1; ; 20/21; 1; ; ; 17/20; 19/20; 1; 19/20; ; 10/11; ; 19/20; ; 42/41; 19/20; ; 4/5; 5/6; 
Hemel Hempstead; 11/5; 11/5; 49/20; 23/10; 11/5; 39/20; 23/10; 11/5; 5/2; ; 5/2; 15/8; ; ; 23/10; 12/5; 9/4; 11/5; ; 9/4; ; 11/5; ; 79/40; 12/5; ; 21/10; 21/10; 
Draw; 13/5; 5/2; 27/10; 5/2; 5/2; 13/5; 27/10; 13/5; 14/5; ; 14/5; 13/5; ; ; 13/5; 14/5; 11/4; 28/11; ; 13/5; ; 28/11; ; 27/10; 11/4; ; 12/5; 12/5; 
META; english/fa-cup/gloucester-v-hemel-hempstead; 2016-10-01 03:47:30 GMT+3; 2016-10-01 15:00; e70300-dr003
Gloucester; 1; 10/11; 1; 20/23; 9/10; 19/20; 9/10; 10/11; 1; ; 20/21; 1; ; ; 17/20; 19/20; 1; 19/20; ; 10/11; ; 19/20; ; 42/41; 19/20; ; 4/5; 5/6; 
Hemel Hempstead; 11/5; 11/5; 49/20; 23/10; 21/10; 39/20; 23/10; 11/5; 5/2; ; 5/2; 15/8; ; ; 23/10; 12/5; 9/4; 11/5; ; 9/4; ; 11/5; ; 79/40; 12/5; ; 21/10; 21/10; 
Draw; 13/5; 5/2; 27/10; 5/2; 5/2; 13/5; 27/10; 13/5; 14/5; ; 14/5; 13/5; ; ; 13/5; 14/5; 11/4; 28/11; ; 13/5; ; 28/11; ; 27/10; 11/4; ; 12/5; 12/5; 
META; english/fa-cup/gloucester-v-hemel-hempstead; 2016-10-01 04:23:11 GMT+3; 2016-10-01 15:00; e70300-dr003
Gloucester; 1; 10/11; 1; 20/23; 9/10; 19/20; 9/10; 10/11; 1; ; 20/21; 1; ; ; 17/20; 19/20; 1; 19/20; ; 10/11; ; 19/20; ; 42/41; 19/20; ; 4/5; 5/6; 
Hemel Hempstead; 11/5; 11/5; 49/20; 23/10; 11/5; 39/20; 23/10; 11/5; 5/2; ; 5/2; 15/8; ; ; 23/10; 12/5; 9/4; 11/5; ; 9/4; ; 11/5; ; 79/40; 12/5; ; 21/10; 21/10; 
Draw; 13/5; 5/2; 27/10; 5/2; 5/2; 13/5; 27/10; 13/5; 14/5; ; 14/5; 13/5; ; ; 13/5; 14/5; 11/4; 28/11; ; 13/5; ; 28/11; ; 27/10; 11/4; ; 12/5; 12/5; 
META; english/fa-cup/gloucester-v-hemel-hempstead; 2016-10-01 05:47:45 GMT+3; 2016-10-01 15:00; e70300-dr003
