META; english/non-league/national-league/sutton-v-southport; 2017-04-02 14:53:43 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 1/2; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; 5; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-02 19:05:46 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 1/2; 4/7; ; ; 1/2; ; 1/2; ; 1/2; ; ; ; 12/25; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 14/5; ; ; 16/5; ; 33/10; ; 10/3; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; 5; 4; ; ; 11/2; ; 21/4; ; 5; ; ; ; 21/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-02 23:04:40 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 1/2; 4/7; ; ; 1/2; ; 1/2; ; 1/2; ; 1/2; ; 12/25; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 14/5; 3; ; 10/3; ; 33/10; ; 10/3; ; 3; 14/5; 16/5; 3; ; 16/5; 16/5; 3; 3; ; ; ; 16/5; ; 16/5; ; ; ; 
Southport; 5; 4; 5; ; 11/2; ; 21/4; ; 5; ; 5; 5; 21/4; 5; ; 5; 63/13; 19/4; 5; ; ; ; 5; ; 5; ; ; ; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-04 10:23:54 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 1/2; 4/7; 1/2; ; 1/2; ; 1/2; ; 1/2; ; 1/2; 4/9; 12/25; 4/9; ; 8/15; 10/21; 5/11; 4/9; 10/21; ; ; 7/15; ; 7/15; ; ; ; 
Draw; 10/3; 14/5; 3; ; 10/3; ; 33/10; ; 10/3; ; 3; 14/5; 16/5; 3; ; 31/10; 13/4; 3; 3; 13/4; ; ; 16/5; ; 16/5; ; ; ; 
Southport; 5; 4; 5; ; 11/2; ; 21/4; ; 5; ; 5; 5; 21/4; 5; ; 5; 63/13; 19/4; 5; 63/13; ; ; 5; ; 5; ; ; ; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-04 14:25:45 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 1/2; 4/7; 1/2; ; 1/2; ; 1/2; ; 1/2; ; 1/2; 4/9; 12/25; 4/9; ; 1/2; 10/21; 5/11; 4/9; 10/21; ; ; 7/15; ; 7/15; ; ; ; 
Draw; 10/3; 14/5; 3; ; 10/3; ; 33/10; ; 10/3; ; 3; 14/5; 16/5; 3; ; 16/5; 13/4; 3; 3; 13/4; ; ; 16/5; ; 16/5; ; ; ; 
Southport; 5; 4; 5; ; 11/2; ; 21/4; ; 5; ; 5; 5; 21/4; 5; ; 5; 63/13; 19/4; 5; 63/13; ; ; 5; ; 5; ; ; ; 
