META; english/non-league/national-league/eastleigh-v-aldershot; 2017-02-23 22:24:15 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Eastleigh; 5/4; 11/10; 13/10; 11/10; 13/10; 23/20; 13/10; 11/10; 13/10; 13/10; 27/20; 5/4; 5/4; ; 13/10; 6/5; 15/13; ; 11/10; 15/13; 5/4; 5/4; 11/10; ; ; 5/4; ; 
Aldershot; 2; 9/4; 19/10; 9/4; 21/10; 9/5; 19/10; 21/10; 2; 19/10; 9/5; 9/5; 39/20; ; 2; 11/5; 21/10; ; 11/5; 21/10; 23/10; 7/4; 11/5; ; ; 17/10; ; 
Draw; 5/2; 12/5; 23/10; 9/4; 23/10; 23/10; 5/2; 23/10; 12/5; 12/5; 23/10; 9/4; 49/20; ; 23/10; 12/5; 12/5; ; 23/10; 12/5; 51/20; 27/11; 40/17; ; ; 23/10; ; 
META; english/non-league/national-league/eastleigh-v-aldershot; 2017-02-26 22:24:17 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Eastleigh; 7/5; 11/10; 27/20; 7/5; 7/5; 13/10; 13/10; 5/4; 7/5; 7/5; 27/20; 5/4; 27/20; ; 11/8; 13/10; 23/17; ; 6/5; 23/17; 11/8; 5/4; 6/5; ; ; 27/20; 7/5; 
Aldershot; 7/4; 9/4; 37/20; 17/10; 2; 17/10; 19/10; 2; 15/8; 9/5; 9/5; 7/4; 37/20; ; 9/5; 15/8; 24/13; ; 2; 24/13; 21/10; 7/4; 2; ; ; 19/10; 7/4; 
Draw; 5/2; 12/5; 23/10; 23/10; 23/10; 11/5; 5/2; 9/4; 12/5; 12/5; 23/10; 23/10; 47/20; ; 12/5; 12/5; 23/10; ; 23/10; 23/10; 51/20; 27/11; 40/17; ; ; 23/10; 9/4; 
META; english/non-league/national-league/eastleigh-v-aldershot; 2017-02-27 02:21:41 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Eastleigh; 7/5; 13/10; 27/20; 7/5; 7/5; 13/10; 11/8; 5/4; 7/5; 11/8; 27/20; 5/4; 27/20; ; 11/8; 11/8; 23/17; ; 6/5; 23/17; 11/8; 5/4; 6/5; ; ; 13/10; 13/10; 
Aldershot; 7/4; 19/10; 37/20; 17/10; 2; 17/10; 19/10; 2; 15/8; 19/10; 15/8; 7/4; 37/20; ; 15/8; 15/8; 19/10; ; 2; 19/10; 21/10; 7/4; 2; ; ; 2; 9/5; 
Draw; 5/2; 23/10; 9/4; 23/10; 23/10; 11/5; 12/5; 9/4; 12/5; 12/5; 9/4; 9/4; 47/20; ; 23/10; 23/10; 9/4; ; 23/10; 9/4; 51/20; 27/11; 40/17; ; ; 23/10; 11/5; 
META; english/non-league/national-league/eastleigh-v-aldershot; 2017-02-27 06:21:33 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Eastleigh; 7/5; 13/10; 27/20; 7/5; 7/5; 5/4; 11/8; 5/4; 7/5; 11/8; 27/20; 5/4; 27/20; ; 11/8; 11/8; 23/17; ; 6/5; 23/17; 11/8; 5/4; 6/5; ; ; 13/10; 13/10; 
Aldershot; 7/4; 19/10; 37/20; 17/10; 2; 7/4; 19/10; 2; 15/8; 19/10; 15/8; 7/4; 37/20; ; 15/8; 15/8; 19/10; ; 2; 19/10; 21/10; 7/4; 2; ; ; 2; 15/8; 
Draw; 5/2; 23/10; 9/4; 23/10; 23/10; 43/20; 12/5; 9/4; 12/5; 12/5; 11/5; 9/4; 47/20; ; 23/10; 23/10; 9/4; ; 23/10; 9/4; 51/20; 27/11; 40/17; ; ; 23/10; 11/5; 
META; english/non-league/national-league/eastleigh-v-aldershot; 2017-02-27 10:22:09 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Eastleigh; 7/5; 13/10; 27/20; 7/5; 7/5; 5/4; 11/8; 13/10; 7/5; 11/8; 27/20; 13/10; 27/20; ; 11/8; 11/8; 23/17; 7/5; 6/5; 23/17; 29/20; 15/11; 6/5; ; ; 27/20; 13/10; 
Aldershot; 7/4; 19/10; 37/20; 17/10; 19/10; 7/4; 19/10; 15/8; 15/8; 19/10; 15/8; 7/4; 37/20; ; 15/8; 15/8; 19/10; 28/17; 2; 19/10; 39/20; 25/14; 2; ; ; 2; 15/8; 
Draw; 5/2; 23/10; 9/4; 23/10; 12/5; 43/20; 12/5; 9/4; 12/5; 12/5; 11/5; 11/5; 47/20; ; 23/10; 23/10; 23/10; 11/5; 23/10; 23/10; 51/20; 27/11; 40/17; ; ; 23/10; 11/5; 
META; english/non-league/national-league/eastleigh-v-aldershot; 2017-02-27 14:23:32 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Eastleigh; 7/5; 13/10; 7/5; 7/5; 29/20; 13/10; 29/20; 13/10; 7/5; 7/5; 11/8; 13/10; 7/5; ; 11/8; 11/8; 23/17; 7/5; 6/5; 23/17; 29/20; 15/11; 6/5; ; ; 7/5; 7/5; 
Aldershot; 7/4; 19/10; 9/5; 2; 19/10; 17/10; 9/5; 15/8; 15/8; 19/10; 9/5; 9/5; 9/5; ; 15/8; 15/8; 24/13; 28/17; 2; 24/13; 39/20; 25/14; 2; ; ; 19/10; 9/5; 
Draw; 5/2; 23/10; 9/4; 11/5; 23/10; 43/20; 12/5; 9/4; 23/10; 23/10; 11/5; 21/10; 23/10; ; 23/10; 23/10; 23/10; 11/5; 23/10; 23/10; 51/20; 27/11; 40/17; ; ; 23/10; 21/10; 
META; english/non-league/national-league/eastleigh-v-aldershot; 2017-02-27 18:23:57 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Eastleigh; 7/5; 13/10; 11/8; 29/20; 29/20; 13/10; 11/8; 13/10; 7/5; 7/5; 11/8; 13/10; 7/5; ; 11/8; 11/8; 23/17; 7/5; 13/10; 23/17; 6/4; 26/19; 13/10; ; ; 7/5; 27/20; 
Aldershot; 7/4; 19/10; 37/20; 9/5; 19/10; 7/4; 19/10; 15/8; 15/8; 19/10; 9/5; 9/5; 9/5; ; 15/8; 15/8; 24/13; 28/17; 9/5; 24/13; 19/10; 2; 24/13; ; ; 15/8; 9/5; 
Draw; 5/2; 23/10; 9/4; 12/5; 23/10; 21/10; 12/5; 9/4; 23/10; 23/10; 11/5; 21/10; 23/10; ; 23/10; 23/10; 23/10; 11/5; 23/10; 23/10; 5/2; 28/13; 40/17; ; ; 23/10; 21/10; 
META; english/non-league/national-league/eastleigh-v-aldershot; 2017-02-27 22:22:03 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Eastleigh; 6/4; 7/5; 6/4; 29/20; 29/20; 11/8; 6/4; 13/10; 6/4; 7/5; 29/20; 7/5; 29/20; ; 7/5; 16/11; 7/5; 7/5; 13/10; 7/5; 6/4; 16/11; 13/10; ; ; 6/4; 7/5; 
Aldershot; 13/8; 17/10; 17/10; 9/5; 15/8; 13/8; 7/4; 15/8; 9/5; 9/5; 17/10; 7/4; 7/4; ; 15/8; 7/4; 9/5; 28/17; 9/5; 9/5; 19/10; 31/18; 24/13; ; ; 9/5; 13/8; 
Draw; 5/2; 23/10; 9/4; 12/5; 23/10; 21/10; 12/5; 9/4; 23/10; 23/10; 11/5; 2; 23/10; ; 9/4; 12/5; 23/10; 11/5; 23/10; 23/10; 5/2; 12/5; 40/17; ; ; 23/10; 15/8; 
META; english/non-league/national-league/eastleigh-v-aldershot; 2017-02-28 02:21:38 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Eastleigh; 6/4; 7/5; 6/4; 29/20; 29/20; 11/8; 6/4; 13/10; 6/4; 7/5; 29/20; 7/5; 29/20; ; 7/5; 16/11; 7/5; 7/5; 13/10; 7/5; 6/4; 16/11; 13/10; ; ; 6/4; 6/4; 
Aldershot; 13/8; 17/10; 17/10; 9/5; 15/8; 13/8; 7/4; 15/8; 9/5; 9/5; 17/10; 7/4; 7/4; ; 15/8; 7/4; 9/5; 28/17; 9/5; 9/5; 19/10; 31/18; 24/13; ; ; 9/5; 9/5; 
Draw; 5/2; 23/10; 9/4; 12/5; 23/10; 21/10; 12/5; 9/4; 23/10; 23/10; 11/5; 2; 23/10; ; 9/4; 12/5; 23/10; 11/5; 23/10; 23/10; 5/2; 12/5; 40/17; ; ; 23/10; 23/10; 
META; english/non-league/national-league/eastleigh-v-aldershot; 2017-02-28 06:21:48 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Eastleigh; 6/4; 7/5; 29/20; 29/20; 29/20; 27/20; 29/20; 13/10; 6/4; 7/5; 29/20; 11/8; 29/20; ; 7/5; 16/11; 7/5; 7/5; 13/10; 7/5; 6/4; 16/11; 13/10; ; ; 6/4; 6/4; 
Aldershot; 13/8; 17/10; 7/4; 9/5; 15/8; 5/3; 9/5; 15/8; 9/5; 9/5; 17/10; 13/8; 7/4; ; 15/8; 9/5; 9/5; 28/17; 9/5; 9/5; 19/10; 31/18; 24/13; ; ; 9/5; 9/5; 
Draw; 5/2; 23/10; 9/4; 12/5; 23/10; 21/10; 12/5; 9/4; 23/10; 23/10; 11/5; 11/5; 23/10; ; 9/4; 23/10; 23/10; 11/5; 23/10; 23/10; 5/2; 12/5; 40/17; ; ; 23/10; 23/10; 
META; english/non-league/national-league/eastleigh-v-aldershot; 2017-02-28 10:22:05 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Eastleigh; 6/4; 7/5; 29/20; 29/20; 6/4; 11/8; 29/20; 7/5; 6/4; 6/4; 29/20; 7/5; 29/20; ; 6/4; 16/11; 6/4; 7/5; 7/5; 6/4; 13/8; 16/11; 16/11; ; ; 6/4; 6/4; 
Aldershot; 13/8; 9/5; 7/4; 9/5; 9/5; 13/8; 9/5; 17/10; 9/5; 7/4; 7/4; 13/8; 7/4; ; 17/10; 7/4; 17/10; 28/17; 9/5; 17/10; 89/50; 31/18; 9/5; ; ; 9/5; 7/4; 
Draw; 5/2; 23/10; 9/4; 12/5; 23/10; 43/20; 12/5; 9/4; 23/10; 23/10; 11/5; 11/5; 23/10; ; 23/10; 12/5; 23/10; 11/5; 21/10; 23/10; 5/2; 12/5; 21/10; ; ; 23/10; 23/10; 
META; english/non-league/national-league/eastleigh-v-aldershot; 2017-02-28 14:23:25 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Eastleigh; 13/8; 6/4; 8/5; 29/20; 8/5; 6/4; 8/5; 7/5; 13/8; 13/8; 13/8; 6/4; 8/5; ; 6/4; 17/11; 17/11; 7/5; 6/4; 17/11; 17/10; 13/8; 6/4; ; ; 13/8; 13/8; 
Aldershot; 31/20; 13/8; 8/5; 9/5; 17/10; 6/4; 13/8; 17/10; 13/8; 13/8; 17/10; 31/20; 8/5; ; 17/10; 8/5; 28/17; 28/17; 7/4; 28/17; 7/4; 48/29; 7/4; ; ; 13/8; 17/10; 
Draw; 12/5; 23/10; 11/5; 12/5; 9/4; 41/20; 12/5; 9/4; 23/10; 11/5; 23/10; 21/10; 23/10; ; 23/10; 23/10; 11/5; 11/5; 21/10; 11/5; 12/5; 11/5; 21/10; ; ; 23/10; 23/10; 
META; english/non-league/national-league/eastleigh-v-aldershot; 2017-02-28 18:24:15 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Eastleigh; 13/8; 6/4; 6/4; 29/20; 6/4; 7/5; 31/20; 7/5; 13/8; 6/4; 8/5; 29/20; 31/20; ; 6/4; 17/11; 17/11; 7/5; 6/4; 17/11; 31/20; 53/35; 6/4; ; ; 6/4; 8/5; 
Aldershot; 13/8; 17/10; 17/10; 9/5; 9/5; 33/20; 7/4; 17/10; 13/8; 7/4; 17/10; 13/8; 33/20; ; 7/4; 7/4; 17/10; 28/17; 7/4; 17/10; 19/10; 25/14; 7/4; ; ; 9/5; 7/4; 
Draw; 23/10; 9/4; 11/5; 12/5; 9/4; 41/20; 23/10; 9/4; 23/10; 9/4; 23/10; 21/10; 9/4; ; 9/4; 9/4; 11/5; 11/5; 21/10; 11/5; 49/20; 11/5; 21/10; ; ; 23/10; 23/10; 
META; english/non-league/national-league/eastleigh-v-aldershot; 2017-02-28 22:25:28 GMT+2; 2017-02-28 19:45; In Play; Xlenovo
Eastleigh; 10/11; 10/11; 6/4; ; 6/4; 5/6; ; ; ; 10/11; 8/5; 4/5; ; ; ; ; 16/11; 5/6; ; 16/11; 13/8; ; ; ; ; ; 19/10; 
Draw; 15/8; 7/4; 11/5; ; 12/5; 17/10; ; ; ; 7/4; 21/10; 7/4; ; ; ; ; 11/5; 17/10; ; 28/13; 129/50; ; ; ; ; ; 19/10; 
Aldershot; 9/2; 4; 17/10; ; 7/4; 19/5; ; ; ; 15/4; 8/5; 19/5; ; ; ; ; 17/10; 17/4; ; 17/10; 161/100; ; ; ; ; ; 7/4; 
