META; english/premier-league/southampton-v-stoke; 2018-02-12 20:46:21 GMT+2; 2018-03-03 15:00; e70300-dr003
Southampton; 3/4; 3/4; 3/4; 4/5; 4/5; 4/5; ; ; 13/18; 3/4; ; 3/4; ; 4/5; 3/4; 7/10; 14/19; 3/4; 10/13; 13/18; 4/5; 4/5; ; 10/13; ; 8/11; ; 
Draw; 13/5; 13/5; 5/2; 5/2; 14/5; 11/4; ; ; 13/5; 5/2; ; 5/2; ; 5/2; 11/4; 12/5; 13/5; 5/2; 13/5; 13/5; 11/4; 13/5; ; 45/17; ; 5/2; ; 
Stoke; 15/4; 19/5; 18/5; 18/5; 41/10; 4; ; ; 4; 18/5; ; 15/4; ; 18/5; 15/4; 7/2; 62/17; 4; 16/5; 4; 7/2; 21/5; ; 62/17; ; 7/2; ; 
META; english/premier-league/southampton-v-stoke; 2018-02-16 18:35:25 GMT+2; 2018-03-03 15:00; e70300-dr003
Southampton; 3/4; 4/5; 3/4; 4/5; 43/50; 3/4; 4/5; ; 13/18; 3/4; ; 5/6; 5/6; 5/6; 3/4; 3/4; 10/13; 13/16; 7/9; 13/18; 5/6; 5/6; ; 4/5; ; 8/11; ; 
Draw; 13/5; 5/2; 5/2; 5/2; 68/25; 27/10; 13/5; ; 13/5; 5/2; ; 13/5; 11/4; 5/2; 11/4; 23/10; 28/11; 13/5; 13/5; 13/5; 13/5; 13/5; ; ; ; 5/2; ; 
Stoke; 15/4; 7/2; 18/5; 18/5; 19/5; 15/4; 7/2; ; 4; 18/5; ; 10/3; 10/3; 7/2; 15/4; 33/10; 7/2; 7/2; 16/5; 4; 7/2; 19/5; ; 39/11; ; 10/3; ; 
META; english/premier-league/southampton-v-stoke; 2018-02-19 16:15:45 GMT+2; 2018-03-03 15:00; e70300-dr003
Southampton; 3/4; 4/5; 3/4; 4/5; 43/50; 4/5; 4/5; ; 7/9; 3/4; 4/5; 5/6; 5/6; 5/6; 4/5; 3/4; 4/5; 13/16; 7/9; 7/9; 5/6; 5/6; ; ; ; 8/11; ; 
Draw; 13/5; 5/2; 5/2; 5/2; 68/25; 27/10; 13/5; ; 13/5; 5/2; 13/5; 13/5; 11/4; 5/2; 5/2; 23/10; 28/11; 13/5; 13/5; 13/5; 13/5; 27/10; ; ; ; 5/2; ; 
Stoke; 15/4; 7/2; 18/5; 18/5; 19/5; 18/5; 7/2; ; 7/2; 18/5; 19/5; 10/3; 10/3; 7/2; ; 33/10; 7/2; 7/2; 16/5; 7/2; 7/2; 19/5; ; 7/2; ; 3; ; 
META; english/premier-league/southampton-v-stoke; 2018-02-20 12:14:43 GMT+2; 2018-03-03 15:00; e70300-dr003
Southampton; 3/4; 4/5; 3/4; 4/5; 43/50; 4/5; 4/5; ; 7/9; 3/4; 4/5; 5/6; 5/6; 5/6; 4/5; 3/4; 4/5; 13/16; 7/9; 7/9; 5/6; 4/5; ; ; ; 8/11; ; 
Draw; 13/5; 5/2; 5/2; 5/2; 68/25; 27/10; 13/5; ; 13/5; 5/2; 13/5; 13/5; 11/4; 5/2; 5/2; 23/10; 28/11; 13/5; 13/5; 13/5; 13/5; 27/10; ; ; ; 5/2; ; 
Stoke; 15/4; 7/2; 18/5; 18/5; 19/5; 18/5; 7/2; ; 7/2; 18/5; 19/5; 10/3; 10/3; 7/2; ; 33/10; 7/2; 7/2; 16/5; 7/2; 7/2; 19/5; ; 7/2; ; 3; ; 
META; english/premier-league/southampton-v-stoke; 2018-02-24 12:13:43 GMT+2; 2018-03-03 15:00; e70300-dr003
Southampton; 3/4; 4/5; 4/5; 4/5; 41/50; 4/5; 4/5; ; 7/9; 4/5; 4/5; 4/5; 5/6; 5/6; 4/5; ; 10/13; 13/16; 7/9; 7/9; 4/5; 5/6; ; 10/13; ; 8/11; ; 
Draw; 13/5; 5/2; 5/2; 5/2; 69/25; 27/10; 13/5; ; 13/5; 5/2; 13/5; 13/5; 11/4; 5/2; 5/2; 23/10; 13/5; 13/5; 13/5; 13/5; 13/5; 27/10; ; 13/5; ; 5/2; ; 
Stoke; 15/4; 7/2; 7/2; 18/5; 4; 18/5; 7/2; ; 7/2; 7/2; 19/5; 7/2; 10/3; 7/2; ; ; 39/11; 7/2; 16/5; 7/2; 7/2; 19/5; ; 18/5; ; 3; ; 
META; english/premier-league/southampton-v-stoke; 2018-02-27 18:13:09 GMT+2; 2018-03-03 15:00; e70300-dr003
Southampton; 4/6; 8/11; 8/11; 8/11; 19/25; 3/4; 8/11; 4/6; 3/4; 8/11; 3/4; 3/4; 4/6; 3/4; 3/4; 8/11; 14/19; 7/9; 3/4; 3/4; 8/11; 7/10; 14/19; ; 8/11; 8/11; 8/11
Draw; 11/4; 13/5; 13/5; 13/5; 141/50; 14/5; 11/4; 13/5; 27/10; 13/5; 11/4; 5/2; 13/5; 13/5; 13/5; 13/5; 11/4; 13/5; 11/4; 27/10; 11/4; 53/20; 11/4; ; 13/5; 27/10; 11/4
Stoke; 4; 4; 4; 4; 22/5; 4; 4; 7/2; 75/19; 4; 4; 15/4; 9/2; 19/5; 4; 4; 77/19; 15/4; 4; 39/10; 22/5; 4; 41/10; ; 7/2; 4; 21/5
META; english/premier-league/southampton-v-stoke; 2018-03-01 15:53:52 GMT+2; ; e70300-dr003
Southampton w d w l w d; 4/6; 3/4; 8/11; 8/11; 77/100; 3/4; 8/11; 4/6; 3/4; 8/11; 3/4; 3/4; 4/6; 8/11; 3/4; 8/11; 14/19; 13/18; 3/4; 8/11; 8/11; 7/10; 14/19; 8/11; 8/11; 4/5
; 11/4; 13/5; 13/5; 13/5; 141/50; 27/10; 13/5; 13/5; 14/5; 13/5; 11/4; 5/2; 13/5; 27/10; 13/5; 13/5; 11/4; 27/10; 11/4; 11/4; 14/5; 53/20; 14/5; 13/5; 27/10; 27/10
Stoke l w d l d d; 4; 19/5; 19/5; 4; 43/10; 4; 4; 17/4; 4; 9/2; 15/4; 9/2; 4; 4; 75/19; 4; 21/5; 17/4; 4; 21/5; 21/5; 22/5; ; ; ; 
META; english/premier-league/southampton-v-stoke; 2018-03-02 01:00:35 GMT+2; 2018-03-03 15:00; e70300-dr003
Southampton; 4/6; 3/4; 8/11; 8/11; 19/25; 3/4; 8/11; 4/6; 3/4; 8/11; 3/4; 8/11; 4/6; 8/11; 3/4; 8/11; 14/19; 13/18; 3/4; 8/11; 3/4; 7/10; 14/19; 8/11; 8/11; 8/11
; 11/4; 13/5; 13/5; 13/5; 139/50; 27/10; 13/5; 13/5; 14/5; 13/5; 11/4; 13/5; 13/5; 11/4; 13/5; 13/5; 14/5; 27/10; 11/4; 11/4; 14/5; 53/20; 14/5; 13/5; 13/5; 27/10
Stoke; 4; 19/5; 4; 9/2; 4; 4; 17/4; 4; 9/2; 4; 9/2; 4; 4; 50/13; 4; 21/5; 17/4; 4; 21/5; 21/5; 22/5; ; ; ; ; 
META; english/premier-league/southampton-v-stoke; 2018-03-02 03:00:36 GMT+2; 2018-03-03 15:00; e70300-dr003
Southampton; 4/6; 3/4; 8/11; 8/11; 19/25; 3/4; 8/11; 4/6; 3/4; 8/11; 3/4; 8/11; 4/6; 8/11; 3/4; 8/11; 14/19; 13/18; 3/4; 8/11; 3/4; 7/10; 14/19; 8/11; 8/11; 8/11
; 11/4; 13/5; 13/5; 13/5; 139/50; 27/10; 13/5; 13/5; 14/5; 13/5; 11/4; 13/5; 13/5; 11/4; 13/5; 13/5; 11/4; 27/10; 11/4; 11/4; 14/5; 53/20; 14/5; 13/5; 13/5; 27/10
Stoke; 4; 19/5; 4; 9/2; 4; 4; 17/4; 4; 9/2; 4; 9/2; 4; 4; 75/19; 4; 21/5; 17/4; 4; 21/5; 21/5; 22/5; ; ; ; ; 
META; english/premier-league/southampton-v-stoke; 2018-03-02 04:00:35 GMT+2; 2018-03-03 15:00; e70300-dr003
Southampton; 3/4; 3/4; 8/11; 8/11; 19/25; 3/4; 8/11; 4/6; 3/4; 8/11; 3/4; 8/11; 4/6; 8/11; 3/4; 8/11; 14/19; 13/18; 3/4; 8/11; 3/4; 7/10; 10/13; 8/11; 8/11; 8/11
; 11/4; 13/5; 13/5; 13/5; 139/50; 27/10; 13/5; 13/5; 14/5; 13/5; 11/4; 13/5; 13/5; 11/4; 13/5; 13/5; 27/10; 27/10; 11/4; 11/4; 14/5; 53/20; 11/4; 13/5; 13/5; 27/10
Stoke; 17/4; 19/5; 4; 9/2; 4; 4; 17/4; 4; 9/2; 4; 9/2; 4; 4; 4; 21/5; 17/4; 4; 21/5; 21/5; 22/5; ; ; ; ; ; 
META; english/premier-league/southampton-v-stoke; 2018-03-02 05:00:37 GMT+2; 2018-03-03 15:00; e70300-dr003
Southampton; 3/4; 3/4; 8/11; 8/11; 19/25; 3/4; 8/11; 4/6; 3/4; 8/11; 3/4; 8/11; 4/6; 8/11; 3/4; 8/11; 14/19; 13/18; 3/4; 8/11; 3/4; 7/10; 10/13; 8/11; 8/11; 8/11
; 11/4; 13/5; 13/5; 13/5; 139/50; 27/10; 13/5; 13/5; 14/5; 13/5; 11/4; 13/5; 13/5; 11/4; 13/5; 13/5; 27/10; 27/10; 11/4; 11/4; 14/5; 53/20; 11/4; 13/5; 13/5; 27/10
Stoke; 17/4; 19/5; 4; 9/2; 4; 4; 17/4; 4; 9/2; 4; 9/2; 4; 4; 75/19; 4; 21/5; 17/4; 4; 21/5; 21/5; 22/5; ; ; ; ; 
META; english/premier-league/southampton-v-stoke; 2018-03-02 07:00:36 GMT+2; 2018-03-03 15:00; e70300-dr003
Southampton; 3/4; 3/4; 8/11; 8/11; 19/25; 3/4; 8/11; 4/6; 3/4; 8/11; 3/4; 8/11; 4/6; 8/11; 3/4; 8/11; 14/19; 13/18; 3/4; 8/11; 3/4; 7/10; 10/13; 8/11; 8/11; 8/11
; 11/4; 13/5; 13/5; 13/5; 139/50; 27/10; 13/5; 13/5; 14/5; 13/5; 11/4; 13/5; 13/5; 11/4; 13/5; 13/5; 27/10; 27/10; 11/4; 11/4; 14/5; 53/20; 11/4; 13/5; 13/5; 27/10
Stoke; 17/4; 19/5; 4; 9/2; 4; 4; 17/4; 4; 9/2; 4; 9/2; 4; 4; 75/19; 4; 21/5; 17/4; 4; 21/5; 7/2; 22/5; ; ; ; ; 
META; english/premier-league/southampton-v-stoke; 2018-03-02 08:16:08 GMT+2; 2018-03-03 15:00; e70300-dr003
Southampton; 3/4; 3/4; 8/11; 8/11; 19/25; 3/4; 8/11; 4/6; 3/4; 8/11; 3/4; 8/11; 4/6; 8/11; 3/4; 8/11; 14/19; 13/18; 3/4; 8/11; 3/4; 7/10; 10/13; 8/11; 8/11; 8/11
; 11/4; 13/5; 13/5; 13/5; 139/50; 27/10; 13/5; 13/5; 14/5; 13/5; 11/4; 13/5; 13/5; 11/4; 13/5; 13/5; 27/10; 27/10; 11/4; 11/4; 14/5; 53/20; 11/4; 13/5; 13/5; 27/10
