META; english/premier-league/huddersfield-v-crystal-palace; 2018-03-05 20:14:04 GMT+2; 2018-03-17 15:00; e70300-dr003
Huddersfield; 31/20; 6/4; 33/20; 6/4; 183/100; 6/4; 17/10; 8/5; 33/20; 8/5; 17/10; 17/10; 13/8; 13/8; 28/17; 8/5; 19/12; 8/5; 7/4; 33/20; 28/17; 6/4
Crystal Palace; 15/8; 9/5; 7/4; 15/8; 47/25; 17/10; 9/5; 7/4; 7/4; 9/5; 7/4; 9/5; 9/5; 7/4; 7/4; 19/10; 32/19; 7/4; 15/8; 9/5; 7/4; 17/10
Draw; 21/10; 11/5; 2; 11/5; 109/50; 19/10; 21/10; 11/5; 2; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; 28/13; 11/5; 11/5; 21/10; 21/10; 19/10; 
META; english/premier-league/huddersfield-v-crystal-palace; 2018-03-06 14:59:45 GMT+2; 2018-03-17 15:00; e70300-dr003
Huddersfield; 6/4; 13/8; 17/10; 6/4; 183/00; 6/4; 17/10; 8/5; 17/10; 8/5; 17/10; 7/4; 17/10; 13/8; 28/17; 17/10; 29/18; 8/5; 33/20; 17/10; 13/8
Crystal Palace; 19/10; 7/4; 17/10; 15/8; 47/25; 17/10; 9/5; 7/4; 17/10; 9/5; 7/4; 7/4; 9/5; 7/4; 7/4; 7/4; 28/17; 7/4; 9/5; 7/4; 7/4
Draw; 21/10; 11/5; 2; 11/5; 109/0; 19/10; 21/10; 11/5; 2; 21/10; 21/10; 21/10; 21/10; 39/19; 21/10; 28/13; 11/5; 21/10; 21/10; 19/10; 
META; english/premier-league/huddersfield-v-crystal-palace; 2018-03-08 10:11:40 GMT+2; 2018-03-17 15:00; e70300-dr003
Huddersfield; 6/4; 13/8; 13/8; 6/4; 177/100; 13/8; 13/8; 6/4; 8/5; 8/5; 8/5; 13/8; 33/20; 17/10; 6/4; 8/5; 17/10; 20/13; 8/5; 17/10; 13/8; 28/17; 6/4
Crystal Palace; 19/10; 7/4; 9/5; 15/8; 97/50; 9/5; 15/8; 17/10; 7/4; 7/4; 9/5; 9/5; 37/20; 15/8; 9/5; 9/5; 7/4; 31/18; 7/4; 15/8; 9/5; 9/5; 9/5
Draw; 21/10; 11/5; 2; 11/5; 109/50; 11/5; 21/10; 2; 11/5; 2; 2; 21/10; 2; 21/10; 39/19; 21/10; 28/13; 11/5; 11/5; 21/10; 21/10; 2; 
META; english/premier-league/huddersfield-v-crystal-palace; 2018-03-08 12:14:58 GMT+2; 2018-03-17 15:00; e70300-dr003
Huddersfield; 6/4; 13/8; 13/8; 6/4; 177/00; 13/8; 13/8; 6/4; 8/5; 8/5; 8/5; 13/8; 33/20; 17/10; 6/4; 8/5; 17/10; 20/13; 8/5; 17/10; 13/8; 28/17; 6/4
Crystal Palace; 19/10; 7/4; 9/5; 15/8; 97/50; 9/5; 15/8; 17/10; 7/4; 7/4; 9/5; 9/5; 37/20; 15/8; 7/4; 9/5; 7/4; 31/18; 7/4; 15/8; 9/5; 9/5; 9/5
Draw; 21/10; 11/5; 2; 11/5; 109/0; 11/5; 21/10; 2; 11/5; 2; 2; 21/10; 2; 21/10; 21/10; 28/13; 11/5; 11/5; 21/10; 21/10; 2; ; 
META; english/premier-league/huddersfield-v-crystal-palace; 2018-03-09 12:14:17 GMT+2; 2018-03-17 15:00; e70300-dr003
Huddersfield; 8/5; 13/8; 8/5; 6/4; 87/50; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 13/8; 33/20; 17/10; 6/4; 8/5; 17/11; 20/13; 8/5; 8/5; 6/4
Crystal Palace; 15/8; 7/4; 9/5; 15/8; 2; 9/5; 15/8; 17/10; 7/4; 9/5; 15/8; 9/5; 37/20; 15/8; 7/4; 9/5; 24/13; 31/18; 7/4; 37/20; 9/5
Draw; 2; 11/5; 2; 11/5; 54/25; 11/5; 21/10; 2; 11/5; 2; 11/5; 2; 21/10; 2; 21/10; 21/10; 28/13; 11/5; 21/10; 2; 
META; english/premier-league/huddersfield-v-crystal-palace; 2018-03-10 12:14:46 GMT+2; 2018-03-17 15:00; e70300-dr003
Huddersfield; 8/5; 13/8; 8/5; 6/4; 87/50; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 13/8; 33/20; 17/10; 6/4; 8/5; 17/11; 20/13; 8/5; 17/10; 8/5; 28/17; 13/8
Crystal Palace; 15/8; 7/4; 9/5; 15/8; 2; 9/5; 15/8; 17/10; 7/4; 9/5; 15/8; 9/5; 37/20; 15/8; 7/4; 9/5; 24/13; 31/18; 7/4; 15/8; 37/20; 9/5; 7/4
Draw; 2; 11/5; 2; 11/5; 54/25; 11/5; 21/10; 2; 11/5; 2; 11/5; 2; 21/10; 2; 21/10; 21/10; 28/13; 11/5; 11/5; 21/10; 21/10; ; 
META; english/premier-league/huddersfield-v-crystal-palace; 2018-03-12 10:22:05 GMT+2; 2018-03-17 15:00; e70300-dr003
Crystal Palace; 17/10; 13/8; 33/20; 13/8; 181/00; 17/10; 17/10; 8/5; 7/4; 13/8; 7/4; 13/8; 17/10; 17/10; 17/10; 13/8; 28/17; 17/10; 29/18; 7/4; 7/4; 33/20; 17/10; 13/8; 7/4; 7/4
Huddersfield; 7/4; 7/4; 9/5; 9/5; 47/25; 9/5; 9/5; 13/8; 8/5; 7/4; 6/4; 7/4; 9/5; 9/5; 9/5; 13/8; 7/4; 28/17; 24/13; 8/5; 15/8; 7/4; 7/4; 7/4; 9/5; 9/5
Draw; 2; 21/10; 2; 21/10; 11/5; 21/10; 21/10; 2; 11/5; 2; 11/5; 11/5; 21/10; 21/10; 21/10; 2; 39/19; 21/10; 9/4; 11/5; 85/40; 21/10; 21/10; 2; 21/10; 21/10
META; english/premier-league/huddersfield-v-crystal-palace; 2018-03-12 20:13:32 GMT+2; 2018-03-17 15:00; e70300-dr003
Crystal Palace; 17/10; 13/8; 33/20; 13/8; 181/00; 17/10; 17/10; 8/5; 17/10; 13/8; 9/5; 13/8; 17/10; 17/10; 17/10; 13/8; 17/10; 17/10; 29/18; 17/10; 7/4; 33/20; 17/10; 13/8; 8/5; 7/4; 17/10
Huddersfield; 7/4; 7/4; 7/4; 9/5; 93/50; 9/5; 9/5; 13/8; 7/4; 7/4; 7/4; 7/4; 9/5; 9/5; 9/5; 17/10; 7/4; 28/17; 24/13; 7/4; 15/8; 7/4; 9/5; 9/5; 15/8; 9/5; 15/8
Draw; 2; 21/10; 2; 21/10; 111/0; 21/10; 21/10; 2; 28/13; 2; 21/10; 11/5; 21/10; 21/10; 21/10; 2; 21/10; 21/10; 9/4; 28/13; 85/40; 21/10; 21/10; 2; 21/10; 21/10; 21/10
META; english/premier-league/huddersfield-v-crystal-palace; 2018-03-13 12:16:05 GMT+2; 2018-03-17 15:00; e70300-dr003
Crystal Palace; 17/10; 13/8; 33/20; 13/8; 181/00; 7/4; 17/10; 13/8; 17/10; 13/8; 7/4; 13/8; 17/10; 17/10; 17/10; 13/8; 17/10; 17/10; 29/18; 17/10; 7/4; 33/20; 17/10; 17/10; 13/8; 13/8; 7/4
Huddersfield; 7/4; 7/4; 7/4; 9/5; 93/50; 9/5; 9/5; 17/10; 7/4; 7/4; 9/5; 7/4; 9/5; 9/5; 9/5; 17/10; 7/4; 9/5; 24/13; 7/4; 15/8; 7/4; 9/5; 9/5; 15/8; 15/8; 15/8
Draw; 2; 21/10; 2; 21/10; 111/0; 11/5; 21/10; 21/10; 28/13; 2; 21/10; 11/5; 21/10; 21/10; 21/10; 2; 21/10; 21/10; 9/4; 28/13; 85/40; 21/10; 21/10; 2; 21/10; 21/10; 21/10
META; english/premier-league/huddersfield-v-crystal-palace; 2018-03-13 20:13:58 GMT+2; 2018-03-17 15:00; e70300-dr003
Crystal Palace; 17/10; 13/8; 33/20; 13/8; 181/00; 7/4; 17/10; 13/8; 17/10; 33/20; 7/4; 13/8; 17/10; 17/10; 17/10; 13/8; 7/4; 17/10; 29/18; 17/10; 7/4; 33/20; 7/4; 7/4; 6/4; 7/4; 9/5
Huddersfield; 7/4; 7/4; 7/4; 9/5; 93/50; 9/5; 9/5; 17/10; 7/4; 9/5; 9/5; 7/4; 9/5; 9/5; 9/5; 17/10; 9/5; 9/5; 24/13; 7/4; 15/8; 7/4; 9/5; 9/5; 13/8; 9/5; 19/10
Draw; 2; 21/10; 2; 21/10; 111/0; 11/5; 21/10; 21/10; 28/13; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; 2; 28/13; 21/10; 9/4; 28/13; 85/40; 21/10; 28/13; 2; 19/10; 21/10; 21/10
META; english/premier-league/huddersfield-v-crystal-palace; 2018-03-14 20:13:44 GMT+2; 2018-03-17 15:00; e70300-dr003
Crystal Palace; 17/10; 13/8; 8/5; 13/8; 177/00; 13/8; 17/10; 8/5; 7/4; 8/5; 17/10; 31/20; 13/8; 33/20; 17/10; 6/4; 17/10; 17/10; 19/12; 17/10; 13/8; 8/5; 17/10; 13/8; 17/10; 17/10; 17/10
Huddersfield; 7/4; 9/5; 15/8; 9/5; 193/00; 15/8; 15/8; 9/5; 15/8; 15/8; 15/8; 9/5; 9/5; 15/8; 9/5; 7/4; 24/13; 9/5; 37/19; 24/13; 2; 37/20; 24/13; 19/10; 19/10; 19/10; 19/10
Draw; 2; 21/10; 2; 21/10; 11/5; 11/5; 21/10; 11/5; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; 2; 21/10; 21/10; 28/13; 85/40; 21/10; 28/13; 2; 21/10; 21/10; 21/10; ; 
META; english/premier-league/huddersfield-v-crystal-palace; 2018-03-15 10:20:11 GMT+2; 2018-03-17 15:00; e70300-dr003
Crystal Palace; 6/4; 8/5; 31/20; 13/8; 43/25; 17/10; 13/8; 8/5; 7/4; 8/5; 17/10; 31/20; 13/8; 8/5; 17/10; 6/4; 28/17; 17/10; 23/15; 17/10; 13/8; 8/5; 28/17; 13/8; 13/8; 13/8; 17/10
Huddersfield; 2; 15/8; 15/8; 9/5; 99/50; 19/10; 19/10; 9/5; 15/8; 19/10; 19/10; 9/5; 9/5; 19/10; 9/5; 9/5; 37/19; 9/5; 2; 24/13; 2; 37/20; 37/19; 15/8; 19/10; 19/10; 19/10
Draw; 2; 21/10; 2; 21/10; 11/5; 23/10; 11/5; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; 2; 21/10; 21/10; 28/13; 85/40; 21/10; 28/13; 2; 21/10; 21/10; 21/10; ; ; 
META; english/premier-league/huddersfield-v-crystal-palace; 2018-03-15 13:06:02 GMT+2; 2018-03-17 15:00; e70300-dr003
Crystal Palace; 6/4; 8/5; 31/20; 13/8; 43/25; 17/10; 13/8; 8/5; 7/4; 8/5; 6/4; 31/20; 13/8; 8/5; 17/10; 6/4; 28/17; 17/10; 23/15; 17/10; 13/8; 33/20; 28/17; 13/8; 13/8; 13/8; 17/10
Huddersfield; 2; 15/8; 15/8; 9/5; 99/50; 19/10; 19/10; 9/5; 15/8; 19/10; 2; 9/5; 9/5; 19/10; 9/5; 9/5; 37/19; 9/5; 2; 24/13; 2; 15/8; 37/19; 19/10; 19/10; 19/10; 19/10
Draw; 2; 21/10; 2; 21/10; 11/5; 23/10; 11/5; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; 2; 21/10; 21/10; 28/13; 85/40; 21/10; 28/13; 2; 21/10; 21/10; 21/10; ; ; 
META; english/premier-league/huddersfield-v-crystal-palace; 2018-03-15 20:13:51 GMT+2; 2018-03-17 15:00; e70300-dr003
Crystal Palace; 6/4; 8/5; 31/20; 13/8; 43/25; 17/10; 13/8; 8/5; 17/10; 8/5; 17/10; 31/20; 13/8; 8/5; 8/5; 6/4; 8/5; 17/10; 14/9; 28/17; 17/10; 8/5; 28/17; 13/8; 13/8; 13/8; 17/10
Huddersfield; 2; 15/8; 15/8; 9/5; 99/50; 2; 19/10; 15/8; 37/19; 19/10; 19/10; 9/5; 9/5; 19/10; 19/10; 9/5; 37/19; 9/5; 37/19; 19/10; 2; 39/20; 37/19; 19/10; 19/10; 19/10; 19/10
