META; english/premier-league/leicester-v-bournemouth; 2018-02-12 20:46:18 GMT+2; 2018-03-03 15:00; e70300-dr003
Leicester; 10/11; 10/11; 10/11; 19/20; 101/100; 19/20; ; 10/11; 10/11; 10/11; ; 20/21; ; 19/20; 10/11; 17/20; 19/20; 19/20; 8/9; 10/11; 10/11; 1; ; 19/20; ; 9/10; ; 
Draw; 13/5; 13/5; 13/5; 13/5; 27/10; 11/4; ; 13/5; 12/5; 13/5; ; 5/2; ; 13/5; 13/5; 12/5; 5/2; 23/10; 13/5; 12/5; 13/5; 13/5; ; 28/11; ; 5/2; ; 
Bournemouth; 11/4; 14/5; 11/4; 11/4; 61/20; 31/10; ; 11/4; 31/10; 27/10; ; 14/5; ; 14/5; 3; 13/5; 14/5; 16/5; 13/5; 31/10; 14/5; 3; ; 37/13; ; 14/5; ; 
META; english/premier-league/leicester-v-bournemouth; 2018-02-16 18:35:23 GMT+2; 2018-03-03 15:00; e70300-dr003
Leicester; 10/11; 19/20; 10/11; 19/20; 101/ 100; 10/11; 20/21; 10/11; 10/11; 10/11; ; 20/21; 1; 19/20; 10/11; 10/11; 19/20; 19/20; 8/9; 10/11; 10/11; 1; ; 19/20; ; 5/6; ; 
Draw; 13/5; 13/5; 13/5; 13/5; 27/10; 13/5; 13/5; 13/5; 12/5; 13/5; ; 12/5; 13/5; 13/5; 13/5; 23/10; 5/2; 12/5; 13/5; 12/5; 13/5; 13/5; ; 28/11; ; 12/5; ; 
Bournemouth; 11/4; 11/4; 11/4; 11/4; 61/20; 3; 14/5; 11/4; 31/10; 27/10; ; 3; 14/5; 11/4; 3; 13/5; 14/5; 3; 13/5; 31/10; 14/5; 3; ; 37/13; ; 14/5; ; 
META; english/premier-league/leicester-v-bournemouth; 2018-02-19 16:15:43 GMT+2; 2018-03-03 15:00; e70300-dr003
Leicester; 10/11; 19/20; 10/11; 19/20; 101/100; 10/11; 20/21; 10/11; 10/11; 10/11; 19/20; 20/21; 1; 19/20; 10/11; 10/11; 19/20; 19/20; 8/9; 10/11; 10/11; 1; ; 19/20; ; 5/6; ; 
Draw; 13/5; 13/5; 13/5; 13/5; 27/10; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 12/5; 13/5; 13/5; 13/5; 23/10; 5/2; 12/5; 13/5; 5/2; 13/5; 13/5; ; 28/11; ; 12/5; ; 
Bournemouth; 11/4; 11/4; 11/4; 11/4; 61/20; 3; 14/5; 11/4; 56/19; 27/10; 3; 3; 14/5; 11/4; 3; 13/5; 14/5; 3; 13/5; 56/19; 14/5; 3; ; 14/5; ; 14/5; ; 
META; english/premier-league/leicester-v-bournemouth; 2018-02-20 12:14:41 GMT+2; 2018-03-03 15:00; e70300-dr003
Leicester; 10/11; 19/20; 10/11; 19/20; 101/ 100; 10/11; 20/21; 10/11; 10/11; 10/11; 19/20; 20/21; 1; 19/20; 10/11; 10/11; 19/20; 19/20; 8/9; 10/11; 10/11; 20/21; ; 19/20; ; 5/6; ; 
Draw; 13/5; 13/5; 13/5; 13/5; 27/10; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 12/5; 13/5; 13/5; 13/5; 23/10; 28/11; 12/5; 13/5; 5/2; 13/5; 11/4; ; 28/11; ; 12/5; ; 
Bournemouth; 11/4; 11/4; 11/4; 11/4; 61/20; 3; 14/5; 11/4; 56/19; 27/10; 3; 3; 14/5; 11/4; 3; 13/5; 14/5; 3; 13/5; 56/19; 14/5; 3; ; 14/5; ; 14/5; ; 
META; english/premier-league/leicester-v-bournemouth; 2018-02-24 12:13:40 GMT+2; 2018-03-03 15:00; e70300-dr003
Leicester; 10/11; 19/20; 19/20; 19/20; 101/100; 10/11; 20/21; 10/11; 10/11; 19/20; 19/20; 20/21; 1; 19/20; 10/11; 10/11; 19/20; 19/20; 8/9; 10/11; 10/11; 20/21; ; 19/20; ; 5/6; ; 
Draw; 13/5; 13/5; 5/2; 13/5; 27/10; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 12/5; 13/5; 13/5; 13/5; 23/10; 5/2; 12/5; 13/5; 5/2; 13/5; 11/4; ; 28/11; ; 5/2; ; 
Bournemouth; 11/4; 11/4; 27/10; 11/4; 61/20; 3; 14/5; 11/4; 56/19; 27/10; 3; 3; 14/5; 11/4; 3; 13/5; 14/5; 3; 13/5; 56/19; 14/5; 3; ; 14/5; ; 14/5; ; 
META; english/premier-league/leicester-v-bournemouth; 2018-02-27 18:13:06 GMT+2; 2018-03-03 15:00; e70300-dr003
Leicester ; 4/5; 5/6; 5/6; 5/6; 17/20; 17/20; 5/6; 4/5; 9/11; 5/6; 17/20; 5/6; 73/100; 5/6; 5/6; 5/6; 5/6; 11/13; 6/7; 9/11; 17/20; 4/5; 5/6; ; 5/6; 5/6; 5/6
Draw; 11/4; 13/5; 27/10; 13/5; 72/25; 14/5; 11/4; 13/5; 27/10; 27/10; 11/4; 13/5; 14/5; 27/10; 11/4; 13/5; 11/4; 14/5; 37/13; 27/10; 14/5; 27/10; 11/4; ; 27/10; 11/4; 14/5
Bournemouth; 16/5; 16/5; 16/5; 16/5; 18/5; 10/3; 10/3; 16/5; 57/17; 16/5; 10/3; 16/5; 7/2; 16/5; 16/5; 16/5; 17/5; 3; 58/19; 57/17; 17/5; 10/3; 38/11; ; 3; 10/3; 7/2
META; english/premier-league/leicester-v-bournemouth; 2018-03-01 15:53:49 GMT+2; ; e70300-dr003
; 4/5; 5/6; 4/5; 5/6; 17/20; 17/20; 5/6; 4/5; 16/19; 5/6; 17/20; 5/6; 73/100; 5/6; 5/6; 5/6; 13/15; 11/13; 16/19; 9/11; 17/20; 4/5; 13/15; 5/6; 5/6; 5/6
Draw; 11/4; 13/5; 27/10; 13/5; 72/25; 14/5; 11/4; 13/5; 37/13; 27/10; 14/5; 13/5; 14/5; 11/4; 11/4; 13/5; 27/10; 14/5; 14/5; 14/5; 14/5; 27/10; 11/4; 11/4; 14/5; 14/5
Bournemouth l d w w l d; 16/5; 16/5; 16/5; 16/5; 18/5; 10/3; 10/3; 16/5; 7/2; 16/5; 7/2; 16/5; 7/2; 10/3; 16/5; 16/5; 33/10; 3; 13/4; 17/5; 17/5; 10/3; 57/17; 10/3; 7/2; 7/2
META; english/premier-league/leicester-v-bournemouth; 2018-03-01 19:29:48 GMT+2; ; e70300-dr003
; 3/4; 5/6; 4/5; 5/6; 17/20; 17/20; 5/6; 4/5; 16/19; 5/6; 17/20; 4/5; 73/100; 5/6; 5/6; 5/6; 5/6; 11/13; 16/19; 9/11; 17/20; 4/5; 5/6; 5/6; 4/5; 5/6
Draw; 11/4; 13/5; 27/10; 13/5; 72/25; 14/5; 11/4; 13/5; 37/13; 27/10; 14/5; 11/4; 14/5; 11/4; 11/4; 13/5; 11/4; 14/5; 14/5; 14/5; 29/10; 27/10; 11/4; 11/4; 13/5; 14/5
Bournemouth; 7/2; 16/5; 16/5; 16/5; 18/5; 10/3; 10/3; 16/5; 7/2; 16/5; 7/2; 16/5; 7/2; 10/3; 16/5; 16/5; 17/5; 3; 13/4; 17/5; 17/5; 10/3; 38/11; 10/3; 3; 7/2
META; english/premier-league/leicester-v-bournemouth; 2018-03-02 01:00:32 GMT+2; 2018-03-03 15:00; e70300-dr003
; 3/4; 5/6; 4/5; 5/6; 17/20; 17/20; 5/6; 4/5; 16/19; 5/6; 17/20; 4/5; 73/100; 5/6; 5/6; 5/6; 5/6; 11/13; 16/19; 9/11; 17/20; 4/5; 5/6; 5/6; 4/5; 5/6
Draw; 11/4; 13/5; 27/10; 13/5; 72/25; 14/5; 11/4; 13/5; 37/13; 27/10; 14/5; 11/4; 14/5; 11/4; 11/4; 13/5; 11/4; 14/5; 14/5; 14/5; 29/10; 27/10; 11/4; 11/4; 13/5; 14/5
Bournemouth; 7/2; 16/5; 16/5; 16/5; 18/5; 10/3; 10/3; 16/5; 7/2; 16/5; 7/2; 16/5; 7/2; 10/3; 16/5; 16/5; 17/5; 3; 13/4; 17/5; 17/5; 10/3; 38/11; 7/2; 3; 7/2
META; english/premier-league/leicester-v-bournemouth; 2018-03-02 03:00:33 GMT+2; 2018-03-03 15:00; e70300-dr003
; 3/4; 5/6; 4/5; 5/6; 17/20; 17/20; 5/6; 4/5; 16/19; 5/6; 17/20; 4/5; 73/100; 5/6; 5/6; 5/6; 5/6; 11/13; 16/19; 9/11; 5/6; 4/5; 5/6; 5/6; 5/6; 5/6
Draw; 11/4; 13/5; 27/10; 13/5; 72/25; 14/5; 11/4; 13/5; 37/13; 27/10; 14/5; 11/4; 14/5; 11/4; 11/4; 13/5; 27/10; 14/5; 14/5; 14/5; 29/10; 27/10; 11/4; 11/4; 13/5; 14/5
Bournemouth; 7/2; 16/5; 16/5; 16/5; 18/5; 10/3; 10/3; 16/5; 7/2; 16/5; 7/2; 16/5; 7/2; 10/3; 16/5; 16/5; 17/5; 3; 13/4; 17/5; 7/2; 10/3; 38/11; 10/3; 3; 7/2
META; english/premier-league/leicester-v-bournemouth; 2018-03-02 04:00:33 GMT+2; 2018-03-03 15:00; e70300-dr003
; 17/20; 5/6; 4/5; 5/6; 17/20; 17/20; 5/6; 4/5; 16/19; 5/6; 17/20; 5/6; 73/100; 5/6; 5/6; 5/6; 5/6; 11/13; 16/19; 9/11; 5/6; 4/5; 13/15; 5/6; 5/6; 5/6
Draw; 14/5; 13/5; 27/10; 13/5; 72/25; 14/5; 11/4; 13/5; 37/13; 27/10; 14/5; 13/5; 14/5; 11/4; 11/4; 13/5; 27/10; 14/5; 14/5; 14/5; 29/10; 27/10; 11/4; 11/4; 13/5; 14/5
Bournemouth; 7/2; 16/5; 16/5; 16/5; 18/5; 10/3; 10/3; 16/5; 7/2; 16/5; 7/2; 10/3; 7/2; 10/3; 16/5; 16/5; 57/17; 3; 13/4; 17/5; 7/2; 10/3; 17/5; 10/3; 3; 7/2
META; english/premier-league/leicester-v-bournemouth; 2018-03-02 05:00:34 GMT+2; 2018-03-03 15:00; e70300-dr003
; 17/20; 5/6; 4/5; 5/6; 17/20; 17/20; 5/6; 4/5; 16/19; 5/6; 17/20; 5/6; 73/100; 5/6; 5/6; 5/6; 5/6; 11/13; 16/19; 9/11; 5/6; 13/15; 5/6; 4/5; 5/6
Draw; 14/5; 13/5; 27/10; 13/5; 72/25; 14/5; 11/4; 13/5; 37/13; 27/10; 14/5; 13/5; 14/5; 11/4; 11/4; 13/5; 27/10; 14/5; 14/5; 14/5; 29/10; 11/4; 11/4; 13/5; 14/5
Bournemouth; 7/2; 16/5; 16/5; 16/5; 18/5; 10/3; 10/3; 16/5; 7/2; 16/5; 7/2; 10/3; 7/2; 10/3; 16/5; 16/5; 57/17; 3; 13/4; 17/5; 7/2; 17/5; 10/3; 3; 7/2
META; english/premier-league/leicester-v-bournemouth; 2018-03-02 07:00:33 GMT+2; 2018-03-03 15:00; e70300-dr003
; 17/20; 5/6; 4/5; 5/6; 17/20; 17/20; 5/6; 4/5; 16/19; 5/6; 17/20; 5/6; 73/100; 5/6; 5/6; 5/6; 5/6; 11/13; 16/19; 9/11; 5/6; 4/5; 13/15; 5/6; 4/5; 5/6
