META; english/premier-league/tottenham-v-huddersfield; 2018-02-12 20:46:26 GMT+2; 2018-03-03 15:00; e70300-dr003
Tottenham; 1/6; 1/5; 1/5; 1/5; 21/100; 1/5; ; 1/6; 1/6; 2/11; ; 1/5; ; 1/5; 2/9; 2/11; 1/6; 3/19; 2/11; 1/6; 1/5; 1/5; ; 2/11; ; 2/11; ; 
Draw; 6; 11/2; 11/2; 11/2; 32/5; 6; ; 6; 6; 11/2; ; 11/2; ; 11/2; 11/2; 5; 29/5; 13/2; 53/10; 6; 6; 6; ; 76/13; ; 11/2; ; 
Huddersfield; 14; 12; 18; 12; 35/2; 22; ; 18; 15; 16; ; 14; ; 15; 12; 12; 57/4; 16; 12; 14; 14; 18; ; 29/2; ; 17; ; 
META; english/premier-league/tottenham-v-huddersfield; 2018-02-16 18:35:30 GMT+2; 2018-03-03 15:00; e70300-dr003
Tottenham; 1/6; 1/5; 1/5; 1/5; 21/ 100; 1/6; 1/6; 1/6; 1/6; 2/11; ; 2/11; 1/5; ; 2/9; 1/6; ; 3/19; 2/11; 1/6; 1/5; 2/11; ; 1/6; ; 1/5; ; 
Draw; 6; 11/2; 11/2; 11/2; 32/5; 6; ; 6; 6; 11/2; ; 5; 6; ; 11/2; 11/2; 76/13; 13/2; 53/10; 6; 6; 13/2; ; 59/10; ; 11/2; ; 
Huddersfield; 14; 12; 18; 12; 35/2; 19; 16; 18; 15; 16; ; 16; 12; 15; 12; ; 59/4; 16; 12; 14; 14; 19; ; 59/4; ; 88/5; ; 
META; english/premier-league/tottenham-v-huddersfield; 2018-02-19 16:15:50 GMT+2; 2018-03-03 15:00; e70300-dr003
Tottenham; 2/11; 2/9; 1/5; 1/5; 23/100; 1/6; 2/11; 1/6; 3/16; 2/11; 1/5; 1/5; 2/9; 2/9; 2/9; 2/11; 3/16; 3/19; 1/5; 3/16; 1/5; 1/5; ; 3/16; ; 1/5; ; 
Draw; 11/2; 5; 11/2; 11/2; 31/5; 6; ; 6; 11/2; 11/2; 6; 5; 11/2; 5; 11/2; 5; 11/2; 13/2; 26/5; 11/2; 11/2; 6; ; 61/11; ; 11/2; ; 
Huddersfield; 14; 12; 18; 12; 15; 19; 14; 18; 14; 16; 16; 14; 12; 14; 12; 12; 13; 16; 11; 13; 14; 18; ; 53/4; ; 88/5; ; 
META; english/premier-league/tottenham-v-huddersfield; 2018-02-20 12:14:49 GMT+2; 2018-03-03 15:00; e70300-dr003
Tottenham; 2/11; 2/9; 1/5; 1/5; 1/4; 1/5; 1/5; 1/6; 3/16; 2/11; 1/5; 1/5; 2/9; 2/9; 2/9; 2/11; 1/5; 1/5; 1/5; 3/16; 1/4; 1/5; ; 3/14; ; 2/9; ; 
Draw; 11/2; 5; 11/2; 11/2; 29/5; 6; ; 6; 11/2; 11/2; 6; 5; 11/2; 5; 11/2; 5; 21/4; 11/2; 26/5; 11/2; 11/2; 6; ; 53/10; ; 11/2; ; 
Huddersfield; 14; 12; 18; 12; 27/2; 16; 14; 14; 14; 16; 14; 14; 12; 14; 12; 12; 25/2; 14; 11; 13; 12; 18; ; 51/4; ; 88/5; ; 
META; english/premier-league/tottenham-v-huddersfield; 2018-02-24 12:13:48 GMT+2; 2018-03-03 15:00; e70300-dr003
Tottenham; 2/11; 2/9; 2/9; 1/5; 1/4; 1/5; 1/5; 1/6; 3/16; 1/5; ; 1/5; 2/9; 2/9; 2/9; ; 3/14; 1/5; 1/5; 3/16; 1/4; 1/5; ; 3/14; ; 2/9; ; 
Draw; 11/2; 5; 5; 11/2; 29/5; 6; 6; 6; 11/2; 5; ; 5; 11/2; 5; 11/2; ; 21/4; 11/2; 26/5; 11/2; 11/2; 6; ; 53/10; ; 11/2; ; 
Huddersfield; 14; 12; 16; 12; 27/2; 16; 14; 14; 14; 14; 16; 14; 12; 14; 12; 12; 49/4; 14; 11; 13; 12; 17; ; 49/4; ; 16; ; 
META; english/premier-league/tottenham-v-huddersfield; 2018-02-27 18:13:14 GMT+2; 2018-03-03 15:00; e70300-dr003
Tottenham; 2/11; 1/5; 2/11; 1/5; 1/5; 2/11; 2/11; 1/6; 2/9; 2/11; ; 2/11; 2/13; 2/11; 1/5; 1/5; 3/16; 1/5; 1/5; 2/9; 1/5; 1/6; 3/16; ; 1/5; 2/9; 1/5
Draw; 11/2; 11/2; 11/2; 11/2; 34/5; 6; 6; 11/2; 11/2; 6; 6; 11/2; 13/2; 11/2; 11/2; 11/2; 6; 23/4; 31/5; 27/5; 13/2; 11/2; 6; ; 6; 31/5; 31/5
Huddersfield; 14; 12; 18; 12; 35/2; 17; 16; 14; 13; 18; 16; 16; 16; 16; 14; 14; 65/4; 27/2; 29/2; 12; 16; 20; 33/2; ; 17; 18; 81/5
META; english/premier-league/tottenham-v-huddersfield; 2018-03-01 15:53:58 GMT+2; ; e70300-dr003
Tottenham w w d d w w; 2/11; 1/6; 2/11; 1/5; 1/5; 1/5; 1/6; 1/7; 1/5; 2/11; 1/5; 2/11; 2/13; 1/5; 1/5; 2/11; 3/16; 1/5; 3/16; 2/11; 2/11; 2/11; 3/16; 1/5; 1/5; 1/5
Draw; 11/2; 6; 11/2; 34/5; 13/2; 13/2; 6; 72/11; 6; 13/2; 11/2; 13/2; 6; 11/2; 6; 23/4; 63/10; 13/2; 13/2; 6; 33/5; 34/5; 34/5; ; ; 
Huddersfield l l w w l w; 14; 16; 18; 12; 35/2; 20; 16; 16; 33/2; 18; 16; 14; 16; 20; 14; 14; 31/2; 27/2; 15; 16; 16; 14; 63/4; 18; 18; 88/5
META; english/premier-league/tottenham-v-huddersfield; 2018-03-02 01:00:41 GMT+2; 2018-03-03 15:00; e70300-dr003
Tottenham; 2/11; 1/6; 2/11; 1/5; 1/5; 1/5; 1/6; 1/6; 1/5; 2/11; 1/5; 2/11; 2/13; 2/11; 1/5; 2/11; 3/16; 1/5; 3/16; 2/11; 2/11; 2/11; 3/16; 1/5; 1/5; 2/9
Draw; 11/2; 6; 11/2; 69/10; 13/2; 13/2; 6; 72/11; 6; 13/2; 11/2; 13/2; 13/2; 11/2; 6; 23/4; 63/10; 13/2; 13/2; 6; 33/5; 28/5; 32/5; ; ; 
Huddersfield; 14; 16; 14; 12; 17; 20; 16; 17; 33/2; 14; 16; 14; 16; 20; 14; 14; 63/4; 27/2; 15; 16; 16; 14; 63/4; 88/5; 88/5; 88/5
META; english/premier-league/tottenham-v-huddersfield; 2018-03-02 03:00:42 GMT+2; 2018-03-03 15:00; e70300-dr003
Tottenham; 2/11; 1/6; 2/11; 1/5; 1/5; 1/5; 1/6; 1/6; 1/5; 2/11; 1/5; 2/11; 2/13; 2/11; 1/5; 2/11; 3/16; 1/5; 3/16; 2/11; 2/11; 2/11; 3/16; 1/5; 1/5; 2/9
Draw; 11/2; 6; 11/2; 69/10; 13/2; 13/2; 6; 72/11; 6; 13/2; 11/2; 13/2; 13/2; 11/2; 6; 23/4; 63/10; 13/2; 13/2; 6; 33/5; 28/5; 32/5; ; ; 
Huddersfield; 14; 16; 14; 12; 17; 20; 16; 17; 33/2; 14; 16; 14; 16; 20; 14; 14; 63/4; 27/2; 15; 16; 16; 14; 16; 88/5; 88/5; 88/5
META; english/premier-league/tottenham-v-huddersfield; 2018-03-02 04:00:41 GMT+2; 2018-03-03 15:00; e70300-dr003
Tottenham; 1/5; 1/6; 2/11; 1/5; 1/5; 1/5; 1/6; 1/6; 1/5; 2/11; 1/5; 2/11; 2/13; 2/11; 1/5; 2/11; 2/11; 1/5; 3/16; 2/11; 2/11; 2/11; 2/11; 1/5; 1/5; 2/9
Draw; 13/2; 6; 11/2; 69/10; 13/2; 13/2; 6; 72/11; 6; 13/2; 11/2; 13/2; 13/2; 11/2; 6; 25/4; 23/4; 63/10; 13/2; 13/2; 6; 25/4; 33/5; 28/5; 32/5; 
Huddersfield; 16; 16; 14; 12; 17; 20; 16; 17; 33/2; 14; 16; 14; 16; 20; 14; 14; 65/4; 27/2; 15; 16; 16; 14; 33/2; 88/5; 88/5; 88/5
META; english/premier-league/tottenham-v-huddersfield; 2018-03-02 05:00:43 GMT+2; 2018-03-03 15:00; e70300-dr003
Tottenham; 1/5; 1/6; 2/11; 1/5; 1/5; 1/5; 1/6; 1/6; 1/5; 2/11; 1/5; 2/11; 2/13; 2/11; 1/5; 2/11; 2/11; 1/5; 3/16; 2/11; 2/11; 2/11; 2/11; 1/5; 1/5; 2/9
Draw; 13/2; 6; 11/2; 69/10; 13/2; 13/2; 6; 72/11; 6; 13/2; 11/2; 13/2; 13/2; 11/2; 6; 25/4; 23/4; 63/10; 13/2; 13/2; 6; 25/4; 33/5; 28/5; 32/5; 
Huddersfield; 16; 16; 14; 12; 17; 20; 16; 17; 33/2; 14; 16; 14; 16; 20; 14; 14; 65/4; 27/2; 15; 16; 16; 14; 65/4; 88/5; 88/5; 88/5
META; english/premier-league/tottenham-v-huddersfield; 2018-03-02 07:00:42 GMT+2; 2018-03-03 15:00; e70300-dr003
Tottenham; 1/5; 1/6; 2/11; 1/5; 1/5; 1/5; 1/6; 1/6; 1/5; 2/11; 1/5; 2/11; 2/13; 2/11; 1/5; 2/11; 2/11; 1/5; 3/16; 2/11; 2/11; 2/11; 2/11; 1/5; 1/5; 2/9
Draw; 13/2; 6; 11/2; 69/10; 13/2; 13/2; 6; 72/11; 6; 13/2; 11/2; 13/2; 13/2; 11/2; 6; 25/4; 23/4; 63/10; 13/2; 13/2; 6; 25/4; 33/5; 27/5; 32/5; 
Huddersfield; 16; 16; 14; 12; 17; 20; 16; 17; 33/2; 14; 16; 14; 16; 20; 14; 14; 65/4; 27/2; 15; 16; 16; 14; 65/4; 18; 17; 88/5
META; english/premier-league/tottenham-v-huddersfield; 2018-03-02 08:16:14 GMT+2; 2018-03-03 15:00; e70300-dr003
Tottenham; 1/5; 1/6; 2/11; 1/5; 1/5; 1/5; 1/6; 1/6; 1/5; 2/11; 1/5; 2/11; 2/13; 2/11; 1/5; 2/11; 2/11; 1/5; 3/16; 2/11; 2/11; 2/11; 2/11; 1/5; 1/5; 2/9
