META; spain/la-liga-primera/osasuna-v-athletic-bilbao; 2017-03-12 00:18:43 GMT+2; 2017-04-01 14:15; e70300-dr003
Athletic Bilbao; ; ; 17/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/20; ; ; 21/25; ; ; ; ; ; ; 
Draw; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; 11/4; ; ; ; ; ; ; 
Osasuna; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; 77/20; ; ; ; ; ; ; 
META; spain/la-liga-primera/osasuna-v-athletic-bilbao; 2017-03-12 04:19:07 GMT+2; 2017-04-01 14:15; e70300-dr003
Athletic Bilbao; ; ; 17/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/20; ; ; 21/25; ; ; ; ; ; ; 
Draw; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; 11/4; ; ; ; ; ; ; 
Osasuna; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; 77/20; ; ; ; ; ; ; 
META; spain/la-liga-primera/osasuna-v-athletic-bilbao; 2017-03-12 08:19:25 GMT+2; 2017-04-01 14:15; e70300-dr003
Athletic Bilbao; ; ; 17/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/20; ; ; 21/25; ; ; ; ; ; ; 
Draw; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; 11/4; ; ; ; ; ; ; 
Osasuna; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; 77/20; ; ; ; ; ; ; 
META; spain/la-liga-primera/osasuna-v-athletic-bilbao; 2017-03-12 12:18:42 GMT+2; 2017-04-01 14:15; e70300-dr003
Athletic Bilbao; ; ; 17/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/20; ; ; 21/25; ; ; ; ; ; ; 
Draw; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; 11/4; ; ; ; ; ; ; 
Osasuna; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; 77/20; ; ; ; ; ; ; 
META; spain/la-liga-primera/osasuna-v-athletic-bilbao; 2017-03-12 16:18:34 GMT+2; 2017-04-01 14:15; e70300-dr003
Athletic Bilbao; ; ; 17/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/20; ; ; 21/25; ; ; ; ; ; ; 
Draw; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; 11/4; ; ; ; ; ; ; 
Osasuna; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; 77/20; ; ; ; ; ; ; 
META; spain/la-liga-primera/osasuna-v-athletic-bilbao; 2017-03-12 20:19:21 GMT+2; 2017-04-01 14:15; e70300-dr003
Athletic Bilbao; ; ; 17/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/20; ; ; 21/25; ; ; ; ; ; ; 
Draw; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; 11/4; ; ; ; ; ; ; 
Osasuna; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; 77/20; ; ; ; ; ; ; 
META; spain/la-liga-primera/osasuna-v-athletic-bilbao; 2017-03-13 00:18:25 GMT+2; 2017-04-01 14:15; e70300-dr003
Athletic Bilbao; ; ; 17/20; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; 11/13; ; 4/5; 21/25; ; ; ; ; ; ; 
Draw; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/10; 23/10; ; 27/10; 11/4; ; ; ; ; ; ; 
Osasuna; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; 17/5; ; 3; 77/20; ; ; ; ; ; ; 
META; spain/la-liga-primera/osasuna-v-athletic-bilbao; 2017-03-13 04:18:06 GMT+2; 2017-04-01 14:15; e70300-dr003
Athletic Bilbao; 8/11; ; 17/20; ; ; ; 3/4; ; ; 3/4; ; ; ; ; ; 8/11; 14/19; 3/4; ; 14/19; 21/25; ; ; ; ; ; ; 
Draw; 5/2; ; 11/5; ; ; ; 11/4; ; ; 11/4; ; ; ; ; ; 11/4; 45/17; 12/5; ; 45/17; 11/4; ; ; ; ; ; ; 
Osasuna; 4; ; 16/5; ; ; ; 15/4; ; ; 7/2; ; ; ; ; ; 4; 38/11; 19/5; ; 38/11; 77/20; ; ; ; ; ; ; 
META; spain/la-liga-primera/osasuna-v-athletic-bilbao; 2017-03-13 08:18:15 GMT+2; 2017-04-01 14:15; e70300-dr003
Athletic Bilbao; 8/11; ; 17/20; ; ; ; 3/4; ; ; 3/4; ; ; ; ; ; 8/11; 14/19; 3/4; ; 14/19; 21/25; ; ; ; ; ; ; 
Draw; 5/2; ; 11/5; ; ; ; 11/4; ; ; 11/4; ; ; ; ; ; 11/4; 45/17; 12/5; ; 45/17; 11/4; ; ; ; ; ; ; 
Osasuna; 4; ; 16/5; ; ; ; 15/4; ; ; 7/2; ; ; ; ; ; 4; 38/11; 19/5; ; 38/11; 77/20; ; ; ; ; ; ; 
META; spain/la-liga-primera/osasuna-v-athletic-bilbao; 2017-03-13 12:18:58 GMT+2; 2017-04-01 14:15; e70300-dr003
Athletic Bilbao; 8/13; ; 4/6; ; ; ; 4/6; ; ; 7/10; ; ; ; ; ; 4/6; 11/17; 4/6; ; 11/17; 73/100; ; ; ; ; ; ; 
Draw; 13/5; ; 23/10; ; ; ; 14/5; ; ; 14/5; ; ; ; ; ; 14/5; 11/4; 5/2; ; 11/4; 59/20; ; ; ; ; ; ; 
Osasuna; 5; ; 18/5; ; ; ; 21/5; ; ; 15/4; ; ; ; ; ; 9/2; 4; 9/2; ; 4; 9/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/osasuna-v-athletic-bilbao; 2017-03-13 16:20:50 GMT+2; 2017-04-01 14:15; e70300-dr003
Athletic Bilbao; 8/13; ; 7/10; ; ; ; 4/6; ; ; 4/6; ; ; ; ; ; 4/6; 8/13; 4/6; ; 8/13; 73/100; 13/19; ; ; ; ; ; ; 
Osasuna; 5; ; 17/4; ; ; ; 22/5; ; 4; 4; 4; 4; ; ; 4; 9/2; 4; 17/4; 4; 4; 22/5; 39/11; 4; ; 4; ; ; ; 
META; spain/la-liga-primera/osasuna-v-athletic-bilbao; 2017-03-15 04:18:31 GMT+2; 2017-04-01 14:15; e70300-dr003
Athletic Bilbao; 8/13; ; 4/6; ; ; ; 13/20; ; 8/13; 13/20; 8/13; 4/6; ; ; 7/10; 4/6; 8/13; 4/6; 8/13; ; 7/10; 19/29; 11/17; ; 11/17; ; ; ; 
Draw; 13/5; ; 29/10; ; ; ; 29/10; ; 14/5; 14/5; 27/10; 11/4; ; ; 14/5; 14/5; 29/10; 13/5; 3; ; 63/20; 29/10; 3; ; 3; ; ; ; 
Osasuna; 5; ; 17/4; ; ; ; 22/5; ; 4; 4; 4; 4; ; ; 4; 9/2; 4; 17/4; 4; ; 22/5; 39/11; 4; ; 4; ; ; ; 
META; spain/la-liga-primera/osasuna-v-athletic-bilbao; 2017-03-15 08:18:32 GMT+2; 2017-04-01 14:15; e70300-dr003
Athletic Bilbao; 8/13; ; 4/6; ; ; ; 13/20; ; 8/13; 13/20; 8/13; 4/6; ; ; 7/10; 4/6; 8/13; 4/6; 8/13; 8/13; 7/10; 19/29; 11/17; ; 11/17; ; ; ; 
Draw; 13/5; ; 29/10; ; ; ; 29/10; ; 14/5; 14/5; 27/10; 11/4; ; ; 14/5; 14/5; 29/10; 13/5; 3; 29/10; 63/20; 29/10; 3; ; 3; ; ; ; 
Osasuna; 5; ; 17/4; ; ; ; 22/5; ; 4; 4; 4; 4; ; ; 4; 9/2; 4; 17/4; 4; 4; 22/5; 39/11; 4; ; 4; ; ; ; 
META; spain/la-liga-primera/osasuna-v-athletic-bilbao; 2017-03-15 12:20:34 GMT+2; 2017-04-01 14:15; e70300-dr003
Athletic Bilbao; 8/13; ; 4/6; ; ; ; 8/13; ; 8/13; 13/20; 8/13; 4/6; ; ; 7/10; 4/6; 8/13; 4/6; 8/13; 8/13; 7/10; 19/29; 11/17; ; 11/17; ; ; ; 
Draw; 13/5; ; 29/10; ; ; ; 3; ; 14/5; 14/5; 27/10; 11/4; ; ; 14/5; 3; 29/10; 13/5; 3; 29/10; 63/20; 29/10; 3; ; 3; ; ; ; 
Osasuna; 5; ; 17/4; ; ; ; 22/5; ; 4; 4; 4; 4; ; ; 4; 9/2; 4; 17/4; 4; 4; 22/5; 39/11; 4; ; 4; ; ; ; 
META; spain/la-liga-primera/osasuna-v-athletic-bilbao; 2017-03-15 16:19:05 GMT+2; 2017-04-01 14:15; e70300-dr003
Athletic Bilbao; 8/13; ; 4/6; ; ; ; 13/20; ; 8/13; 13/20; 8/13; 4/6; ; ; 7/10; 4/6; 8/13; 4/6; 8/13; 8/13; 7/10; 19/29; 11/17; ; 11/17; ; ; ; 
Draw; 13/5; ; 29/10; ; ; ; 29/10; ; 14/5; 14/5; 27/10; 11/4; ; ; 14/5; 14/5; 29/10; 13/5; 3; 29/10; 63/20; 29/10; 3; ; 3; ; ; ; 
Osasuna; 5; ; 17/4; ; ; ; 22/5; ; 4; 4; 4; 4; ; ; 4; 9/2; 4; 17/4; 4; 4; 22/5; 39/11; 4; ; 4; ; ; ; 
META; spain/la-liga-primera/osasuna-v-athletic-bilbao; 2017-03-15 20:19:07 GMT+2; 2017-04-01 14:15; e70300-dr003
Athletic Bilbao; 8/13; ; 4/6; ; ; ; 13/20; ; 8/13; 13/20; 8/13; 4/6; ; ; 7/10; 4/6; 11/17; 4/6; 8/13; 11/17; 7/10; 19/29; 11/17; ; 11/17; ; ; ; 
Draw; 13/5; ; 29/10; ; ; ; 29/10; ; 14/5; 14/5; 27/10; 11/4; ; ; 14/5; 14/5; 14/5; 13/5; 3; 14/5; 63/20; 29/10; 3; ; 3; ; ; ; 
Osasuna; 5; ; 17/4; ; ; ; 22/5; ; 4; 4; 4; 4; ; ; 4; 9/2; 75/19; 17/4; 4; 75/19; 22/5; 39/11; 4; ; 4; ; ; ; 
META; spain/la-liga-primera/osasuna-v-athletic-bilbao; 2017-03-16 00:21:58 GMT+2; 2017-04-01 14:15; e70300-dr003
Athletic Bilbao; 8/13; ; 4/6; ; ; ; 8/13; ; 8/13; 13/20; 8/13; 4/6; ; ; 7/10; 4/6; 8/13; 4/6; 8/13; 8/13; 7/10; 19/29; 11/17; ; 11/17; ; ; ; 
Draw; 13/5; ; 29/10; ; ; ; 3; ; 14/5; 14/5; 27/10; 11/4; ; ; 14/5; 14/5; 29/10; 13/5; 3; 29/10; 63/20; 29/10; 3; ; 3; ; ; ; 
Osasuna; 5; ; 17/4; ; ; ; 22/5; ; 4; 4; 4; 4; ; ; 4; 9/2; 4; 17/4; 4; 4; 22/5; 39/11; 4; ; 4; ; ; ; 
META; spain/la-liga-primera/osasuna-v-athletic-bilbao; 2017-03-16 04:18:38 GMT+2; 2017-04-01 14:15; e70300-dr003
Athletic Bilbao; 8/13; ; 4/6; ; ; ; 8/13; ; 8/13; 13/20; 8/13; 4/6; ; ; 7/10; 4/6; 8/13; 4/6; 8/13; 8/13; 7/10; 19/29; 11/17; ; 11/17; ; ; ; 
Draw; 13/5; ; 29/10; ; ; ; 3; ; 14/5; 14/5; 27/10; 11/4; ; ; 14/5; 3; 29/10; 13/5; 3; 29/10; 63/20; 29/10; 3; ; 3; ; ; ; 
Osasuna; 5; ; 17/4; ; ; ; 22/5; ; 4; 4; 4; 4; ; ; 4; 9/2; 4; 17/4; 4; 4; 22/5; 39/11; 4; ; 4; ; ; ; 
META; spain/la-liga-primera/osasuna-v-athletic-bilbao; 2017-03-16 08:18:43 GMT+2; 2017-04-01 14:15; e70300-dr003
Athletic Bilbao; 8/13; ; 4/6; ; ; ; 8/13; ; 8/13; 13/20; 8/13; 4/6; ; ; 7/10; 4/6; 8/13; 4/6; 8/13; 8/13; 7/10; 19/29; 11/17; ; 11/17; ; ; ; 
Draw; 13/5; ; 29/10; ; ; ; 3; ; 14/5; 14/5; 27/10; 11/4; ; ; 14/5; 3; 29/10; 13/5; 3; 29/10; 63/20; 29/10; 3; ; 3; ; ; ; 
Osasuna; 5; ; 17/4; ; ; ; 22/5; ; 4; 4; 4; 4; ; ; 4; 9/2; 4; 17/4; 4; 4; 22/5; 39/11; 4; ; 4; ; ; ; 
META; spain/la-liga-primera/osasuna-v-athletic-bilbao; 2017-03-16 12:19:23 GMT+2; 2017-04-01 14:15; e70300-dr003
Athletic Bilbao; 8/13; ; 4/6; ; ; ; 8/13; ; 8/13; 13/20; 8/13; 4/6; ; ; 7/10; 4/6; 8/13; 4/6; 8/13; 8/13; 7/10; 19/29; 11/17; ; 11/17; ; ; ; 
Draw; 13/5; ; 29/10; ; ; ; 3; ; 14/5; 14/5; 27/10; 11/4; ; ; 14/5; 3; 29/10; 13/5; 3; 29/10; 63/20; 29/10; 3; ; 3; ; ; ; 
Osasuna; 5; ; 17/4; ; ; ; 22/5; ; 4; 4; 4; 4; ; ; 4; 9/2; 4; 17/4; 4; 4; 22/5; 39/11; 4; ; 4; ; ; ; 
META; spain/la-liga-primera/osasuna-v-athletic-bilbao; 2017-03-16 16:18:21 GMT+2; 2017-04-01 14:15; e70300-dr003
Athletic Bilbao; 8/13; ; 4/6; ; ; ; 8/13; ; 8/13; 13/20; 8/13; 4/6; ; ; 7/10; 4/6; 8/13; 4/6; 8/13; 8/13; 7/10; 19/29; 11/17; ; 11/17; ; ; ; 
Draw; 13/5; ; 29/10; ; ; ; 3; ; 14/5; 14/5; 27/10; 11/4; ; ; 14/5; 14/5; 29/10; 13/5; 3; 29/10; 63/20; 29/10; 3; ; 3; ; ; ; 
Osasuna; 5; ; 17/4; ; ; ; 22/5; ; 4; 4; 4; 4; ; ; 4; 9/2; 4; 17/4; 4; 4; 22/5; 39/11; 4; ; 4; ; ; ; 
META; spain/la-liga-primera/osasuna-v-athletic-bilbao; 2017-03-17 00:18:28 GMT+2; 2017-04-01 14:15; e70300-dr003
Athletic Bilbao; 8/13; ; 4/6; ; ; ; 8/13; ; 8/13; 13/20; 8/13; 4/6; ; ; 7/10; 4/6; 8/13; 4/6; 8/13; 8/13; 7/10; 19/29; 11/17; ; 11/17; ; ; ; 
Draw; 13/5; ; 29/10; ; ; ; 3; ; 14/5; 14/5; 27/10; 11/4; ; ; 14/5; 14/5; 29/10; 13/5; 3; 29/10; 63/20; 29/10; 3; ; 3; ; ; ; 
Osasuna; 5; ; 17/4; ; ; ; 22/5; ; 4; 4; 4; 4; ; ; 4; 9/2; 4; 17/4; 4; 4; 22/5; 39/11; 4; ; 4; ; ; ; 
META; spain/la-liga-primera/osasuna-v-athletic-bilbao; 2017-03-17 04:18:07 GMT+2; 2017-04-01 14:15; e70300-dr003
Athletic Bilbao; 8/13; ; 4/6; ; ; ; 8/13; ; 8/13; 13/20; 8/13; 4/6; ; ; 7/10; 4/6; 8/13; 4/6; 8/13; 8/13; 7/10; 19/29; 11/17; ; 11/17; ; ; ; 
