Alaves; 12; ; ; ; ; 9; 19/2; ; ; 9; 9; ; 10; ; 9; 10; 35/4; 8; 31/4; 8; 35/4; 19/2; 71/10; 8; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-18 16:20:55 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; ; ; ; 3/10; 1/4; ; ; 2/7; 1/4; ; 1/4; ; 30/100; 1/4; 1/4; 5/18; 3/10; 1/4; 1/4; 1/3; 2/7; 5/18; ; ; ; ; 
Draw; 5; ; ; ; ; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 79/17; 9/2; 17/4; 9/2; 79/17; 49/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; ; ; ; 9; 19/2; ; ; 9; 9; ; 10; ; 9; 11; 9; 9; 31/4; 9; 9; 19/2; 71/10; 9; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-18 20:20:42 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; ; ; ; 3/10; 1/4; ; ; 2/7; 1/4; ; 1/4; ; 30/100; 1/4; 1/4; 5/18; 3/10; 1/4; 1/4; 1/3; 2/7; 5/18; ; ; ; ; 
Draw; 5; ; ; ; ; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 79/17; 9/2; 17/4; 9/2; 79/17; 49/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; ; ; ; 9; 19/2; ; ; 9; 9; ; 11; ; 9; 11; 9; 9; 31/4; 9; 9; 19/2; 71/10; 9; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-19 00:19:47 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; ; ; ; 3/10; 1/4; ; ; 2/7; 1/4; ; 1/4; ; 30/100; 1/4; 1/4; 5/18; 3/10; 1/4; 1/4; 1/3; ; 5/18; ; ; ; ; 
