META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-20 00:19:27 GMT+2; 2017-03-02 19:45; e70300-dr003
Atletico Madrid; 4/7; ; 6/10; ; ; ; 8/13; ; 4/7; 8/13; ; ; 3/5; ; ; 8/13; 8/13; 11/17; ; 8/13; 7/10; ; ; ; ; ; ; 
Draw; 14/5; ; 14/5; ; ; ; 14/5; ; 14/5; 11/4; ; ; 11/4; ; ; 14/5; 45/17; 11/4; ; 45/17; 67/25; ; ; ; ; ; ; 
Deportivo La Coruna; 5; ; 4; ; ; ; 19/4; ; 19/4; 19/4; ; ; 5; ; ; 5; 22/5; 4; ; 22/5; 11/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-20 04:19:21 GMT+2; 2017-03-02 19:45; e70300-dr003
Atletico Madrid; 4/7; ; 6/10; ; ; ; 8/13; ; 4/7; 8/13; ; ; 3/5; ; ; 8/13; 8/13; 11/17; ; 8/13; 7/10; ; ; ; ; ; ; 
Draw; 14/5; ; 14/5; ; ; ; 14/5; ; 14/5; 11/4; ; ; 11/4; ; ; 14/5; 45/17; 11/4; ; 45/17; 67/25; ; ; ; ; ; ; 
Deportivo La Coruna; 5; ; 4; ; ; ; 19/4; ; 19/4; 19/4; ; ; 5; ; ; 5; 22/5; 4; ; 22/5; 11/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-20 08:19:24 GMT+2; 2017-03-02 19:45; e70300-dr003
Atletico Madrid; 4/7; ; 6/10; ; ; ; 8/13; ; 4/7; 8/13; ; ; 3/5; ; ; 8/13; 8/13; 11/17; ; 8/13; 7/10; ; ; ; ; ; ; 
Draw; 14/5; ; 14/5; ; ; ; 14/5; ; 14/5; 11/4; ; ; 11/4; ; ; 14/5; 45/17; 11/4; ; 45/17; 67/25; ; ; ; ; ; ; 
Deportivo La Coruna; 5; ; 4; ; ; ; 19/4; ; 19/4; 19/4; ; ; 5; ; ; 5; 22/5; 4; ; 22/5; 11/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-20 12:21:15 GMT+2; 2017-03-02 19:45; e70300-dr003
Atletico Madrid; 4/7; ; 6/10; ; ; 13/20; 8/13; ; 4/7; 8/13; ; 8/13; 3/5; ; 13/20; 8/13; 8/13; 11/17; ; 8/13; 7/10; ; ; ; ; ; ; 
Draw; 14/5; ; 14/5; ; ; 14/5; 14/5; ; 14/5; 11/4; ; 14/5; 11/4; ; 14/5; 14/5; 45/17; 11/4; ; 45/17; 67/25; ; ; ; ; ; ; 
Deportivo La Coruna; 5; ; 4; ; ; 19/4; 19/4; ; 19/4; 19/4; ; 9/2; 5; ; 9/2; 5; 22/5; 4; ; 22/5; 11/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-20 16:19:50 GMT+2; 2017-03-02 19:45; e70300-dr003
Atletico Madrid; 4/7; ; 6/10; ; ; 13/20; 8/13; ; 4/7; 8/13; ; 8/13; 3/5; ; 13/20; 8/13; 4/7; 11/17; ; 4/7; 7/10; 5/8; ; ; ; ; ; 
Draw; 14/5; ; 14/5; ; ; 14/5; 14/5; ; 14/5; 13/5; ; 11/4; 11/4; ; 14/5; 14/5; 11/4; 11/4; ; 11/4; 67/25; 13/5; ; ; ; ; ; 
