META; spain/la-liga-primera/osasuna-v-sevilla; 2017-01-08 00:20:20 GMT+2; 2017-01-22 11:00; e70300-dr003
Sevilla; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; 11/17; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; 11/4; ; ; 63/20; ; ; ; ; ; ; 
Osasuna; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 4; ; ; 11/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/osasuna-v-sevilla; 2017-01-08 04:19:24 GMT+2; 2017-01-22 11:00; e70300-dr003
Sevilla; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; 11/17; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; 11/4; ; ; 63/20; ; ; ; ; ; ; 
Osasuna; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 4; ; ; 11/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/osasuna-v-sevilla; 2017-01-08 08:19:29 GMT+2; 2017-01-22 11:00; e70300-dr003
Sevilla; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; 11/17; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; 11/4; ; ; 63/20; ; ; ; ; ; ; 
Osasuna; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 4; ; ; 11/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/osasuna-v-sevilla; 2017-01-08 12:19:56 GMT+2; 2017-01-22 11:00; e70300-dr003
Sevilla; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; 11/17; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; 11/4; ; ; 63/20; ; ; ; ; ; ; 
Osasuna; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 4; ; ; 11/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/osasuna-v-sevilla; 2017-01-08 16:19:39 GMT+2; 2017-01-22 11:00; e70300-dr003
Sevilla; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; 11/17; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; 11/4; ; ; 63/20; ; ; ; ; ; ; 
Osasuna; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 4; ; ; 11/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/osasuna-v-sevilla; 2017-01-08 20:19:56 GMT+2; 2017-01-22 11:00; e70300-dr003
Sevilla; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; 11/17; ; ; 8/13; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; 11/4; ; ; 63/20; ; ; ; ; ; ; 
Osasuna; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 4; ; ; 11/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/osasuna-v-sevilla; 2017-01-09 00:19:20 GMT+2; 2017-01-22 11:00; e70300-dr003
Sevilla; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; 11/17; ; ; 63/100; ; ; ; ; 2/5; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; 11/4; ; ; 31/10; ; ; ; ; 6/4; ; 
Osasuna; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 4; ; ; 27/5; ; ; ; ; 19/10; ; 
META; spain/la-liga-primera/osasuna-v-sevilla; 2017-01-09 04:19:02 GMT+2; 2017-01-22 11:00; e70300-dr003
Sevilla; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; 11/17; ; ; 63/100; ; ; ; ; 2/5; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; 11/4; ; ; 31/10; ; ; ; ; 6/4; ; 
Osasuna; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 4; ; ; 27/5; ; ; ; ; 19/10; ; 
META; spain/la-liga-primera/osasuna-v-sevilla; 2017-01-09 08:19:11 GMT+2; 2017-01-22 11:00; e70300-dr003
Sevilla; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; 11/17; ; ; 63/100; ; ; ; ; 2/5; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; 11/4; ; ; 31/10; ; ; ; ; 6/4; ; 
Osasuna; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 4; ; ; 27/5; ; ; ; ; 9/5; ; 
META; spain/la-liga-primera/osasuna-v-sevilla; 2017-01-09 12:19:26 GMT+2; 2017-01-22 11:00; e70300-dr003
Sevilla; ; ; ; ; ; ; ; ; 8/11; 3/4; ; ; ; ; ; ; 9/13; ; 11/17; ; 9/13; 63/100; ; ; ; ; 4/9; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; 11/4; ; ; ; ; ; ; 27/10; ; 11/4; ; 27/10; 31/10; ; ; ; ; 7/4; ; 
Osasuna; ; ; ; ; ; ; ; ; 7/2; 7/2; ; ; ; ; ; ; 15/4; ; 4; ; 15/4; 27/5; ; ; ; ; 19/10; ; 
META; spain/la-liga-primera/osasuna-v-sevilla; 2017-01-09 16:19:58 GMT+2; 2017-01-22 11:00; e70300-dr003
Sevilla; 13/20; ; ; ; ; 4/6; 13/20; ; 8/13; 13/20; ; ; 8/13; ; 7/10; 4/6; 8/13; ; 11/17; ; 8/13; 63/100; 8/13; ; ; ; 1/2; ; 
Draw; 11/4; ; ; ; ; 3; 3; ; 14/5; 14/5; ; ; 29/10; ; 14/5; 3; 14/5; ; 11/4; ; 14/5; 31/10; 14/5; ; ; ; 2; ; 
Osasuna; 17/4; ; ; ; ; 4; 17/4; ; 17/4; 4; ; ; 17/4; ; 4; 9/2; 41/10; ; 4; ; 41/10; 27/5; 7/2; ; ; ; 23/10; ; 
META; spain/la-liga-primera/osasuna-v-sevilla; 2017-01-09 20:19:47 GMT+2; 2017-01-22 11:00; e70300-dr003
Sevilla; 8/13; ; ; ; ; 4/6; 13/20; ; 8/13; 13/20; ; ; 8/13; ; 7/10; 4/6; 8/13; 11/17; 8/13; 8/13; 63/100; 8/13; 11/17; ; ; 1/2; ; 
Sevilla; 8/13; ; ; 4/6; ; 4/6; 8/13; ; 8/13; 13/20; 8/13; ; 8/13; 13/20; 13/20; 4/6; 11/18; 11/17; 8/13; 11/18; 33/50; 8/13; 11/17; ; ; 4/7; ; 
Draw; 11/4; ; ; 14/5; ; 3; 31/10; ; 14/5; 14/5; 11/4; ; 59/20; 3; 3; 3; 29/10; 11/4; 14/5; 29/10; 31/10; 14/5; 37/13; ; ; 11/4; ; 
Osasuna; 9/2; ; ; 4; ; 17/4; 21/5; ; 17/4; 4; 4; ; 17/4; 4; 17/4; 9/2; 41/10; 4; 21/5; 41/10; 49/10; 7/2; 17/4; ; ; 7/2; ; 
META; spain/la-liga-primera/osasuna-v-sevilla; 2017-01-11 12:20:01 GMT+2; 2017-01-22 11:00; e70300-dr003
Sevilla; 8/13; ; ; 4/6; ; 4/6; 8/13; ; 8/13; 13/20; 8/13; ; 8/13; 13/20; 13/20; 4/6; 11/18; 11/17; 8/13; 11/18; 33/50; 8/13; 11/17; ; ; 4/7; ; 
Draw; 11/4; ; ; 14/5; ; 3; 31/10; ; 14/5; 14/5; 11/4; ; 59/20; 3; 3; 3; 37/13; 11/4; 14/5; 37/13; 31/10; 14/5; 37/13; ; ; 11/4; ; 
Osasuna; 9/2; ; ; 4; ; 17/4; 21/5; ; 17/4; 4; 4; ; 17/4; 4; 17/4; 9/2; 54/13; 4; 21/5; 54/13; 49/10; 7/2; 17/4; ; ; 7/2; ; 
META; spain/la-liga-primera/osasuna-v-sevilla; 2017-01-11 16:21:39 GMT+2; 2017-01-22 11:00; e70300-dr003
Sevilla; 8/13; ; ; 4/6; ; 4/6; 8/13; ; 8/13; 13/20; 8/13; ; 8/13; 13/20; 13/20; 4/6; 11/18; 11/17; 8/13; 11/18; 33/50; 8/13; 11/17; ; ; 4/7; ; 
Draw; 11/4; ; ; 14/5; ; 3; 31/10; ; 14/5; 14/5; 11/4; ; 59/20; 3; 3; 3; 37/13; 11/4; 14/5; 37/13; 31/10; 14/5; 37/13; ; ; 11/4; ; 
Osasuna; 9/2; ; ; 4; ; 17/4; 21/5; ; 17/4; 4; 4; ; 17/4; 4; 17/4; 9/2; 54/13; 4; 21/5; 54/13; 49/10; 7/2; 17/4; ; ; 7/2; ; 
META; spain/la-liga-primera/osasuna-v-sevilla; 2017-01-12 04:19:18 GMT+2; 2017-01-22 11:00; e70300-dr003
Sevilla; 8/13; ; ; 4/6; ; 4/6; 8/13; ; 8/13; 13/20; 8/13; ; 8/13; 13/20; 13/20; 4/6; 11/18; 11/17; 8/13; 11/18; 33/50; 8/13; 11/17; ; ; 4/7; ; 
Draw; 11/4; ; ; 14/5; ; 3; 31/10; ; 14/5; 14/5; 11/4; ; 59/20; 3; 3; 3; 37/13; 11/4; 14/5; 37/13; 31/10; 14/5; 37/13; ; ; 14/5; ; 
Osasuna; 9/2; ; ; 4; ; 17/4; 21/5; ; 17/4; 4; 4; ; 17/4; 4; 17/4; 9/2; 77/19; 4; 21/5; 77/19; 49/10; 7/2; 17/4; ; ; 4; ; 
META; spain/la-liga-primera/osasuna-v-sevilla; 2017-01-12 08:19:28 GMT+2; 2017-01-22 11:00; e70300-dr003
Sevilla; 8/13; ; ; 4/6; ; 4/6; 8/13; ; 8/13; 13/20; 8/13; ; 8/13; 13/20; 13/20; 4/6; 11/18; 11/17; 8/13; 11/18; 33/50; 8/13; 11/17; ; ; 4/7; ; 
Draw; 11/4; ; ; 14/5; ; 3; 31/10; ; 14/5; 14/5; 11/4; ; 59/20; 3; 3; 3; 29/10; 11/4; 14/5; 29/10; 31/10; 14/5; 37/13; ; ; 14/5; ; 
Osasuna; 9/2; ; ; 4; ; 17/4; 21/5; ; 17/4; 4; 4; ; 17/4; 4; 17/4; 9/2; 4; 4; 21/5; 4; 49/10; 7/2; 17/4; ; ; 4; ; 
META; spain/la-liga-primera/osasuna-v-sevilla; 2017-01-12 12:20:08 GMT+2; 2017-01-22 11:00; e70300-dr003
Sevilla; 8/13; ; ; 4/6; ; 4/6; 8/13; ; 8/13; 13/20; 8/13; ; 8/13; 13/20; 13/20; 4/6; 11/18; 11/17; 8/13; 11/18; 33/50; 8/13; 11/17; ; ; 4/7; ; 
Draw; 11/4; ; ; 14/5; ; 3; 31/10; ; 14/5; 14/5; 11/4; ; 59/20; 3; 3; 3; 37/13; 11/4; 14/5; 37/13; 31/10; 14/5; 37/13; ; ; 14/5; ; 
Osasuna; 9/2; ; ; 4; ; 17/4; 21/5; ; 17/4; 4; 4; ; 17/4; 4; 17/4; 9/2; 77/19; 4; 21/5; 77/19; 49/10; 7/2; 17/4; ; ; 4; ; 
META; spain/la-liga-primera/osasuna-v-sevilla; 2017-01-12 16:20:49 GMT+2; 2017-01-22 11:00; e70300-dr003
Sevilla; 8/13; ; ; 4/6; ; 4/6; 8/13; ; 8/13; 13/20; 8/13; ; 8/13; 13/20; 13/20; 4/6; 11/18; 11/17; 8/13; 11/18; 33/50; 8/13; 11/17; ; ; 4/7; ; 
Draw; 11/4; ; ; 14/5; ; 3; 31/10; ; 14/5; 14/5; 11/4; ; 59/20; 3; 3; 3; 37/13; 11/4; 14/5; 37/13; 31/10; 14/5; 37/13; ; ; 14/5; ; 
Osasuna; 9/2; ; ; 4; ; 17/4; 21/5; ; 17/4; 4; 4; ; 17/4; 4; 17/4; 9/2; 77/19; 4; 21/5; 77/19; 49/10; 7/2; 17/4; ; ; 4; ; 
META; spain/la-liga-primera/osasuna-v-sevilla; 2017-01-12 20:19:58 GMT+2; 2017-01-22 11:00; e70300-dr003
Sevilla; 8/13; ; 4/6; 4/6; ; 4/6; 8/13; ; 8/13; 13/20; 8/13; ; 8/13; 13/20; 13/20; 4/6; 11/18; 11/17; 8/13; 11/18; 33/50; ; 11/17; ; ; 4/7; ; 
Draw; 11/4; ; 29/10; 14/5; ; 3; 31/10; ; 14/5; 14/5; 11/4; ; 59/20; 3; 3; 3; 37/13; 11/4; 14/5; 37/13; 31/10; ; 37/13; ; ; 14/5; ; 
Osasuna; 9/2; ; 17/4; 4; ; 17/4; 17/4; ; 17/4; 4; 4; ; 17/4; 4; 17/4; 9/2; 77/19; 4; 21/5; 77/19; 49/10; ; 17/4; ; ; 4; ; 
META; spain/la-liga-primera/osasuna-v-sevilla; 2017-01-13 00:19:19 GMT+2; 2017-01-22 11:00; e70300-dr003
Sevilla; 8/13; ; 4/6; 4/6; ; 4/6; 8/13; ; 8/13; 13/20; 8/13; ; 8/13; 13/20; 13/20; 4/6; 11/18; 11/17; 8/13; 11/18; 33/50; ; 11/17; ; ; 4/7; ; 
Draw; 11/4; ; 29/10; 14/5; ; 3; 31/10; ; 14/5; 14/5; 11/4; ; 59/20; 3; 3; 3; 37/13; 11/4; 14/5; 37/13; 31/10; ; 37/13; ; ; 14/5; ; 
Osasuna; 9/2; ; 17/4; 4; ; 17/4; 17/4; ; 17/4; 4; 4; ; 17/4; 4; 17/4; 9/2; 77/19; 4; 21/5; 77/19; 49/10; ; 17/4; ; ; 4; ; 
META; spain/la-liga-primera/osasuna-v-sevilla; 2017-01-13 04:19:19 GMT+2; 2017-01-22 11:00; e70300-dr003
Sevilla; 8/13; ; 4/6; 4/6; ; 4/6; 8/13; ; 8/13; 13/20; 8/13; ; 8/13; 13/20; 13/20; 4/6; 11/18; 11/17; 8/13; 11/18; 33/50; 8/13; 11/17; ; ; 4/7; ; 
