META; champions-league/borussia-dortmund-v-monaco; 2017-03-17 14:15:11 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; ; ; ; ; ; ; ; ; 4/6; 13/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 3; 3; ; ; ; ; ; ; 31/10; ; ; ; ; ; ; ; ; ; ; ; 
Monaco; ; ; ; ; ; ; ; ; 7/2; 15/4; ; ; ; ; ; ; 75/19; ; ; ; ; ; ; ; ; ; ; ; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-17 18:15:03 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 7/10; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 8/13; 8/13; 13/20; 13/20; 7/10; 8/13; 4/6; 8/13; 8/13; 7/10; 19/29; 11/17; 6/10; 11/17; ; 4/7; 4/7; 
Draw; 16/5; 16/5; 16/5; 5/2; 16/5; 16/5; 33/10; 29/10; 10/3; 16/5; 11/4; 10/3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 10/3; 33/10; 3; 16/5; 3; ; 14/5; 14/5; 
Monaco; 17/4; 10/3; 19/5; 10/3; 19/5; 7/2; 19/5; 7/2; 19/5; 7/2; 4; 7/2; 4; 4; 7/2; 4; 39/10; 15/4; 4; 39/10; 41/10; 18/5; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-17 22:15:03 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 7/10; 13/20; 4/6; 4/6; 4/6; ; 4/6; 8/13; 8/13; 4/6; 8/13; 8/13; 13/20; 13/20; 7/10; 8/13; 4/6; 8/13; 4/6; 67/100; ; 11/17; 6/10; 11/17; ; 4/7; 4/7; 
Draw; 16/5; 16/5; 16/5; 5/2; 16/5; 16/5; ; 29/10; 10/3; 10/3; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 57/17; 14/5; 3; 58/19; 71/20; ; 3; 16/5; 3; ; 14/5; 14/5; 
Monaco; 17/4; 10/3; 19/5; 10/3; 19/5; 7/2; ; 7/2; 19/5; 7/2; 4; 15/4; 4; 4; 7/2; 4; 50/13; 15/4; 4; 50/13; 41/10; ; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-18 02:15:03 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 7/10; 13/20; 4/6; 4/6; 4/6; ; 4/6; 8/13; 13/20; 4/6; 8/13; 8/13; 13/20; 13/20; 7/10; 8/13; 4/6; 8/13; ; 67/100; 19/29; 11/17; 8/13; 11/17; ; 4/7; 4/7; 
Draw; 16/5; 16/5; 16/5; 5/2; 16/5; 16/5; ; 29/10; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; ; 71/20; 33/10; 3; 16/5; 3; ; 14/5; 14/5; 
Monaco; 17/4; 10/3; 19/5; 10/3; 19/5; 7/2; ; 7/2; 19/5; 7/2; 4; 4; 4; 4; 7/2; 4; 39/10; 15/4; 4; ; 41/10; 18/5; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-18 06:15:04 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 7/10; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 8/13; 8/13; 13/20; 13/20; 7/10; 8/13; 4/6; 8/13; 8/13; 67/100; 19/29; 11/17; 8/13; 11/17; ; 4/7; 4/7; 
Draw; 16/5; 16/5; 16/5; 5/2; 16/5; 16/5; 33/10; 29/10; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 14/5; 14/5; 
Monaco; 17/4; 10/3; 19/5; 10/3; 19/5; 7/2; 19/5; 7/2; 19/5; 7/2; 4; 4; 4; 4; 7/2; 4; 39/10; 15/4; 4; 39/10; 41/10; 18/5; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-18 10:15:03 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; ; 4/6; 8/13; 13/20; 4/6; 8/13; 13/20; 13/20; 13/20; 7/10; 8/13; 4/6; 8/13; 8/13; 67/100; 19/29; 11/17; 8/13; 11/17; ; 4/7; 4/7; 
Draw; 16/5; 16/5; 16/5; 5/2; 16/5; 16/5; ; 29/10; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 13/4; 71/20; 33/10; 3; 16/5; 3; ; 14/5; 14/5; 
