META; english/premier-league/tottenham-v-southampton; 2017-03-04 22:16:41 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 4/9; ; 3/5; 8/13; 3/5; 8/15; 4/7; 4/7; 4/7; 6/10; 11/20; ; ; 8/13; 4/7; 8/15; 4/7; 4/7; 3/5; ; 4/7; ; ; 4/9; ; 
Draw; 29/10; 3; 3; ; 3; 16/5; 3; 27/10; 3; 3; 14/5; 11/4; 59/20; ; ; 31/10; 56/19; 3; 14/5; 56/19; 16/5; ; 56/19; ; ; 21/10; ; 
Southampton; 5; 5; 6; ; 11/2; 19/4; 11/2; 11/2; 19/4; 19/4; 9/2; 5; 5; ; ; 11/2; 19/4; 5; 5; 19/4; 11/2; ; 5; ; ; 7/2; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-06 14:16:16 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 6/10; ; 4/7; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; 4/7; 11/20; ; 4/7; 4/7; 4/7; 8/15; 4/7; 4/7; 3/5; 7/12; 4/7; ; ; 4/9; ; 
Draw; 29/10; 3; 29/10; ; 16/5; 16/5; 16/5; 27/10; 3; 3; 14/5; 3; 59/20; ; 16/5; 16/5; 56/19; 3; 14/5; 56/19; 16/5; 3; 56/19; ; ; 23/10; ; 
Southampton; 5; 5; 19/4; ; 11/2; 19/4; 11/2; 11/2; 19/4; 19/4; 9/2; 9/2; 5; ; 19/4; 11/2; 19/4; 5; 5; 19/4; 11/2; 49/10; 5; ; ; 7/2; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-06 18:16:25 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 6/10; 6/10; 3/5; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; 4/7; 11/20; 6/10; 4/7; 4/7; 8/15; 8/15; 4/7; 8/15; 3/5; 7/12; 4/7; ; ; 8/15; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 16/5; 27/10; 3; 14/5; 14/5; 3; 3; 16/5; 16/5; 31/10; 3; 3; 14/5; 3; 16/5; 3; 56/19; ; ; 14/5; ; 
Southampton; 5; 5; 19/4; 9/2; 5; 5; 11/2; 11/2; 19/4; 5; 9/2; 9/2; 5; 9/2; 19/4; 11/2; 5; 5; 5; 5; 11/2; 49/10; 5; ; ; 9/2; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-06 22:16:15 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 6/10; 6/10; 3/5; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; 4/7; 11/20; 6/10; 4/7; 4/7; 8/15; 8/15; 4/7; 8/15; 3/5; 7/12; 4/7; ; ; 8/15; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 16/5; 27/10; 3; 14/5; 14/5; 3; 3; 16/5; 16/5; 31/10; 3; 3; 14/5; 3; 16/5; 3; 56/19; ; ; 14/5; ; 
Southampton; 5; 5; 19/4; 9/2; 5; 5; 11/2; 11/2; 19/4; 5; 9/2; 9/2; 5; 9/2; 19/4; 11/2; 5; 5; 5; 5; 11/2; 49/10; 5; ; ; 9/2; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-07 02:16:39 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 6/10; 6/10; 3/5; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; 4/7; 11/20; 6/10; 4/7; 4/7; 8/15; 8/15; 4/7; 8/15; 3/5; 7/12; 4/7; ; ; 8/15; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 16/5; 27/10; 3; 14/5; 14/5; 3; 3; 16/5; 16/5; 31/10; 3; 3; 14/5; 3; 16/5; 3; 56/19; ; ; 14/5; ; 
Southampton; 5; 5; 19/4; 9/2; 5; 5; 11/2; 11/2; 19/4; 5; 9/2; 9/2; 5; 9/2; 19/4; 11/2; 5; 5; 5; 5; 11/2; 49/10; 5; ; ; 9/2; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-07 06:16:06 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 6/10; 6/10; 3/5; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; 4/7; 11/20; 6/10; 4/7; 4/7; 8/15; 8/15; 4/7; 8/15; 3/5; 7/12; 4/7; ; ; 8/15; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 16/5; 27/10; 3; 14/5; 14/5; 3; 3; 16/5; 16/5; 31/10; 3; 3; 14/5; 3; 16/5; 3; 56/19; ; ; 14/5; ; 
Southampton; 5; 5; 19/4; 9/2; 5; 5; 11/2; 11/2; 19/4; 5; 9/2; 9/2; 5; 9/2; 19/4; 11/2; 5; 5; 5; 5; 11/2; 49/10; 5; ; ; 5; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-07 10:16:08 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 6/10; 6/10; 3/5; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; 4/7; 11/20; 6/10; 4/7; 4/7; 4/7; 8/15; 4/7; 4/7; 3/5; 7/12; 4/7; ; ; 8/15; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 16/5; 27/10; 3; 14/5; 14/5; 3; 3; 16/5; 16/5; 31/10; 56/19; 3; 14/5; 56/19; 16/5; 3; 56/19; ; ; 14/5; ; 
Southampton; 5; 5; 19/4; 9/2; 5; 5; 11/2; 11/2; 19/4; 5; 9/2; 9/2; 5; 9/2; 19/4; 11/2; 47/10; 5; 5; 47/10; 11/2; 49/10; 5; ; ; 5; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-07 14:16:21 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 6/10; 6/10; 4/7; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; 4/7; 11/20; 6/10; 4/7; 4/7; 8/15; 8/15; 4/7; 8/15; 3/5; 3/5; 4/7; ; ; 8/15; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 16/5; 27/10; 3; 14/5; 14/5; 14/5; 3; 16/5; 16/5; 31/10; 3; 3; 14/5; 3; 16/5; 3; 56/19; ; ; 14/5; ; 
Southampton; 5; 5; 19/4; 9/2; 11/2; 19/4; 11/2; 11/2; 19/4; 5; 9/2; 5; 5; 24/5; 19/4; 11/2; 5; 5; 5; 5; 11/2; 47/10; 5; ; ; 5; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-07 18:16:10 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 6/10; 6/10; 4/7; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; 4/7; 11/20; 6/10; 4/7; 4/7; 8/15; 8/15; 4/7; 8/15; 3/5; 3/5; 4/7; ; ; 4/7; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 16/5; 27/10; 3; 14/5; 14/5; 14/5; 3; 16/5; 16/5; 31/10; 3; 3; 14/5; 3; 16/5; 3; 56/19; ; ; 14/5; ; 
Southampton; 5; 5; 19/4; 9/2; 11/2; 19/4; 11/2; 11/2; 19/4; 5; 9/2; 5; 5; 24/5; 19/4; 11/2; 5; 5; 5; 5; 11/2; 47/10; 5; ; ; 11/2; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-07 22:16:32 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 6/10; 6/10; 4/7; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; 4/7; 11/20; 6/10; 4/7; 4/7; 8/15; 8/15; 4/7; 8/15; 3/5; 3/5; 4/7; ; ; 4/7; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 16/5; 27/10; 3; 14/5; 14/5; 14/5; 3; 16/5; 16/5; 31/10; 3; 3; 14/5; 3; 16/5; 3; 56/19; ; ; 14/5; ; 
Southampton; 5; 5; 19/4; 9/2; 11/2; 19/4; 11/2; 11/2; 19/4; 5; 9/2; 5; 5; 24/5; 19/4; 11/2; 5; 5; 5; 5; 11/2; 47/10; 5; ; ; 11/2; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-08 02:15:59 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 6/10; 6/10; 4/7; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; 4/7; 11/20; 6/10; 4/7; 4/7; 8/15; 8/15; 4/7; 8/15; 3/5; 3/5; 4/7; ; ; 4/7; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 16/5; 27/10; 3; 14/5; 14/5; 14/5; 3; 16/5; 16/5; 31/10; 3; 3; 14/5; 3; 16/5; 3; 56/19; ; ; 14/5; ; 
Southampton; 5; 5; 19/4; 9/2; 11/2; 19/4; 11/2; 11/2; 19/4; 5; 9/2; 5; 5; 24/5; 19/4; 11/2; 5; 5; 5; 5; 11/2; 47/10; 5; ; ; 11/2; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-08 06:16:01 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 6/10; 6/10; 4/7; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; 4/7; 11/20; 6/10; 4/7; 4/7; 8/15; 8/15; 4/7; 8/15; 3/5; 3/5; 4/7; ; ; 4/7; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 16/5; 27/10; 3; 14/5; 14/5; 14/5; 3; 16/5; 16/5; 31/10; 58/19; 3; 14/5; 58/19; 16/5; 3; 56/19; ; ; 14/5; ; 
Southampton; 5; 5; 19/4; 9/2; 11/2; 19/4; 11/2; 11/2; 19/4; 5; 9/2; 5; 5; 24/5; 19/4; 11/2; 5; 5; 5; 5; 11/2; 47/10; 5; ; ; 11/2; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-08 10:16:43 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 6/10; 6/10; 4/7; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; 4/7; 11/20; 6/10; 4/7; 4/7; 8/15; 8/15; 4/7; 8/15; 3/5; 3/5; 4/7; ; ; 4/7; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 16/5; 27/10; 3; 14/5; 14/5; 14/5; 3; 16/5; 16/5; 31/10; 58/19; 3; 14/5; 58/19; 16/5; 3; 56/19; ; ; 14/5; ; 
Southampton; 5; 5; 19/4; 9/2; 11/2; 19/4; 11/2; 11/2; 19/4; 5; 9/2; 5; 5; 24/5; 19/4; 11/2; 5; 5; 5; 5; 11/2; 47/10; 5; ; ; 11/2; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-08 14:16:06 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 6/10; 6/10; 4/7; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; 4/7; 11/20; 6/10; 4/7; 4/7; 8/15; 8/15; 8/15; 8/15; 3/5; 3/5; 6/11; ; ; 4/7; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 16/5; 27/10; 3; 14/5; 14/5; 14/5; 3; 16/5; 16/5; 31/10; 3; 3; 3; 3; 16/5; 3; 3; ; ; 14/5; ; 
Southampton; 5; 5; 19/4; 9/2; 11/2; 19/4; 11/2; 11/2; 19/4; 5; 9/2; 5; 5; 24/5; 19/4; 11/2; 5; 5; 26/5; 5; 11/2; 47/10; 21/4; ; ; 11/2; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-08 18:16:05 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 6/10; 6/10; 4/7; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; 4/7; 11/20; 6/10; 4/7; 4/7; 8/15; 8/15; 8/15; 8/15; 3/5; 3/5; 6/11; ; ; 4/7; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 16/5; 27/10; 3; 14/5; 14/5; 14/5; 3; 16/5; 16/5; 31/10; 3; 3; 3; 3; 16/5; 3; 3; ; ; 14/5; ; 
Southampton; 5; 5; 19/4; 9/2; 11/2; 19/4; 11/2; 11/2; 19/4; 5; 9/2; 5; 5; 24/5; 19/4; 11/2; 5; 5; 26/5; 5; 11/2; 47/10; 21/4; ; ; 11/2; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-08 22:16:11 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 6/10; 6/10; 4/7; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; 4/7; 11/20; 6/10; 4/7; 4/7; 8/15; 8/15; 8/15; 8/15; 3/5; 3/5; 6/11; ; ; 4/7; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 16/5; 27/10; 3; 14/5; 14/5; 14/5; 3; 16/5; 16/5; 31/10; 58/19; 3; 3; 58/19; 16/5; 3; 3; ; ; 14/5; ; 
Southampton; 5; 5; 19/4; 9/2; 11/2; 19/4; 11/2; 11/2; 19/4; 5; 9/2; 5; 5; 24/5; 19/4; 11/2; 5; 5; 26/5; 5; 11/2; 47/10; 21/4; ; ; 11/2; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-09 02:15:59 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 6/10; 6/10; 3/5; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; 4/7; 11/20; 6/10; 4/7; 4/7; 8/15; 8/15; 8/15; 8/15; 3/5; 3/5; 6/11; ; ; 4/7; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 16/5; 27/10; 3; 14/5; 14/5; 14/5; 3; 16/5; 16/5; 31/10; 58/19; 3; 3; 58/19; 16/5; 3; 3; ; ; 14/5; ; 
Southampton; 5; 5; 19/4; 9/2; 5; 19/4; 11/2; 11/2; 19/4; 5; 9/2; 5; 5; 24/5; 19/4; 11/2; 5; 5; 26/5; 5; 11/2; 47/10; 21/4; ; ; 11/2; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-09 06:15:58 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 6/10; 6/10; 4/7; 3/5; 4/7; 8/15; ; 4/7; 4/7; 4/7; 11/20; 6/10; 4/7; 4/7; 8/15; 8/15; 8/15; 8/15; 3/5; 3/5; 6/11; ; ; 4/7; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 16/5; 27/10; ; 14/5; 14/5; 14/5; 3; 16/5; 16/5; 31/10; 58/19; 3; 3; 58/19; 16/5; 3; 3; ; ; 14/5; ; 
Southampton; 5; 5; 19/4; 9/2; 11/2; 19/4; 11/2; 11/2; ; 5; 9/2; 5; 5; 24/5; 19/4; 11/2; 5; 5; 26/5; 5; 11/2; 47/10; 21/4; ; ; 11/2; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-09 10:16:00 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 6/10; 6/10; 4/7; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; 4/7; 11/20; 6/10; 4/7; 4/7; 8/15; 8/15; 8/15; 8/15; 3/5; 3/5; 6/11; ; ; 8/15; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 16/5; 27/10; 3; 14/5; 14/5; 14/5; 3; 16/5; 16/5; 31/10; 58/19; 3; 3; 58/19; 16/5; 3; 3; ; ; 14/5; ; 
Southampton; 5; 5; 19/4; 9/2; 11/2; 19/4; 11/2; 11/2; 19/4; 5; 9/2; 5; 5; 24/5; 19/4; 11/2; 5; 5; 26/5; 5; 11/2; 47/10; 21/4; ; ; 22/5; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-09 14:16:02 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 6/10; 6/10; 4/7; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; 4/7; 11/20; 6/10; 4/7; 4/7; 8/15; 8/15; 8/15; 8/15; 3/5; 3/5; 6/11; ; ; 8/15; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 16/5; 27/10; 3; 14/5; 14/5; 14/5; 3; 16/5; 16/5; 31/10; 58/19; 3; 3; 58/19; 16/5; 3; 3; ; ; 14/5; ; 
Southampton; 5; 5; 19/4; 9/2; 11/2; 19/4; 11/2; 11/2; 19/4; 5; 9/2; 5; 5; 24/5; 19/4; 11/2; 5; 5; 26/5; 5; 11/2; 47/10; 21/4; ; ; 22/5; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-09 18:16:24 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 6/10; 6/10; 4/7; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; 6/10; 11/20; 6/10; 4/7; 4/7; 8/15; 8/15; 8/15; 8/15; 3/5; 3/5; 6/11; ; ; 8/15; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 16/5; 27/10; 3; 14/5; 14/5; 11/4; 3; 16/5; 16/5; 31/10; 58/19; 3; 3; 58/19; 16/5; 3; 3; ; ; 14/5; ; 
Southampton; 5; 5; 19/4; 9/2; 11/2; 19/4; 11/2; 11/2; 19/4; 5; 9/2; 5; 5; 24/5; 19/4; 11/2; 5; 5; 26/5; 5; 11/2; 47/10; 21/4; ; ; 22/5; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-09 22:15:52 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 6/10; 6/10; 4/7; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; 4/7; 11/20; 6/10; 4/7; 4/7; 8/15; 8/15; 8/15; ; 3/5; 3/5; 6/11; ; ; 8/15; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 16/5; 27/10; 3; 14/5; 14/5; 14/5; 3; 16/5; 16/5; 31/10; 58/19; 3; 3; ; 16/5; 3; 3; ; ; 14/5; ; 
Southampton; 5; 5; 19/4; 9/2; 11/2; 19/4; 11/2; 11/2; 19/4; 5; 9/2; 5; 5; 24/5; 19/4; 11/2; 5; 5; 26/5; ; 11/2; 47/10; 21/4; ; ; 23/5; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-10 02:15:47 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 8/13; 6/10; 3/5; 8/13; 3/5; 8/15; 4/7; 4/7; 4/7; 4/7; 11/20; 8/13; 4/7; 8/13; 5/9; 8/15; 8/15; 5/9; 3/5; 3/5; 6/11; ; ; 4/7; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 31/10; 27/10; 3; 14/5; 11/4; 14/5; 3; 16/5; 16/5; 3; 3; 3; 3; 3; 16/5; 3; 3; ; ; 14/5; ; 
Southampton; 5; 5; 19/4; 9/2; 5; 19/4; 21/4; 11/2; 19/4; 19/4; 9/2; 5; 5; 9/2; 19/4; 5; 49/10; 5; 26/5; 49/10; 11/2; 47/10; 21/4; ; ; 23/5; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-10 06:15:43 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 8/13; 6/10; 3/5; 8/13; 3/5; 8/15; 4/7; 4/7; 4/7; 4/7; 4/7; 8/13; 4/7; 8/13; 5/9; 8/15; 8/15; 5/9; 3/5; 3/5; 6/11; ; ; 4/7; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 31/10; 27/10; 3; 14/5; 11/4; 14/5; 3; 16/5; 16/5; 3; 3; 3; 3; 3; 16/5; 3; 3; ; ; 14/5; ; 
Southampton; 5; 5; 19/4; 9/2; 5; 19/4; 21/4; 11/2; 19/4; 19/4; 9/2; 5; 5; 9/2; 19/4; 5; 63/13; 5; 26/5; 63/13; 11/2; 47/10; 21/4; ; ; 23/5; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-10 10:15:40 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 8/13; 6/10; 3/5; 8/13; 3/5; 8/15; 4/7; 4/7; 4/7; 4/7; 4/7; 8/13; 4/7; 8/13; 5/9; 8/15; 8/15; 5/9; 3/5; 3/5; 6/11; 4/7; ; 4/7; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 31/10; 27/10; 3; 14/5; 11/4; 14/5; 3; 16/5; 16/5; 3; 3; 3; 3; 3; 16/5; 3; 3; 3; ; 14/5; ; 
Southampton; 5; 5; 19/4; 9/2; 5; 19/4; 21/4; 11/2; 19/4; 19/4; 9/2; 5; 5; 9/2; 19/4; 5; 63/13; 5; 26/5; 63/13; 11/2; 47/10; 21/4; 9/2; ; 23/5; ; 
META; english/premier-league/tottenham-v-southampton; 2017-03-10 14:15:44 GMT+2; 2017-03-19 14:15; Nothing; Xlenovo
Tottenham; 11/20; 8/15; 8/13; 6/10; 3/5; 8/13; 3/5; 8/15; 4/7; 4/7; 4/7; 4/7; 4/7; 6/10; 4/7; 8/13; 5/9; 8/15; 8/15; 5/9; 3/5; 3/5; 6/11; 4/7; ; 8/15; ; 
Draw; 29/10; 3; 29/10; 3; 16/5; 16/5; 31/10; 27/10; 3; 14/5; 11/4; 14/5; 3; 16/5; 16/5; 3; 3; 3; 3; 3; 16/5; 3; 3; 3; ; 14/5; ; 
