META; english/premier-league/swansea-v-stoke; 2017-04-08 22:16:40 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Stoke; 11/5; 11/5; 43/20; ; ; 23/10; 12/5; 2; 9/4; 23/10; 2; 9/4; 9/4; 21/10; 11/5; 23/10; 11/5; 2; 23/10; 11/5; 47/20; 40/17; 23/10; ; 23/10; ; 19/10; ; 
Draw; 23/10; 23/10; 23/10; ; ; 12/5; 23/10; 9/4; 12/5; 21/10; 11/5; 11/5; 23/10; 5/2; 23/10; 5/2; 11/5; 11/5; 23/10; 11/5; 12/5; 23/10; 23/10; ; 23/10; ; 23/10; ; 
META; english/premier-league/swansea-v-stoke; 2017-04-12 06:15:53 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Swansea; 5/4; 5/4; 13/10; ; ; 13/10; 13/10; 6/5; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; 13/10; 13/10; 5/4; 23/17; 6/5; 5/4; 27/20; 21/17; 6/5; ; 6/5; ; ; ; 
Stoke; 11/5; 11/5; 43/20; ; ; 23/10; 12/5; 2; 9/4; 23/10; 2; 9/4; 9/4; 21/10; 11/5; 23/10; 11/5; 2; 23/10; 11/5; 47/20; 40/17; 23/10; ; 23/10; ; ; ; 
Draw; 23/10; 23/10; 23/10; ; ; 12/5; 23/10; 9/4; 12/5; 21/10; 11/5; 11/5; 23/10; 5/2; 23/10; 5/2; 11/5; 11/5; 23/10; 11/5; 12/5; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/swansea-v-stoke; 2017-04-12 10:15:51 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Swansea; 5/4; 5/4; 13/10; ; ; 13/10; 13/10; 6/5; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; 13/10; 13/10; 5/4; 23/17; 6/5; 5/4; 27/20; 21/17; 6/5; ; 6/5; ; ; ; 
Stoke; 11/5; 11/5; 43/20; ; ; 23/10; 12/5; 2; 9/4; 23/10; 2; 9/4; 9/4; 21/10; 11/5; 23/10; 11/5; 2; 23/10; 11/5; 47/20; 40/17; 23/10; ; 23/10; ; ; ; 
Draw; 23/10; 23/10; 23/10; ; ; 12/5; 23/10; 9/4; 12/5; 21/10; 11/5; 11/5; 23/10; 5/2; 23/10; 5/2; 11/5; 11/5; 23/10; 11/5; 12/5; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/swansea-v-stoke; 2017-04-12 14:15:50 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Swansea; 5/4; 5/4; 13/10; ; ; 13/10; 13/10; 6/5; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; 13/10; 13/10; 5/4; 23/17; ; 5/4; 27/20; 21/17; ; ; 6/5; ; 6/5; ; 
Stoke; 11/5; 11/5; 43/20; ; ; 23/10; 12/5; 11/5; 9/4; 23/10; 2; 9/4; 9/4; 21/10; 11/5; 12/5; 11/5; 2; ; 11/5; 47/20; 40/17; ; ; 23/10; ; 19/10; ; 
Draw; 23/10; 23/10; 23/10; ; ; 12/5; 23/10; 12/5; 12/5; 21/10; 11/5; 11/5; 23/10; 5/2; 23/10; 12/5; 11/5; 11/5; ; 11/5; 12/5; 23/10; ; ; 23/10; ; 23/10; ; 
META; english/premier-league/swansea-v-stoke; 2017-04-12 18:15:55 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Swansea; 5/4; 5/4; 13/10; ; ; 13/10; 13/10; 6/5; 13/10; 13/10; 5/4; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 23/17; 6/5; 13/10; 27/20; 21/17; 6/5; ; 6/5; ; 6/5; ; 
Stoke; 11/5; 11/5; 43/20; ; ; 9/4; 12/5; 11/5; 9/4; 9/4; 2; 9/4; 9/4; 21/10; 11/5; 23/10; 28/13; 2; 23/10; 28/13; 47/20; 40/17; 23/10; ; 23/10; ; 19/10; ; 
Draw; 23/10; 23/10; 23/10; ; ; 12/5; 23/10; 12/5; 12/5; 21/10; 11/5; 11/5; 23/10; 5/2; 23/10; 5/2; 11/5; 11/5; 23/10; 11/5; 12/5; 23/10; 23/10; ; 23/10; ; 23/10; ; 
META; english/premier-league/swansea-v-stoke; 2017-04-12 22:15:54 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Swansea; 5/4; 5/4; 13/10; ; ; 13/10; 13/10; 6/5; 13/10; 13/10; 5/4; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 23/17; 6/5; 13/10; 27/20; 21/17; 6/5; ; 6/5; ; ; ; 
Stoke; 11/5; 11/5; 43/20; ; ; 9/4; 12/5; 11/5; 9/4; 9/4; 2; 9/4; 9/4; 21/10; 11/5; 23/10; 28/13; 2; 23/10; 28/13; 47/20; 40/17; 23/10; ; 23/10; ; ; ; 
Draw; 23/10; 23/10; 23/10; ; ; 12/5; 23/10; 12/5; 12/5; 21/10; 11/5; 11/5; 23/10; 5/2; 23/10; 5/2; 11/5; 11/5; 23/10; 11/5; 12/5; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/swansea-v-stoke; 2017-04-13 02:15:53 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Swansea; 5/4; 5/4; 13/10; ; ; 13/10; 13/10; 6/5; 13/10; 13/10; 5/4; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 23/17; 6/5; 13/10; 27/20; 21/17; 6/5; ; 6/5; ; ; ; 
Stoke; 11/5; 11/5; 43/20; ; ; 9/4; 12/5; 11/5; 9/4; 9/4; 2; 9/4; 9/4; 21/10; 11/5; 12/5; 28/13; 2; 23/10; 28/13; 47/20; 40/17; 23/10; ; 23/10; ; ; ; 
Draw; 23/10; 23/10; 23/10; ; ; 12/5; 23/10; 12/5; 12/5; 21/10; 11/5; 11/5; 23/10; 5/2; 23/10; 12/5; 11/5; 11/5; 23/10; 11/5; 12/5; 23/10; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/swansea-v-stoke; 2017-04-13 06:15:52 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Swansea; 5/4; 5/4; 13/10; ; ; 13/10; 13/10; 6/5; 13/10; 13/10; 5/4; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 23/17; 6/5; 13/10; 27/20; 21/17; 6/5; ; 6/5; ; ; ; 
