META; english/league-cup/rochdale-v-chesterfield; 2016-07-12 13:08:15 GMT+3; 2016-08-09 19:45; e70300-dr003
Rochdale; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; 23/20; ; 23/20; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 1/100; ; 
Draw; 23/10; ; 12/5; 12/5; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; 23/10; 23/10; 23/10; 9/4; 12/5; ; ; 1/100; ; 
Chesterfield; 9/4; ; 9/4; 11/5; ; 11/5; 9/4; ; ; 9/4; ; 21/10; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 52/21; ; ; 1/100; ; 
META; english/league-cup/rochdale-v-chesterfield; 2016-07-12 16:20:12 GMT+3; 2016-08-09 19:45; e70300-dr003
Rochdale; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; 23/20; ; 23/20; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 1/100; ; 
Draw; 23/10; ; 12/5; 12/5; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; 23/10; 23/10; 23/10; 9/4; 12/5; ; ; 1/100; ; 
Chesterfield; 9/4; ; 9/4; 11/5; ; 11/5; 9/4; ; ; 9/4; ; 21/10; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 52/21; ; ; 1/100; ; 
META; english/league-cup/rochdale-v-chesterfield; 2016-07-12 20:21:59 GMT+3; 2016-08-09 19:45; e70300-dr003
Rochdale; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; 23/20; ; 23/20; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 1/100; ; 
Draw; 23/10; ; 12/5; 12/5; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; 23/10; 23/10; 23/10; 9/4; 12/5; ; ; 1/100; ; 
Chesterfield; 9/4; ; 9/4; 11/5; ; 11/5; 9/4; ; ; 9/4; ; 21/10; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 52/21; ; ; 1/100; ; 
META; english/league-cup/rochdale-v-chesterfield; 2016-07-13 00:19:33 GMT+3; 2016-08-09 19:45; e70300-dr003
Rochdale; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; 23/20; ; 23/20; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 1/100; ; 
Draw; 23/10; ; 12/5; 12/5; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; 23/10; 23/10; 23/10; 9/4; 12/5; ; ; 1/100; ; 
Chesterfield; 9/4; ; 9/4; 11/5; ; 11/5; 9/4; ; ; 9/4; ; 21/10; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 52/21; ; ; 1/100; ; 
META; english/league-cup/rochdale-v-chesterfield; 2016-07-13 04:19:15 GMT+3; 2016-08-09 19:45; e70300-dr003
