META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-04-29 02:20:59 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Draw; 1/50
Gimnastic; 1/50
Osasuna; 1/50
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-04-29 10:21:13 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Draw; 1/50
Gimnastic; 1/50
Osasuna; 1/50
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-04-29 14:21:54 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Draw; 1/50
Gimnastic; 1/50
Osasuna; 1/50
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-04-29 18:22:34 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Draw; 1/50
Gimnastic; 1/50
Osasuna; 1/50
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-04-29 22:22:06 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Draw; 1/50
Gimnastic; 1/50
Osasuna; 1/50
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-04-30 02:21:41 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Draw; 1/100
Gimnastic; 1/33
Osasuna; 1/33
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-04-30 10:21:50 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Gimnastic; 1/33; 13/8
Draw; 1/100; 9/5
Osasuna; 1/33; 9/5
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-04-30 14:22:30 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Gimnastic; 1/33; 13/8
Draw; 1/100; 9/5
Osasuna; 1/33; 9/5
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-04-30 18:22:42 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Gimnastic; 1/33; 13/8
Draw; 1/100; 9/5
Osasuna; 1/33; 9/5
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-04-30 22:22:44 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Gimnastic; 1/33; 13/8
Draw; 1/100; 9/5
Osasuna; 1/33; 9/5
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-05-01 02:22:27 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Gimnastic; 1/25; 13/8
Draw; 1/100; 9/5
Osasuna; 1/25; 9/5
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-05-01 10:22:41 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Gimnastic; 1/25; 13/8
Draw; 1/100; 9/5
Osasuna; 1/25; 9/5
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-05-01 14:22:52 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Gimnastic; 1/25; 13/8
Draw; 1/100; 9/5
Osasuna; 1/25; 9/5
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-05-01 18:22:50 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Gimnastic; 1/25; 13/8
Draw; 1/100; 9/5
Osasuna; 1/25; 9/5
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-05-01 22:22:55 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Gimnastic; 13/8; 28/17; 13/8; 8/5; 28/17; 9/10; 13/8
Osasuna; 7/4; 17/10; 7/4; 7/4; 17/10; 10/11; 17/10
Draw; 19/10; 37/19; 2; 37/19; 1; 15/8; 
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-05-02 02:22:29 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Gimnastic; 13/8; 15/8; 28/17; 13/8; 17/10; 28/17; 4/11; 9/5
Draw; 19/10; 19/10; 37/19; 19/10; 15/8; 37/19; 9/5; 9/5
Osasuna; 9/5; 2; 17/10; 9/5; 9/5; 17/10; 6/4; 19/10
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-05-02 10:22:29 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Gimnastic; 13/8; 15/8; 28/17; 17/10; 17/10; 17/10; 28/17; 28/17; 28/17; 1; 9/5
Draw; 19/10; 19/10; 37/19; 19/10; 19/10; 15/8; 37/19; 37/19; 37/19; 9/5; 9/5
Osasuna; 7/4; 2; 17/10; 7/4; 7/4; 7/4; 17/10; 17/10; 17/10; 11/10; 19/10
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-05-02 14:22:59 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Gimnastic; 13/8; 8/5; 181/00; 13/8; 13/8; 28/17; 8/5; 13/8; 8/5; 13/8; 17/10; 8/5; 28/17; 28/17; 9/5; 17/10; 2/5; 9/5
Draw; 15/8; 19/10; 19/10; 2; 15/8; 37/19; 19/10; 19/10; 2; 39/20; 9/5; 15/8; 37/19; 37/19; 19/10; 2; 9/5; 9/5
Osasuna; 9/5; 7/4; 52/25; 9/5; 7/4; 17/10; 7/4; 9/5; 9/5; 7/4; 19/10; 15/8; 7/4; 17/10; 19/10; 7/4; 8/5; 2
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-05-02 18:23:44 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Gimnastic; 13/8; 33/20; 17/10; 9/5; 13/8; 13/8; 9/5; 33/20; 13/8; 17/10; 8/5; 17/10; 9/5; 17/10; 28/17; 28/17; 23/15; 7/4; 7/4; 17/10; 23/20; 7/5; 7/4; 7/4
Osasuna; 17/10; 17/10; 7/4; 15/8; 9/5; 7/4; 17/10; 17/10; 17/10; 7/4; 17/10; 17/10; 9/5; 7/4; 17/10; 37/19; 13/8; 28/17; 9/5; 7/4; 5/4; 7/5; 9/5; 9/5
Draw; 2; 19/10; 19/10; 85/40; 2; 15/8; 2; 19/10; 2; 15/8; 21/10; 39/20; 9/5; 19/10; 2; 24/13; 21/10; 37/19; 2; 9/5; 17/10; 2; 21/10; 
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-05-02 22:23:26 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Gimnastic; 7/4; 13/8; 33/20; 17/10; 9/5; 13/8; 13/8; 9/5; 33/20; 17/10; 17/10; 13/8; 17/10; 9/5; 17/10; 17/10; 28/17; 23/15; 7/4; 7/4; 17/10; 23/20; 7/5; 7/4; 7/4
Gimnastic; 15/8; 17/10; 7/4; 7/4; 19/10; 7/4; 7/4; 9/5; 7/4; 7/4; 7/4; 17/10; 7/4; 13/8; 7/4; 9/5; 9/5; 13/8; 7/4; 15/8; 9/5; 13/8; 6/4; 9/5
Draw; 19/10; 19/10; 19/10; 19/10; 85/40; 19/10; 15/8; 2; 19/10; 19/10; 19/10; 21/10; 19/10; 9/5; 19/10; 2; 19/10; 39/19; 37/19; 2; 19/10; 13/8; 21/10; 
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-05-04 14:23:38 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Osasuna; 17/10; 17/10; 13/8; 17/10; 177/00; 17/10; 13/8; 17/10; 13/8; 17/10; 17/10; 13/8; 33/20; 8/5; 17/10; 17/10; 9/5; 17/11; 28/17; 17/10; 17/10; 17/10; 7/5; 7/4; 17/10
Gimnastic; 15/8; 17/10; 7/4; 7/4; 19/10; 7/4; 7/4; 9/5; 7/4; 7/4; 7/4; 17/10; 7/4; 13/8; 7/4; 9/5; 9/5; 13/8; 7/4; 15/8; 9/5; 13/8; 6/4; 9/5; 9/5
Draw; 19/10; 19/10; 19/10; 19/10; 85/40; 19/10; 15/8; 2; 19/10; 19/10; 19/10; 21/10; 19/10; 9/5; 19/10; 2; 19/10; 39/19; 37/19; 2; 2; 13/8; 2; ; 
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-05-04 18:23:45 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Osasuna; 17/10; 17/10; 13/8; 17/10; 177/00; 17/10; 13/8; 17/10; 13/8; 17/10; 17/10; 13/8; 33/20; 8/5; 17/10; 17/10; 9/5; 17/11; 28/17; 17/10; 17/10; 17/10; 7/5; 7/4; 7/4
Gimnastic; 15/8; 17/10; 7/4; 7/4; 19/10; 7/4; 7/4; 9/5; 7/4; 7/4; 7/4; 17/10; 7/4; 13/8; 7/4; 9/5; 9/5; 13/8; 7/4; 15/8; 9/5; 8/5; 6/4; 9/5; 9/5
Draw; 19/10; 19/10; 19/10; 19/10; 85/40; 19/10; 15/8; 2; 19/10; 19/10; 19/10; 21/10; 19/10; 9/5; 19/10; 2; 19/10; 39/19; 37/19; 2; 2; 13/8; 2; 21/10; 
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-05-04 22:23:34 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Osasuna; 17/10; 13/8; 33/20; 17/10; 91/50; 17/10; 13/8; 17/10; 33/20; 17/10; 17/10; 13/8; 33/20; 8/5; 17/10; 17/10; 9/5; 17/11; 28/17; 17/10; 17/10; 17/10; 7/5; 7/4; 7/4
Gimnastic; 15/8; 7/4; 7/4; 7/4; 189/00; 9/5; 7/4; 9/5; 7/4; 7/4; 9/5; 17/10; 7/4; 13/8; 7/4; 9/5; 9/5; 13/8; 7/4; 15/8; 9/5; 8/5; 6/4; 9/5; 9/5
Draw; 19/10; 15/8; 15/8; 19/10; 52/25; 2; 15/8; 2; 15/8; 19/10; 15/8; 2; 19/10; 9/5; 19/10; 37/19; 19/10; 39/19; 37/19; 2; 19/10; 13/8; 2; ; 
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-05-05 02:23:19 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Osasuna; 17/10; 13/8; 33/20; 17/10; 46/25; 17/10; 13/8; 17/10; 33/20; 17/10; 17/10; 13/8; 33/20; 8/5; 17/10; 17/10; 9/5; 17/11; 28/17; 17/10; 7/4; 17/10; 7/5; 9/5; 9/5
Gimnastic; 15/8; 7/4; 7/4; 7/4; 93/50; 9/5; 7/4; 9/5; 7/4; 7/4; 9/5; 7/4; 7/4; 13/8; 7/4; 9/5; 9/5; 13/8; 7/4; 15/8; 9/5; 8/5; 6/4; 9/5; 9/5
Draw; 19/10; 15/8; 15/8; 19/10; 52/25; 2; 15/8; 2; 15/8; 19/10; 15/8; 2; 19/10; 9/5; 19/10; 37/19; 19/10; 39/19; 37/19; 2; 19/10; 13/8; 2; ; 
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-05-05 10:23:28 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Osasuna; 17/10; 13/8; 33/20; 17/10; 46/25; 17/10; 13/8; 17/10; 33/20; 17/10; 17/10; 13/8; 33/20; 8/5; 17/10; 17/10; 9/5; 17/11; 28/17; 17/10; 7/4; 17/10; 7/5; 9/5; 9/5
Gimnastic; 15/8; 7/4; 7/4; 7/4; 93/50; 9/5; 7/4; 9/5; 7/4; 7/4; 9/5; 7/4; 7/4; 13/8; 7/4; 9/5; 9/5; 13/8; 7/4; 15/8; 9/5; 8/5; 6/4; 9/5; 9/5
Draw; 19/10; 15/8; 15/8; 19/10; 52/25; 2; 15/8; 2; 15/8; 19/10; 15/8; 2; 19/10; 9/5; 19/10; 37/19; 19/10; 39/19; 37/19; 2; 19/10; 13/8; 2; ; 
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-05-05 14:24:37 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Osasuna; 17/10; 17/10; 33/20; 17/10; 46/25; 17/10; 13/8; 17/10; 33/20; 17/10; 17/10; 13/8; 33/20; 8/5; 17/10; 17/10; 9/5; 17/11; 28/17; 17/10; 7/4; 17/10; 7/5; 9/5; 9/5
Gimnastic; 15/8; 17/10; 7/4; 7/4; 93/50; 9/5; 7/4; 9/5; 7/4; 7/4; 9/5; 7/4; 7/4; 13/8; 7/4; 9/5; 9/5; 13/8; 7/4; 15/8; 9/5; 8/5; 6/4; 9/5; 9/5
Draw; 19/10; 19/10; 15/8; 19/10; 52/25; 2; 15/8; 2; 15/8; 19/10; 15/8; 2; 19/10; 9/5; 19/10; 37/19; 19/10; 39/19; 37/19; 2; 19/10; 13/8; 2; ; 
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-05-05 18:23:45 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Osasuna; 17/10; 17/10; 33/20; 17/10; 46/25; 17/10; 13/8; 17/10; 33/20; 17/10; 17/10; 13/8; 33/20; 8/5; 17/10; 17/10; 9/5; 17/11; 28/17; 17/10; 7/4; 17/10; 7/5; 9/5; 9/5
Gimnastic; 15/8; 17/10; 7/4; 7/4; 93/50; 9/5; 7/4; 9/5; 7/4; 7/4; 9/5; 7/4; 7/4; 13/8; 7/4; 9/5; 9/5; 13/8; 7/4; 15/8; 9/5; 8/5; 6/4; 9/5; 9/5
Draw; 19/10; 19/10; 15/8; 19/10; 52/25; 2; 15/8; 2; 15/8; 19/10; 15/8; 2; 19/10; 9/5; 19/10; 37/19; 19/10; 39/19; 37/19; 2; 19/10; 13/8; 2; ; 
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-05-05 22:20:31 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Osasuna; 17/10; 17/10; 17/10; 17/10; 37/20; 17/10; 13/8; 17/10; 17/10; 17/10; 17/10; 13/8; 17/10; 8/5; 17/10; 17/10; 9/5; 17/11; 28/17; 9/5; 7/4; 17/10; 9/5; 9/5
Gimnastic; 15/8; 17/10; 17/10; 7/4; 93/50; 9/5; 7/4; 9/5; 17/10; 7/4; 9/5; 17/10; 7/4; 13/8; 7/4; 9/5; 9/5; 13/8; 7/4; 9/5; 9/5; 13/8; 9/5; 9/5
Draw; 19/10; 19/10; 15/8; 19/10; 52/25; 19/10; 15/8; 2; 15/8; 19/10; 15/8; 2; 19/10; 9/5; 19/10; 37/19; 19/10; 39/19; 37/19; 2; 37/19; 19/10; 19/10; 2
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-05-06 02:20:47 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Osasuna; 17/10; 17/10; 17/10; 17/10; 37/20; 17/10; 13/8; 17/10; 17/10; 17/10; 17/10; 13/8; 17/10; 8/5; 17/10; 17/10; 9/5; 17/11; 28/17; 9/5; 7/4; 17/10; 9/5; 9/5; 
Gimnastic; 15/8; 17/10; 17/10; 7/4; 93/50; 9/5; 7/4; 9/5; 17/10; 7/4; 9/5; 17/10; 7/4; 13/8; 7/4; 7/4; 9/5; 13/8; 7/4; 9/5; 9/5; 17/10; 7/4; 9/5; 9/5
Draw; 19/10; 19/10; 15/8; 19/10; 52/25; 19/10; 15/8; 2; 15/8; 19/10; 15/8; 2; 19/10; 9/5; 19/10; 37/19; 19/10; 39/19; 37/19; 2; 19/10; 19/10; 2; ; 
META; spain/la-liga-segunda/gimnastic-v-osasuna; 2018-05-06 10:20:58 GMT+3; 2018-05-06 11:00; Nothing; Xlenovo
Osasuna; 17/10; 17/10; 17/10; 17/10; 189/00; 17/10; 13/8; 17/10; 17/10; 17/10; 7/4; 17/10; 17/10; 8/5; 17/10; 7/4; 9/5; 28/17; 28/17; 9/5; 9/5; 9/5; 9/5; 9/5; 9/5
