META; spain/la-liga-segunda/oviedo-v-lorca; 2018-04-29 02:21:02 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Draw; 1/50
Lorca; 1/50
Oviedo; 1/50
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-04-29 10:21:17 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Draw; 1/50
Lorca; 1/50
Oviedo; 1/50
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-04-29 14:21:58 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Draw; 1/50
Lorca; 1/50
Oviedo; 1/50
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-04-29 18:22:38 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Draw; 1/50
Lorca; 1/50
Oviedo; 1/50
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-04-29 22:22:10 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Draw; 1/50
Lorca; 1/50
Oviedo; 1/50
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-04-30 02:21:44 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Draw; 1/100
Lorca; 1/33
Oviedo; 1/33
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-04-30 10:21:53 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 1/33; 4/11
Draw; 1/100; 7/2
Lorca; 1/33; 29/5
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-04-30 14:22:33 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Draw; 1/100; 17/10
Lorca; 1/33; 7/4
Oviedo; 1/33; 7/4
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-04-30 18:22:45 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 1/33; 4/5
Draw; 1/100; 23/10
Lorca; 1/33; 3
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-04-30 22:22:47 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 1/33; 4/5
Draw; 1/100; 23/10
Lorca; 1/33; 3
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-05-01 02:22:30 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 1/25; 4/5
Draw; 1/100; 23/10
Lorca; 1/25; 3
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-05-01 10:22:45 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 1/25; 4/5
Draw; 1/100; 23/10
Lorca; 1/25; 3
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-05-01 14:22:56 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 1/25; 4/5
Draw; 1/100; 23/10
Lorca; 1/25; 3
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-05-01 18:22:54 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 1/25; 4/5
Draw; 1/100; 23/10
Lorca; 1/25; 3
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-05-01 22:22:59 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 1/2; 1/2; 1/2; 2/15; 4/5
Draw; 56/19; 3; 56/19; 19/10; 23/10
Lorca; 19/4; 5; 19/4; 1; 
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-05-02 02:22:33 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 1/2; 11/20; 1/2; 1/2; 1/2; 1/2; 1/4; 8/15
Draw; 14/5; 16/5; 56/19; 3; 14/5; 56/19; 11/5; 3
Lorca; 11/2; 6; 19/4; 5; 11/2; 19/4; 2/11; 29/5
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-05-02 10:22:33 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 1/2; 11/20; 1/2; 1/2; 1/2; 1/2; 18/35; 1/2; 18/35; 2/11; 8/15
Draw; 14/5; 16/5; 56/19; 3; 14/5; 14/5; 56/19; 3; 11/10; 3; 
Lorca; 11/2; 6; 19/4; 5; 11/2; 63/13; 19/4; 49/10; 2/11; 29/5; 
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-05-02 14:23:03 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 4/9; 4/9; 12/25; 4/9; 1/2; 4/9; 1/2; 4/9; 40/85; 1/2; 1/2; 18/35; 1/2; 1/2; 18/35; 2/11; 4/9
Draw; 3; 29/10; 10/3; 3; 56/19; 29/10; 3; 14/5; 29/10; 14/5; 3; 56/19; 3; 12/5; 3; ; 
Lorca; 6; 37/5; 6; 19/4; 6; 11/2; 6; 6; 11/2; 19/4; 19/4; 7; 24/5; 2/11; 36/5; ; 
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-05-02 18:23:48 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 2/5; 2/5; 4/9; 12/25; 2/5; 2/5; 7/17; 2/5; 2/5; 4/9; 4/9; 9/20; 2/5; 2/5; 10/21; 2/5; 7/17; 2/5; 7/17; 2/11; 4/11; 4/9; 4/9
Draw; 3; 3; 17/5; 31/10; 3; 33/10; 3; 3; 29/10; 16/5; 3; 16/5; 3; 16/5; 13/4; 33/10; 13/4; 7/5; 13/5; 10/3; 10/3; ; 
Lorca; 7; 13/2; 71/10; 7; 13/2; 7; 6; 6; 27/4; 6; 57/10; 13/2; 8; 27/4; 2/11; 26/5; 7; ; ; ; ; ; 
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-05-02 22:23:29 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 4/9; 2/5; 4/9; 4/9; 12/25; 2/5; 2/5; 7/17; 4/9; 4/9; 4/9; 4/9; 9/20; 4/9; 7/17; 10/21; 7/17; 7/17; 4/9; 5/12; 2/9; 4/11; 4/9; 4/9
Draw; 16/5; 16/5; 13/4; 3; 71/20; 10/3; 10/3; 33/10; 13/4; 10/3; 3; 16/5; 3; 16/5; 17/5; 16/5; 57/17; 13/4; 17/5; 17/5; 11/4; 14/5; 10/3; 10/3
Lorca; 8; 15/2; 8; 15/2; 83/10; 15/2; 15/2; 13/2; 8; 15/2; 17/2; 8; 13/2; 15/2; 31/4; 7; 69/10; 13/2; 9; 3; 29/5; 8; ; 
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-05-04 14:23:41 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 4/11; 4/11; 4/11; 2/5; 41/00; 2/5; 4/11; 7/17; 4/11; 4/11; 4/11; 4/11; 4/11; 4/11; 4/11; 2/5; 10/29; 7/17; 4/11; 7/19; 2/9; 1/3; 2/5; 2/5
Draw; 10/3; 3; 10/3; 3; 37/10; 10/3; 10/3; 33/10; 10/3; 10/3; 10/3; 16/5; 3; 16/5; 38/11; 17/5; 57/17; 13/4; 7/2; 7/2; 11/4; 3; 7/2; 7/2
Lorca; 9; 17/2; 15/2; 87/10; 15/2; 15/2; 13/2; 17/2; 15/2; 15/2; 8; 13/2; 8; 33/4; 15/2; 69/10; 13/2; 19/2; 33/4; 6; 28/5; 43/5; 42/5; 
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-05-04 18:23:48 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 4/11; 4/11; 4/11; 2/5; 41/00; 2/5; 4/11; 3/8; 4/11; 4/11; 4/11; 4/11; 1/3; 4/11; 4/11; 2/5; 10/29; 3/8; 4/11; 7/19; 2/9; 1/3; 2/5; 2/5
Draw; 10/3; 3; 10/3; 3; 37/10; 10/3; 10/3; 17/5; 10/3; 10/3; 10/3; 16/5; 16/5; 16/5; 7/2; 17/5; 57/17; 17/5; 7/2; 7/2; 11/4; 3; 7/2; 7/2
Lorca; 9; 17/2; 15/2; 87/10; 15/2; 15/2; 7; 17/2; 15/2; 15/2; 8; 13/2; 8; 33/4; 15/2; 69/10; 7; 19/2; 17/2; 6; 28/5; 43/5; 42/5; 
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-05-04 22:23:38 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 1/3; 1/3; 4/11; 2/5; 19/50; 1/3; 1/3; 3/8; 4/11; 1/3; 4/11; 7/20; 1/3; 4/11; 10/29; 2/5; 1/3; 3/8; 1/3; 10/29; 3/10; 3/10; 4/11; 4/11
Draw; 7/2; 10/3; 10/3; 3; 77/20; 7/2; 10/3; 17/5; 10/3; 7/2; 16/5; 10/3; 16/5; 10/3; 18/5; 17/5; 38/11; 17/5; 18/5; 18/5; 14/5; 3; 7/2; 7/2
Lorca; 10; 17/2; 15/2; 19/2; 9; 7; 17/2; 8; 8; 13/2; 8; 15/2; 71/10; 7; 10; 29/5; 29/5; 47/5; 46/5; ; ; ; ; 
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-05-05 02:23:22 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 1/3; 1/3; 4/11; 2/5; 39/00; 1/3; 1/3; 3/8; 4/11; 4/11; 4/11; 7/20; 1/3; 4/11; 10/29; 2/5; 1/3; 3/8; 1/3; 10/29; 3/10; 3/10; 4/11; 4/11
Draw; 7/2; 10/3; 10/3; 3; 15/4; 7/2; 10/3; 17/5; 10/3; 10/3; 16/5; 10/3; 16/5; 16/5; 39/11; 17/5; 38/11; 17/5; 18/5; 18/5; 14/5; 3; 7/2; 7/2
Lorca; 10; 17/2; 15/2; 19/2; 9; 7; 17/2; 8; 8; 13/2; 8; 15/2; 71/10; 7; 10; 28/5; 29/5; 47/5; 46/5; ; ; ; ; 
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-05-05 10:23:31 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 1/3; 4/11; 4/11; 2/5; 39/00; 1/3; 1/3; 3/8; 4/11; 4/11; 4/11; 7/20; 1/3; 4/11; 10/29; 2/5; 1/3; 3/8; 1/3; 10/29; 3/10; 3/10; 4/11; 4/11
Draw; 7/2; 16/5; 10/3; 3; 15/4; 7/2; 10/3; 17/5; 10/3; 10/3; 10/3; 10/3; 16/5; 16/5; 39/11; 17/5; 38/11; 17/5; 18/5; 18/5; 14/5; 3; 7/2; 7/2
Lorca; 10; 17/2; 15/2; 19/2; 9; 7; 17/2; 8; 8; 13/2; 8; 15/2; 71/10; 7; 10; 29/5; 29/5; 47/5; 46/5; ; ; ; ; 
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-05-05 14:24:41 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 1/3; 4/11; 1/3; 2/5; 39/00; 1/3; 1/3; 3/8; 1/3; 4/11; 4/11; 7/20; 1/3; 1/3; 10/29; 2/5; 1/3; 3/8; 1/3; 10/29; 3/10; 3/10; 4/11; 4/11
Draw; 7/2; 16/5; 10/3; 3; 19/5; 7/2; 10/3; 17/5; 10/3; 10/3; 10/3; 10/3; 16/5; 10/3; 18/5; 17/5; 38/11; 17/5; 18/5; 18/5; 14/5; 3; 7/2; 7/2
Lorca; 10; 17/2; 15/2; 37/4; 9; 7; 17/2; 8; 8; 13/2; 17/2; 9; 15/2; 71/10; 7; 11; 29/5; 6; 47/5; 44/5; ; ; ; 
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-05-05 18:23:49 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 1/3; 1/3; 1/3; 7/20; 39/00; 1/3; 1/3; 3/8; 1/3; 1/3; 4/11; 7/20; 1/3; 1/3; 10/29; 2/5; 1/3; 3/8; 1/3; 10/29; 3/10; 4/11; 4/11
Draw; 7/2; 10/3; 17/5; 19/5; 7/2; 10/3; 17/5; 10/3; 7/2; 10/3; 10/3; 16/5; 18/5; 17/5; 38/11; 17/5; 18/5; 18/5; 3; 7/2; 7/2; ; 
Lorca; 10; 17/2; 17/2; 8; 37/4; 9; 7; 17/2; 8; 8; 13/2; 17/2; 9; 15/2; 71/10; 7; 11; 31/5; 6; 47/5; 44/5; ; 
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-05-05 22:20:34 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 1/3; 1/3; 1/3; 7/20; 39/00; 1/3; 1/3; 3/8; 1/3; 1/3; 4/11; 7/20; 1/3; 1/3; 10/29; 2/5; 1/3; 3/8; 1/3; 10/29; 3/10; 4/11; 4/11
Draw; 7/2; 10/3; 17/5; 19/5; 7/2; 10/3; 17/5; 10/3; 7/2; 10/3; 10/3; 16/5; 18/5; 17/5; 38/11; 17/5; 18/5; 18/5; 7/2; 3; 7/2; 7/2; 
Lorca; 10; 17/2; 17/2; 8; 37/4; 9; 7; 17/2; 8; 8; 13/2; 17/2; 9; 15/2; 71/10; 7; 11; 17/2; 6; 47/5; 44/5; ; 
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-05-06 02:20:51 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 1/3; 4/11; 1/3; 7/20; 39/00; 1/3; 1/3; 3/8; 1/3; 1/3; 4/11; 7/20; 1/3; 1/3; 10/29; 2/5; 1/3; 3/8; 4/11; 10/29; 3/10; 3/10; 4/11; 4/11
Draw; 7/2; 16/5; 10/3; 17/5; 19/5; 7/2; 10/3; 17/5; 10/3; 7/2; 10/3; 10/3; 16/5; 7/2; 18/5; 17/5; 38/11; 17/5; 18/5; 18/5; 7/2; 3; 7/2; 7/2
Lorca; 10; 17/2; 8; 37/4; 9; 7; 17/2; 8; 8; 13/2; 8; 15/2; 71/10; 7; 9; 32/5; 6; 47/5; 44/5; ; ; ; ; 
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-05-06 10:21:01 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 2/5; 4/11; 2/5; 2/5; 41/00; 4/11; 4/11; 3/8; 2/5; 4/11; 2/5; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 3/8; 2/5; 4/11; 2/5; 4/11; 4/11; 2/5
Draw; 7/2; 16/5; 16/5; 3; 7/2; 17/5; 10/3; 17/5; 16/5; 10/3; 16/5; 31/10; 14/5; 16/5; 17/5; 17/5; 57/17; 17/5; 7/2; 38/11; 10/3; 14/5; 10/3; 7/2
Lorca; 7; 15/2; 15/2; 15/2; 19/2; 8; 15/2; 7; 15/2; 15/2; 15/2; 7; 15/2; 35/4; 15/2; 63/10; 7; 35/4; 19/2; 41/5; 51/5; 49/5; ; 
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-05-06 14:21:11 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 2/5; 4/11; 2/5; 2/5; 41/00; 4/11; 4/11; 3/8; 2/5; 4/11; 2/5; 2/5; 4/11; 4/11; 7/19; 2/5; 2/5; 3/8; 2/5; 7/19; 2/5; 2/5; 2/5; 2/5
Draw; 7/2; 16/5; 16/5; 3; 37/10; 17/5; 10/3; 17/5; 16/5; 10/3; 3; 31/10; 14/5; 16/5; 38/11; 17/5; 57/17; 17/5; 7/2; 38/11; 10/3; 7/2; 10/3; 7/2
Lorca; 7; 15/2; 15/2; 15/2; 43/5; 8; 15/2; 7; 15/2; 15/2; 15/2; 15/2; 7; 15/2; 31/4; 15/2; 63/10; 7; 31/4; 10; 49/5; 42/5; 51/5; 
META; spain/la-liga-segunda/oviedo-v-lorca; 2018-05-06 18:19:51 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Oviedo; 1/25; 1/33; 1/25; 13/00; 1/25; 1/22; 1/25; 1/25; 1/33; 1/100; 1/100; 1/25; 1/25; 1/22; 1/100; 1/16; 1/20; 1/25
Draw; 12; 12; 14; 23/2; 12; 14; 12; 11; 10; 11; 49/4; 15/2; 21/2; 9; 25/2; 63/5; 14/5; 68/5
Lorca; 80; 100; 125; 35; 100; 100; 66; 50; 25; 66; 56; 50; 30; 80; 113/2; 156; 97; 
