META; english/league-1/southend-v-rotherham; 2018-03-18 18:21:29 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 29/20; 11/8; 159/00; 7/5; 7/5; 29/20; 29/20; 7/5; 7/5; 29/20; 29/20; 7/5; 5/6; 
Southend; 7/4; 15/8; 9/5; 7/4; 17/10; 9/5; 9/5; 7/4; 17/10; 15/8; 7/4; 7/4; 6/4; 3/10
Draw; 12/5; 12/5; 127/0; 12/5; 11/5; 12/5; 12/5; 12/5; 23/10; 12/5; 47/20; 40/17; 19/10; 2
META; english/league-1/southend-v-rotherham; 2018-03-19 02:33:00 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 13/10; 11/8; 11/8; 29/20; 29/20; 11/8; 11/8; 27/20; 11/8; 7/5; 11/8; 13/10; 25/19; 11/8; 27/20; 23/17; 27/20; 27/20
Southend; 2; 15/8; 19/10; 21/10; 19/10; 2; 9/5; 19/10; 19/10; 19/10; 19/10; 19/10; 19/10; 2; 39/20; 37/19; 7/4; 19/10
Draw; 12/5; 12/5; 23/10; 119/0; 12/5; 9/4; 11/5; 9/4; 12/5; 23/10; 23/10; 28/13; 9/4; 12/5; 23/10; 11/5; 21/10; 2
META; english/league-1/southend-v-rotherham; 2018-03-19 10:33:06 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 13/10; 11/8; 27/20; 11/8; 73/50; 7/5; 11/8; 5/4; 4/3; 27/20; 11/8; 7/5; 7/5; 11/8; 13/10; 5/4; 13/10; 4/3; 11/8; 27/20; 23/17; 5/4; 11/8
Southend; 2; 15/8; 2; 19/10; 85/40; 2; 15/8; 37/19; 2; 2; 21/10; 19/10; 19/10; 2; 37/19; 37/19; 2; 39/20; 37/19; 9/5; 19/10; ; 
Draw; 12/5; 12/5; 9/4; 12/5; 47/20; 12/5; 9/4; 9/4; 40/17; 11/5; 12/5; 11/5; 21/10; 23/10; 28/13; 12/5; 9/4; 40/17; 12/5; 23/10; 11/5; 21/10; 2
META; english/league-1/southend-v-rotherham; 2018-03-19 14:33:14 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 13/10; 11/8; 11/8; 11/8; 29/20; 7/5; 11/8; 5/4; 4/3; 11/8; 11/8; 7/5; 7/5; 7/5; 11/8; 13/10; 5/4; 13/10; 4/3; 11/8; 27/20; 23/17; 13/10; 7/5
Southend; 2; 15/8; 19/10; 19/10; 52/25; 2; 19/10; 15/8; 37/19; 19/10; 2; 2; 21/10; 19/10; 19/10; 2; 37/19; 37/19; 2; 39/20; 37/19; 19/10; 2; 
Draw; 12/5; 12/5; 9/4; 12/5; 121/0; 12/5; 9/4; 9/4; 40/17; 11/5; 12/5; 11/5; 11/5; 21/10; 23/10; 11/5; 12/5; 9/4; 40/17; 12/5; 23/10; 11/5; 11/5; 12/5
META; english/league-1/southend-v-rotherham; 2018-03-19 18:33:14 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 13/10; 7/5; 27/20; 11/8; 36/25; 13/10; 11/8; 5/4; 11/8; 27/20; 11/8; 13/10; 5/4; 11/8; 7/5; 11/8; 13/10; 5/4; 13/10; 11/8; 11/8; 27/20; 23/17; 6/5; 13/10; 7/5; 7/5
Rotherham; 13/10; 13/10; 27/20; 13/10; 36/25; 13/10; 11/8; 13/10; 11/8; 27/20; 11/8; 11/8; 5/4; 11/8; 5/4; 13/10; 13/10; 5/4; 13/10; 11/8; 11/8; 27/20; 23/17; 6/5; 13/10; 7/5; 7/5
Southend; 2; 21/10; 2; 21/10; 52/25; 2; 2; 37/19; 2; 21/10; 2; 41/20; 9/5; 2; 19/10; 21/10; 37/19; 37/19; 2; 39/20; 37/19; 9/5; 9/5; 2; ; ; 
Draw; 12/5; 23/10; 9/4; 23/10; 61/25; 12/5; 9/4; 23/10; 23/10; 11/5; 12/5; 21/10; 23/10; 9/4; 21/10; 9/4; 11/5; 23/10; 9/4; 23/10; 12/5; 23/10; 11/5; 21/10; 2; 23/10; 12/5
META; english/league-1/southend-v-rotherham; 2018-03-20 18:33:24 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 13/10; 13/10; 27/20; 13/10; 36/25; 13/10; 11/8; 13/10; 11/8; 11/8; 11/8; 11/8; 5/4; 11/8; 5/4; 13/10; 23/17; 5/4; 13/10; 11/8; 11/8; 27/20; 23/17; 6/5; 13/10; 7/5; 7/5
Southend; 2; 21/10; 2; 21/10; 52/25; 2; 2; 37/19; 2; 21/10; 2; 41/20; 9/5; 2; 37/19; 21/10; 37/19; 37/19; 2; 39/20; 37/19; 9/5; 9/5; 2; ; ; 
Draw; 12/5; 23/10; 9/4; 23/10; 61/25; 12/5; 9/4; 23/10; 23/10; 9/4; 12/5; 21/10; 23/10; 9/4; 21/10; 23/10; 9/4; 23/10; 9/4; 23/10; 12/5; 23/10; 9/4; 11/5; 2; 23/10; 12/5
META; english/league-1/southend-v-rotherham; 2018-03-20 22:33:22 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 13/10; 13/10; 27/20; 13/10; 36/25; 13/10; 11/8; 13/10; 11/8; 11/8; 11/8; 11/8; 5/4; 11/8; 5/4; 13/10; 23/17; 5/4; 13/10; 11/8; 11/8; 27/20; 23/17; 5/4; 13/10; 7/5; 7/5
Southend; 2; 21/10; 2; 21/10; 52/25; 2; 2; 37/19; 2; 21/10; 2; 41/20; 9/5; 2; 37/19; 21/10; 37/19; 37/19; 2; 39/20; 37/19; 19/10; 9/5; 2; ; ; 
Draw; 12/5; 23/10; 9/4; 23/10; 61/25; 12/5; 9/4; 23/10; 23/10; 9/4; 12/5; 21/10; 23/10; 9/4; 21/10; 23/10; 9/4; 23/10; 9/4; 23/10; 12/5; 23/10; 9/4; 11/5; 2; 23/10; 12/5
META; english/league-1/southend-v-rotherham; 2018-03-21 02:33:29 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 13/10; 13/10; 27/20; 13/10; 36/25; 13/10; 11/8; 13/10; 11/8; 11/8; 11/8; 11/8; 5/4; 11/8; 5/4; 13/10; 23/17; 5/4; 13/10; 11/8; 11/8; 27/20; 23/17; 13/10; 13/10; 7/5; 7/5
Southend; 2; 21/10; 2; 21/10; 52/25; 2; 2; 37/19; 2; 21/10; 2; 41/20; 9/5; 2; 37/19; 21/10; 37/19; 37/19; 2; 39/20; 37/19; 9/5; 9/5; 2; ; ; 
Draw; 12/5; 23/10; 9/4; 23/10; 61/25; 12/5; 9/4; 23/10; 23/10; 9/4; 12/5; 21/10; 23/10; 9/4; 21/10; 23/10; 9/4; 23/10; 9/4; 23/10; 12/5; 23/10; 9/4; 11/5; 2; 23/10; 12/5
META; english/league-1/southend-v-rotherham; 2018-03-21 10:33:32 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 13/10; 13/10; 27/20; 13/10; 36/25; 13/10; 11/8; 13/10; 11/8; 11/8; 11/8; 11/8; 5/4; 11/8; 5/4; 13/10; 23/17; 5/4; 13/10; 11/8; 11/8; 27/20; 23/17; 27/20; 7/5; 7/5
Southend; 2; 21/10; 2; 21/10; 52/25; 2; 2; 37/19; 2; 21/10; 2; 41/20; 9/5; 2; 37/19; 21/10; 37/19; 37/19; 2; 39/20; 2; 9/5; 2; ; ; 
Draw; 12/5; 23/10; 9/4; 23/10; 61/25; 12/5; 9/4; 23/10; 23/10; 9/4; 12/5; 21/10; 23/10; 9/4; 21/10; 23/10; 9/4; 23/10; 9/4; 23/10; 12/5; 23/10; 9/4; 11/5; 23/10; 12/5
META; english/league-1/southend-v-rotherham; 2018-03-21 14:33:34 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 13/10; 13/10; 27/20; 13/10; 36/25; 13/10; 11/8; 13/10; 11/8; 11/8; 11/8; 11/8; 5/4; 11/8; 5/4; 13/10; 23/17; 5/4; 13/10; 11/8; 11/8; 27/20; 23/17; 27/20; 13/10; 7/5; 7/5
Southend; 2; 21/10; 2; 21/10; 52/25; 2; 2; 37/19; 2; 21/10; 2; 41/20; 9/5; 2; 37/19; 21/10; 37/19; 37/19; 2; 39/20; 37/19; 9/5; 9/5; 2; ; ; 
Draw; 12/5; 23/10; 9/4; 23/10; 61/25; 12/5; 9/4; 23/10; 23/10; 9/4; 12/5; 21/10; 23/10; 9/4; 21/10; 23/10; 9/4; 23/10; 9/4; 23/10; 12/5; 23/10; 9/4; 11/5; 2; 23/10; 12/5
META; english/league-1/southend-v-rotherham; 2018-03-21 18:33:35 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 13/10; 13/10; 27/20; 13/10; 36/25; 13/10; 11/8; 13/10; 11/8; 11/8; 11/8; 11/8; 5/4; 11/8; 5/4; 13/10; 23/17; 5/4; 13/10; 11/8; 11/8; 27/20; 23/17; 7/5; 13/10; 7/5; 7/5
Southend; 2; 21/10; 2; 21/10; 52/25; 2; 2; 37/19; 2; 21/10; 2; 41/20; 9/5; 2; 37/19; 21/10; 37/19; 37/19; 2; 39/20; 2; 9/5; 9/5; 2; ; ; 
Draw; 12/5; 23/10; 9/4; 23/10; 61/25; 12/5; 9/4; 23/10; 23/10; 9/4; 12/5; 21/10; 23/10; 9/4; 21/10; 23/10; 23/10; 23/10; 9/4; 23/10; 12/5; 23/10; 23/10; 11/5; 2; 23/10; 12/5
META; english/league-1/southend-v-rotherham; 2018-03-21 22:33:34 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 13/10; 13/10; 27/20; 13/10; 36/25; 13/10; 11/8; 13/10; 11/8; 11/8; 11/8; 11/8; 5/4; 11/8; 5/4; 13/10; 23/17; 5/4; 13/10; 11/8; 11/8; 27/20; 23/17; 13/10; 13/10; 7/5; 7/5
Southend; 2; 21/10; 2; 21/10; 52/25; 2; 2; 37/19; 2; 21/10; 2; 41/20; 9/5; 2; 37/19; 21/10; 37/19; 37/19; 2; 39/20; 2; 9/5; 9/5; 2; ; ; 
Draw; 12/5; 23/10; 9/4; 23/10; 61/25; 12/5; 9/4; 23/10; 23/10; 9/4; 12/5; 21/10; 23/10; 9/4; 21/10; 23/10; 23/10; 23/10; 9/4; 23/10; 12/5; 23/10; 23/10; 11/5; 2; 23/10; 12/5
META; english/league-1/southend-v-rotherham; 2018-03-22 02:33:26 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 13/10; 13/10; 27/20; 13/10; 29/20; 13/10; 11/8; 13/10; 11/8; 11/8; 11/8; 11/8; 5/4; 11/8; 5/4; 13/10; 23/17; 5/4; 13/10; 11/8; 11/8; 27/20; 23/17; 13/10; 13/10; 7/5; 7/5
Southend; 2; 21/10; 2; 21/10; 103/0; 2; 2; 37/19; 2; 21/10; 2; 9/5; 2; 37/19; 21/10; 37/19; 37/19; 21/10; 39/20; 2; 9/5; 9/5; 2; ; ; ; 
Draw; 12/5; 23/10; 9/4; 23/10; 61/25; 12/5; 9/4; 23/10; 23/10; 9/4; 23/10; 21/10; 23/10; 23/10; 21/10; 23/10; 23/10; 23/10; 9/4; 23/10; 23/10; 23/10; 23/10; 11/5; 2; 23/10; 12/5
META; english/league-1/southend-v-rotherham; 2018-03-22 10:33:35 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 13/10; 13/10; 27/20; 13/10; 36/25; 13/10; 11/8; 13/10; 11/8; 11/8; 11/8; 11/8; 5/4; 11/8; 5/4; 13/10; 7/5; 5/4; 13/10; 11/8; 11/8; 27/20; 7/5; 13/10; 13/10; 7/5; 7/5
Southend; 2; 21/10; 2; 21/10; 52/25; 2; 2; 37/19; 2; 21/10; 2; 9/5; 2; 21/10; 37/19; 37/19; 21/10; 39/20; 2; 15/8; 9/5; 2; ; ; ; ; 
Draw; 12/5; 23/10; 9/4; 23/10; 61/25; 12/5; 9/4; 23/10; 23/10; 9/4; 23/10; 21/10; 23/10; 23/10; 21/10; 23/10; 11/5; 23/10; 9/4; 23/10; 23/10; 23/10; 11/5; 23/10; 2; 23/10; 12/5
META; english/league-1/southend-v-rotherham; 2018-03-22 14:33:39 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 13/10; 13/10; 27/20; 13/10; 36/25; 7/5; 11/8; 13/10; 11/8; 27/20; 11/8; 11/8; 5/4; 11/8; 5/4; 13/10; 23/17; 5/4; 5/4; 11/8; 11/8; 27/20; 23/17; 13/10; 13/10; 7/5; 7/5
Southend; 2; 21/10; 2; 21/10; 52/25; 21/10; 2; 37/19; 2; 21/10; 2; 9/5; 2; 21/10; 21/10; 37/19; 2; 39/20; 2; 19/10; 9/5; 2; ; ; ; ; 
Draw; 12/5; 23/10; 9/4; 23/10; 61/25; 5/2; 9/4; 23/10; 23/10; 9/4; 23/10; 21/10; 23/10; 23/10; 21/10; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 2; 12/5; 12/5
META; english/league-1/southend-v-rotherham; 2018-03-22 18:33:41 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 13/10; 13/10; 27/20; 13/10; 143/00; 7/5; 13/10; 13/10; 11/8; 27/20; 11/8; 11/8; 5/4; 11/8; 5/4; 13/10; 23/17; 5/4; 5/4; 11/8; 11/8; 27/20; 23/17; 13/10; 13/10; 11/8; 11/8
Southend; 2; 21/10; 2; 21/10; 52/25; 21/10; 2; 37/19; 2; 21/10; 2; 9/5; 2; 21/10; 21/10; 37/19; 2; 21/10; 2; 15/8; 2; ; ; ; ; ; 
Draw; 12/5; 23/10; 9/4; 23/10; 49/20; 5/2; 9/4; 12/5; 23/10; 9/4; 23/10; 21/10; 23/10; 23/10; 21/10; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 47/20; 23/10; 23/10; 21/10; 12/5; 12/5
META; english/league-1/southend-v-rotherham; 2018-03-22 22:33:38 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 23/20; 13/10; 23/20; 13/10; 121/00; 13/10; 6/5; 6/5; 15/13; 6/5; 6/5; 23/20; 5/4; 23/20; 23/20; 6/5; 15/13; 5/4; 7/6; 15/13; 23/20; 6/5; 15/13; 6/5; 23/20; 6/5; 5/4
Southend; 9/4; 21/10; 23/10; 21/10; 123/0; 12/5; 9/4; 9/4; 23/10; 23/10; 23/10; 12/5; 2; 47/20; 2; 9/4; 40/17; 21/10; 11/5; 23/10; 12/5; 47/20; 40/17; 11/5; 9/4; 12/5; 12/5
Draw; 12/5; 23/10; 23/10; 23/10; 63/25; 5/2; 23/10; 23/10; 40/17; 23/10; 12/5; 23/10; 23/10; 23/10; 21/10; 12/5; 40/17; 23/10; 40/17; 40/17; 12/5; 12/5; 12/5; 23/10; 12/5; 5/2; 23/10
META; english/league-1/southend-v-rotherham; 2018-03-23 02:33:30 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 5/4; 13/10; 23/20; 5/4; 121/00; 6/5; 6/5; 11/10; 15/13; 6/5; 23/20; 23/20; 5/4; 23/20; 23/20; 6/5; 15/13; 5/4; 7/6; 15/13; 23/20; 6/5; 6/5; 6/5; 6/5; 6/5; 5/4
Southend; 12/5; 21/10; 23/10; 11/5; 123/0; 5/2; 9/4; 23/10; 23/10; 23/10; 12/5; 12/5; 2; 47/20; 2; 23/10; 40/17; 21/10; 11/5; 23/10; 23/10; 47/20; 23/10; 9/4; 12/5; 12/5; 
Draw; 5/2; 23/10; 23/10; 23/10; 63/25; 5/2; 23/10; 23/10; 40/17; 23/10; 12/5; 23/10; 23/10; 23/10; 21/10; 23/10; 40/17; 23/10; 40/17; 40/17; 5/2; 12/5; 23/10; 12/5; 12/5; 5/2; 12/5
META; english/league-1/southend-v-rotherham; 2018-03-23 10:33:38 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 5/4; 23/20; 23/20; 5/4; 121/00; 6/5; 6/5; 11/10; 15/13; 6/5; 23/20; 23/20; 5/4; 23/20; 23/20; 6/5; 15/13; 6/5; 7/6; 15/13; 23/20; 15/13; 6/5; 6/5; 23/20; 5/4
Southend; 12/5; 23/10; 23/10; 11/5; 123/0; 5/2; 9/4; 23/10; 23/10; 23/10; 12/5; 12/5; 2; 47/20; 2; 23/10; 40/17; 9/4; 11/5; 23/10; 23/10; 23/10; 9/4; 23/10; 12/5; 
Draw; 5/2; 23/10; 23/10; 23/10; 63/25; 5/2; 23/10; 23/10; 40/17; 23/10; 12/5; 23/10; 23/10; 23/10; 21/10; 23/10; 40/17; 9/4; 40/17; 40/17; 5/2; 40/17; 12/5; 12/5; 12/5; 12/5
META; english/league-1/southend-v-rotherham; 2018-03-23 14:33:38 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 5/4; 23/20; 23/20; 6/5; 121/00; 6/5; 6/5; 11/10; 15/13; 6/5; 6/5; 23/20; 5/4; 23/20; 23/20; 6/5; 15/13; 6/5; 7/6; 15/13; 6/5; 15/13; 6/5; 6/5; 23/20; 6/5
Southend; 12/5; 23/10; 23/10; 23/10; 123/0; 5/2; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 2; 47/20; 2; 23/10; 40/17; 9/4; 11/5; 23/10; 12/5; 23/10; 23/10; 9/4; 12/5; 
Draw; 5/2; 23/10; 23/10; 23/10; 63/25; 5/2; 23/10; 23/10; 40/17; 23/10; 12/5; 23/10; 23/10; 23/10; 21/10; 23/10; 40/17; 9/4; 40/17; 40/17; 12/5; 40/17; 12/5; 5/2; 12/5; 12/5
META; english/league-1/southend-v-rotherham; 2018-03-23 18:33:43 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 5/4; 23/20; 5/4; 6/5; 121/00; 13/10; 5/4; 5/4; 15/13; 13/10; 5/4; 23/20; 5/4; 6/5; 23/20; 5/4; 15/13; 6/5; 17/14; 15/13; 13/10; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4
Southend; 12/5; 23/10; 21/10; 23/10; 123/0; 23/10; 11/5; 21/10; 23/10; 11/5; 11/5; 12/5; 2; 43/20; 2; 23/10; 40/17; 9/4; 28/13; 23/10; 11/5; 9/4; 9/4; 9/4; 23/10; 11/5; 23/10
Draw; 5/2; 23/10; 9/4; 23/10; 63/25; 12/5; 23/10; 23/10; 40/17; 23/10; 12/5; 23/10; 23/10; 23/10; 21/10; 23/10; 40/17; 9/4; 40/17; 40/17; 12/5; 47/20; 40/17; 23/10; 12/5; 23/10; 12/5
META; english/league-1/southend-v-rotherham; 2018-03-23 22:33:36 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 5/4; 13/10; 5/4; 6/5; 131/00; 13/10; 5/4; 5/4; 15/13; 13/10; 5/4; 23/20; 5/4; 13/10; 23/20; 5/4; 15/13; 6/5; 17/14; 15/13; 13/10; 5/4; 6/5; 6/5; 5/4; 5/4; 
Southend; 12/5; 21/10; 21/10; 23/10; 123/0; 23/10; 11/5; 21/10; 23/10; 11/5; 11/5; 12/5; 2; 43/20; 2; 11/5; 40/17; 9/4; 28/13; 23/10; 85/40; 9/4; 9/4; 9/4; 9/4; 11/5; 23/10
Draw; 5/2; 23/10; 9/4; 23/10; 62/25; 12/5; 23/10; 23/10; 40/17; 23/10; 12/5; 23/10; 23/10; 23/10; 21/10; 23/10; 23/10; 9/4; 40/17; 40/17; 5/2; 47/20; 40/17; 23/10; 12/5; 23/10; 12/5
META; english/league-1/southend-v-rotherham; 2018-03-24 02:33:26 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 5/4; 13/10; 5/4; 6/5; 63/50; 13/10; 6/5; 5/4; 15/13; 5/4; 5/4; 23/20; 5/4; 5/4; 23/20; 5/4; 15/13; 6/5; 17/14; 15/13; 13/10; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4
Southend; 12/5; 21/10; 11/5; 23/10; 59/25; 23/10; 11/5; 21/10; 23/10; 11/5; 11/5; 12/5; 11/5; 43/20; 2; 11/5; 9/4; 9/4; 28/13; 23/10; 85/40; 9/4; 9/4; 9/4; 23/10; 11/5; 23/10
Draw; 5/2; 23/10; 9/4; 23/10; 5/2; 12/5; 23/10; 23/10; 40/17; 23/10; 12/5; 23/10; 23/10; 23/10; 21/10; 23/10; 40/17; 9/4; 40/17; 40/17; 5/2; 47/20; 23/10; 12/5; 23/10; 12/5; 
META; english/league-1/southend-v-rotherham; 2018-03-24 10:33:39 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Rotherham; 13/10; 6/5; 6/5; 6/5; 32/25; 13/10; 5/4; 6/5; 16/13; 6/5; 5/4; 6/5; 6/5; 6/5; 23/20; 6/5; 15/13; 6/5; 17/14; 16/13; 6/5; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4
Southend; 12/5; 9/4; 9/4; 23/10; 119/0; 5/2; 9/4; 23/10; 28/13; 23/10; 23/10; 23/10; 23/10; 9/4; 2; 23/10; 9/4; 9/4; 28/13; 28/13; 23/10; 9/4; 23/10; 9/4; 23/10; 23/10; 23/10
