META; english/league-1/walsall-v-wigan; 2018-03-17 22:20:11 GMT+2; 2018-03-21 19:45; Nothing; Xlenovo
Wigan; 8/11; 2/3; 7/10; 4/6; 13/18; 3/4; 8/11; 13/18; 3/4; 8/11; 4/11; 4/6
Draw; 13/5; 13/5; 13/5; 13/5; 28/11; 13/5; 13/5; 28/11; 13/5; 13/5; 21/10; 13/5
Walsall; 15/4; 9/2; 4; 7/2; 39/10; 19/5; 15/4; 39/10; 4; 15/4; 7/5; 22/5
META; english/league-1/walsall-v-wigan; 2018-03-18 02:20:28 GMT+2; 2018-03-21 19:45; Nothing; Xlenovo
Wigan; 8/11; 2/3; 7/10; 4/6; 13/18; 8/11; 3/4; 7/10; 5/7; 13/18; 8/11; 8/11; 14/19; 4/9; 4/6
Draw; 13/5; 13/5; 13/5; 13/5; 28/11; 13/5; 5/2; 5/2; 28/11; 28/11; 13/5; 13/5; 13/5; 23/10; 13/5
Walsall; 15/4; 9/2; 4; 7/2; 39/10; 4; 4; 37/10; 39/10; 17/4; 15/4; 15/4; 7/5; 22/5; 
META; english/league-1/walsall-v-wigan; 2018-03-18 10:20:57 GMT+2; 2018-03-21 19:45; Nothing; Xlenovo
Wigan; 13/20; 2/3; 4/6; 4/6; 4/6; 7/10; 7/10; 7/10; 8/11; 4/6; 4/6; 13/18; 7/10; 8/11; 4/6; 4/6; 1/2; 4/6
Draw; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; 27/10; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 53/20; 45/17; 21/10; 13/5
Walsall; 17/4; 9/2; 21/5; 4; 4; 21/5; 9/2; 4; 77/19; 15/4; 4; 21/5; 4; 77/19; 6/4; 22/5; ; 
META; english/league-1/walsall-v-wigan; 2018-03-18 14:21:37 GMT+2; 2018-03-21 19:45; Nothing; Xlenovo
Wigan; 13/20; 7/10; 7/10; 67/00; 4/6; 4/6; 7/10; 7/10; 4/6; 7/10; 7/10; 8/11; 4/6; 13/18; 8/11; 7/10; 7/10; 4/6; 9/13; 8/13; 4/7; 8/13
Draw; 11/4; 13/5; 13/5; 72/25; 13/5; 13/5; 13/5; 13/5; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; 45/17; 13/5; 11/4; 53/20; 28/11; 12/5; 23/10; 11/4
Walsall; 17/4; 4; 21/5; 49/10; 17/4; 4; 21/5; 9/2; 4; 17/4; 4; 4; 15/4; 57/17; 4; 21/5; 4; 77/19; 3; 24/5; ; 
META; english/league-1/walsall-v-wigan; 2018-03-18 18:20:58 GMT+2; 2018-03-21 19:45; Nothing; Xlenovo
Wigan; 13/20; 7/10; 7/10; 71/00; 13/20; 4/6; 11/17; 7/10; 4/6; 7/10; 7/10; 8/11; 4/6; 11/17; 13/18; 8/11; 11/17; 7/10; 4/6; 11/17; 4/6; 4/7; 4/6; 4/6
Draw; 11/4; 13/5; 13/5; 141/0; 13/5; 13/5; 27/10; 13/5; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 45/17; 27/10; 11/4; 53/20; 45/17; 13/5; 23/10; 11/4; 11/4
Walsall; 17/4; 4; 17/4; 23/5; 17/4; 4; 43/10; 17/4; 9/2; 4; 17/4; 4; 17/4; 15/4; 57/17; 43/10; 21/5; 4; 43/10; 4; 9/2; 23/5; ; 
META; english/league-1/walsall-v-wigan; 2018-03-19 02:32:30 GMT+2; 2018-03-21 19:45; Nothing; Xlenovo
Wigan; 13/20; 7/10; 4/6; 71/00; 7/10; 13/20; 4/6; 11/17; 4/6; 4/6; 4/6; 3/4; 8/11; 4/6; 4/6; 11/17; 7/11; 11/17; 4/6; 4/6; 4/6; 8/13; 4/7; 4/6; 4/6
Draw; 11/4; 13/5; 13/5; 141/0; 11/4; 13/5; 13/5; 27/10; 13/5; 11/4; 13/5; 13/5; 13/5; 13/5; 45/17; 27/10; 37/13; 27/10; 14/5; 13/5; 27/10; 13/5; 23/10; 11/4; 14/5
Walsall; 17/4; 4; 9/2; 23/5; 4; 17/4; 4; 43/10; 9/2; 9/2; 9/2; 7/2; 4; 22/5; 17/4; 15/4; 43/10; 22/5; 17/4; 22/5; 21/5; 21/5; 9/2; 24/5; 
META; english/league-1/walsall-v-wigan; 2018-03-19 10:32:37 GMT+2; 2018-03-21 19:45; Nothing; Xlenovo
Wigan; 4/6; 7/10; 4/6; 4/6; 71/00; 7/10; 5/8; 8/13; 11/17; 4/6; 4/6; 4/6; 3/4; 7/10; 8/13; 11/17; 11/17; 7/11; 11/17; 4/6; 4/6; 11/17; 4/6; 4/7; 4/6; 4/6
Draw; 14/5; 13/5; 13/5; 13/5; 141/0; 29/10; 13/5; 13/5; 27/10; 27/10; 11/4; 13/5; 13/5; 14/5; 13/5; 45/17; 27/10; 37/13; 27/10; 14/5; 13/5; 27/10; 13/5; 23/10; 11/4; 14/5
Walsall; 5; 9/2; 9/2; 23/5; 9/2; 9/2; 4; 43/10; 9/2; 9/2; 9/2; 7/2; 17/4; 9/2; 9/2; 17/4; 15/4; 43/10; 22/5; 17/4; 9/2; 21/5; 22/5; 9/2; 24/5; 
META; english/league-1/walsall-v-wigan; 2018-03-19 14:32:43 GMT+2; 2018-03-21 19:45; Nothing; Xlenovo
Wigan; 4/6; 4/6; 4/6; 7/10; 73/00; 7/10; 13/20; 8/13; 11/17; 4/6; 4/6; 4/6; 3/4; 4/6; 7/10; 4/6; 4/6; 11/17; 7/11; 11/17; 13/20; 4/6; 4/6; 4/6; 8/13; 4/6; 4/6
Draw; 14/5; 13/5; 13/5; 13/5; 68/25; 14/5; 13/5; 13/5; 27/10; 13/5; 13/5; 13/5; 13/5; 13/5; 14/5; 5/2; 13/5; 27/10; 37/13; 27/10; 14/5; 13/5; 13/5; 13/5; 13/5; 13/5; 14/5
Walsall; 5; 9/2; 9/2; 4; 23/5; 5; 17/4; 9/2; 43/10; 9/2; 9/2; 9/2; 7/2; 9/2; 17/4; 9/2; 22/5; 17/4; 15/4; 43/10; 9/2; 17/4; 49/11; 21/5; 22/5; 22/5; 23/5
META; english/league-1/walsall-v-wigan; 2018-03-19 18:32:44 GMT+2; 2018-03-21 19:45; Nothing; Xlenovo
Wigan; 4/6; 4/6; 4/6; 7/10; 73/00; 7/10; 13/20; 8/13; 11/17; 4/6; 4/6; 4/6; 3/4; 4/6; 7/10; 4/6; 4/6; 11/17; 11/17; 11/17; 13/20; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6
Draw; 14/5; 13/5; 13/5; 13/5; 69/25; 14/5; 13/5; 13/5; 27/10; 13/5; 13/5; 13/5; 13/5; 13/5; 14/5; 13/5; 13/5; 27/10; 37/13; 27/10; 14/5; 13/5; 13/5; 13/5; 13/5; 27/10; 13/5
Walsall; 5; 9/2; 9/2; 4; 9/2; 5; 17/4; 9/2; 43/10; 9/2; 9/2; 9/2; 7/2; 9/2; 17/4; 4; 22/5; 17/4; 39/10; 43/10; 9/2; 17/4; 49/11; 21/5; 9/2; 22/5; 24/5
META; english/league-1/walsall-v-wigan; 2018-03-19 22:32:45 GMT+2; 2018-03-21 19:45; Nothing; Xlenovo
Wigan; 8/11; 4/6; 7/10; 8/13; 37/50; 8/11; 4/6; 4/6; 8/13; 8/11; 7/10; 3/4; 3/4; 8/11; 8/11; 7/10; 4/6; 11/17; 14/19; 8/13; 8/11; 7/10; 4/6; 4/6; 4/6; 8/11; 8/11
Draw; 11/4; 13/5; 5/2; 11/4; 69/25; 11/4; 13/5; 13/5; 27/10; 13/5; 13/5; 12/5; 13/5; 13/5; 13/5; 5/2; 13/5; 27/10; 45/17; 27/10; 11/4; 53/20; 13/5; 5/2; 5/2; 27/10; 13/5
Walsall; 9/2; 9/2; 4; 9/2; 22/5; 9/2; 17/4; 4; 23/5; 21/5; 9/2; 4; 7/2; 4; 9/2; 4; 22/5; 17/4; 7/2; 23/5; 4; 17/4; 49/11; 22/5; 9/2; 9/2; 23/5
META; english/league-1/walsall-v-wigan; 2018-03-20 02:32:51 GMT+2; 2018-03-21 19:45; Nothing; Xlenovo
Wigan; 8/11; 4/6; 7/10; 8/13; 37/50; 8/11; 4/6; 4/6; 7/11; 8/11; 7/10; 3/4; 3/4; 8/11; 8/11; 7/10; 4/6; 11/17; 14/19; 7/11; 8/11; 7/10; 4/6; 4/6; 4/6; 8/11; 8/11
Draw; 11/4; 13/5; 5/2; 11/4; 69/25; 11/4; 13/5; 13/5; 27/10; 13/5; 13/5; 12/5; 13/5; 13/5; 13/5; 5/2; 13/5; 27/10; 45/17; 27/10; 11/4; 53/20; 13/5; 13/5; 13/5; 27/10; 
Walsall; 9/2; 9/2; 4; 9/2; 22/5; 9/2; 17/4; 4; 22/5; 21/5; 9/2; 4; 7/2; 4; 9/2; 4; 22/5; 17/4; 7/2; 22/5; 4; 17/4; 49/11; 22/5; 9/2; 9/2; 23/5
META; english/league-1/walsall-v-wigan; 2018-03-20 10:32:57 GMT+2; 2018-03-21 19:45; Nothing; Xlenovo
Wigan; 8/11; 8/11; 7/10; 3/4; 37/50; 8/11; 4/6; 4/6; 7/11; 7/10; 7/10; 3/4; 3/4; 7/10; 8/11; 7/10; 4/6; 11/17; 7/10; 7/11; 7/10; 7/10; 4/6; 4/6; 4/6; 8/11; 4/6
Draw; 11/4; 13/5; 13/5; 13/5; 69/25; 11/4; 13/5; 13/5; 27/10; 13/5; 13/5; 12/5; 13/5; 13/5; 13/5; 5/2; 13/5; 27/10; 27/10; 27/10; 11/4; 53/20; 13/5; 13/5; 13/5; 27/10; 13/5
Walsall; 9/2; 4; 21/5; 19/5; 22/5; 9/2; 17/4; 4; 22/5; 17/4; 9/2; 4; 7/2; 17/4; 9/2; 4; 22/5; 17/4; 37/10; 22/5; 21/5; 17/4; 49/11; 21/5; 21/5; 22/5; 23/5
META; english/league-1/walsall-v-wigan; 2018-03-20 14:32:49 GMT+2; 2018-03-21 19:45; Nothing; Xlenovo
Wigan; 7/10; 8/11; 7/10; 7/10; 37/50; 8/11; 4/6; 4/6; 7/11; 7/10; 7/10; 3/4; 3/4; 7/10; 8/11; 7/10; 4/6; 11/17; 7/10; 7/11; 7/10; 7/10; 4/6; 4/6; 4/6; 8/11; 8/11
Draw; 29/10; 13/5; 13/5; 13/5; 69/25; 3; 13/5; 11/4; 27/10; 13/5; 11/4; 12/5; 13/5; 13/5; 13/5; 5/2; 13/5; 27/10; 27/10; 27/10; 14/5; 53/20; 13/5; 11/4; 14/5; 27/10; 14/5
Walsall; 9/2; 4; 21/5; 4; 22/5; 4; 17/4; 4; 22/5; 17/4; 4; 7/2; 17/4; 9/2; 4; 22/5; 17/4; 37/10; 22/5; 21/5; 17/4; 49/11; 21/5; 9/2; 22/5; 23/5; 
META; english/league-1/walsall-v-wigan; 2018-03-20 18:32:54 GMT+2; 2018-03-21 19:45; Nothing; Xlenovo
