META; english/league-2/colchester-v-mansfield; 2017-10-01 02:22:15 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Colchester; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-2/colchester-v-mansfield; 2017-10-01 10:22:13 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Colchester; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-2/colchester-v-mansfield; 2017-10-01 14:22:22 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 13/10; 5/4; ; ; ; ; ; 13/10; ; ; ; ; ; 11/8; ; ; ; ; ; 139/100; ; ; ; ; 13/10; ; 5/4; ; 
Colchester; 2; 2; ; ; ; ; ; 2; ; ; ; ; ; 11/5; ; ; ; ; ; 21/10; ; ; ; ; 39/20; ; 19/10; ; 
Draw; 12/5; 23/10; ; ; ; ; ; 12/5; ; ; ; ; ; 5/2; ; ; ; ; ; 63/25; ; ; ; ; 12/5; ; 9/4; ; 
META; english/league-2/colchester-v-mansfield; 2017-10-01 18:21:48 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 13/10; 5/4; ; ; 13/10; 5/4; 13/10; 13/10; 13/10; ; 5/4; ; ; 11/8; ; ; 13/10; ; 5/4; 139/100; ; 13/10; ; ; 13/10; ; 5/4; ; 
Colchester; 2; 2; ; ; 2; 15/8; 85/40; 2; 2; ; 19/10; ; ; 11/5; ; ; 2; ; 37/19; 21/10; ; 2; ; ; 39/20; ; 19/10; ; 
Draw; 12/5; 23/10; ; ; 12/5; 11/5; 12/5; 12/5; 40/17; ; 13/5; ; ; 5/2; ; ; 23/10; ; 40/17; 63/25; ; 40/17; ; ; 12/5; ; 9/4; ; 
META; english/league-2/colchester-v-mansfield; 2017-10-01 22:21:35 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 13/10; 5/4; ; ; 13/10; 5/4; 13/10; 13/10; 13/10; ; 5/4; 5/4; ; 11/8; ; ; 13/10; ; 5/4; 139/100; ; 13/10; 13/10; ; 13/10; ; 5/4; ; 
Colchester; 2; 2; ; ; 2; 15/8; 85/40; 2; 2; ; 19/10; 39/20; ; 11/5; ; ; 2; ; 37/19; 21/10; ; 2; 2; ; 39/20; ; 19/10; ; 
Draw; 12/5; 23/10; ; ; 12/5; 11/5; 12/5; 12/5; 40/17; ; 13/5; 47/20; ; 5/2; ; ; 23/10; ; 40/17; 63/25; ; 40/17; 12/5; ; 12/5; ; 9/4; ; 
META; english/league-2/colchester-v-mansfield; 2017-10-02 02:21:27 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 13/10; 5/4; ; ; 13/10; 5/4; 13/10; 13/10; 13/10; ; 5/4; 5/4; ; 11/8; ; 13/10; 13/10; ; 5/4; 139/100; ; 13/10; 13/10; ; 13/10; ; 5/4; ; 
Colchester; 2; 2; ; ; 2; 15/8; 85/40; 2; 2; ; 19/10; 39/20; ; 11/5; ; 2; 2; ; 37/19; 21/10; ; 2; 2; ; 39/20; ; 19/10; ; 
Draw; 12/5; 23/10; ; ; 12/5; 11/5; 12/5; 12/5; 40/17; ; 13/5; 47/20; ; 5/2; ; 12/5; 23/10; ; 40/17; 63/25; ; 40/17; 12/5; ; 12/5; ; 9/4; ; 
META; english/league-2/colchester-v-mansfield; 2017-10-02 10:21:56 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 13/10; 5/4; ; 5/4; 13/10; 5/4; 13/10; 13/10; 13/10; ; 5/4; 5/4; ; 11/8; ; 13/10; 13/10; ; 5/4; 139/100; ; 13/10; 13/10; ; 13/10; ; 5/4; ; 
Colchester; 2; 2; ; 7/4; 2; 15/8; 85/40; 2; 2; ; 19/10; 39/20; ; 11/5; ; 2; 2; ; 37/19; 21/10; ; 2; 2; ; 39/20; ; 19/10; ; 
Draw; 12/5; 23/10; ; 11/5; 12/5; 11/5; 12/5; 12/5; 40/17; ; 13/5; 47/20; ; 5/2; ; 12/5; 23/10; ; 40/17; 63/25; ; 40/17; 12/5; ; 12/5; ; 9/4; ; 
META; english/league-2/colchester-v-mansfield; 2017-10-02 18:22:13 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 13/10; 13/10; 23/17; 11/8; 13/10; 5/4; ; 13/10; 13/10; 13/10; 13/10; 13/10; 23/20; 13/10; 11/8; 13/10; 13/10; 13/10; 139/100; 5/4; 13/10; 13/10; 11/8; 27/20; ; 5/4; 13/10; 
Colchester; 2; 2; 2; 19/10; 2; 15/8; ; 2; 2; 2; 19/10; 39/20; 9/4; 21/10; 19/10; 19/10; 2; 37/19; 21/10; 7/4; 2; 2; 2; 39/20; ; 19/10; 2; 
Draw; 12/5; 12/5; 23/10; 12/5; 12/5; 11/5; ; 23/10; 40/17; 9/4; 5/2; 9/4; 12/5; 12/5; 12/5; 23/10; 23/10; 23/10; 63/25; 12/5; 40/17; 23/10; 12/5; 23/10; ; 9/4; 21/10; 
META; english/league-2/colchester-v-mansfield; 2017-10-02 22:22:36 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 13/10; 13/10; 23/17; 11/8; 13/10; 5/4; ; 5/4; 13/10; 13/10; 13/10; 13/10; 23/20; 13/10; 11/8; 13/10; 13/10; 13/10; 139/100; 5/4; 13/10; 13/10; 11/8; 27/20; ; 5/4; 13/10; 
Colchester; 2; 2; 2; 19/10; 2; 15/8; ; 2; 2; 2; 19/10; 39/20; 9/4; 21/10; 19/10; 19/10; 2; 37/19; 21/10; 7/4; 2; 2; 2; 39/20; ; 19/10; 2; 
Draw; 12/5; 12/5; 23/10; 12/5; 12/5; 11/5; ; 12/5; 40/17; 9/4; 5/2; 9/4; 12/5; 5/2; 12/5; 23/10; 23/10; 23/10; 63/25; 12/5; 40/17; 23/10; 12/5; 23/10; ; 9/4; 21/10; 
META; english/league-2/colchester-v-mansfield; 2017-10-03 02:22:19 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 13/10; 13/10; 23/17; 11/8; 13/10; 5/4; ; 5/4; 13/10; 13/10; 13/10; 13/10; 23/20; 13/10; 11/8; 13/10; 13/10; 13/10; 139/100; 5/4; 13/10; 13/10; 11/8; 27/20; ; 5/4; 13/10; 
Colchester; 2; 2; 2; 19/10; 2; 15/8; ; 2; 2; 2; 19/10; 39/20; 9/4; 21/10; 19/10; 19/10; 2; 37/19; 21/10; 7/4; 2; 2; 2; 39/20; ; 19/10; 2; 
Draw; 12/5; 12/5; 23/10; 12/5; 12/5; 11/5; ; 12/5; 40/17; 9/4; 5/2; 9/4; 12/5; 5/2; 12/5; 23/10; 23/10; 23/10; 63/25; 12/5; 40/17; 23/10; 12/5; 23/10; ; 12/5; 21/10; 
META; english/league-2/colchester-v-mansfield; 2017-10-03 10:22:38 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 13/10; 13/10; 23/17; 11/8; 11/8; 5/4; 11/8; 13/10; 13/10; 27/20; 13/10; 13/10; 23/20; 13/10; 13/10; 13/10; 13/10; 13/10; 7/5; 5/4; 13/10; 13/10; 11/8; 27/20; ; 5/4; 13/10; 
Colchester; 2; 21/10; 21/10; 19/10; 2; 39/20; 2; 2; 2; 2; 21/10; 2; 9/4; 2; 21/10; 2; 21/10; 2; 109/50; 7/4; 2; 2; 2; 39/20; ; 19/10; 2; 
Draw; 12/5; 23/10; 11/5; 12/5; 23/10; 41/20; 23/10; 12/5; 40/17; 11/5; 9/4; 43/20; 12/5; 5/2; 23/10; 9/4; 11/5; 9/4; 12/5; 12/5; 40/17; 23/10; 12/5; 23/10; ; 9/4; 21/10; 
META; english/league-2/colchester-v-mansfield; 2017-10-03 14:22:50 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 13/10; 13/10; 23/17; 11/8; 11/8; 5/4; 11/8; 13/10; 13/10; 27/20; 13/10; 13/10; 23/20; 13/10; 13/10; 13/10; 13/10; 13/10; 7/5; 5/4; 13/10; 13/10; 11/8; 27/20; ; 27/20; 13/10; 
Colchester; 2; 21/10; 21/10; 19/10; 2; 39/20; 2; 2; 2; 2; 21/10; 2; 9/4; 2; 21/10; 2; 21/10; 2; 109/50; 7/4; 2; 2; 2; 39/20; ; 2; 2; 
Draw; 12/5; 23/10; 11/5; 12/5; 23/10; 41/20; 23/10; 12/5; 40/17; 11/5; 9/4; 43/20; 12/5; 5/2; 23/10; 9/4; 11/5; 9/4; 12/5; 12/5; 40/17; 23/10; 12/5; 23/10; ; 9/4; 21/10; 
META; english/league-2/colchester-v-mansfield; 2017-10-03 18:22:33 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 13/10; 13/10; 23/17; 13/10; 11/8; 5/4; 11/8; 13/10; 13/10; 27/20; 11/8; 13/10; 23/20; 13/10; 13/10; 13/10; 13/10; 23/17; 139/100; 5/4; 13/10; 13/10; 11/8; 27/20; ; 5/4; 13/10; 27/20
Colchester; 2; 21/10; 21/10; 21/10; 2; 39/20; 2; 2; 2; 21/10; 2; 2; 9/4; 2; 21/10; 2; 21/10; 39/19; 109/50; 7/4; 2; 2; 2; 39/20; ; 19/10; 2; 21/10
Draw; 12/5; 23/10; 11/5; 23/10; 23/10; 41/20; 23/10; 12/5; 40/17; 11/5; 9/4; 43/20; 12/5; 12/5; 23/10; 11/5; 11/5; 9/4; 121/50; 12/5; 40/17; 23/10; 12/5; 23/10; ; 9/4; 21/10; 11/5
META; english/league-2/colchester-v-mansfield; 2017-10-03 22:22:33 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 13/10; 13/10; 23/17; 13/10; 11/8; 5/4; 11/8; 13/10; 13/10; 27/20; 11/8; 13/10; 23/20; 13/10; 13/10; 13/10; 13/10; 13/10; 7/5; 5/4; 13/10; 13/10; 11/8; 27/20; ; 13/10; 13/10; 11/8
Colchester; 2; 21/10; 21/10; 21/10; 2; 39/20; 2; 2; 2; 21/10; 2; 2; 9/4; 2; 21/10; 2; 21/10; 39/19; 109/50; 7/4; 2; 2; 2; 39/20; ; 2; 2; 21/10
Draw; 12/5; 23/10; 11/5; 23/10; 23/10; 41/20; 23/10; 12/5; 40/17; 11/5; 9/4; 43/20; 12/5; 12/5; 23/10; 11/5; 11/5; 9/4; 12/5; 12/5; 40/17; 23/10; 12/5; 23/10; ; 9/4; 21/10; 12/5
META; english/league-2/colchester-v-mansfield; 2017-10-04 02:22:26 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 13/10; 13/10; 7/5; 13/10; 7/5; 5/4; 6/4; 7/5; 13/10; 27/20; 7/5; 11/8; 23/20; 7/5; 7/5; 11/8; 13/10; 7/5; 38/25; 13/10; 13/10; 7/5; 29/20; 11/8; ; 27/20; 27/20; 6/4
Colchester; 2; 21/10; 19/10; 21/10; 19/10; 39/20; 2; 15/8; 2; 21/10; 2; 19/10; 9/4; 2; 19/10; 19/10; 21/10; 19/10; 199/100; 19/11; 2; 2; 19/10; 39/20; ; 9/5; 9/5; 19/10
Draw; 12/5; 23/10; 11/5; 23/10; 23/10; 41/20; 11/5; 23/10; 40/17; 11/5; 9/4; 43/20; 12/5; 23/10; 23/10; 11/5; 11/5; 9/4; 12/5; 40/17; 40/17; 23/10; 12/5; 9/4; ; 9/4; 19/10; 23/10
META; english/league-2/colchester-v-mansfield; 2017-10-04 10:22:36 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 7/5; 7/5; 16/11; 6/4; 29/20; 5/4; 6/4; 7/5; 13/10; 29/20; 7/5; 11/8; 23/20; 7/5; 7/5; 11/8; 13/10; 7/5; 153/100; 13/10; 13/10; 7/5; 29/20; 11/8; ; 11/8; ; 6/4
Colchester; 9/5; 19/10; 19/10; 9/5; 19/10; 39/20; 19/10; 15/8; 2; 19/10; 2; 19/10; 9/4; 2; 19/10; 15/8; 21/10; 24/13; 197/100; 19/11; 2; 2; 15/8; 39/20; ; 19/10; ; 2
Draw; 12/5; 23/10; 11/5; 23/10; 23/10; 41/20; 11/5; 23/10; 40/17; 11/5; 9/4; 43/20; 12/5; 23/10; 23/10; 11/5; 11/5; 9/4; 12/5; 40/17; 40/17; 23/10; 12/5; 9/4; ; 9/4; ; 23/10
META; english/league-2/colchester-v-mansfield; 2017-10-04 14:22:39 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Mansfield; 7/5; 7/5; 16/11; 6/4; 29/20; 5/4; 6/4; 7/5; 13/10; 29/20; 7/5; 11/8; 23/20; 7/5; 7/5; 7/5; 13/10; 7/5; 153/100; 13/10; 13/10; 7/5; 29/20; 11/8; ; ; 7/5; 6/4
Colchester; 9/5; 19/10; 19/10; 9/5; 19/10; 39/20; 19/10; 15/8; 2; 19/10; 2; 19/10; 9/4; 2; 19/10; 15/8; 21/10; 24/13; 197/100; 19/11; 2; 2; 15/8; 39/20; ; ; 19/10; 2
Draw; 12/5; 23/10; 11/5; 23/10; 23/10; 41/20; 11/5; 23/10; 40/17; 11/5; 9/4; 43/20; 12/5; 23/10; 23/10; 11/5; 11/5; 9/4; 12/5; 40/17; 40/17; 23/10; 12/5; 9/4; ; ; 21/10; 23/10
META; english/league-2/colchester-v-mansfield; 2017-10-04 18:22:39 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
