META; english/league-2/newport-county-v-yeovil; 2017-10-01 02:22:25 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Yeovil; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
META; english/league-2/newport-county-v-yeovil; 2017-10-01 10:22:24 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Yeovil; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
META; english/league-2/newport-county-v-yeovil; 2017-10-01 14:22:32 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; 10/11; 10/11; ; ; 10/11; ; ; 5/6; ; ; ; ; ; 20/21; ; ; ; ; ; 1; ; ; ; ; 9/10; ; 5/6; ; 
Draw; 13/5; 12/5; ; ; 13/5; ; ; 13/5; ; ; ; ; ; 14/5; ; ; ; ; ; 137/50; ; ; ; ; 13/5; ; 5/2; ; 
Yeovil; 14/5; 14/5; ; ; 11/4; ; ; 11/4; ; ; ; ; ; 3; ; ; ; ; ; 72/25; ; ; ; ; 57/20; ; 11/4; ; 
META; english/league-2/newport-county-v-yeovil; 2017-10-01 18:21:57 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; 10/11; 10/11; ; ; 9/10; 17/20; 37/40; 5/6; 9/10; ; 10/11; ; ; 10/11; ; ; 9/10; 9/10; 10/11; 93/100; ; 9/10; ; ; 9/10; ; 5/6; ; 
Draw; 13/5; 12/5; ; ; 13/5; 12/5; 13/5; 11/4; 28/11; ; 13/5; ; ; 3; ; ; 13/5; 28/11; 28/11; 71/25; ; 28/11; ; ; 13/5; ; 11/4; ; 
Yeovil; 14/5; 14/5; ; ; 3; 13/5; 3; 11/4; 14/5; ; 14/5; ; ; 3; ; ; 14/5; 14/5; 11/4; 61/20; ; 14/5; ; ; 57/20; ; 11/4; ; 
META; english/league-2/newport-county-v-yeovil; 2017-10-01 22:21:45 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; 10/11; 10/11; ; ; 9/10; 17/20; 10/11; 5/6; 9/10; ; 10/11; 9/10; ; 10/11; ; ; 9/10; 9/10; 10/11; 23/25; ; 9/10; 9/10; ; 9/10; ; 5/6; ; 
Draw; 13/5; 12/5; ; ; 13/5; 12/5; 13/5; 11/4; 28/11; ; 13/5; 49/20; ; 3; ; ; 13/5; 28/11; 28/11; 72/25; ; 28/11; 13/5; ; 13/5; ; 11/4; ; 
Yeovil; 14/5; 14/5; ; ; 3; 13/5; 3; 11/4; 14/5; ; 14/5; 14/5; ; 3; ; ; 14/5; 14/5; 11/4; 61/20; ; 14/5; 14/5; ; 57/20; ; 11/4; ; 
META; english/league-2/newport-county-v-yeovil; 2017-10-02 02:21:37 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; 10/11; 10/11; ; ; 9/10; 17/20; 10/11; 5/6; 9/10; ; 10/11; 9/10; ; 10/11; ; 10/11; 9/10; 9/10; 10/11; 23/25; ; 9/10; 9/10; ; 9/10; ; 5/6; ; 
Draw; 13/5; 12/5; ; ; 13/5; 12/5; 13/5; 11/4; 28/11; ; 13/5; 49/20; ; 3; ; 13/5; 13/5; 28/11; 28/11; 72/25; ; 28/11; 13/5; ; 13/5; ; 11/4; ; 
Yeovil; 14/5; 14/5; ; ; 3; 13/5; 3; 11/4; 14/5; ; 14/5; 11/4; ; 3; ; 14/5; 14/5; 14/5; 11/4; 61/20; ; 14/5; 14/5; ; 57/20; ; 11/4; ; 
META; english/league-2/newport-county-v-yeovil; 2017-10-02 10:22:06 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; 10/11; 10/11; ; 5/6; 9/10; 17/20; 10/11; 5/6; 9/10; ; 10/11; 9/10; ; 10/11; ; 10/11; 9/10; 9/10; 10/11; 23/25; ; 9/10; 9/10; ; 9/10; ; 5/6; ; 
Draw; 13/5; 12/5; ; 23/10; 13/5; 12/5; 13/5; 11/4; 28/11; ; 13/5; 49/20; ; 3; ; 13/5; 13/5; 28/11; 28/11; 72/25; ; 28/11; 13/5; ; 13/5; ; 11/4; ; 
Yeovil; 14/5; 14/5; ; 13/5; 3; 13/5; 3; 11/4; 14/5; ; 14/5; 14/5; ; 3; ; 14/5; 14/5; 14/5; 11/4; 61/20; ; 14/5; 14/5; ; 57/20; ; 11/4; ; 
META; english/league-2/newport-county-v-yeovil; 2017-10-02 18:22:23 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; 10/11; 19/20; 10/11; 10/11; 10/11; 17/20; ; 10/11; 9/10; 10/11; 20/21; 10/11; 4/5; 10/11; 19/20; 10/11; 9/10; 10/11; 23/25; 19/20; 9/10; 1; 20/21; 19/20; ; 9/10; 10/11; 
Draw; 13/5; 5/2; 5/2; 5/2; 13/5; 12/5; ; 13/5; 28/11; 5/2; 12/5; 12/5; 13/5; 11/4; 5/2; 5/2; 13/5; 5/2; 14/5; 27/11; 28/11; 5/2; 13/5; 5/2; ; 5/2; 12/5; 
Yeovil; 11/4; 14/5; 29/10; 3; 11/4; 13/5; ; 11/4; 14/5; 14/5; 14/5; 27/10; 10/3; 29/10; 14/5; 13/5; 14/5; 37/13; 63/20; 40/17; 14/5; 14/5; 14/5; 11/4; ; 14/5; 14/5; 
META; english/league-2/newport-county-v-yeovil; 2017-10-02 22:22:46 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; 10/11; 19/20; 10/11; 10/11; 10/11; 17/20; ; 10/11; 9/10; 10/11; 20/21; 10/11; 4/5; 10/11; 19/20; 10/11; 9/10; 13/15; 23/25; 19/20; 9/10; 10/11; 20/21; 10/11; ; 10/11; 20/21; 
Draw; 13/5; 5/2; 5/2; 5/2; 13/5; 12/5; ; 13/5; 28/11; 5/2; 12/5; 12/5; 13/5; 11/4; 5/2; 5/2; 13/5; 5/2; 11/4; 27/11; 28/11; 13/5; 13/5; 5/2; ; 5/2; 23/10; 
Yeovil; 11/4; 14/5; 29/10; 3; 11/4; 13/5; ; 11/4; 14/5; 14/5; 14/5; 11/4; 10/3; 29/10; 14/5; 13/5; 14/5; 37/13; 16/5; 40/17; 14/5; 14/5; 14/5; 57/20; ; 14/5; 14/5; 
META; english/league-2/newport-county-v-yeovil; 2017-10-03 02:22:29 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; 10/11; 10/11; 10/11; 10/11; 10/11; 17/20; ; 10/11; 9/10; 10/11; 20/21; 10/11; 4/5; 10/11; 19/20; 10/11; 9/10; 13/15; 23/25; 19/20; 9/10; 10/11; 20/21; 10/11; ; 10/11; 20/21; 
Draw; 13/5; 13/5; 5/2; 5/2; 13/5; 12/5; ; 13/5; 28/11; 5/2; 12/5; 12/5; 13/5; 11/4; 5/2; 5/2; 13/5; 5/2; 11/4; 27/11; 28/11; 13/5; 13/5; 5/2; ; 13/5; 23/10; 
Yeovil; 11/4; 29/10; 29/10; 3; 11/4; 13/5; ; 11/4; 14/5; 14/5; 14/5; 11/4; 10/3; 29/10; 14/5; 11/4; 14/5; 37/13; 16/5; 40/17; 14/5; 14/5; 14/5; 57/20; ; 14/5; 14/5; 
META; english/league-2/newport-county-v-yeovil; 2017-10-03 10:22:48 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; 10/11; 10/11; 13/15; 10/11; 10/11; 17/20; 10/11; 5/6; 9/10; 20/23; 5/6; 9/10; 4/5; 10/11; 10/11; 10/11; 9/10; 5/6; 87/100; 8/9; 9/10; 10/11; 19/20; 10/11; ; 5/6; 5/6; 
Draw; 13/5; 13/5; 5/2; 5/2; 13/5; 12/5; 13/5; 13/5; 28/11; 5/2; 5/2; 12/5; 13/5; 11/4; 5/2; 5/2; 13/5; 28/11; 71/25; 5/2; 28/11; 13/5; 13/5; 5/2; ; 13/5; 5/2; 
Yeovil; 11/4; 29/10; 3; 3; 11/4; 13/5; 29/10; 3; 14/5; 3; 16/5; 29/10; 10/3; 3; 3; 14/5; 14/5; 56/19; 67/20; 5/2; 14/5; 14/5; 29/10; 57/20; ; 3; 3; 
META; english/league-2/newport-county-v-yeovil; 2017-10-03 14:23:01 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; 10/11; 10/11; 13/15; 10/11; 9/10; 17/20; 10/11; 5/6; 9/10; 20/23; 5/6; 9/10; 4/5; 10/11; 10/11; 10/11; 9/10; 13/15; 87/100; 13/15; 9/10; 10/11; 10/11; 10/11; ; 5/6; 5/6; 
Draw; 13/5; 13/5; 5/2; 5/2; 13/5; 12/5; 13/5; 13/5; 28/11; 5/2; 5/2; 12/5; 13/5; 11/4; 5/2; 5/2; 13/5; 28/11; 71/25; 27/11; 28/11; 13/5; 13/5; 5/2; ; 13/5; 5/2; 
Yeovil; 11/4; 29/10; 3; 3; 3; 13/5; 29/10; 3; 14/5; 3; 16/5; 29/10; 10/3; 3; 3; 14/5; 14/5; 56/19; 67/20; 45/17; 14/5; 14/5; 3; 57/20; ; 3; 3; 
META; english/league-2/newport-county-v-yeovil; 2017-10-03 18:22:44 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Newport County; 10/11; 10/11; 13/15; 10/11; 9/10; 17/20; 9/10; 5/6; 9/10; 20/23; 10/11; 17/20; 4/5; 10/11; 10/11; 10/11; 9/10; 13/15; 87/100; 13/15; 9/10; 9/10; 9/10; 17/20; ; 5/6; 5/6; 5/6
Draw; 13/5; 13/5; 5/2; 5/2; 13/5; 12/5; 13/5; 13/5; 28/11; 5/2; 5/2; 12/5; 13/5; 11/4; 5/2; 5/2; 13/5; 13/5; 71/25; 27/11; 28/11; 13/5; 13/5; 13/5; ; 13/5; 5/2; 5/2
Yeovil; 11/4; 29/10; 3; 3; 3; 13/5; 3; 3; 14/5; 16/5; 3; 29/10; 10/3; 3; 3; 14/5; 14/5; 3; 67/20; 45/17; 14/5; 3; 31/10; 59/20; ; 3; 3; 3
META; english/league-2/newport-county-v-yeovil; 2017-10-03 22:22:44 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
