META; english/league-2/morecambe-v-mansfield; 2018-01-20 22:21:52 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Mansfield; ; 6/5; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 
Morecambe; ; 11/5; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
META; english/league-2/morecambe-v-mansfield; 2018-01-21 02:21:29 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Mansfield; ; 6/5; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 6/5; ; 
Morecambe; ; 11/5; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 21/10; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 9/4; ; 
META; english/league-2/morecambe-v-mansfield; 2018-01-21 10:21:46 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Mansfield; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 1/2; ; 
Morecambe; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 5/6; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 21/10; ; 
META; english/league-2/morecambe-v-mansfield; 2018-01-21 14:22:17 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Mansfield; 1; 6/5; 21/20; ; ; ; 21/20; 11/10; ; 21/20; 23/20; ; ; ; ; ; ; 1; ; ; ; ; 11/10; 1; 1; 6/5; ; 
Draw; 12/5; 12/5; 9/4; ; ; ; 23/10; 23/10; ; 11/5; 12/5; ; ; ; ; ; ; 23/10; ; ; ; ; 12/5; 23/10; 40/17; 9/4; ; 
Morecambe; 11/4; 11/5; 27/10; ; ; ; 5/2; 13/5; ; 13/5; 13/5; ; ; ; ; ; ; 13/5; ; ; ; ; 13/5; 53/20; 13/5; 11/5; ; 
META; english/league-2/morecambe-v-mansfield; 2018-01-21 18:21:39 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Mansfield; 21/20; 6/5; 11/10; ; 6/5; 11/10; 11/10; 11/10; ; 11/10; 23/20; 11/10; ; ; 11/10; ; ; 21/20; ; ; ; 11/10; 11/10; 21/20; 21/20; 1; ; 
Draw; 12/5; 12/5; 11/5; ; 119/ 50; 23/10; 23/10; 23/10; ; 11/5; 12/5; 23/10; ; ; 23/10; ; ; 40/17; ; ; ; 12/5; 12/5; 23/10; 12/5; 21/10; ; 
Morecambe; 5/2; 11/5; 13/5; ; 66/25; 13/5; 5/2; 13/5; ; 5/2; 13/5; 5/2; ; ; 5/2; ; ; 27/11; ; ; ; 13/5; 13/5; 51/20; 27/11; 23/10; ; 
META; english/league-2/morecambe-v-mansfield; 2018-01-21 22:21:18 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Mansfield; 21/20; 6/5; 15/13; ; 121/ 100; 11/10; 11/10; 11/10; ; 11/10; 23/20; 11/10; 23/20; ; 11/10; 11/10; ; 11/10; ; 12/11; ; 11/10; 23/20; 11/10; 11/10; 1; ; 
Draw; 12/5; 12/5; 11/5; ; 121/ 50; 23/10; 9/4; 23/10; ; 11/5; 12/5; 11/5; 23/10; ; 23/10; 23/10; ; 9/4; ; 40/17; ; 23/10; 12/5; 23/10; 23/10; 21/10; ; 
Morecambe; 5/2; 11/5; 5/2; ; 64/25; 13/5; 12/5; 13/5; ; 5/2; 13/5; 13/5; 5/2; ; 5/2; 5/2; ; 27/11; ; 27/11; ; 13/5; 5/2; 51/20; 27/11; 23/10; ; 
META; english/league-2/morecambe-v-mansfield; 2018-01-22 02:21:14 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Mansfield; 21/20; 6/5; 15/13; ; 121/ 100; 11/10; 11/10; 11/10; ; 11/10; 23/20; 11/10; 23/20; ; 11/10; 11/10; ; 11/10; ; 12/11; ; 11/10; 23/20; 11/10; 11/10; 1; ; 
Draw; 12/5; 12/5; 11/5; ; 121/ 50; 23/10; 9/4; 23/10; ; 11/5; 12/5; 11/5; 23/10; ; 23/10; 23/10; ; 9/4; ; 40/17; ; 23/10; 12/5; 23/10; 23/10; 21/10; ; 
Morecambe; 5/2; 11/5; 5/2; ; 64/25; 13/5; 12/5; 13/5; ; 5/2; 13/5; 13/5; 5/2; ; 5/2; 5/2; ; 27/11; ; 27/11; ; 13/5; 5/2; 51/20; 27/11; 23/10; ; 
META; english/league-2/morecambe-v-mansfield; 2018-01-22 10:21:36 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Mansfield; 21/20; 6/5; 15/13; 23/20; 121/ 100; 11/10; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 23/20; ; 11/10; 11/10; 11/10; 11/10; 11/10; 12/11; 11/10; 11/10; 23/20; 11/10; 11/10; 1; ; 
Draw; 12/5; 12/5; 11/5; 9/4; 121/ 50; 12/5; 9/4; 12/5; 11/5; 11/5; 12/5; 11/5; 23/10; ; 23/10; 23/10; 9/4; 9/4; 9/4; 40/17; 11/5; 23/10; 12/5; 23/10; 9/4; 21/10; ; 
Morecambe; 5/2; 11/5; 5/2; 5/2; 64/25; 27/10; 12/5; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; ; 5/2; 5/2; 5/2; 27/11; 5/2; 27/11; 13/5; 13/5; 5/2; 51/20; 5/2; 12/5; ; 
META; english/league-2/morecambe-v-mansfield; 2018-01-22 14:21:26 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Mansfield; 21/20; 11/10; 15/13; 23/20; 59/50; 11/10; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 23/20; ; 11/10; 11/10; 11/10; 11/10; 11/10; 12/11; 11/10; 11/10; 23/20; 11/10; 11/10; 1; ; 
Draw; 12/5; 23/10; 11/5; 9/4; 121/ 50; 12/5; 9/4; 12/5; 11/5; 11/5; 12/5; 11/5; 23/10; ; 23/10; 23/10; 9/4; 9/4; 9/4; 40/17; 11/5; 23/10; 12/5; 23/10; 9/4; 21/10; ; 
Morecambe; 5/2; 5/2; 5/2; 5/2; 66/25; 27/10; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; ; 5/2; 13/5; 5/2; 27/11; 5/2; 27/11; 13/5; 13/5; 5/2; 51/20; 27/11; 12/5; ; 
META; english/league-2/morecambe-v-mansfield; 2018-01-22 18:21:27 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Mansfield; 21/20; 11/10; 15/13; 23/20; 59/50; 11/10; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 23/20; ; 11/10; 11/10; 11/10; 11/10; 11/10; 12/11; 11/10; 11/10; 23/20; 11/10; 11/10; 1; 21/20; 
Draw; 12/5; 23/10; 11/5; 9/4; 121/ 50; 12/5; 9/4; 12/5; 11/5; 11/5; 12/5; 11/5; 23/10; ; 23/10; 23/10; 9/4; 9/4; 9/4; 40/17; 11/5; 23/10; 12/5; 23/10; 9/4; 21/10; 2; 
Morecambe; 5/2; 5/2; 5/2; 5/2; 66/25; 27/10; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; ; 5/2; 13/5; 5/2; 27/11; 5/2; 27/11; 13/5; 13/5; 5/2; 51/20; 27/11; 12/5; 11/5; 
META; english/league-2/morecambe-v-mansfield; 2018-01-22 22:21:27 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Mansfield; 21/20; 11/10; 15/13; 23/20; 59/50; 11/10; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 23/20; ; 11/10; 11/10; 11/10; 11/10; 11/10; 12/11; 11/10; 11/10; 23/20; 11/10; 11/10; 1; 21/20; 23/20
Draw; 12/5; 23/10; 11/5; 9/4; 121/ 50; 12/5; 9/4; 12/5; 11/5; 11/5; 12/5; 11/5; 23/10; ; 23/10; 23/10; 9/4; 9/4; 9/4; 40/17; 11/5; 23/10; 12/5; 23/10; 9/4; 21/10; 2; 12/5
Morecambe; 5/2; 5/2; 5/2; 5/2; 66/25; 27/10; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; ; 5/2; 13/5; 5/2; 27/11; 5/2; 27/11; 13/5; 13/5; 5/2; 51/20; 27/11; 12/5; 11/5; 5/2
META; english/league-2/morecambe-v-mansfield; 2018-01-23 02:21:19 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Mansfield; 21/20; 11/10; 15/13; 23/20; 59/50; 11/10; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 23/20; ; 11/10; 11/10; 11/10; 11/10; 11/10; 12/11; 11/10; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 23/20
Draw; 12/5; 23/10; 11/5; 9/4; 121/ 50; 12/5; 9/4; 12/5; 11/5; 11/5; 12/5; 11/5; 23/10; ; 23/10; 23/10; 9/4; 9/4; 9/4; 40/17; 11/5; 23/10; 12/5; 23/10; 9/4; 21/10; 2; 12/5
Morecambe; 5/2; 5/2; 5/2; 5/2; 66/25; 27/10; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; ; 5/2; 13/5; 5/2; 27/11; 5/2; 27/11; 13/5; 13/5; 5/2; 51/20; 27/11; 12/5; 11/5; 5/2
META; english/league-2/morecambe-v-mansfield; 2018-01-23 10:21:22 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Mansfield; 21/20; 11/10; 15/13; 23/20; 59/50; 11/10; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 12/11; 11/10; 11/10; 23/20; 11/10; 11/10; 1; 21/20; 23/20
Draw; 12/5; 23/10; 11/5; 9/4; 121/ 50; 12/5; 9/4; 12/5; 11/5; 11/5; 12/5; 11/5; 23/10; 43/20; 23/10; 23/10; 9/4; 9/4; 9/4; 40/17; 11/5; 23/10; 12/5; 23/10; 9/4; 21/10; 2; 12/5
Morecambe; 5/2; 5/2; 5/2; 5/2; 66/25; 27/10; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 49/20; 5/2; 13/5; 5/2; 27/11; 5/2; 27/11; 13/5; 13/5; 5/2; 51/20; 27/11; 12/5; 11/5; 5/2
META; english/league-2/morecambe-v-mansfield; 2018-01-23 14:21:22 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Mansfield; 21/20; 11/10; 15/13; 23/20; 59/50; 11/10; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 12/11; 11/10; 11/10; 23/20; 11/10; 11/10; 1; 21/20; 23/20
Draw; 12/5; 23/10; 11/5; 9/4; 121/ 50; 12/5; 9/4; 12/5; 11/5; 11/5; 12/5; 11/5; 23/10; 43/20; 23/10; 9/4; 9/4; 9/4; 9/4; 40/17; 11/5; 23/10; 12/5; 23/10; 9/4; 21/10; 2; 12/5
Morecambe; 5/2; 5/2; 5/2; 5/2; 66/25; 27/10; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 49/20; 5/2; 5/2; 5/2; 27/11; 5/2; 27/11; 13/5; 13/5; 5/2; 51/20; 27/11; 12/5; 11/5; 5/2
META; english/league-2/morecambe-v-mansfield; 2018-01-23 18:21:49 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Mansfield; 21/20; 11/10; 15/13; 23/20; 59/50; 11/10; 11/10; 1; 11/10; 23/20; 23/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 12/11; 11/10; 11/10; 23/20; 11/10; 11/10; 1; 21/20; 23/20
Draw; 12/5; 23/10; 11/5; 9/4; 121/ 50; 12/5; 9/4; 12/5; 11/5; 9/4; 12/5; 11/5; 23/10; 43/20; 23/10; 9/4; 9/4; 23/10; 9/4; 40/17; 11/5; 23/10; 12/5; 23/10; 23/10; 21/10; 2; 12/5
Morecambe; 5/2; 5/2; 5/2; 5/2; 66/25; 27/10; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 12/5; 49/20; 5/2; 5/2; 5/2; 5/2; 5/2; 27/11; 13/5; 13/5; 5/2; 51/20; 5/2; 12/5; 23/10; 5/2
META; english/league-2/morecambe-v-mansfield; 2018-01-23 22:21:50 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Mansfield; 21/20; 11/10; 15/13; 23/20; 59/50; 6/5; 11/10; 11/10; 11/10; 23/20; 23/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 12/11; 11/10; 11/10; 23/20; 11/10; 11/10; ; 21/20; 21/20; 23/20
Draw; 23/10; 11/5; 21/10; 11/5; 47/20; 23/10; 11/5; ; 23/10; 11/5; 23/10; 23/10; 23/10; 41/20; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; 9/4; ; 21/10; 21/10; 23/10
Morecambe; 23/10; 11/5; 11/5; 11/5; 23/10; 23/10; 21/10; ; 9/4; 11/5; 9/4; 21/10; 12/5; 21/10; 11/5; 21/10; 11/5; 11/5; 11/5; 39/19; 9/4; 9/4; 11/5; 21/10; 11/5; ; 9/4; 9/4; 23/10
META; english/league-2/morecambe-v-mansfield; 2018-01-26 18:21:52 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Mansfield; 11/8; 5/4; 5/4; 13/10; 34/25; 13/10; 5/4; ; 6/5; 13/10; 13/10; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 5/4; 5/4; 6/5; 6/5; 13/10; 13/10; 5/4; 5/4; ; 5/4; 13/10; 13/10
Draw; 23/10; 11/5; 21/10; 11/5; 58/25; 12/5; 11/5; ; 23/10; 21/10; 23/10; 11/5; 11/5; 41/20; 11/5; 21/10; 11/5; 11/5; 11/5; 11/5; 23/10; 11/5; 23/10; 11/5; 11/5; ; 21/10; 21/10; 23/10
Morecambe; 23/10; 23/10; 23/10; 11/5; 58/25; 12/5; 21/10; ; 9/4; 23/10; 23/10; 9/4; 23/10; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; 23/10; 9/4; 23/10; 23/10; 23/10; 9/4; ; 23/10; 23/10; 23/10
META; english/league-2/morecambe-v-mansfield; 2018-01-26 22:22:05 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Mansfield; 11/8; 5/4; 5/4; 13/10; 34/25; 13/10; 13/10; ; 6/5; 13/10; 13/10; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 5/4; 5/4; 6/5; 6/5; 13/10; 13/10; 5/4; 5/4; ; 5/4; 13/10; 13/10
Draw; 23/10; 11/5; 21/10; 11/5; 58/25; 12/5; 11/5; ; 23/10; 21/10; 23/10; 11/5; 11/5; 41/20; 11/5; 21/10; 11/5; 11/5; 11/5; 11/5; 23/10; 11/5; 23/10; 11/5; 11/5; ; 9/4; 9/4; 23/10
Morecambe; 23/10; 23/10; 23/10; 11/5; 58/25; 12/5; 11/5; ; 9/4; 23/10; 23/10; 9/4; 23/10; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; 23/10; 9/4; 23/10; 23/10; 23/10; 9/4; ; 23/10; 23/10; 23/10
META; english/league-2/morecambe-v-mansfield; 2018-01-27 02:21:40 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Mansfield; 11/8; 5/4; 5/4; 13/10; 34/25; 13/10; 13/10; ; 6/5; 13/10; 13/10; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 5/4; 5/4; 6/5; 6/5; 13/10; 13/10; 5/4; 5/4; ; 5/4; 5/4; 13/10
Draw; 23/10; 11/5; 21/10; 11/5; 58/25; 12/5; 11/5; ; 23/10; 21/10; 23/10; 11/5; 11/5; 41/20; 11/5; 21/10; 11/5; 11/5; 11/5; 11/5; 23/10; 11/5; 23/10; 11/5; 11/5; ; 9/4; 11/5; 23/10
Morecambe; 23/10; 23/10; 23/10; 11/5; 58/25; 12/5; 9/4; ; 9/4; 23/10; 23/10; 9/4; 23/10; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; 23/10; 9/4; 23/10; 23/10; 23/10; 9/4; ; 23/10; 9/4; 23/10
META; english/league-2/morecambe-v-mansfield; 2018-01-27 10:23:57 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Mansfield; 11/8; 5/4; 13/10; 13/10; 11/8; 13/10; 13/10; ; 5/4; 13/10; 13/10; 5/4; 13/10; 5/4; 13/10; 5/4; 5/4; 13/10; 5/4; 16/13; 5/4; 13/10; 13/10; 5/4; 13/10; ; 5/4; 13/10; 13/10
Draw; 23/10; 11/5; 21/10; 11/5; 58/25; 12/5; 11/5; ; 11/5; 21/10; 23/10; 11/5; 11/5; 41/20; 11/5; 21/10; 11/5; 28/13; 11/5; 9/4; 11/5; 11/5; 23/10; 11/5; 11/5; ; 9/4; 21/10; 23/10
Morecambe; 23/10; 23/10; 9/4; 11/5; 58/25; 12/5; 9/4; ; 9/4; 23/10; 23/10; 9/4; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; ; 23/10; 23/10; 23/10
META; english/league-2/morecambe-v-mansfield; 2018-01-27 14:23:36 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Mansfield; 11/8; 5/4; 13/10; 13/10; 34/25; 13/10; 13/10; ; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; ; 5/4; 5/4; 5/4; 16/13; 5/4; ; ; ; 13/10; ; 13/10; 13/10; 13/10
Draw; 23/10; 11/5; 11/5; 11/5; 119/ 50; 12/5; 9/4; ; 9/4; 11/5; 23/10; 11/5; 9/4; 43/20; 23/10; 11/5; 11/5; 9/4; 11/5; 9/4; 9/4; 9/4; 23/10; 23/10; 9/4; ; ; 9/4; 23/10
Morecambe; 23/10; 23/10; 9/4; 11/5; 113/ 50; 12/5; 11/5; ; 11/5; 9/4; 23/10; 11/5; 11/5; 43/20; 21/10; 21/10; 11/5; 28/13; 11/5; 28/13; 11/5; 11/5; 23/10; 9/4; 11/5; ; 9/4; 9/4; 9/4
META; english/league-2/morecambe-v-mansfield; 2018-01-27 18:22:31 GMT+2; 2018-01-27 15:00; In Play; Xlenovo
Morecambe; 4/7; 4/7; 8/15; 4/7; 71/ 100; 1/2; ; 8/15; 7/12; ; 8/13; 1/2; 4/7; 8/15; 8/15; 3/5; 3/5; 6/11; 4/7; 5/8; ; ; ; ; ; ; ; 8/15; 4/11
Draw; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5; ; 5/2; 9/4; ; 5/2; 9/4; 21/10; 12/5; 12/5; 12/5; 11/5; 27/11; 11/5; 11/5; ; ; ; ; ; ; ; 5/2; 11/8
Mansfield; 13/2; 6; 13/2; 6; 47/10; 7; ; 7; 23/4; ; 6; 13/2; 6; 13/2; 11/2; 11/2; 21/4; 76/13; 11/2; 23/5; ; ; ; ; ; ; ; 15/2; 23/10
