META; english/league-2/wycombe-v-port-vale; 2018-03-18 18:22:16 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Wycombe; 20/21; 51/50; 20/21; 5/6; 19/20; 20/23; 10/11; 37/40; 19/20; 10/11; 4/7; 8/15
Draw; 5/2; 53/20; 5/2; 12/5; 5/2; 13/5; 27/11; 5/2; 49/20; 27/11; 19/10; 13/10
Port Vale; 11/4; 29/10; 11/4; 13/5; 3; 14/5; 11/4; 31/10; 11/4; 14/5; 19/10; 4/6
META; english/league-2/wycombe-v-port-vale; 2018-03-19 02:33:46 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Wycombe; 19/20; 19/20; 97/00; 19/20; 10/11; 5/6; 19/20; 10/11; 10/11; 10/11; 10/11; 10/11; 22/23; 1; 19/20; 10/11; 5/6; 5/6
Draw; 5/2; 12/5; 67/25; 5/2; 5/2; 23/10; 12/5; 5/2; 12/5; 47/20; 5/2; 12/5; 27/11; 5/2; 49/20; 12/5; 9/4; 14/5
Port Vale; 11/4; 14/5; 61/20; 3; 14/5; 11/4; 11/4; 3; 14/5; 14/5; 11/4; 28/11; 14/5; 11/4; 11/4; 11/4; 12/5; 
META; english/league-2/wycombe-v-port-vale; 2018-03-19 10:33:53 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Wycombe; 19/20; 1; 51/50; 19/20; 1; 5/6; 1; 19/20; 1; 19/20; 1; 19/20; 19/20; 19/20; 22/23; 1; 19/20; 19/20; 5/6; 10/11; ; ; 
Draw; 5/2; 12/5; 12/5; 131/0; 13/5; 12/5; 12/5; 27/11; 12/5; 5/2; 12/5; 47/20; 5/2; 12/5; 12/5; 5/2; 27/11; 27/11; 5/2; 12/5; 12/5; 23/10; 6/4
Port Vale; 11/4; 11/4; 11/4; 147/0; 3; 13/5; 11/4; 45/17; 27/10; 3; 14/5; 27/10; 13/5; 11/4; 45/17; 11/4; 28/11; 45/17; 14/5; 57/20; 27/10; 11/4; 1
META; english/league-2/wycombe-v-port-vale; 2018-03-19 14:34:01 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Wycombe; 4/5; 4/5; 5/6; 83/00; 17/20; 3/4; 8/11; 3/4; 4/5; 5/6; 4/5; 4/5; 4/5; 4/5; 19/20; 4/5; 9/11; 3/4; 5/6; 10/13; 19/20; 8/11; 8/11
Draw; 13/5; 5/2; 13/5; 68/25; 27/10; 13/5; 5/2; 5/2; 5/2; 13/5; 13/5; 49/20; 5/2; 5/2; 12/5; 5/2; 5/2; 5/2; 27/10; 51/20; 12/5; 12/5; 13/5
Port Vale; 10/3; 17/5; 16/5; 15/4; 10/3; 7/2; 3; 17/5; 17/5; 10/3; 10/3; 16/5; 7/2; 10/3; 45/17; 10/3; 58/19; 17/5; 33/10; 7/2; 27/10; 14/5; 7/2
META; english/league-2/wycombe-v-port-vale; 2018-03-19 18:34:03 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Wycombe; 4/5; 4/5; 4/5; 5/6; 83/00; 4/5; 3/4; 8/11; 3/4; 4/5; 4/5; 4/5; 5/6; 4/5; 4/5; 4/5; 19/20; 4/5; 9/11; 3/4; 5/6; 10/13; 19/20; 8/11; 4/6; 8/11; 8/11
Draw; 11/4; 13/5; 5/2; 13/5; 69/25; 11/4; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 49/20; 14/5; 13/5; 45/17; 5/2; 13/5; 5/2; 27/10; 53/20; 45/17; 13/5; 13/5; 27/10; 27/10
Port Vale; 15/4; 7/2; 17/5; 17/5; 15/4; 15/4; 7/2; 7/2; 17/5; 7/2; 7/2; 10/3; 16/5; 16/5; 100/0; 10/3; 37/10; 10/3; 41/13; 17/5; 7/2; 7/2; 37/10; 7/2; 7/2; 7/2; 4
META; english/league-2/wycombe-v-port-vale; 2018-03-24 10:34:14 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Wycombe; 17/20; 17/20; 20/23; 5/6; 89/00; 20/23; 5/6; 4/5; 9/11; 20/23; 5/6; 5/6; 17/20; 17/20; 17/20; 5/6; 4/5; 4/5; 11/13; 9/11; 5/6; 17/20; 4/5; 5/6; 5/6; 5/6; 5/6
Draw; 27/10; 13/5; 12/5; 5/2; 67/25; 11/4; 13/5; 5/2; 13/5; 12/5; 13/5; 5/2; 13/5; 23/10; 13/5; 5/2; 28/11; 5/2; 28/11; 13/5; 27/10; 13/5; 13/5; 5/2; 5/2; 27/10; 13/5
Port Vale; 18/5; 16/5; 13/4; 10/3; 69/20; 7/2; 16/5; 10/3; 16/5; 13/4; 10/3; 10/3; 16/5; 16/5; 7/2; 10/3; 17/5; 10/3; 58/19; 16/5; 10/3; 16/5; 17/5; 10/3; 10/3; 10/3; 7/2
META; english/league-2/wycombe-v-port-vale; 2018-03-24 14:34:21 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Wycombe; 4/5; 4/5; 4/5; 4/5; 81/00; 4/5; 4/5; 8/11; 3/4; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 10/13; 4/5; 7/9; 3/4; 5/6; 4/5; 4/5; 8/11; 4/5; 8/11; 4/5
Draw; 11/4; 12/5; 5/2; 5/2; 139/0; 11/4; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 12/5; 13/5; 5/2; 13/5; 5/2; 5/2; 13/5; 11/4; 53/20; 13/5; 13/5; 27/10; 11/4; 13/5
Port Vale; 4; 10/3; 18/5; 7/2; 19/5; 4; 7/2; 7/2; 18/5; 18/5; 18/5; 7/2; 10/3; 10/3; 15/4; 7/2; 7/2; 10/3; 17/5; 18/5; 7/2; 7/2; 39/11; 7/2; 7/2; 7/2; 4
META; english/league-2/wycombe-v-port-vale; 2018-03-24 18:34:21 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Draw; 4/6; 4/7; 7/10; 8/13; 9/10; 11/20; 4/7; 8/15; 13/19; 10/11; 7/10; 6/10; 8/13; 8/11; 4/6; 1; 8/13; 5/9; 5/6; 8/13; 4/7; 4/7
Wycombe; 9/4; 5/2; 2; 5/2; 19/10; 27/10; 2; 11/5; 37/19; 15/8; 2; 21/10; 11/5; 19/10; 2; 8/5; 2; 12/5; 24/13; 12/5; 5/2; 5/2
Port Vale; 11/2; 5; 11/2; 47/10; 6; 6; 21/4; 9/2; 9/2; 11/2; 11/2; 19/4; 11/2; 22/5; 11/2; 5; 49/10; 28/5; 11/2; 28/5; ; 
