META; english/league-2/cambridge-v-crawley; 2018-03-24 22:33:17 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Cambridge; 1/50; 1
Draw; 1/100; 12/5
Crawley; 1/50; 27/10
META; english/league-2/cambridge-v-crawley; 2018-03-25 02:33:51 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Cambridge; 1; 1/50; 1
Draw; 12/5; 1/100; 12/5
Crawley; 11/4; 1/50; 27/10
META; english/league-2/cambridge-v-crawley; 2018-03-25 10:33:40 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Cambridge; 1; 1/50; 1
Draw; 12/5; 1/100; 12/5
Crawley; 11/4; 1/50; 27/10
META; english/league-2/cambridge-v-crawley; 2018-03-25 14:35:11 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Cambridge; 10/11; 1; 49/50; 10/11; 19/20; 9/10; 2/5; 20/21
Draw; 13/5; 12/5; 11/4; 5/2; 5/2; 51/20; 1/6; 13/5
Crawley; 14/5; 11/4; 147/0; 14/5; 14/5; 14/5; 1/6; 14/5
META; english/league-2/cambridge-v-crawley; 2018-03-25 18:35:01 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Cambridge; 10/11; 1; 49/50; 10/11; 10/11; 10/11; 20/21; 19/20; 13/15; 37/40; 9/10; 10/11; 8/11; 20/21
Draw; 13/5; 12/5; 11/4; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 51/20; 28/11; 19/10; 13/5
Crawley; 14/5; 11/4; 147/0; 11/4; 11/4; 3; 14/5; 14/5; 27/10; 3; 14/5; 11/4; 2; 14/5
META; english/league-2/cambridge-v-crawley; 2018-03-25 22:34:55 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Cambridge; 1; 21/20; 107/00; 1; 10/11; 21/20; 21/20; 21/20; 1; 1; 1; 9/10; 1; ; ; ; ; 
Draw; 13/5; 12/5; 9/4; 129/0; 12/5; 12/5; 11/5; 5/2; 21/10; 12/5; 23/10; 23/10; 13/5; 47/20; 40/17; 9/5; 21/10; 5/2
Crawley; 13/5; 11/4; 27/10; 14/5; 13/5; 13/5; 27/10; 13/5; 14/5; 13/5; 5/2; 12/5; 13/5; 11/4; 28/11; 19/10; 23/10; 27/10
META; english/league-2/cambridge-v-crawley; 2018-03-26 02:34:51 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Cambridge; 1; 21/20; 107/00; 1; 10/11; 21/20; 21/20; 21/20; 21/20; 1; 1; 1; 1; 9/10; 1; ; ; ; ; ; 
Draw; 13/5; 23/10; 9/4; 129/0; 12/5; 12/5; 11/5; 12/5; 21/10; 12/5; 11/5; 12/5; 40/17; 5/2; 23/10; 13/5; 47/20; 40/17; 9/5; 21/10; 5/2
Crawley; 13/5; 11/4; 27/10; 14/5; 13/5; 13/5; 27/10; 13/5; 14/5; 13/5; 13/5; 13/5; 5/2; 5/2; 12/5; 13/5; 27/10; 5/2; 19/10; 23/10; 27/10
META; english/league-2/cambridge-v-crawley; 2018-03-26 10:34:56 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Cambridge; 1; 21/20; 1; 107/00; 1; 10/11; 1; 21/20; 21/20; 21/20; 21/20; 1; 1; 1; 1; 1; 20/21; 1; ; ; ; ; ; 
Draw; 13/5; 23/10; 9/4; 11/5; 13/5; 12/5; 12/5; 27/11; 9/4; 12/5; 21/10; 12/5; 11/5; 12/5; 12/5; 40/17; 5/2; 23/10; 27/11; 13/5; 47/20; 11/5; 5/2; 
Crawley; 13/5; 13/5; 27/10; 13/5; 139/0; 13/5; 13/5; 45/17; 13/5; 13/5; 14/5; 13/5; 27/10; 11/4; 13/5; 5/2; 5/2; 12/5; 45/17; 13/5; 27/10; 28/11; 13/5; 13/5
META; english/league-2/cambridge-v-crawley; 2018-03-26 14:35:00 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Cambridge; 1; 21/20; 1; 27/25; 1; 10/11; 1; 21/20; 21/20; 21/20; 21/20; 1; 1; 1; 30/29; 1; 21/20; 1; 21/20; 21/20; ; ; ; ; 
Draw; 13/5; 23/10; 9/4; 11/5; 63/25; 12/5; 12/5; 27/11; 9/4; 5/2; 21/10; 12/5; 11/5; 12/5; 12/5; 23/10; 5/2; 11/5; 27/11; 5/2; 47/20; 11/5; 12/5; 5/2; 
Crawley; 13/5; 13/5; 27/10; 13/5; 71/25; 13/5; 13/5; 45/17; 13/5; 13/5; 14/5; 13/5; 27/10; 11/4; 13/5; 28/11; 5/2; 11/4; 45/17; 13/5; 27/10; 13/5; 13/5; 14/5; 11/4
META; english/league-2/cambridge-v-crawley; 2018-03-26 18:34:59 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Cambridge; 1; 21/20; 1; 109/00; 1; 10/11; 1; 21/20; 1; 21/20; 19/20; 1; 1; 1; 30/29; 1; 21/20; 1; 1; 21/20; 21/20; ; ; ; ; 
Draw; 13/5; 23/10; 9/4; 11/5; 5/2; 12/5; 12/5; 27/11; 9/4; 5/2; 21/10; 12/5; 11/5; 12/5; 12/5; 40/17; 5/2; 11/5; 27/11; 5/2; 47/20; 12/5; 11/5; 21/10; 12/5; 5/2
Crawley; 13/5; 13/5; 27/10; 13/5; 141/0; 13/5; 13/5; 45/17; 13/5; 11/4; 14/5; 14/5; 27/10; 11/4; 13/5; 13/5; 5/2; 11/4; 45/17; 13/5; 27/10; 45/17; 13/5; 23/10; 14/5; 11/4
META; english/league-2/cambridge-v-crawley; 2018-03-26 22:34:59 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Cambridge; 1; 21/20; 1; 109/00; 1; 10/11; 1; 21/20; 1; 21/20; 19/20; 1; 1; 1; 30/29; 1; 21/20; 1; 1; 21/20; 21/20; ; ; ; ; ; 
Draw; 13/5; 23/10; 9/4; 11/5; 5/2; 5/2; 12/5; 12/5; 27/11; 9/4; 12/5; 21/10; 12/5; 11/5; 12/5; 12/5; 40/17; 5/2; 11/5; 27/11; 12/5; 47/20; 12/5; 9/4; 21/10; 12/5; 5/2
Crawley; 13/5; 13/5; 27/10; 13/5; 141/0; 14/5; 13/5; 13/5; 45/17; 13/5; 11/4; 14/5; 14/5; 27/10; 11/4; 13/5; 45/17; 5/2; 11/4; 45/17; 11/4; 27/10; 45/17; 13/5; 23/10; 14/5; 11/4
META; english/league-2/cambridge-v-crawley; 2018-03-27 02:35:05 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Cambridge; 1; 21/20; 21/20; 1; 109/00; 1; 10/11; 1; 21/20; 1; 21/20; 19/20; 1; 1; 1; 30/29; 1; 21/20; 1; 1; 21/20; 21/20; ; ; ; ; 
Draw; 13/5; 23/10; 9/4; 11/5; 5/2; 12/5; 12/5; 23/10; 27/11; 9/4; 12/5; 21/10; 12/5; 11/5; 12/5; 12/5; 40/17; 5/2; 11/5; 27/11; 12/5; 47/20; 12/5; 11/5; 21/10; 12/5; 5/2
Crawley; 13/5; 11/4; 27/10; 13/5; 141/0; 29/10; 13/5; 11/4; 45/17; 13/5; 11/4; 14/5; 14/5; 27/10; 11/4; 11/4; 13/5; 5/2; 11/4; 45/17; 11/4; 27/10; 45/17; 13/5; 23/10; 14/5; 11/4
META; english/league-2/cambridge-v-crawley; 2018-03-27 10:35:09 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Cambridge; 1; 21/20; 1; 109/00; 1; 10/11; 1; 21/20; 1; 21/20; 19/20; 1; 1; 1; 30/29; 1; 21/20; 1; 1; 21/20; 21/20; ; ; ; ; ; 
Draw; 5/2; 23/10; 9/4; 11/5; 5/2; 12/5; 23/10; 23/10; 27/11; 9/4; 12/5; 21/10; 12/5; 11/5; 12/5; 12/5; 40/17; 5/2; 11/5; 27/11; 12/5; 47/20; 40/17; 11/5; 21/10; 12/5; 5/2
Crawley; 13/5; 13/5; 27/10; 13/5; 141/0; 29/10; 13/5; 11/4; 45/17; 13/5; 11/4; 14/5; 14/5; 27/10; 11/4; 11/4; 13/5; 5/2; 11/4; 45/17; 11/4; 27/10; 45/17; 13/5; 23/10; 14/5; 11/4
META; english/league-2/cambridge-v-crawley; 2018-03-27 14:35:17 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Cambridge; 1; 21/20; 1; 109/00; 1; 10/11; 1; 21/20; 1; 21/20; 19/20; 1; 21/20; 1; 24/23; 1; 21/20; 1; 1; 21/20; 21/20; ; ; ; ; ; 
Draw; 5/2; 23/10; 9/4; 11/5; 5/2; 12/5; 23/10; 23/10; 27/11; 23/10; 12/5; 21/10; 12/5; 11/5; 12/5; 23/10; 40/17; 5/2; 27/11; 27/11; 12/5; 47/20; 40/17; 11/5; 21/10; 12/5; 5/2
Crawley; 13/5; 13/5; 27/10; 13/5; 141/0; 29/10; 13/5; 11/4; 45/17; 27/10; 11/4; 14/5; 14/5; 13/5; 11/4; 13/5; 13/5; 5/2; 27/11; 45/17; 11/4; 27/10; 45/17; 13/5; 23/10; 14/5; 11/4
META; english/league-2/cambridge-v-crawley; 2018-03-27 18:35:23 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Cambridge; 1; 21/20; 1; 109/00; 1; 10/11; 1; 21/20; 1; 21/20; 19/20; 1; 21/20; 1; 24/23; 1; 21/20; 1; 1; 21/20; 21/20; ; ; ; ; ; 
Draw; 5/2; 23/10; 9/4; 11/5; 5/2; 12/5; 23/10; 23/10; 27/11; 23/10; 12/5; 21/10; 12/5; 11/5; 12/5; 23/10; 40/17; 5/2; 27/11; 27/11; 12/5; 47/20; 12/5; 11/5; 21/10; 12/5; 5/2
Crawley; 13/5; 13/5; 27/10; 13/5; 141/0; 29/10; 13/5; 11/4; 45/17; 27/10; 11/4; 14/5; 14/5; 13/5; 11/4; 13/5; 5/2; 27/11; 45/17; 11/4; 27/10; 27/10; 13/5; 23/10; 14/5; 11/4; 
META; english/league-2/cambridge-v-crawley; 2018-03-27 22:35:14 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Cambridge; 1; 21/20; 1; 109/00; 1; 10/11; 1; 21/20; 1; 21/20; 19/20; 1; 21/20; 1; 24/23; 1; 1; 20/21; 21/20; 21/20; ; ; ; ; ; ; 
Draw; 5/2; 12/5; 23/10; 11/5; 5/2; 12/5; 12/5; 23/10; 27/11; 23/10; 12/5; 21/10; 12/5; 11/5; 12/5; 23/10; 5/2; 27/11; 27/11; 5/2; 47/20; 12/5; 11/5; 11/5; 12/5; 5/2; 
Crawley; 13/5; 14/5; 11/4; 13/5; 141/0; 29/10; 13/5; 11/4; 45/17; 11/4; 11/4; 14/5; 14/5; 27/10; 11/4; 11/4; 27/10; 5/2; 27/11; 45/17; 11/4; 27/10; 27/10; 13/5; 12/5; 14/5; 11/4
META; english/league-2/cambridge-v-crawley; 2018-03-28 02:35:06 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Cambridge; 1; 21/20; 1; 27/25; 1; 10/11; 1; 21/20; 1; 19/20; 1; 1; 24/23; 1; 1; 20/21; 21/20; 21/20; ; ; ; ; ; ; ; ; 
Draw; 5/2; 12/5; 23/10; 11/5; 51/20; 12/5; 12/5; 23/10; 27/11; 23/10; 12/5; 12/5; 12/5; 11/5; 12/5; 12/5; 12/5; 5/2; 27/11; 27/11; 5/2; 47/20; 12/5; 11/5; 11/5; 12/5; 5/2
