META; english/premier-league/everton-v-stoke; 2017-06-15 14:15:11 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 3/4; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 13/17; 13/18; 4/6; 13/18; ; 4/9; ; 
Draw; 5/2; 11/4; 11/4; 11/4; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 13/5; 13/5; 45/17; 27/10; 11/4; 45/17; 139/50; 14/5; 11/4; 13/5; 11/4; ; 21/10; ; 
Stoke; 9/2; 7/2; 19/5; 10/3; 7/2; 9/2; 4; 4; ; 9/2; 4; 15/4; 15/4; 4; 4; 4; 19/5; 4; 7/2; 19/5; 9/2; 39/11; 37/10; 17/4; 15/4; ; 3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-15 18:15:10 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 3/4; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 13/17; 13/18; 3/4; 13/18; ; 4/9; ; 
Draw; 5/2; 11/4; 11/4; 11/4; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 13/5; 11/4; ; 21/10; ; 
Stoke; 9/2; 7/2; 19/5; 10/3; 7/2; 9/2; 21/5; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 4; 19/5; 4; 7/2; 19/5; 21/5; 39/11; 37/10; 15/4; 15/4; ; 3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-15 22:15:10 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 8/11; 4/6; 13/20; 3/4; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 13/17; 13/18; 3/4; 13/18; ; 2/9; ; 
Draw; 5/2; 11/4; 11/4; 5/2; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 13/5; 11/4; ; 2; ; 
Stoke; 9/2; 7/2; 19/5; 7/2; 7/2; 9/2; 21/5; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 4; 19/5; 4; 7/2; 19/5; 21/5; 39/11; 37/10; 15/4; 15/4; ; 1/20; ; 
META; english/premier-league/everton-v-stoke; 2017-06-16 02:15:10 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 8/11; 4/6; 13/20; 3/4; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 3/4; 13/18; 3/4; 13/18; ; 2/9; ; 
Draw; 5/2; 11/4; 11/4; 5/2; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 13/5; 11/4; ; 2; ; 
Stoke; 9/2; 7/2; 19/5; 7/2; 7/2; 9/2; 21/5; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 4; 19/5; 4; 7/2; 19/5; 21/5; 39/11; 37/10; 15/4; 15/4; ; 1/20; ; 
META; english/premier-league/everton-v-stoke; 2017-06-16 10:15:10 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 8/11; 4/6; 13/20; 3/4; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 5/2; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 13/5; 11/4; ; 2; ; 
Stoke; 9/2; 7/2; 19/5; 7/2; 7/2; 9/2; 21/5; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 21/5; 39/11; 37/10; 15/4; 15/4; ; 1/20; ; 
