Newcastle; 10/3; 3; 17/5; 3; 4; 7/2; 7/2; 7/2; ; 7/2; 4; 7/2; 10/3; 7/2; 16/5; 10/3; ; 10/3; 7/2; 33/10; 4; 13/4; 37/10; 7/2; 15/4; ; 1/20; ; 
META; english/premier-league/newcastle-v-tottenham; 2017-06-16 22:15:16 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Tottenham; 3/4; 4/5; 4/5; 4/5; 8/13; 8/11; 17/20; 7/10; ; 4/6; 8/13; 5/6; 10/13; 7/10; 5/6; 8/11; 4/5; 7/9; 4/6; 4/5; 4/5; 16/19; 13/18; 3/4; 13/18; ; 8/15; ; 
Draw; 11/4; 13/5; 11/4; 5/2; 11/4; 11/4; 11/4; 11/4; ; 11/4; 11/4; 5/2; 27/10; 11/4; 11/4; 13/5; 45/17; 13/5; 11/4; 45/17; 57/20; 27/10; 11/4; 13/5; 11/4; ; 2; ; 
Newcastle; 10/3; 3; 17/5; 3; 4; 7/2; 7/2; 7/2; ; 7/2; 4; 7/2; 10/3; 7/2; 16/5; 10/3; 33/10; 10/3; 7/2; 33/10; 4; 13/4; 37/10; 7/2; 15/4; ; 1/20; ; 
META; english/premier-league/newcastle-v-tottenham; 2017-06-17 02:15:15 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Tottenham; 3/4; 4/5; 4/5; 4/5; 8/13; 8/11; 17/20; 7/10; ; 4/6; 8/13; 5/6; 10/13; 7/10; 5/6; 8/11; 4/5; 7/9; 4/6; 4/5; 4/5; 16/19; 13/18; 3/4; 13/18; ; 8/15; ; 
Draw; 11/4; 13/5; 11/4; 5/2; 11/4; 11/4; 11/4; 11/4; ; 11/4; 11/4; 5/2; 27/10; 11/4; 11/4; 13/5; 45/17; 13/5; 11/4; 45/17; 57/20; 27/10; 11/4; 13/5; 11/4; ; 2; ; 
Newcastle; 10/3; 3; 17/5; 3; 4; 7/2; 7/2; 7/2; ; 7/2; 4; 7/2; 10/3; 7/2; 16/5; 10/3; 33/10; 10/3; 7/2; 33/10; 4; 13/4; 37/10; 7/2; 15/4; ; 1; ; 
META; english/premier-league/newcastle-v-tottenham; 2017-06-17 10:15:16 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Tottenham; 10/11; 4/5; 4/5; 4/5; 8/13; 8/11; 10/11; 7/10; ; 4/6; 8/13; 10/11; 5/6; 7/10; 10/11; 5/6; 13/15; 7/9; 4/6; 13/15; 10/11; 9/10; 13/18; 5/6; 13/18; ; 8/15; ; 
Draw; 13/5; 13/5; 11/4; 5/2; 11/4; 11/4; 11/4; 11/4; ; 11/4; 11/4; 13/5; 53/20; 11/4; 13/5; 13/5; 13/5; 13/5; 11/4; 13/5; 11/4; 45/17; 11/4; 5/2; 11/4; ; 2; ; 
Newcastle; 11/4; 3; 17/5; 3; 4; 7/2; 16/5; 7/2; ; 7/2; 4; 3; 3; 7/2; 3; 29/10; 3; 10/3; 7/2; 3; 69/20; 3; 37/10; 10/3; 15/4; ; 1; ; 
META; english/premier-league/newcastle-v-tottenham; 2017-06-17 14:15:17 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Tottenham; 10/11; 4/5; 4/5; 4/5; 8/13; 8/11; 10/11; 7/10; ; 4/6; 8/13; 10/11; 5/6; 7/10; 10/11; 5/6; 13/15; 7/9; 4/6; 13/15; 10/11; 9/10; 13/18; 5/6; 13/18; ; 8/15; ; 
Draw; 13/5; 13/5; 11/4; 5/2; 11/4; 11/4; 11/4; 11/4; ; 11/4; 11/4; 13/5; 53/20; 11/4; 13/5; 13/5; 13/5; 13/5; 11/4; 13/5; 11/4; 45/17; 11/4; 5/2; 11/4; ; 2; ; 
Newcastle; 11/4; 3; 17/5; 3; 4; 7/2; 16/5; 7/2; ; 7/2; 4; 3; 3; 7/2; 3; 29/10; 3; 10/3; 7/2; 3; 69/20; 3; 37/10; 10/3; 15/4; ; 1; ; 
META; english/premier-league/newcastle-v-tottenham; 2017-06-17 18:15:16 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Tottenham; 10/11; 17/20; 4/5; 4/5; 8/13; 8/11; 10/11; 7/10; ; 4/6; 8/13; 10/11; 5/6; 7/10; 10/11; 11/13; 13/15; 7/9; 4/6; 13/15; 10/11; 9/10; 13/18; 5/6; 13/18; ; 8/15; ; 
Draw; 13/5; 5/2; 11/4; 5/2; 11/4; 11/4; 11/4; 11/4; ; 11/4; 11/4; 13/5; 53/20; 11/4; 13/5; 5/2; 13/5; 13/5; 11/4; 13/5; 11/4; 45/17; 11/4; 5/2; 11/4; ; 2; ; 
Newcastle; 11/4; 29/10; 17/5; 3; 4; 7/2; 16/5; 7/2; ; 7/2; 4; 3; 3; 7/2; 3; 29/10; 3; 10/3; 7/2; 3; 69/20; 3; 37/10; 10/3; 15/4; ; 1; ; 
META; english/premier-league/newcastle-v-tottenham; 2017-06-17 22:15:16 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Tottenham; 10/11; 17/20; 4/5; 4/5; 8/13; 8/11; 10/11; 7/10; ; 4/6; 8/13; 10/11; 5/6; 7/10; 10/11; 11/13; 13/15; 7/9; 4/6; 13/15; 10/11; 9/10; 13/18; 5/6; 13/18; ; 8/15; ; 
Draw; 13/5; 5/2; 11/4; 5/2; 11/4; 11/4; 11/4; 11/4; ; 11/4; 11/4; 13/5; 53/20; 11/4; 13/5; 5/2; 13/5; 13/5; 11/4; 13/5; 11/4; 45/17; 11/4; 5/2; 11/4; ; 2; ; 
Newcastle; 11/4; 29/10; 17/5; 3; 4; 7/2; 16/5; 7/2; ; 7/2; 4; 3; 3; 7/2; 3; 29/10; 58/19; 10/3; 7/2; 58/19; 69/20; 3; 37/10; 10/3; 15/4; ; 1; ; 
META; english/premier-league/newcastle-v-tottenham; 2017-06-18 02:15:15 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Tottenham; 10/11; 17/20; 4/5; 4/5; 8/13; 8/11; 10/11; 7/10; ; 4/6; 8/13; 10/11; 5/6; 7/10; 10/11; 11/13; 13/15; 7/9; 4/6; 13/15; 10/11; 9/10; 13/18; 5/6; 13/18; ; 8/15; ; 
Draw; 13/5; 5/2; 11/4; 5/2; 11/4; 11/4; 11/4; 11/4; ; 11/4; 11/4; 13/5; 53/20; 11/4; 13/5; 5/2; 13/5; 13/5; 11/4; 13/5; 11/4; 45/17; 11/4; 5/2; 11/4; ; 2; ; 
Newcastle; 11/4; 29/10; 17/5; 3; 4; 7/2; 16/5; 7/2; ; 7/2; 4; 3; 3; 7/2; 3; 29/10; 58/19; 10/3; 7/2; 58/19; 69/20; 3; 37/10; 10/3; 15/4; ; 10/9; ; 
META; english/premier-league/newcastle-v-tottenham; 2017-06-18 10:15:15 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Tottenham; 10/11; 17/20; 4/5; 4/5; 8/13; 8/11; 10/11; 7/10; ; 4/6; 8/13; 10/11; 5/6; 7/10; 10/11; 11/13; 13/15; 7/9; 4/6; 13/15; 10/11; 9/10; 13/18; 5/6; 13/18; ; 8/15; ; 
Draw; 13/5; 5/2; 11/4; 5/2; 11/4; 11/4; 11/4; 11/4; ; 11/4; 11/4; 13/5; 53/20; 11/4; 13/5; 5/2; 13/5; 13/5; 11/4; 13/5; 11/4; 45/17; 11/4; 5/2; 11/4; ; 2; ; 
Newcastle; 11/4; 29/10; 17/5; 3; 4; 7/2; 16/5; 7/2; ; 7/2; 4; 3; 3; 7/2; 3; 29/10; 58/19; 10/3; 7/2; 58/19; 69/20; 3; 37/10; 10/3; 15/4; ; 10/9; ; 
META; english/premier-league/newcastle-v-tottenham; 2017-06-18 14:15:16 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Tottenham; 10/11; 17/20; 4/5; 4/5; 8/13; 8/11; 10/11; 7/10; ; 4/6; 8/13; 10/11; 5/6; 7/10; 10/11; 11/13; 13/15; 7/9; 4/6; 13/15; 10/11; 9/10; 13/18; 5/6; 13/18; ; 8/15; ; 
Draw; 13/5; 5/2; 11/4; 5/2; 11/4; 11/4; 11/4; 11/4; ; 11/4; 11/4; 13/5; 53/20; 11/4; 13/5; 5/2; 13/5; 13/5; 11/4; 13/5; 11/4; 45/17; 11/4; 5/2; 11/4; ; 2; ; 
Newcastle; 11/4; 29/10; 17/5; 3; 4; 7/2; 16/5; 7/2; ; 7/2; 4; 3; 3; 7/2; 3; 29/10; 58/19; 10/3; 7/2; 58/19; 69/20; 3; 37/10; 10/3; 15/4; ; 10/9; ; 
META; english/premier-league/newcastle-v-tottenham; 2017-06-18 18:15:15 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Tottenham; 10/11; 17/20; 4/5; 4/5; 8/13; 8/11; 10/11; 7/10; ; 4/6; 8/13; 20/23; 17/20; 7/10; 10/11; 11/13; 5/6; 7/9; 4/6; 5/6; 10/11; 9/10; 13/18; 10/11; 13/18; ; 8/15; ; 
Draw; 13/5; 5/2; 11/4; 5/2; 11/4; 11/4; 11/4; 11/4; ; 11/4; 11/4; 13/5; 53/20; 11/4; 13/5; 5/2; 13/5; 13/5; 11/4; 13/5; 11/4; 45/17; 11/4; 12/5; 11/4; ; 2; ; 
Newcastle; 11/4; 29/10; 17/5; 3; 4; 7/2; 16/5; 7/2; ; 7/2; 4; 3; 29/10; 7/2; 3; 29/10; 31/10; 10/3; 7/2; 31/10; 69/20; 3; 37/10; 3; 15/4; ; 1; ; 
META; english/premier-league/newcastle-v-tottenham; 2017-06-18 22:15:16 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Tottenham; 10/11; 17/20; 4/5; 4/5; 8/13; 8/11; 10/11; 7/10; ; 4/6; 8/13; 20/23; 5/6; 7/10; 10/11; 11/13; 5/6; 7/9; 4/6; 5/6; 10/11; 9/10; 13/18; 10/11; 13/18; ; 8/15; ; 
Draw; 13/5; 5/2; 11/4; 5/2; 11/4; 11/4; 11/4; 11/4; ; 11/4; 11/4; 13/5; 53/20; 11/4; 13/5; 5/2; 13/5; 13/5; 11/4; 13/5; 11/4; 45/17; 11/4; 12/5; 11/4; ; 2; ; 
Newcastle; 11/4; 29/10; 17/5; 3; 4; 7/2; 16/5; 7/2; ; 7/2; 4; 3; 3; 7/2; 3; 29/10; 31/10; 10/3; 7/2; 31/10; 69/20; 3; 37/10; 3; 15/4; ; 1; ; 
META; english/premier-league/newcastle-v-tottenham; 2017-06-19 02:15:15 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Tottenham; 10/11; 17/20; 4/5; 4/5; 8/13; 8/11; 10/11; 7/10; ; 4/6; 8/13; 20/23; 5/6; 7/10; 10/11; 11/13; 5/6; 7/9; 4/6; 5/6; 10/11; 9/10; 13/18; 10/11; 13/18; ; 8/15; ; 
Draw; 13/5; 5/2; 11/4; 5/2; 11/4; 11/4; 11/4; 11/4; ; 11/4; 11/4; 13/5; 53/20; 11/4; 13/5; 5/2; 13/5; 13/5; 11/4; 13/5; 11/4; 45/17; 11/4; 12/5; 11/4; ; 2; ; 
