META; english/premier-league/chelsea-v-west-ham; 2018-03-18 14:16:30 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 2/7; 2/7; 31/00; 2/9; 1/3; 2/7; 2/7; 30/00; 3/10; 3/10; 3/11; 1/4; 4/13; 2/9; 
Draw; 17/4; 17/4; 51/10; 7/2; 4; 9/2; 17/4; 9/2; 9/2; 21/5; 22/5; 19/4; 17/4; 21/5; 10/3
West Ham; 10; 10; 21/2; 9; 11; 10; 10; 17/2; 8; 14; 10; 35/4; 17/2; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-18 18:16:29 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 2/7; 2/7; 31/00; 2/9; 2/9; 1/3; 2/7; 2/7; 30/00; 3/10; 3/10; 3/11; 1/3; 1/4; 3/10; 2/9; 
Draw; 17/4; 17/4; 51/10; 15/4; 7/2; 4; 9/2; 9/2; 9/2; 9/2; 21/5; 22/5; 4; 19/4; 17/4; 17/4; 10/3
West Ham; 10; 10; 21/2; 19/2; 9; 11; 11; 10; 35/4; 8; 15/2; 14; 10; 35/4; 17/2; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-19 02:28:23 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 31/00; 1/5; 1/5; 1/3; 2/7; 2/7; 30/00; 2/7; 2/7; 5/19; 1/3; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 49/10; 4; 4; 9/2; 9/2; 9/2; 9/2; 43/10; 22/5; 4; 19/4; 9/2; 74/17; 7/2; 
West Ham; 11; 10; 11; 19/2; 9; 11; 11; 11; 37/4; 43/5; 15/2; 14; 11; 37/4; 17/2; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-19 10:28:24 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 31/00; 1/5; 1/5; 1/3; 2/7; 2/7; 30/00; 2/7; 2/7; 5/19; 1/3; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 49/10; 4; 4; 9/2; 9/2; 9/2; 9/2; 43/10; 22/5; 4; 19/4; 9/2; 74/17; 7/2; 
West Ham; 11; 10; 11; 19/2; 9; 11; 11; 11; 37/4; 43/5; 15/2; 14; 11; 37/4; 17/2; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-19 14:28:25 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 3/10; 1/5; 1/5; 1/3; 2/7; 2/7; 30/00; 2/7; 2/7; 5/19; 1/3; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 26/5; 4; 4; 9/2; 9/2; 9/2; 9/2; 43/10; 22/5; 4; 19/4; 9/2; 74/17; 7/2; 
West Ham; 11; 10; 11; 19/2; 9; 11; 11; 11; 37/4; 43/5; 15/2; 14; 11; 37/4; 17/2; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-19 18:28:27 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 2/7; 5/19; 1/4; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 4; 26/5; 4; 19/4; 9/2; 9/2; 5; 9/2; 43/10; 22/5; 19/4; 19/4; 9/2; 74/17; 21/5; 
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 37/4; 43/5; 21/2; 14; 11; 37/4; 19/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-19 22:28:28 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 2/7; 1/4; 5/19; 1/4; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 43/10; 5; 22/5; 19/4; 19/4; 9/2; 74/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 37/4; 11; 43/5; 21/2; 14; 11; 37/4; 19/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-20 02:28:27 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 2/7; 1/4; 5/19; 1/4; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 43/10; 5; 22/5; 19/4; 19/4; 9/2; 74/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 37/4; 11; 43/5; 21/2; 14; 11; 37/4; 19/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-20 10:28:28 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 2/7; 1/4; 5/19; 1/4; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 43/10; 5; 22/5; 19/4; 19/4; 9/2; 74/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 37/4; 11; 43/5; 21/2; 14; 11; 37/4; 10; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-20 14:28:26 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 2/7; 1/4; 5/19; 1/4; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 43/10; 5; 22/5; 19/4; 19/4; 9/2; 74/17; 4
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 37/4; 11; 43/5; 21/2; 14; 11; 37/4; 17/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-20 18:28:27 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 79/17; 4
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 21/2; 11; 43/5; 21/2; 14; 11; 21/2; 17/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-20 22:28:30 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 79/17; 4
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 21/2; 11; 43/5; 21/2; 14; 11; 21/2; 17/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-21 02:28:31 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 79/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 21/2; 11; 43/5; 21/2; 14; 11; 21/2; 52/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-21 10:28:31 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 5/18; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 22/5; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 21/2; 11; 43/5; 21/2; 14; 11; 37/4; 52/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-21 14:28:32 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 1/4; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 79/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 10; 21/2; 11; 43/5; 21/2; 14; 11; 21/2; 52/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-21 18:28:32 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 1/4; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 79/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 10; 21/2; 11; 43/5; 21/2; 14; 11; 21/2; 52/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-21 22:28:32 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 1/4; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 79/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 10; 21/2; 11; 43/5; 21/2; 14; 11; 21/2; 52/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-22 02:28:30 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 1/4; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 79/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 10; 21/2; 11; 43/5; 21/2; 14; 11; 21/2; 19/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-22 10:28:30 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 1/4; 3/11; 1/4; 5/19; 1/4; 1/4; 1/4; 3/11; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 49/11; 5; 22/5; 19/4; 19/4; 9/2; 9/2; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 10; 39/4; 11; 43/5; 21/2; 14; 11; 39/4; 19/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-22 14:28:35 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 1/4; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 79/17; 5; 22/5; 19/4; 19/4; 9/2; 47/10; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 10; 43/4; 11; 43/5; 21/2; 14; 11; 43/4; 19/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-22 18:28:34 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 30/00; 1/4; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 9/2; 9/2; 47/10; 5; 22/5; 19/4; 5; 9/2; 47/10; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 10; 43/4; 11; 43/5; 21/2; 14; 11; 43/4; 19/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-22 22:28:33 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/4; 1/5; 1/4; 1/4; 2/7; 2/7; 30/00; 1/4; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
West Ham; 11; 10; 11; 11; 11; 11; 11; 11; 12; 11; 19/2; 43/4; 11; 43/5; 21/2; 14; 11; 43/4; 19/2; ; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-26 22:28:28 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/4; 1/5; 1/4; 1/4; 1/4; 1/4; 2/7; 30/00; 2/9; 4/17; 5/19; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 4; 19/4; 4; 19/4; 17/4; 9/2; 4; 9/2; 9/2; 4; 47/10; 19/4; 22/5; 19/4; 19/4; 9/2; 19/4; 21/5
West Ham; 11; 10; 11; 11; 11; 11; 11; 11; 12; 11; 19/2; 43/4; 11; 43/5; 21/2; 14; 11; 43/4; 19/2; ; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-27 02:28:29 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/4; 1/5; 1/4; 1/4; 1/4; 1/4; 2/7; 30/00; 2/9; 1/4; 5/19; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 4; 19/4; 4; 19/4; 17/4; 9/2; 4; 9/2; 9/2; 4; 79/17; 19/4; 22/5; 19/4; 5; 9/2; 47/10; 21/5
West Ham; 11; 10; 11; 11; 11; 11; 11; 11; 12; 11; 19/2; 43/4; 11; 43/5; 21/2; 14; 11; 43/4; 19/2; ; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-27 10:28:30 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 2/7; 3/10; 1/5; 1/4; 1/5; 1/4; 1/4; 1/4; 1/4; 2/7; 30/00; 2/9; 1/4; 5/19; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 9/2; 4; 26/5; 4; 19/4; 4; 19/4; 17/4; 4; 9/2; 9/2; 4; 79/17; 19/4; 22/5; 19/4; 5; 9/2; 47/10; 22/5; 
West Ham; 11; 10; 11; 11; 11; 11; 11; 11; 11; 12; 11; 19/2; 43/4; 11; 43/5; 21/2; 14; 11; 43/4; 52/5; ; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-27 14:28:30 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 2/7; 3/10; 1/5; 1/4; 1/5; 1/4; 1/4; 1/4; 1/4; 2/7; 30/00; 2/9; 1/4; 5/19; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 9/2; 4; 26/5; 4; 19/4; 4; 19/4; 17/4; 4; 9/2; 9/2; 4; 79/17; 19/4; 22/5; 19/4; 5; 9/2; 47/10; 22/5; 
West Ham; 11; 10; 11; 11; 11; 11; 11; 11; 11; 12; 11; 19/2; 43/4; 11; 43/5; 21/2; 14; 11; 43/4; 52/5; ; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-27 18:28:32 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 2/7; 3/10; 1/5; 1/4; 1/5; 1/4; 1/4; 1/4; 1/4; 2/7; 30/00; 2/9; 1/4; 5/19; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 9/2; 4; 26/5; 4; 19/4; 4; 19/4; 17/4; 4; 9/2; 9/2; 4; 79/17; 19/4; 22/5; 19/4; 19/4; 9/2; 47/10; 22/5; 
West Ham; 11; 10; 11; 11; 11; 11; 11; 11; 11; 12; 11; 19/2; 43/4; 11; 43/5; 21/2; 14; 11; 43/4; 52/5; ; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-27 22:28:32 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 2/7; 3/10; 1/5; 1/4; 1/5; 1/4; 1/4; 1/4; 1/4; 2/7; 30/00; 2/9; 4/17; 5/19; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 9/2; 4; 26/5; 4; 19/4; 4; 19/4; 17/4; 4; 9/2; 9/2; 4; 19/4; 19/4; 22/5; 19/4; 19/4; 9/2; 19/4; 22/5; 
West Ham; 11; 10; 11; 11; 11; 11; 11; 11; 11; 12; 11; 19/2; 43/4; 11; 43/5; 21/2; 14; 11; 43/4; 52/5; ; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-28 02:28:31 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 2/7; 3/10; 1/5; 1/4; 1/5; 1/4; 1/4; 1/4; 1/4; 2/7; 30/00; 2/9; 1/4; 5/19; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 9/2; 4; 26/5; 4; 19/4; 4; 19/4; 17/4; 4; 9/2; 9/2; 4; 79/17; 19/4; 22/5; 19/4; 5; 9/2; 47/10; 22/5; 
West Ham; 11; 10; 11; 11; 11; 11; 11; 11; 11; 12; 11; 19/2; 43/4; 11; 43/5; 21/2; 14; 11; 43/4; 52/5; ; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-28 10:28:29 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 2/7; 3/10; 1/5; 1/4; 1/5; 1/4; 1/4; 1/4; 1/4; 2/7; 30/00; 2/9; 1/4; 5/19; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 9/2; 4; 26/5; 4; 19/4; 4; 19/4; 17/4; 4; 9/2; 9/2; 4; 79/17; 19/4; 22/5; 19/4; 19/4; 9/2; 47/10; 22/5; 
West Ham; 11; 10; 11; 11; 11; 11; 11; 11; 11; 12; 11; 19/2; 43/4; 11; 43/5; 21/2; 14; 11; 43/4; 52/5; ; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-28 14:28:33 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 2/7; 31/00; 1/5; 1/4; 1/5; 1/4; 1/4; 1/4; 1/4; 2/7; 30/00; 2/9; 1/4; 5/19; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 9/2; 4; 49/10; 4; 19/4; 4; 19/4; 17/4; 4; 9/2; 9/2; 4; 79/17; 19/4; 22/5; 19/4; 19/4; 9/2; 47/10; 22/5; 
West Ham; 11; 10; 11; 11; 11; 11; 11; 11; 11; 12; 11; 19/2; 43/4; 11; 43/5; 21/2; 14; 11; 43/4; 52/5; ; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-28 18:28:32 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 2/7; 31/00; 1/5; 1/4; 1/5; 1/4; 1/4; 1/4; 1/4; 2/7; 30/00; 2/9; 1/4; 5/19; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 9/2; 4; 49/10; 4; 19/4; 4; 19/4; 17/4; 4; 9/2; 9/2; 4; 79/17; 19/4; 22/5; 19/4; 5; 9/2; 47/10; 22/5; 
West Ham; 11; 10; 11; 11; 11; 11; 11; 11; 11; 12; 11; 19/2; 43/4; 11; 43/5; 21/2; 14; 11; 43/4; 52/5; ; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-28 22:28:33 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 2/7; 31/00; 1/5; 1/4; 1/5; 1/4; 1/4; 1/4; 1/4; 2/7; 30/00; 2/9; 1/4; 5/19; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 9/2; 4; 49/10; 4; 19/4; 4; 19/4; 17/4; 4; 9/2; 9/2; 4; 79/17; 19/4; 22/5; 19/4; 5; 9/2; 47/10; 22/5; 
West Ham; 11; 10; 11; 11; 11; 11; 11; 11; 11; 12; 11; 19/2; 43/4; 11; 43/5; 21/2; 14; 11; 43/4; 52/5; ; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-29 02:28:32 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 1/4; 2/7; 2/7; 1/5; 1/4; 1/5; 1/4; 1/4; 1/4; 2/9; 2/7; 2/7; 2/9; 3/13; 5/19; 5/19; 1/4; 1/4; 1/4; 3/13; 1/4
Draw; 9/2; 17/4; 9/2; 4; 27/5; 4; 4; 19/4; 9/2; 9/2; 9/2; 19/4; 4; 63/13; 19/4; 22/5; 19/4; 5; 9/2; 49/10; 22/5; ; 
West Ham; 11; 10; 12; 11; 23/2; 10; 12; 10; 11; 12; 11; 12; 11; 10; 19/2; 47/4; 11; 43/5; 21/2; 14; 12; 47/4; 52/5
META; english/premier-league/chelsea-v-west-ham; 2018-03-29 10:28:33 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 1/4; 2/7; 29/00; 1/5; 2/9; 1/5; 1/4; 1/4; 1/4; 2/9; 2/7; 2/7; 2/9; 2/9; 5/19; 5/19; 1/4; 1/4; 1/4; 2/9; 1/4
Draw; 9/2; 17/4; 9/2; 4; 51/10; 4; 4; 19/4; 9/2; 9/2; 9/2; 19/4; 4; 49/10; 19/4; 22/5; 19/4; 19/4; 9/2; 94/19; 22/5; ; 
West Ham; 11; 10; 12; 11; 12; 10; 12; 10; 11; 12; 11; 12; 11; 10; 19/2; 12; 11; 43/5; 21/2; 14; 12; 49/4; 52/5
META; english/premier-league/chelsea-v-west-ham; 2018-03-29 14:28:34 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 1/4; 2/7; 2/7; 1/5; 1/4; 1/5; 1/4; 1/4; 1/4; 2/9; 2/7; 2/7; 2/9; 3/13; 5/19; 5/19; 1/4; 1/4; 1/4; 3/13; 1/4
Draw; 9/2; 17/4; 9/2; 4; 27/5; 4; 4; 19/4; 9/2; 9/2; 9/2; 19/4; 4; 63/13; 19/4; 22/5; 19/4; 19/4; 9/2; 49/10; 22/5; ; 
West Ham; 11; 10; 12; 11; 23/2; 10; 12; 10; 11; 12; 11; 12; 11; 10; 19/2; 47/4; 11; 43/5; 21/2; 14; 12; 47/4; 52/5
META; english/premier-league/chelsea-v-west-ham; 2018-03-29 18:16:37 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 1/4; 2/7; 2/7; 1/5; 1/4; 1/5; 1/4; 1/4; 1/4; 2/9; 2/7; 2/7; 2/9; 3/13; 5/19; 5/19; 1/4; 1/4; 1/4; 3/13; 1/4
Draw; 9/2; 17/4; 9/2; 4; 27/5; 4; 4; 19/4; 9/2; 9/2; 9/2; 19/4; 4; 63/13; 19/4; 22/5; 19/4; 19/4; 9/2; 49/10; 22/5; ; 
West Ham; 11; 10; 12; 11; 23/2; 10; 12; 10; 11; 12; 11; 12; 11; 10; 19/2; 47/4; 11; 43/5; 21/2; 14; 12; 47/4; 52/5
META; english/premier-league/chelsea-v-west-ham; 2018-03-29 22:16:34 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 1/4; 2/7; 2/7; 1/5; 1/4; 1/5; 1/4; 1/4; 1/4; 2/9; 2/7; 2/7; 2/9; 3/13; 5/19; 5/19; 1/4; 1/4; 1/4; 3/13; 1/4
Draw; 9/2; 17/4; 9/2; 4; 27/5; 4; 4; 19/4; 9/2; 9/2; 9/2; 19/4; 4; 63/13; 19/4; 22/5; 19/4; 19/4; 9/2; 49/10; 22/5; ; 
West Ham; 11; 10; 12; 11; 23/2; 10; 12; 10; 11; 12; 11; 12; 11; 10; 19/2; 47/4; 11; 43/5; 21/2; 14; 12; 47/4; 52/5
META; english/premier-league/chelsea-v-west-ham; 2018-03-30 02:16:34 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 1/4; 2/7; 2/7; 1/5; 1/4; 1/5; 1/4; 1/4; 1/4; 2/9; 2/7; 2/7; 2/9; 3/13; 5/19; 5/19; 1/4; 1/4; 1/4; 3/13; 1/4
Draw; 9/2; 17/4; 9/2; 4; 27/5; 4; 4; 19/4; 9/2; 9/2; 9/2; 19/4; 4; 63/13; 19/4; 22/5; 19/4; 5; 9/2; 49/10; 22/5; ; 
West Ham; 11; 10; 12; 11; 23/2; 10; 12; 10; 11; 12; 11; 12; 11; 10; 19/2; 47/4; 11; 43/5; 21/2; 14; 12; 47/4; 52/5
META; english/premier-league/chelsea-v-west-ham; 2018-03-30 10:16:34 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 1/4; 2/7; 2/7; 1/5; 1/4; 1/5; 1/4; 1/4; 1/4; 2/9; 2/7; 2/7; 2/9; 3/13; 5/19; 5/19; 1/4; 1/4; 1/4; 3/13; 1/4
Draw; 9/2; 17/4; 9/2; 4; 27/5; 4; 4; 19/4; 9/2; 9/2; 9/2; 19/4; 4; 63/13; 19/4; 22/5; 19/4; 19/4; 9/2; 49/10; 22/5; ; 
West Ham; 11; 10; 12; 11; 23/2; 10; 12; 10; 11; 12; 11; 12; 11; 10; 19/2; 47/4; 11; 43/5; 21/2; 14; 12; 47/4; 52/5
META; english/premier-league/chelsea-v-west-ham; 2018-03-30 14:16:38 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 1/4; 2/7; 2/7; 1/5; 1/4; 1/5; 1/4; 1/4; 1/4; 2/9; 2/7; 2/7; 2/9; 3/13; 5/19; 5/19; 1/4; 1/4; 1/4; 3/13; 1/4
