META; english/premier-league/brighton-v-man-utd; 2018-04-27 18:15:52 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 8/15; 8/15; 
Draw; 3; 56/19; 56/19
Brighton; 67/13; 26/5; 
META; english/premier-league/brighton-v-man-utd; 2018-04-27 22:15:56 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 8/15; 57/00; 11/20; 8/15; 4/9; 6/11; 8/15; 4/7; 4/7; 8/15; 8/15; 5/9; 6/11; 11/20; 8/15; 1/2
Draw; 3; 33/10; 16/5; 3; 29/10; 3; 3; 56/19; 37/13; 29/10; 16/5; 3; 27/10; ; ; 
Brighton; 5; 59/10; 11/2; 11/2; 5; 21/4; 11/2; 5; 11/2; 67/13; 4; 51/10; 6; 26/5; 23/5; 
META; english/premier-league/brighton-v-man-utd; 2018-04-28 02:15:53 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 8/15; 8/15; 59/00; 11/20; 8/15; 4/9; 6/11; 8/15; 4/7; 4/7; 4/7; 4/7; 8/15; 5/9; 6/11; 11/20; 8/15; 1/2
Draw; 3; 13/4; 16/5; 3; 29/10; 3; 14/5; 3; 3; 37/13; 29/10; 33/10; 3; 13/5; ; ; ; 
Brighton; 5; 28/5; 11/2; 11/2; 5; 21/4; 11/2; 5; 5; 5; 51/10; 11/2; 96/19; 23/5; ; ; ; 
META; english/premier-league/brighton-v-man-utd; 2018-04-28 10:15:53 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 8/15; 8/15; 59/00; 11/20; 5/9; 4/9; 6/11; 8/15; 4/7; 4/7; 4/7; 4/7; 8/15; 5/9; 6/11; 4/7; 8/15; 1/2; 1/2
Draw; 3; 13/4; 16/5; 16/5; 3; 29/10; 3; 14/5; 3; 3; 37/13; 29/10; 16/5; 3; 27/10; 11/4; ; ; 
Brighton; 5; 28/5; 11/2; 5; 21/4; 11/2; 5; 5; 5; 51/10; 11/2; 96/19; 23/5; 24/5; ; ; ; ; 
META; english/premier-league/brighton-v-man-utd; 2018-04-28 14:15:58 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 8/15; 8/15; 59/00; 11/20; 5/9; 4/9; 6/11; 8/15; 4/7; 4/7; 4/7; 8/15; 8/15; 5/9; 6/11; 4/7; 8/15; 1/2; 4/7
Draw; 3; 13/4; 16/5; 16/5; 3; 29/10; 3; 14/5; 3; 3; 37/13; 29/10; 16/5; 3; 11/4; 3; ; ; 
Brighton; 5; 28/5; 11/2; 5; 21/4; 11/2; 5; 5; 11/2; 5; 51/10; 11/2; 96/19; 23/5; 27/5; ; ; ; 
META; english/premier-league/brighton-v-man-utd; 2018-04-28 18:15:52 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 8/15; 8/15; 59/00; 11/20; 5/9; 4/9; 6/11; 8/15; 11/20; 4/7; 4/7; 8/15; 8/15; 6/11; 11/20; 8/15; 1/2; 4/7
Draw; 3; 13/4; 16/5; 16/5; 3; 29/10; 3; 3; 3; 29/10; 16/5; 3; 11/4; 3; ; ; ; 
Brighton; 5; 28/5; 11/2; 5; 21/4; 11/2; 5; 5; 11/2; 5; 51/10; 6; 96/19; 23/5; 27/5; ; ; 
META; english/premier-league/brighton-v-man-utd; 2018-04-28 22:15:28 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 8/15; 8/15; 3/5; 11/20; 5/9; 4/9; 6/11; 8/15; 4/7; 6/10; 4/7; 4/7; 7/12; 6/11; 4/7; 4/7; 4/7
Draw; 3; 13/4; 16/5; 16/5; 3; 29/10; 3; 3; 3; 58/19; 14/5; 29/10; 58/19; 11/4; 3; ; 
Brighton; 5; 11/2; 11/2; 5; 21/4; 11/2; 9/2; 19/4; 5; 5; 50/13; 51/10; 11/2; 96/19; 23/5; 5; 
META; english/premier-league/brighton-v-man-utd; 2018-04-29 02:15:26 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 8/15; 8/15; 3/5; 11/20; 4/7; 1/2; 6/11; 4/7; 4/7; 6/10; 6/10; 4/7; 4/7; 4/7; 7/12; 6/11; 4/7; 4/7; 8/15; 4/7
Draw; 3; 13/4; 16/5; 16/5; 3; 29/10; 3; 3; 29/10; 3; 3; 14/5; 29/10; 3; 11/4; 3; ; ; ; 
Brighton; 5; 11/2; 5; 9/2; 21/4; 5; 9/2; 17/4; 19/4; 5; 47/10; 50/13; 51/10; 11/2; 19/4; 23/5; 24/5; ; ; 
META; english/premier-league/brighton-v-man-utd; 2018-04-29 10:15:27 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; 8/15; 63/00; 11/20; 3/5; 1/2; 6/11; 4/7; 4/7; 6/10; 8/13; 8/13; 4/7; 10/17; 7/12; 6/11; 3/5; 11/18; 4/7; 4/7
Draw; 3; 13/4; 16/5; 16/5; 3; 29/10; 3; 3; 29/10; 3; 56/19; 14/5; 29/10; 31/10; 3; 11/4; 3; ; ; 
Brighton; 9/2; 5; 5; 9/2; 9/2; 21/4; 5; 9/2; 17/4; 19/4; 9/2; 5; 49/11; 50/13; 51/10; 21/4; 49/11; 23/5; 9/2; 
META; english/premier-league/brighton-v-man-utd; 2018-04-29 14:15:26 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; 8/15; 63/00; 11/20; 3/5; 1/2; 6/11; 4/7; 4/7; 6/10; 8/13; 8/13; 4/7; 10/17; 7/12; 6/11; 3/5; 11/18; 8/15; 4/7
Draw; 3; 13/4; 16/5; 16/5; 3; 29/10; 3; 3; 29/10; 3; 56/19; 14/5; 29/10; 31/10; 3; 11/4; 3; ; ; 
Brighton; 9/2; 5; 5; 9/2; 9/2; 21/4; 5; 9/2; 17/4; 19/4; 9/2; 5; 49/11; 50/13; 51/10; 21/4; 49/11; 23/5; 9/2; 
META; english/premier-league/brighton-v-man-utd; 2018-04-29 18:15:28 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; 8/15; 63/00; 11/20; 3/5; 1/2; 6/11; 4/7; 4/7; 6/10; 8/13; 8/13; 4/7; 10/17; 7/12; 6/11; 3/5; 11/18; 4/7; 4/7
Draw; 3; 13/4; 16/5; 16/5; 3; 29/10; 3; 3; 29/10; 3; 56/19; 14/5; 29/10; 31/10; 3; 11/4; 3; ; ; 
Brighton; 9/2; 5; 5; 9/2; 9/2; 21/4; 5; 9/2; 17/4; 19/4; 9/2; 5; 49/11; 50/13; 51/10; 21/4; 49/11; 23/5; 24/5; 
META; english/premier-league/brighton-v-man-utd; 2018-04-30 02:15:19 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; 8/13; 13/20; 63/00; 4/7; 3/5; 8/15; 6/11; 4/7; 8/13; 6/10; 13/20; 8/13; 8/13; 8/13; 3/5; 7/12; 6/11; 13/20; 8/13; 4/7; 8/13
Draw; 3; 3; 13/4; 3; 11/4; 29/10; 3; 3; 14/5; 3; 56/19; 31/10; 14/5; 29/10; 3; 14/5; 14/5; ; ; ; ; 
Brighton; 9/2; 9/2; 4; 5; 9/2; 9/2; 21/4; 5; 17/4; 17/4; 9/2; 9/2; 22/5; 9/2; 50/13; 51/10; 19/4; 49/11; 23/5; 24/5; ; 
META; english/premier-league/brighton-v-man-utd; 2018-04-30 10:15:19 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 8/13; 8/13; 13/20; 67/00; 6/10; 5/8; 8/15; 8/13; 4/7; 8/13; 6/10; 4/6; 4/6; 8/13; 8/13; 3/5; 11/17; 8/13; 13/20; 8/13; 4/7; 4/7; 8/13
Draw; 11/4; 3; 31/10; 31/10; 29/10; 3; 56/19; 14/5; 14/5; 3; 14/5; 3; 14/5; 29/10; 31/10; 29/10; 56/19; 3; 29/10; 14/5; 13/5; ; 
Brighton; 9/2; 9/2; 4; 24/5; 5; 9/2; 9/2; 9/2; 5; 9/2; 17/4; 17/4; 4; 9/2; 23/5; 9/2; 23/5; 22/5; 19/4; 79/17; 23/5; 4; 
META; english/premier-league/brighton-v-man-utd; 2018-04-30 14:15:19 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 8/13; 8/13; 13/20; 18/25; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 6/10; 4/6; 4/6; 4/6; 4/6; 11/17; 13/19; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6
Draw; 11/4; 3; 74/25; 29/10; 14/5; 11/4; 56/19; 14/5; 14/5; 3; 14/5; 3; 14/5; 14/5; 14/5; 56/19; 56/19; 3; 37/13; 14/5; 11/4; 14/5; 14/5; 14/5; 
Brighton; 9/2; 9/2; 4; 9/2; 9/2; 9/2; 4; 9/2; 9/2; 4; 17/4; 17/4; 4; 43/10; 9/2; 21/5; 22/5; 9/2; 74/17; 4; 22/5; 23/5; 22/5; 9/2; 
META; english/premier-league/brighton-v-man-utd; 2018-04-30 18:15:20 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 8/13; 8/13; 13/20; 18/25; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 5/7; 7/10; 4/6; 4/6; 4/6; 11/17; 13/19; 8/13; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6
Draw; 11/4; 3; 74/25; 29/10; 14/5; 11/4; 56/19; 14/5; 14/5; 13/5; 11/4; 3; 14/5; 14/5; 14/5; 56/19; 56/19; 29/10; 37/13; 11/4; 11/4; 14/5; 14/5; 14/5; 
Brighton; 9/2; 9/2; 4; 9/2; 9/2; 9/2; 4; 9/2; 9/2; 4; 4; 4; 43/10; 9/2; 21/5; 22/5; 9/2; 74/17; 4; 22/5; 23/5; 22/5; 9/2; ; 
META; english/premier-league/brighton-v-man-utd; 2018-04-30 22:15:19 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 8/13; 8/13; 4/6; 13/20; 18/25; 13/20; 4/6; 8/13; 13/19; 4/6; 4/6; 4/6; 5/7; 7/10; 4/6; 4/6; 5/7; 11/17; 13/19; 13/19; 7/10; 9/13; 4/6; 4/6; 4/6; 4/6; 4/6
Brighton; 4; 4; 9/2; 9/2; 4; 49/11; 4; 9/2; 4; 17/4; 4; 17/4; 9/2; 75/19; 43/10; 9/2; 43/10; 17/4; 22/5; 9/2; 23/5; 23/5; ; ; ; ; 
META; english/premier-league/brighton-v-man-utd; 2018-05-03 10:15:13 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 8/11; 8/11; 7/10; 7/10; 37/50; 7/10; 7/10; 8/13; 13/18; 7/10; 7/10; 7/10; 5/7; 8/11; 7/10; 7/10; 5/7; 11/17; 13/18; 7/10; 8/11; 5/7; 8/11; 4/6; 8/11; 8/11; 8/11
Draw; 11/4; 11/4; 13/5; 13/5; 143/0; 3; 11/4; 11/4; 37/13; 27/10; 11/4; 13/5; 13/5; 11/4; 11/4; 13/5; 27/10; 14/5; 37/13; 14/5; 14/5; 11/4; 14/5; 14/5; 14/5; 14/5; 14/5
Brighton; 9/2; 17/4; 4; 9/2; 9/2; 4; 49/11; 4; 9/2; 4; 17/4; 4; 74/17; 9/2; 75/19; 43/10; 9/2; 22/5; 17/4; 22/5; 9/2; 23/5; 23/5; ; ; ; 
META; english/premier-league/brighton-v-man-utd; 2018-05-03 14:15:13 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 8/11; 7/10; 7/10; 7/10; 37/50; 8/11; 7/10; 4/6; 13/18; 7/10; 7/10; 7/10; 5/7; 8/11; 8/11; 7/10; 5/7; 4/6; 13/18; 7/10; 8/11; 5/7; 8/11; 4/6; 8/11; 8/11; 8/11
Draw; 11/4; 11/4; 13/5; 13/5; 143/0; 29/10; 11/4; 11/4; 37/13; 27/10; 11/4; 13/5; 13/5; 11/4; 11/4; 13/5; 11/4; 14/5; 14/5; 14/5; 14/5; 11/4; 14/5; 11/4; 14/5; 14/5; 14/5
Brighton; 9/2; 9/2; 4; 9/2; 9/2; 4; 49/11; 4; 9/2; 4; 17/4; 9/2; 4; 74/17; 17/4; 4; 43/10; 9/2; 22/5; 17/4; 22/5; 23/5; 23/5; 23/5; ; ; 
META; english/premier-league/brighton-v-man-utd; 2018-05-03 18:15:13 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 3/4; 7/10; 7/10; 7/10; 3/4; 8/11; 7/10; 4/6; 13/18; 7/10; 7/10; 8/11; 5/7; 8/11; 8/11; 7/10; 5/7; 4/6; 13/18; 7/10; 8/11; 5/7; 8/11; 8/11; 8/11; 8/11; 8/11
Draw; 11/4; 11/4; 13/5; 13/5; 143/0; 29/10; 11/4; 11/4; 37/13; 27/10; 11/4; 14/5; 13/5; 11/4; 11/4; 13/5; 11/4; 14/5; 11/4; 14/5; 14/5; 11/4; 14/5; 11/4; 14/5; 14/5; 14/5
Brighton; 17/4; 9/2; 4; 22/5; 9/2; 4; 49/11; 4; 9/2; 4; 17/4; 9/2; 4; 17/4; 17/4; 21/5; 43/10; 9/2; 43/10; 17/4; 21/5; 22/5; 22/5; 22/5; ; ; 
META; english/premier-league/brighton-v-man-utd; 2018-05-03 22:15:13 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 4/5; 4/5; 4/5; 8/11; 5/6; 4/5; 7/10; 8/11; 16/19; 4/5; 4/5; 5/6; 5/7; 4/5; 4/5; 4/5; 4/5; 3/4; 9/11; 4/5; 4/5; 4/5; 4/5; 8/11; 4/5; 4/5; 4/5
Draw; 11/4; 13/5; 5/2; 13/5; 14/5; 11/4; 11/4; 13/5; 11/4; 5/2; 13/5; 13/5; 13/5; 13/5; 11/4; 13/5; 45/17; 27/10; 27/10; 45/17; 27/10; 45/17; 13/5; 13/5; 13/5; 11/4; 27/10
Brighton; 4; 15/4; 7/2; 19/5; 77/20; 4; 7/2; 15/4; 18/5; 4; 7/2; 4; 37/10; 15/4; 15/4; 15/4; 15/4; 7/2; 37/10; 4; 19/5; 15/4; 7/2; 7/2; 4; ; 
META; english/premier-league/brighton-v-man-utd; 2018-05-04 02:15:09 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 4/5; 4/5; 4/5; 8/11; 5/6; 4/5; 8/11; 8/11; 9/11; 4/5; 4/5; 5/6; 4/5; 4/5; 4/5; 4/5; 4/5; 3/4; 9/11; 11/14; 4/5; 4/5; 4/5; 4/5; 4/5; 5/6; 5/6
Draw; 27/10; 13/5; 5/2; 13/5; 14/5; 27/10; 11/4; 5/2; 27/10; 5/2; 13/5; 13/5; 5/2; 13/5; 11/4; 13/5; 13/5; 27/10; 27/10; 45/17; 27/10; 45/17; 13/5; 13/5; 13/5; 13/5; 13/5
Brighton; 4; 15/4; 7/2; 19/5; 77/20; 4; 7/2; 31/8; 18/5; 19/5; 7/2; 7/2; 37/10; 15/4; 15/4; 19/5; 15/4; 7/2; 19/5; 4; 19/5; 15/4; 7/2; 7/2; 7/2; 4; 
META; english/premier-league/brighton-v-man-utd; 2018-05-04 10:15:09 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 4/5; 4/5; 3/4; 8/11; 81/00; 3/4; 4/5; 4/6; 4/5; 3/4; 4/5; 3/4; 3/4; 3/4; 4/5; 8/11; 10/13; 3/4; 10/13; 10/13; 3/4; 10/13; 4/5; 8/11; 8/11; 4/5; 8/11
Draw; 27/10; 13/5; 13/5; 13/5; 14/5; 29/10; 11/4; 3; 11/4; 13/5; 11/4; 11/4; 5/2; 27/10; 11/4; 13/5; 45/17; 27/10; 27/10; 27/10; 11/4; 27/10; 11/4; 13/5; 13/5; 13/5; 13/5
Brighton; 4; 18/5; 15/4; 19/5; 4; 4; 7/2; 75/19; 15/4; 4; 15/4; 19/5; 15/4; 15/4; 39/10; 15/4; 50/13; 39/10; 21/5; 75/19; 15/4; 4; 7/2; 4; 21/5; ; 
META; english/premier-league/brighton-v-man-utd; 2018-05-04 14:15:10 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 17/20; 5/6; 5/6; 5/6; 43/50; 20/23; 20/23; 4/5; 7/8; 5/6; 17/20; 5/6; 17/20; 17/20; 17/20; 5/6; 5/6; 5/6; 13/15; 11/13; 20/23; 13/15; 5/6; 5/6; 5/6; 5/6; 5/6
Draw; 13/5; 13/5; 5/2; 5/2; 27/10; 13/5; 5/2; 13/5; 27/10; 5/2; 13/5; 5/2; 12/5; 13/5; 53/20; 13/5; 28/11; 13/5; 13/5; 45/17; 27/10; 28/11; 13/5; 5/2; 13/5; 13/5; 13/5
Brighton; 15/4; 7/2; 13/4; 15/4; 19/5; 18/5; 7/2; 7/2; 7/2; 10/3; 19/5; 7/2; 10/3; 17/5; 7/2; 18/5; 18/5; 17/5; 17/5; 17/5; 18/5; 62/17; 7/2; 7/2; 7/2; 7/2; 7/2
META; english/premier-league/brighton-v-man-utd; 2018-05-04 18:15:10 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 17/20; 5/6; 5/6; 5/6; 17/20; 20/23; 20/23; 5/6; 6/7; 4/5; 17/20; 5/6; 5/6; 5/6; 17/20; 5/6; 5/6; 11/13; 5/6; 5/6; 17/20; 5/6; 5/6; 5/6; 5/6; 5/6; 5/6
Draw; 13/5; 13/5; 5/2; 5/2; 27/10; 13/5; 5/2; 12/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 28/11; 5/2; 13/5; 28/11; 13/5; 28/11; 13/5; 5/2; 13/5; 13/5; 13/5
Brighton; 15/4; 18/5; 7/2; 15/4; 39/10; 15/4; 7/2; 7/2; 19/5; 7/2; 19/5; 7/2; 7/2; 18/5; 15/4; 18/5; 15/4; 7/2; 39/11; 37/10; 19/5; 19/5; 15/4; 7/2; 7/2; 7/2; 7/2
META; english/premier-league/brighton-v-man-utd; 2018-05-04 22:15:10 GMT+3; 2018-05-04 20:00; Nothing; Xlenovo
Man Utd; 10/11; 4/5; 5/6; 1; 81/00; 20/23; 20/23; 5/6; 13/15; 10/11; 20/23; 5/6; 9/10; 17/20; 4/5; 4/5; 13/15; 39/40; 5/6; 17/20; 5/6; 5/6; 5/6; 10/11; 20/21
Draw; 11/5; 2; 12/5; 21/10; 13/5; 11/5; 9/4; 11/5; 9/4; 9/4; 23/10; 12/5; 11/5; 11/5; 9/4; 9/4; 11/5; 9/4; 9/4; 11/5; 9/4; 9/4; 23/10; 23/10; 23/10
Brighton; 15/4; 10/3; 18/5; 16/5; 18/5; 18/5; 15/4; 7/2; 18/5; 7/2; 7/2; 7/2; 18/5; 18/5; 7/2; 4; 7/2; 13/4; 19/5; 19/5; 19/5; 15/4; 7/2; 4; 7/2
