Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; 13/5; 11/4; ; ; 27/10; ; ; ; 11/4; 13/5; ; ; ; 
META; english/premier-league/burnley-v-huddersfield; 2017-09-02 02:18:34 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; 21/20; ; ; 15/13; 1; ; ; 5/4; ; ; ; 11/10; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; 23/10; ; ; 11/5; 9/4; ; ; 58/25; ; ; ; 23/10; 11/5; ; ; ; 
Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; 13/5; 11/4; ; ; 27/10; ; ; ; 11/4; 13/5; ; ; ; 
META; english/premier-league/burnley-v-huddersfield; 2017-09-02 10:18:34 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; 21/20; ; ; 15/13; 1; ; ; 5/4; ; ; ; 11/10; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; 23/10; ; ; 11/5; 9/4; ; ; 58/25; ; ; ; 23/10; 11/5; ; ; ; 
Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; 13/5; 11/4; ; ; 27/10; ; ; ; 11/4; 13/5; ; ; ; 
META; english/premier-league/burnley-v-huddersfield; 2017-09-02 14:18:43 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; 21/20; ; ; 15/13; 1; ; ; 5/4; ; ; ; 11/10; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; 23/10; ; ; 11/5; 9/4; ; ; 58/25; ; ; ; 23/10; 11/5; ; ; ; 
Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; 13/5; 11/4; ; ; 27/10; ; ; ; 11/4; 13/5; ; ; ; 
META; english/premier-league/burnley-v-huddersfield; 2017-09-02 18:18:36 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; 21/20; ; ; 15/13; 1; ; ; 5/4; ; ; ; 11/10; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; 23/10; ; ; 11/5; 9/4; ; ; 58/25; ; ; ; 23/10; 11/5; ; ; ; 
Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; 13/5; 11/4; ; ; 27/10; ; ; ; 11/4; 13/5; ; ; ; 
