META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-11 22:18:50 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; ; 41/50; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 13/5; ; ; ; ; ; ; 
Malaga; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 43/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-12 02:18:23 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; ; 41/50; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 13/5; ; ; ; ; ; ; 
Malaga; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 43/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-12 06:18:25 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; ; 41/50; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 13/5; ; ; ; ; ; ; 
Malaga; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 43/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-12 10:18:59 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; ; 41/50; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 13/5; ; ; ; ; ; ; 
Malaga; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 43/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-12 14:18:36 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; ; 41/50; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 13/5; ; ; ; ; ; ; 
Malaga; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 43/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-12 18:18:31 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; ; 41/50; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 13/5; ; ; ; ; ; ; 
Malaga; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 43/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-12 22:18:36 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; ; 41/50; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 13/5; ; ; ; ; ; ; 
Malaga; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 43/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-13 02:19:09 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; 3/4; ; 4/5; 41/50; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 45/17; 40/17; ; 45/17; 13/5; ; ; ; ; ; ; 
Malaga; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 31/10; 15/4; ; 31/10; 43/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-13 06:19:44 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 10/11; ; ; ; 3/4; ; ; ; ; ; ; ; ; 4/5; 14/19; 3/4; ; 14/19; 41/50; ; ; ; ; ; ; 
Draw; 5/2; ; 23/10; ; ; ; 5/2; ; ; ; ; ; ; ; ; 13/5; 28/11; 40/17; ; 28/11; 13/5; ; ; ; ; ; ; 
Malaga; 4; ; 11/4; ; ; ; 21/5; ; ; ; ; ; ; ; ; 4; 7/2; 15/4; ; 7/2; 43/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-13 10:18:04 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 10/11; ; ; ; 3/4; ; ; ; ; ; ; ; ; 4/5; 14/19; 7/9; ; 14/19; 41/50; ; ; ; ; ; ; 
Draw; 5/2; ; 23/10; ; ; ; 5/2; ; ; ; ; ; ; ; ; 13/5; 28/11; 12/5; ; 28/11; 13/5; ; ; ; ; ; ; 
Malaga; 4; ; 11/4; ; ; ; 21/5; ; ; ; ; ; ; ; ; 4; 7/2; 15/4; ; 7/2; 43/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-13 14:18:59 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 10/11; ; ; ; 3/4; ; ; ; ; ; ; ; ; 4/5; 14/19; 7/9; ; 14/19; 41/50; 14/19; ; ; ; ; ; 
Draw; 5/2; ; 23/10; ; ; ; 5/2; ; ; ; ; ; ; ; ; 13/5; 28/11; 12/5; ; 28/11; 13/5; 28/11; ; ; ; ; ; 
Malaga; 4; ; 11/4; ; ; ; 17/4; ; ; ; ; ; ; ; ; 4; 7/2; 15/4; ; 7/2; 43/10; 7/2; ; ; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-13 18:20:17 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; ; 8/11; ; ; ; ; ; 3/4; 8/11; 9/13; 7/9; ; 9/13; 41/50; 14/19; ; ; ; ; ; ; 
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 3/4; ; ; 3/4; 8/11; 9/13; 7/9; 8/11; 9/13; 19/25; 14/19; 3/4; ; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; ; 13/5; 5/2; 12/5; 5/2; ; ; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 14/5; 28/11; 13/5; ; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; ; 19/5; 4; 19/5; 4; ; ; 4; 9/2; 19/5; 15/4; 7/2; 19/5; 9/2; 7/2; 15/4; ; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-15 18:18:23 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 3/4; ; ; 3/4; 8/11; 9/13; 7/9; 8/11; 9/13; 19/25; 14/19; 3/4; ; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; ; 13/5; 5/2; 12/5; 5/2; ; ; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 14/5; 28/11; 13/5; ; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; ; 19/5; 4; 19/5; 4; ; ; 4; 9/2; 19/5; 15/4; 7/2; 19/5; 9/2; 7/2; 15/4; ; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-15 22:18:28 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 3/4; ; ; 3/4; 8/11; 9/13; 7/9; 8/11; 9/13; 19/25; ; 3/4; ; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; ; 13/5; 5/2; 12/5; 5/2; ; ; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 14/5; ; 13/5; ; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; ; 19/5; 4; 19/5; 4; ; ; 4; 9/2; 19/5; 15/4; 7/2; 19/5; 9/2; ; 15/4; ; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-16 02:18:47 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 3/4; ; ; 3/4; 8/11; 5/7; 7/9; 8/11; 5/7; 19/25; 14/19; 3/4; ; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; ; 13/5; 5/2; 12/5; 5/2; ; ; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 14/5; 28/11; 13/5; ; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; ; 19/5; 4; 19/5; 4; ; ; 4; 9/2; 19/5; 15/4; 7/2; 19/5; 9/2; 7/2; 15/4; ; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-16 06:18:13 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 8/11; ; ; 3/4; 8/11; 5/7; 7/9; 8/11; 5/7; 19/25; 14/19; 3/4; ; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; ; 13/5; 5/2; 12/5; 5/2; ; ; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 14/5; 28/11; 13/5; ; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; ; 19/5; 4; 19/5; 4; ; ; 4; 9/2; 19/5; 15/4; 7/2; 19/5; 9/2; 7/2; 15/4; ; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-16 10:18:39 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 8/11; ; ; 3/4; 8/11; 5/7; 7/9; 8/11; 5/7; 19/25; 14/19; 3/4; ; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; ; 13/5; 5/2; 12/5; 5/2; ; ; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 14/5; 28/11; 13/5; ; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; ; 19/5; 4; 19/5; 4; ; ; 4; 9/2; 19/5; 15/4; 7/2; 19/5; 9/2; 7/2; 15/4; ; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-16 14:18:33 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 3/4; ; ; 3/4; 8/11; 5/7; 7/9; 8/11; 5/7; 19/25; 14/19; 3/4; ; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; ; 13/5; 5/2; 12/5; 5/2; ; ; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 14/5; 28/11; 13/5; ; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; ; 19/5; 4; 19/5; 15/4; ; ; 4; 9/2; 19/5; 15/4; 7/2; 19/5; 9/2; 7/2; 15/4; ; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-16 18:18:45 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 8/11; ; ; 3/4; 8/11; 5/7; 7/9; 8/11; 5/7; 19/25; 14/19; 3/4; ; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; ; 13/5; 5/2; 12/5; 5/2; ; ; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 14/5; 28/11; 13/5; ; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; ; 19/5; 4; 19/5; 4; ; ; 4; 9/2; 19/5; 15/4; 7/2; 19/5; 9/2; 7/2; 15/4; ; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-16 22:18:28 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 8/11; ; ; 3/4; 8/11; 5/7; 7/9; 8/11; 5/7; 19/25; 14/19; 3/4; ; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; ; 13/5; 5/2; 12/5; 5/2; ; ; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 14/5; 28/11; 13/5; ; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; ; 19/5; 4; 19/5; 4; ; ; 4; 9/2; 19/5; 15/4; 7/2; 19/5; 9/2; 7/2; 15/4; ; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-17 02:18:39 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 8/11; ; ; 3/4; 8/11; 5/7; 7/9; 8/11; 5/7; 19/25; 14/19; 3/4; ; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; ; 13/5; 5/2; 12/5; 5/2; ; ; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 14/5; 28/11; 13/5; ; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; ; 19/5; 4; 19/5; 4; ; ; 4; 9/2; 19/5; 15/4; 7/2; 19/5; 9/2; 7/2; 15/4; ; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-17 06:18:07 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; ; ; 8/11; 7/10; 8/11; ; ; 3/4; 8/11; 5/7; 7/9; 8/11; 5/7; 19/25; 14/19; 3/4; ; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; ; ; 5/2; 12/5; 5/2; ; ; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 14/5; 28/11; 13/5; ; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; ; ; 4; 19/5; 4; ; ; 4; 9/2; 19/5; 15/4; 7/2; 19/5; 9/2; 7/2; 15/4; ; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-17 10:18:15 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 8/11; ; ; 3/4; 8/11; 5/7; 7/9; 8/11; 5/7; 19/25; 14/19; 3/4; ; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; ; 13/5; 5/2; 12/5; 5/2; ; ; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 14/5; 28/11; 13/5; ; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; ; 19/5; 4; 19/5; 4; ; ; 4; 9/2; 19/5; 15/4; 7/2; 19/5; 9/2; 7/2; 15/4; ; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-17 14:20:56 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 8/11; ; ; 3/4; 8/11; 5/7; 7/9; 8/11; 5/7; 19/25; 14/19; 3/4; ; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; ; 13/5; 5/2; 12/5; 5/2; ; ; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 14/5; 28/11; 13/5; ; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; ; 19/5; 4; 19/5; 4; ; ; 4; 9/2; 19/5; 15/4; 7/2; 19/5; 9/2; 7/2; 15/4; ; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-17 18:20:50 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 8/11; ; ; 3/4; 8/11; 5/7; 7/9; 8/11; 5/7; 19/25; 14/19; 3/4; ; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; ; 13/5; 5/2; 12/5; 5/2; ; ; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 14/5; 28/11; 13/5; ; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; ; 19/5; 4; 19/5; 4; ; ; 4; 9/2; 19/5; 15/4; 7/2; 19/5; 9/2; 7/2; 15/4; ; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-17 22:18:24 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 8/11; ; ; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 19/25; 14/19; 3/4; ; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; ; 13/5; 5/2; 12/5; 5/2; ; ; 13/5; 13/5; 28/11; 12/5; 13/5; 28/11; 14/5; 28/11; 13/5; ; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; ; 19/5; 4; 19/5; 4; ; ; 4; 4; 39/11; 15/4; 7/2; 39/11; 9/2; 7/2; 15/4; ; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-18 02:19:02 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 8/11; ; ; 3/4; 8/11; 5/7; 7/9; 8/11; 5/7; 19/25; 14/19; 3/4; ; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; ; 13/5; 5/2; 12/5; 5/2; ; ; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 14/5; 28/11; 13/5; ; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; ; 19/5; 4; 19/5; 4; ; ; 4; 9/2; 19/5; 15/4; 7/2; 19/5; 9/2; 7/2; 15/4; ; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-18 06:18:50 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 8/11; ; ; 3/4; 8/11; 5/7; 7/9; 8/11; 5/7; 19/25; 14/19; 3/4; ; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; ; 13/5; 5/2; 12/5; 5/2; ; ; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 14/5; 28/11; 13/5; ; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; ; 19/5; 4; 19/5; 4; ; ; 4; 9/2; 19/5; 15/4; 7/2; 19/5; 9/2; 7/2; 15/4; ; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-18 10:19:15 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 8/11; ; ; 3/4; 8/11; 5/7; 7/9; 8/11; 5/7; 19/25; 14/19; 3/4; ; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; ; 13/5; 5/2; 12/5; 5/2; ; ; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 14/5; 28/11; 13/5; ; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; ; 19/5; 4; 19/5; 4; ; ; 4; 9/2; 19/5; 15/4; 7/2; 19/5; 9/2; 7/2; 15/4; ; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-18 14:21:00 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 8/11; 8/11; ; 3/4; 8/11; 5/7; 7/9; 8/11; 5/7; 19/25; 14/19; 3/4; ; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; ; 13/5; 5/2; 12/5; 5/2; 51/20; ; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 14/5; 28/11; 13/5; ; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; ; 19/5; 4; 19/5; 4; 4; ; 4; 9/2; 19/5; 15/4; 7/2; 19/5; 9/2; 7/2; 15/4; ; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-18 18:20:32 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 8/11; ; ; 3/4; 8/11; 5/7; 7/9; 8/11; 5/7; 3/4; 14/19; 3/4; ; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; ; 13/5; 5/2; 12/5; 5/2; ; ; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 14/5; 28/11; 13/5; ; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; ; 19/5; 4; 19/5; 4; ; ; 4; 9/2; 19/5; 15/4; 7/2; 19/5; 23/5; 7/2; 15/4; ; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-18 22:19:55 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; 8/11; 8/11; 8/11; 7/10; 8/11; 8/11; ; 3/4; 8/11; 9/13; 7/9; 8/11; 9/13; 3/4; 14/19; 3/4; ; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; 13/5; 13/5; 5/2; 12/5; 5/2; 51/20; ; 13/5; 27/10; 13/5; 12/5; 13/5; 13/5; 14/5; 28/11; 13/5; ; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; 7/2; 19/5; 4; 19/5; 4; 4; ; 4; 4; 19/5; 15/4; 7/2; 19/5; 23/5; 7/2; 15/4; ; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-19 02:19:17 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; 8/11; 8/11; ; 7/10; 8/11; 8/11; ; 3/4; 8/11; 9/13; 7/9; 8/11; 9/13; 3/4; 14/19; 3/4; 8/11; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; 13/5; 13/5; ; 12/5; 5/2; 51/20; ; 13/5; 27/10; 13/5; 12/5; 13/5; 13/5; 14/5; 28/11; 13/5; 13/5; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; 7/2; 19/5; ; 19/5; 4; 4; ; 4; 4; 19/5; 15/4; 7/2; 19/5; 23/5; 7/2; 15/4; 15/4; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-19 06:18:10 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; 8/11; 8/11; 8/11; 7/10; 8/11; 8/11; ; 3/4; 8/11; 9/13; 7/9; 8/11; 9/13; 3/4; 14/19; 3/4; 8/11; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; 13/5; 13/5; 5/2; 12/5; 5/2; 51/20; ; 13/5; 27/10; 13/5; 12/5; 13/5; 13/5; 14/5; 28/11; 13/5; 13/5; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; 7/2; 19/5; 4; 19/5; 4; 4; ; 4; 4; 19/5; 15/4; 7/2; 19/5; 23/5; 7/2; 15/4; 15/4; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-19 10:19:14 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 3/4; ; ; ; 8/11; 8/11; 8/11; 8/11; 7/10; 8/11; 8/11; ; 3/4; 8/11; 9/13; 7/9; 8/11; 9/13; 3/4; 14/19; 3/4; 8/11; 3/4; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; 13/5; 13/5; 5/2; 12/5; 5/2; 51/20; ; 13/5; 27/10; 13/5; 12/5; 13/5; 13/5; 14/5; 28/11; 13/5; 13/5; 13/5; ; ; ; 
Malaga; 4; ; 4; ; ; ; 21/5; 7/2; 19/5; 4; 19/5; 4; 4; ; 4; 4; 19/5; 15/4; 7/2; 19/5; 23/5; 7/2; 15/4; 15/4; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-19 14:19:02 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 8/11; 2/3; 3/4; 3/4; ; ; 7/10; 8/11; 8/11; 8/11; 7/10; 8/11; 8/11; ; 3/4; 8/11; 9/13; 7/9; 8/11; 9/13; 3/4; ; 3/4; 8/11; 3/4; ; ; ; 
Draw; 5/2; 11/4; 5/2; 13/5; ; ; 27/10; 13/5; 13/5; 5/2; 12/5; 5/2; 51/20; ; 13/5; 11/4; 13/5; 12/5; 13/5; 13/5; 14/5; ; 13/5; 13/5; 13/5; ; ; ; 
Malaga; 4; 7/2; 4; 19/5; ; ; 21/5; 7/2; 19/5; 4; 19/5; 4; 4; ; 4; 4; 19/5; 15/4; 7/2; 19/5; 23/5; ; 15/4; 15/4; 15/4; ; ; ; 
META; spain/la-liga-primera/malaga-v-atletico-madrid; 2017-03-19 22:18:18 GMT+2; 2017-04-01 18:45; Nothing; Xlenovo
Atletico Madrid; 4/6; 8/11; 7/10; 3/4; ; 8/11; 7/10; 8/11; 4/6; 7/10; 4/6; 8/11; 7/10; ; 7/10; 8/11; 4/6; 7/9; 8/11; 4/6; 37/50; 7/10; 3/4; 7/10; 3/4; ; 4/7; ; 
Draw; 13/5; 5/2; 13/5; 13/5; ; 5/2; 13/5; 13/5; 13/5; 13/5; 12/5; 5/2; 51/20; ; 11/4; 27/10; 13/5; 12/5; 13/5; 13/5; 141/50; 13/5; 13/5; 13/5; 13/5; ; 12/5; ; 
