META; spain/la-liga-primera/granada-v-barcelona; 2017-03-11 18:18:34 GMT+2; 2017-04-02 11:00; Nothing; Xlenovo
Barcelona; ; ; 2/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; ; 2/11; ; ; ; ; ; ; 
Draw; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; 77/10; ; ; ; ; ; ; 
Granada; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11; ; ; 17; ; ; ; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-12 22:18:45 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; ; ; 2/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; ; 21/100; ; ; ; ; ; ; 
Draw; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; 34/5; ; ; ; ; ; ; 
Granada; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11; ; ; 31/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-13 02:19:19 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; ; ; 2/13; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/14; 2/9; ; 3/14; 21/100; ; ; ; ; ; ; 
Draw; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; 94/19; 5; ; 94/19; 34/5; ; ; ; ; ; ; 
Granada; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/2; 11; ; 23/2; 31/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-13 06:19:57 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 2/13; ; ; ; 2/13; ; ; ; ; ; ; ; ; 1/6; 1/6; 2/9; ; 1/6; 21/100; ; ; ; ; ; ; 
Draw; 7; ; 5; ; ; ; 7; ; ; ; ; ; ; ; ; 7; 29/5; 5; ; 29/5; 34/5; ; ; ; ; ; ; 
Granada; 14; ; 14; ; ; ; 16; ; ; ; ; ; ; ; ; 16; 12; 11; ; 12; 31/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-13 10:18:13 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 2/13; ; ; ; 2/13; ; ; ; ; ; ; ; ; 1/6; 2/11; 2/9; ; 2/11; 19/100; ; ; ; ; ; ; 
Draw; 7; ; 5; ; ; ; 7; ; ; ; ; ; ; ; ; 7; 57/10; 5; ; 57/10; 37/5; ; ; ; ; ; ; 
Granada; 14; ; 14; ; ; ; 16; ; ; ; ; ; ; ; ; 16; 47/4; 11; ; 47/4; 35/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-13 14:19:11 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 2/13; ; ; ; 2/13; ; ; ; ; ; ; ; ; 2/11; 2/11; 2/9; ; 1/6; 19/100; 1/6; ; ; ; ; ; 
Draw; 7; ; 5; ; ; ; 7; ; ; ; ; ; ; ; ; 7; 57/10; 5; ; 23/4; 37/5; 32/5; ; ; ; ; ; 
Granada; 14; ; 14; ; ; ; 17; ; ; ; ; ; ; ; ; 14; 47/4; 11; ; 25/2; 17; 10; ; ; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-13 18:20:26 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 1/6; ; ; ; 2/13; ; 2/13; ; ; ; ; ; 2/11; 1/6; 1/7; 2/9; ; 1/7; 19/100; 1/6; ; ; ; ; ; ; 
Granada; 14; ; 15; ; ; ; 17; ; 12; ; 16; 14; ; ; 12; 16; 55/4; 11; 15; 55/4; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-14 18:18:31 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 1/6; ; ; ; 2/13; ; 2/13; ; 2/13; 1/6; ; ; 2/11; 1/6; 1/7; 3/19; 2/13; 1/7; 19/100; 1/6; 2/13; ; 2/13; ; ; ; 
Draw; 7; ; 13/2; ; ; ; 7; ; 7; ; 13/2; 13/2; ; ; 7; 15/2; 27/4; 7; 7; 27/4; 15/2; 32/5; 7; ; 7; ; ; ; 
Granada; 14; ; 15; ; ; ; 17; ; 12; ; 16; 14; ; ; 12; 16; 55/4; 11; 15; 55/4; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-14 22:18:21 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 1/6; ; ; ; 2/13; ; 2/13; ; 2/13; 1/6; ; ; 2/11; 1/6; 1/7; 3/19; 2/13; 1/7; 19/100; 1/6; 2/13; ; 2/13; ; ; ; 
Draw; 7; ; 13/2; ; ; ; 7; ; 7; ; 13/2; 13/2; ; ; 7; 7; 27/4; 7; 7; 27/4; 15/2; 32/5; 7; ; 7; ; ; ; 
Granada; 14; ; 15; ; ; ; 17; ; 12; ; 16; 14; ; ; 12; 16; 55/4; 11; 15; 55/4; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-15 02:20:31 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 1/6; ; ; ; 2/13; ; 2/13; ; 2/13; 1/6; ; ; 2/11; 1/6; 1/7; 3/19; 2/13; 1/7; 19/100; 1/6; 2/13; ; 2/13; ; ; ; 
Draw; 7; ; 13/2; ; ; ; 7; ; 7; ; 13/2; 13/2; ; ; 7; 15/2; 27/4; 7; 7; 27/4; 15/2; 32/5; 7; ; 7; ; ; ; 
Granada; 14; ; 15; ; ; ; 17; ; 12; ; 16; 14; ; ; 12; 16; 55/4; 11; 15; 55/4; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-15 06:18:27 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 1/6; ; ; ; 2/13; ; 2/13; ; 2/13; 1/6; ; ; 2/11; 1/6; 1/7; 3/19; 2/13; 1/7; 19/100; 1/6; 2/13; ; 2/13; ; ; ; 
Draw; 7; ; 13/2; ; ; ; 7; ; 7; ; 13/2; 13/2; ; ; 7; 15/2; 27/4; 7; 7; 27/4; 15/2; 32/5; 7; ; 7; ; ; ; 
Granada; 14; ; 15; ; ; ; 17; ; 12; ; 16; 14; ; ; 12; 16; 55/4; 11; 15; 55/4; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-15 10:18:45 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 1/6; ; ; ; 2/13; ; 2/13; ; 2/13; 1/6; ; ; 2/11; 1/6; 1/7; 3/19; 2/13; 1/7; 19/100; 1/6; 2/13; ; 2/13; ; ; ; 
Draw; 13/2; ; 13/2; ; ; ; 13/2; ; 7; ; 13/2; 13/2; ; ; 7; 7; 13/2; 7; 7; 13/2; 15/2; 32/5; 7; ; 7; ; ; ; 
Granada; 12; ; 15; ; ; ; 18; ; 12; ; 16; 14; ; ; 12; 16; 27/2; 11; 15; 27/2; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-15 14:21:03 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 1/6; ; ; ; 2/13; ; 2/13; ; 2/13; 1/6; ; ; 2/11; 1/6; 1/7; 3/19; 2/13; 1/7; 19/100; 1/6; 2/13; ; 2/13; ; ; ; 
Draw; 13/2; ; 13/2; ; ; ; 7; ; 7; ; 13/2; 13/2; ; ; 7; 7; 13/2; 7; 7; 13/2; 15/2; 32/5; 7; ; 7; ; ; ; 
Granada; 12; ; 15; ; ; ; 17; ; 12; ; 16; 14; ; ; 12; 16; 55/4; 11; 15; 55/4; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-15 18:18:32 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 1/6; ; ; ; 2/13; ; 2/13; ; 2/13; 1/6; ; ; 2/11; 1/6; 1/7; 3/19; 2/13; 1/7; 19/100; 1/6; 2/13; ; 2/13; ; ; ; 
Draw; 13/2; ; 13/2; ; ; ; 13/2; ; 7; ; 13/2; 13/2; ; ; 7; 7; 13/2; 7; 7; 13/2; 15/2; 32/5; 7; ; 7; ; ; ; 
Granada; 12; ; 15; ; ; ; 18; ; 12; ; 16; 14; ; ; 12; 16; 55/4; 11; 15; 55/4; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-15 22:18:37 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 1/6; ; ; ; 2/13; ; 2/13; ; 2/13; 1/6; ; ; 2/11; 1/6; 1/7; 3/19; 2/13; 1/7; 19/100; 1/6; 2/13; ; 2/13; ; ; ; 
Draw; 13/2; ; 13/2; ; ; ; 13/2; ; 7; ; 13/2; 13/2; ; ; 7; 7; 13/2; 7; 7; 13/2; 15/2; 32/5; 7; ; 7; ; ; ; 
Granada; 12; ; 15; ; ; ; 18; ; 12; ; 16; 14; ; ; 12; 16; 55/4; 11; 15; 55/4; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-16 02:19:03 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 1/6; ; ; ; 2/13; ; 2/13; ; 2/13; 1/6; ; ; 2/11; 1/6; 1/7; 3/19; 2/13; 1/7; 19/100; 1/6; 2/13; ; 2/13; ; ; ; 
Draw; 13/2; ; 13/2; ; ; ; 7; ; 7; ; 13/2; 13/2; ; ; 7; 7; 13/2; 7; 7; 13/2; 15/2; 32/5; 7; ; 7; ; ; ; 
Granada; 12; ; 15; ; ; ; 17; ; 12; ; 16; 14; ; ; 12; 16; 27/2; 11; 15; 27/2; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-16 06:18:23 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 1/6; ; ; ; 2/13; ; 2/13; ; 2/13; 1/6; ; ; 2/11; 1/6; 1/7; 3/19; 2/13; 1/7; 19/100; 1/6; 2/13; ; 2/13; ; ; ; 
Draw; 13/2; ; 13/2; ; ; ; 7; ; 7; ; 13/2; 13/2; ; ; 7; 7; 13/2; 7; 7; 13/2; 15/2; 32/5; 7; ; 7; ; ; ; 
Granada; 12; ; 15; ; ; ; 17; ; 12; ; 16; 14; ; ; 12; 16; 27/2; 11; 15; 27/2; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-16 10:18:49 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 1/6; ; ; ; 2/13; ; 2/13; ; 2/13; 1/6; ; ; 2/11; 1/6; 1/7; 3/19; 2/13; 1/7; 19/100; 1/6; 2/13; ; 2/13; ; ; ; 
Draw; 13/2; ; 13/2; ; ; ; 7; ; 7; ; 13/2; 13/2; ; ; 7; 7; 13/2; 7; 7; 13/2; 15/2; 32/5; 7; ; 7; ; ; ; 
Granada; 12; ; 15; ; ; ; 17; ; 12; ; 16; 14; ; ; 12; 16; 27/2; 11; 15; 27/2; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-16 14:18:44 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 1/6; ; ; ; 2/13; ; 2/13; ; 2/13; 1/6; ; ; 2/11; 1/6; 1/7; 3/19; 2/13; 1/7; 19/100; 1/6; 2/13; ; 2/13; ; ; ; 
Draw; 13/2; ; 13/2; ; ; ; 13/2; ; 7; ; 13/2; 13/2; ; ; 7; 7; 13/2; 7; 7; 13/2; 15/2; 32/5; 7; ; 7; ; ; ; 
Granada; 12; ; 15; ; ; ; 18; ; 12; ; 16; 14; ; ; 12; 16; 27/2; 11; 15; 27/2; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-16 18:18:55 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 1/6; ; ; ; 2/13; ; 2/13; ; 2/13; 1/6; ; ; 2/11; 1/6; 1/7; 3/19; 2/13; 1/7; 19/100; 1/6; 2/13; ; 2/13; ; ; ; 
Draw; 13/2; ; 13/2; ; ; ; 13/2; ; 7; ; 13/2; 13/2; ; ; 7; 7; 13/2; 7; 7; 13/2; 15/2; 32/5; 7; ; 7; ; ; ; 
Granada; 12; ; 15; ; ; ; 18; ; 12; ; 16; 14; ; ; 12; 16; 27/2; 11; 15; 27/2; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-16 22:18:37 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 1/6; ; ; ; 2/13; ; 2/13; ; 2/13; 1/6; ; ; 2/11; 1/6; 1/7; 3/19; 2/13; 1/7; 19/100; 1/6; 2/13; ; 2/13; ; ; ; 
Draw; 13/2; ; 13/2; ; ; ; 7; ; 7; ; 13/2; 13/2; ; ; 7; 7; 13/2; 7; 7; 13/2; 15/2; 32/5; 7; ; 7; ; ; ; 
Granada; 12; ; 15; ; ; ; 17; ; 12; ; 16; 14; ; ; 12; 16; 27/2; 11; 15; 27/2; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-17 02:18:49 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 1/6; ; ; ; 2/13; ; 2/13; ; 2/13; 1/6; ; ; 2/11; 1/6; 1/7; 3/19; 2/13; 1/7; 19/100; 1/6; 2/13; ; 2/13; ; ; ; 
Draw; 13/2; ; 13/2; ; ; ; 7; ; 7; ; 13/2; 13/2; ; ; 7; 7; 13/2; 7; 7; 13/2; 15/2; 32/5; 7; ; 7; ; ; ; 
Granada; 12; ; 15; ; ; ; 17; ; 12; ; 16; 14; ; ; 12; 16; 27/2; 11; 15; 27/2; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-17 06:18:17 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 1/6; ; ; ; 2/13; ; ; ; 2/13; 1/6; ; ; 2/11; 1/6; 1/7; 3/19; 2/13; 1/7; 19/100; 1/6; 2/13; ; 2/13; ; ; ; 
Draw; 13/2; ; 13/2; ; ; ; 7; ; ; ; 13/2; 13/2; ; ; 7; 7; 13/2; 7; 7; 13/2; 15/2; 32/5; 7; ; 7; ; ; ; 
Granada; 12; ; 15; ; ; ; 17; ; ; ; 16; 14; ; ; 12; 16; 27/2; 11; 15; 27/2; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-17 10:18:26 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 1/6; ; ; ; 2/13; ; 2/13; ; 2/13; 1/6; ; ; 2/11; 1/6; 1/7; 3/19; 2/13; 1/7; 19/100; 1/6; 2/13; ; 2/13; ; ; ; 
Draw; 13/2; ; 13/2; ; ; ; 7; ; 7; ; 13/2; 13/2; ; ; 7; 7; 13/2; 7; 7; 13/2; 15/2; 32/5; 7; ; 7; ; ; ; 
Granada; 12; ; 15; ; ; ; 17; ; 12; ; 16; 14; ; ; 12; 16; 27/2; 11; 15; 27/2; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-17 14:21:12 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 1/6; ; ; ; 2/13; ; 2/13; ; 2/13; 1/6; ; ; 2/11; 1/6; 1/7; 3/19; 2/13; 1/7; 19/100; 1/6; 2/13; ; 2/13; ; ; ; 
Draw; 13/2; ; 13/2; ; ; ; 7; ; 7; ; 13/2; 13/2; ; ; 7; 7; 13/2; 7; 7; 13/2; 15/2; 32/5; 7; ; 7; ; ; ; 
Granada; 12; ; 15; ; ; ; 17; ; 12; ; 16; 14; ; ; 12; 16; 27/2; 11; 15; 27/2; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-17 18:21:02 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 1/6; ; ; ; 2/13; ; 2/13; ; 2/13; 1/6; ; ; 2/11; 1/6; 1/7; 3/19; 2/13; 1/7; 19/100; 1/6; 2/13; ; 2/13; ; ; ; 
Draw; 13/2; ; 13/2; ; ; ; 7; ; 7; ; 13/2; 13/2; ; ; 7; 7; 13/2; 7; 7; 13/2; 15/2; 32/5; 7; ; 7; ; ; ; 
Granada; 12; ; 15; ; ; ; 17; ; 12; ; 16; 14; ; ; 12; 16; 27/2; 11; 15; 27/2; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-17 22:18:34 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 1/6; ; ; ; 2/13; ; 2/13; ; 2/13; 1/6; ; ; 2/11; 1/6; 1/6; 3/19; 2/13; 1/6; 19/100; 1/6; 2/13; ; 2/13; ; ; ; 
Draw; 13/2; ; 13/2; ; ; ; 13/2; ; 7; ; 13/2; 13/2; ; ; 7; 7; 59/10; 7; 7; 59/10; 15/2; 32/5; 7; ; 7; ; ; ; 
Granada; 12; ; 15; ; ; ; 18; ; 12; ; 16; 14; ; ; 12; 16; 23/2; 11; 15; 23/2; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-18 02:19:16 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 1/6; ; ; ; 2/13; ; 2/13; ; 2/13; 1/6; ; ; 2/11; 1/6; 1/7; 3/19; 2/13; 1/7; 19/100; 1/6; 2/13; ; 2/13; ; ; ; 
Draw; 13/2; ; 13/2; ; ; ; 13/2; ; 7; ; 13/2; 13/2; ; ; 7; 7; 13/2; 7; 7; 13/2; 15/2; 32/5; 7; ; 7; ; ; ; 
Granada; 12; ; 15; ; ; ; 18; ; 12; ; 16; 14; ; ; 12; 16; 27/2; 11; 15; 27/2; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-18 06:19:00 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; 1/6; ; ; ; 2/13; ; 2/13; ; 2/13; 1/6; ; ; 2/11; 1/6; 1/7; 3/19; 2/13; 1/7; 19/100; 1/6; 2/13; ; 2/13; ; ; ; 
Draw; 13/2; ; 13/2; ; ; ; 13/2; ; 7; ; 13/2; 13/2; ; ; 7; 7; 13/2; 7; 7; 13/2; 15/2; 32/5; 7; ; 7; ; ; ; 
Granada; 12; ; 15; ; ; ; 18; ; 12; ; 16; 14; ; ; 12; 16; 27/2; 11; 15; 27/2; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-18 10:19:26 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
Barcelona; 1/6; ; ; ; ; ; 2/13; ; 2/13; ; 2/13; 1/6; ; ; 2/11; 1/6; 1/7; 3/19; 2/13; 1/7; 19/100; 1/6; 2/13; ; 2/13; ; ; ; 
Draw; 13/2; ; ; ; ; ; 7; ; 7; ; 13/2; 13/2; ; ; 7; 7; 13/2; 7; 7; 13/2; 15/2; 32/5; 7; ; 7; ; ; ; 
Granada; 12; ; ; ; ; ; 17; ; 12; ; 16; 14; ; ; 12; 16; 27/2; 11; 15; 27/2; 33/2; 10; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/granada-v-barcelona; 2017-03-18 14:21:17 GMT+2; 2017-04-02 18:45; Nothing; Xlenovo
