META; spain/la-liga-primera/real-sociedad-v-leganes; 2017-03-11 22:18:47 GMT+2; 2017-04-01 16:30; Nothing; Xlenovo
Real Sociedad; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/11; ; ; 13/25; ; ; ; ; ; ; 
Draw; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; 17/5; ; ; ; ; ; ; 
Leganes; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/4; ; ; 67/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2017-03-12 02:18:20 GMT+2; 2017-04-01 16:30; Nothing; Xlenovo
Real Sociedad; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/11; ; ; 13/25; ; ; ; ; ; ; 
Draw; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; 17/5; ; ; ; ; ; ; 
Leganes; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/4; ; ; 67/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2017-03-12 06:18:23 GMT+2; 2017-04-01 16:30; Nothing; Xlenovo
Real Sociedad; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/11; ; ; 13/25; ; ; ; ; ; ; 
Draw; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; 17/5; ; ; ; ; ; ; 
Leganes; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/4; ; ; 67/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2017-03-12 10:18:54 GMT+2; 2017-04-01 16:30; Nothing; Xlenovo
Real Sociedad; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/11; ; ; 13/25; ; ; ; ; ; ; 
Draw; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; 17/5; ; ; ; ; ; ; 
Leganes; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/4; ; ; 67/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2017-03-12 14:18:33 GMT+2; 2017-04-01 16:30; Nothing; Xlenovo
Real Sociedad; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/11; ; ; 13/25; ; ; ; ; ; ; 
Draw; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; 17/5; ; ; ; ; ; ; 
Leganes; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/4; ; ; 67/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2017-03-12 18:18:28 GMT+2; 2017-04-01 16:30; Nothing; Xlenovo
Real Sociedad; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/11; ; ; 13/25; ; ; ; ; ; ; 
Draw; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; 17/5; ; ; ; ; ; ; 
Leganes; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/4; ; ; 67/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2017-03-12 22:18:34 GMT+2; 2017-04-01 16:30; Nothing; Xlenovo
Real Sociedad; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/11; ; ; 13/25; ; ; ; ; ; ; 
Draw; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; 17/5; ; ; ; ; ; ; 
Leganes; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/4; ; ; 67/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2017-03-13 02:19:05 GMT+2; 2017-04-01 16:30; Nothing; Xlenovo
Real Sociedad; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/7; 11/17; ; 5/7; 17/25; ; ; ; ; ; ; 
Draw; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; 5/2; ; 13/5; 59/20; ; ; ; ; ; ; 
Leganes; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/5; 9/2; ; 18/5; 5; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2017-03-13 06:19:41 GMT+2; 2017-04-01 16:30; Nothing; Xlenovo
Real Sociedad; 8/13; ; 8/15; ; ; ; 4/6; ; ; ; ; ; ; ; ; 4/6; 4/6; 11/17; ; 4/6; 17/25; ; ; ; ; ; ; 
Draw; 13/5; ; 27/10; ; ; ; 13/5; ; ; ; ; ; ; ; ; 27/10; 28/11; 5/2; ; 28/11; 59/20; ; ; ; ; ; ; 
Leganes; 5; ; 5; ; ; ; 19/4; ; ; ; ; ; ; ; ; 5; 17/4; 9/2; ; 17/4; 5; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2017-03-13 10:18:02 GMT+2; 2017-04-01 16:30; Nothing; Xlenovo
Real Sociedad; 8/13; ; 8/15; ; ; ; 4/6; ; ; ; ; ; ; ; ; 4/6; 4/6; 11/17; ; 4/6; 17/25; ; ; ; ; ; ; 
Draw; 13/5; ; 27/10; ; ; ; 13/5; ; ; ; ; ; ; ; ; 27/10; 28/11; 5/2; ; 28/11; 59/20; ; ; ; ; ; ; 
Leganes; 5; ; 5; ; ; ; 19/4; ; ; ; ; ; ; ; ; 5; 17/4; 9/2; ; 17/4; 5; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2017-03-13 14:18:55 GMT+2; 2017-04-01 16:30; Nothing; Xlenovo
Real Sociedad; 7/10; ; 8/15; ; ; ; 3/4; ; ; ; ; ; ; ; ; 8/11; 5/7; 4/6; ; 14/19; 17/25; 14/19; ; ; ; ; ; 
Draw; 12/5; ; 27/10; ; ; ; 5/2; ; ; ; ; ; ; ; ; 5/2; 12/5; 12/5; ; 12/5; 59/20; 5/2; ; ; ; ; ; 
Leganes; 9/2; ; 5; ; ; ; 4; ; ; ; ; ; ; ; ; 9/2; 4; 19/4; ; 75/19; 5; 7/2; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2017-03-13 18:20:14 GMT+2; 2017-04-01 16:30; Nothing; Xlenovo
Real Sociedad; 3/4; ; 3/4; ; ; ; 8/11; ; 8/11; ; ; ; ; ; 3/4; 8/11; 5/7; 4/6; ; 5/7; 17/25; 14/19; ; ; ; ; ; ; 
Real Sociedad; 3/4; ; 3/4; ; ; ; 3/4; ; 8/11; 3/4; 8/11; 3/4; ; ; 3/4; 8/11; 5/7; 4/6; 8/11; 5/7; 8/11; 14/19; 8/11; ; 8/11; ; ; ; 
Draw; 23/10; ; 12/5; ; ; ; 12/5; ; 5/2; 12/5; 9/4; 12/5; ; ; 13/5; 5/2; 12/5; 12/5; 5/2; 12/5; 11/4; 5/2; 5/2; ; 5/2; ; ; ; 
Leganes; 17/4; ; 17/4; ; ; ; 17/4; ; 4; 4; 4; 4; ; ; 4; 9/2; 77/19; 19/4; 4; 77/19; 49/10; 7/2; 4; ; 4; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2017-03-15 10:18:33 GMT+2; 2017-04-01 16:30; Nothing; Xlenovo
Real Sociedad; 3/4; ; 3/4; ; ; ; 3/4; ; 8/11; 3/4; 8/11; 3/4; ; ; 3/4; 8/11; 5/7; 4/6; 8/11; 5/7; 8/11; 14/19; 8/11; ; 8/11; ; ; ; 
Draw; 23/10; ; 12/5; ; ; ; 12/5; ; 5/2; 12/5; 9/4; 12/5; ; ; 13/5; 5/2; 12/5; 12/5; 5/2; 12/5; 11/4; 5/2; 5/2; ; 5/2; ; ; ; 
Leganes; 17/4; ; 17/4; ; ; ; 17/4; ; 4; 4; 4; 4; ; ; 4; 9/2; 77/19; 19/4; 4; 77/19; 49/10; 7/2; 4; ; 4; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2017-03-15 14:20:41 GMT+2; 2017-04-01 16:30; Nothing; Xlenovo
Real Sociedad; 7/10; ; 3/4; ; ; ; 8/11; ; 8/11; 3/4; 7/10; 3/4; ; ; 3/4; 8/11; 5/7; 7/10; 8/11; 9/13; 8/11; 14/19; 8/11; ; 8/11; ; ; ; 
Draw; 12/5; ; 12/5; ; ; ; 5/2; ; 5/2; 12/5; 23/10; 12/5; ; ; 13/5; 5/2; 12/5; 23/10; 5/2; 27/11; 11/4; 5/2; 5/2; ; 5/2; ; ; ; 
Leganes; 9/2; ; 17/4; ; ; ; 22/5; ; 4; 4; 4; 4; ; ; 4; 9/2; 77/19; 9/2; 4; 41/10; 49/10; 7/2; 4; ; 4; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2017-03-15 18:18:21 GMT+2; 2017-04-01 16:30; Nothing; Xlenovo
Real Sociedad; 7/10; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 3/4; ; ; 3/4; 8/11; 9/13; 7/10; 8/11; 9/13; 8/11; 14/19; 8/11; ; 8/11; ; ; ; 
Draw; 12/5; ; 12/5; ; ; ; 12/5; ; 5/2; 12/5; 23/10; 12/5; ; ; 13/5; 5/2; 27/11; 23/10; 5/2; 27/11; 11/4; 5/2; 5/2; ; 5/2; ; ; ; 
Leganes; 9/2; ; 17/4; ; ; ; 19/4; ; 17/4; 17/4; 4; 4; ; ; 4; 9/2; 41/10; 9/2; 4; 41/10; 49/10; 7/2; 4; ; 4; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2017-03-15 22:18:26 GMT+2; 2017-04-01 16:30; Nothing; Xlenovo
Real Sociedad; 7/10; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 3/4; ; ; 3/4; 8/11; 9/13; 7/10; 8/11; 9/13; 8/11; 14/19; 8/11; ; 8/11; ; ; ; 
Draw; 12/5; ; 12/5; ; ; ; 12/5; ; 5/2; 12/5; 23/10; 12/5; ; ; 13/5; 5/2; 27/11; 23/10; 5/2; 27/11; 11/4; 5/2; 5/2; ; 5/2; ; ; ; 
Leganes; 9/2; ; 17/4; ; ; ; 19/4; ; 17/4; 17/4; 4; 4; ; ; 4; 9/2; 41/10; 9/2; 4; 41/10; 49/10; 7/2; 4; ; 4; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2017-03-16 02:18:42 GMT+2; 2017-04-01 16:30; Nothing; Xlenovo
Real Sociedad; 7/10; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 3/4; ; ; 3/4; 8/11; 9/13; 7/10; 8/11; 9/13; 8/11; 14/19; 8/11; ; 8/11; ; ; ; 
Draw; 12/5; ; 12/5; ; ; ; 5/2; ; 5/2; 12/5; 23/10; 12/5; ; ; 13/5; 13/5; 27/11; 23/10; 5/2; 27/11; 11/4; 5/2; 5/2; ; 5/2; ; ; ; 
Leganes; 9/2; ; 17/4; ; ; ; 22/5; ; 17/4; 17/4; 4; 4; ; ; 4; 9/2; 41/10; 9/2; 4; 41/10; 49/10; 7/2; 4; ; 4; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2017-03-16 06:18:11 GMT+2; 2017-04-01 16:30; Nothing; Xlenovo
Real Sociedad; 7/10; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 8/11; ; ; 3/4; 8/11; 9/13; 7/10; 8/11; 9/13; 8/11; 14/19; 8/11; ; 8/11; ; ; ; 
Draw; 12/5; ; 12/5; ; ; ; 5/2; ; 5/2; 12/5; 23/10; 5/2; ; ; 13/5; 13/5; 27/11; 23/10; 5/2; 27/11; 11/4; 5/2; 5/2; ; 5/2; ; ; ; 
Leganes; 9/2; ; 17/4; ; ; ; 22/5; ; 17/4; 17/4; 4; 4; ; ; 4; 9/2; 41/10; 9/2; 4; 41/10; 49/10; 7/2; 4; ; 4; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2017-03-16 10:18:37 GMT+2; 2017-04-01 16:30; Nothing; Xlenovo
Real Sociedad; 7/10; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 8/11; ; ; 3/4; 8/11; 9/13; 7/10; 8/11; 9/13; 8/11; 14/19; 8/11; ; 8/11; ; ; ; 
Draw; 12/5; ; 12/5; ; ; ; 5/2; ; 5/2; 12/5; 23/10; 5/2; ; ; 13/5; 13/5; 27/11; 23/10; 5/2; 27/11; 11/4; 5/2; 5/2; ; 5/2; ; ; ; 
Leganes; 9/2; ; 17/4; ; ; ; 22/5; ; 17/4; 17/4; 4; 4; ; ; 4; 9/2; 41/10; 9/2; 4; 41/10; 49/10; 7/2; 4; ; 4; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2017-03-16 14:18:30 GMT+2; 2017-04-01 16:30; Nothing; Xlenovo
Real Sociedad; 7/10; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 8/11; ; ; 3/4; 8/11; 9/13; 7/10; 8/11; 9/13; 8/11; 14/19; 8/11; ; 8/11; ; ; ; 
Draw; 12/5; ; 12/5; ; ; ; 5/2; ; 5/2; 12/5; 23/10; 5/2; ; ; 13/5; 13/5; 27/11; 23/10; 5/2; 27/11; 11/4; 5/2; 5/2; ; 5/2; ; ; ; 
Leganes; 9/2; ; 17/4; ; ; ; 22/5; ; 17/4; 17/4; 4; 4; ; ; 4; 9/2; 41/10; 9/2; 4; 41/10; 49/10; 7/2; 4; ; 4; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2017-03-16 18:18:43 GMT+2; 2017-04-01 16:30; Nothing; Xlenovo
Real Sociedad; 7/10; ; 3/4; ; ; ; 8/11; ; 8/11; 8/11; 7/10; 8/11; ; ; 3/4; 8/11; 9/13; 7/10; 8/11; 9/13; 8/11; 14/19; 8/11; ; 8/11; ; ; ; 
Draw; 12/5; ; 12/5; ; ; ; 5/2; ; 5/2; 12/5; 23/10; 5/2; ; ; 13/5; 13/5; 27/11; 23/10; 5/2; 27/11; 11/4; 5/2; 5/2; ; 5/2; ; ; ; 
