META; spain/la-liga-primera/valencia-v-alaves; 2018-03-05 20:16:49 GMT+2; 2018-03-17 15:15; e70300-dr003
Valencia; 4/9; 1/2; 1/2; 1/2; 51/100; 4/9; 4/9; 1/2; 1/2; 1/2; 5/11; 10/21; 5/11; 1/2; 12/25; 5/11
Draw; 10/3; 16/5; 3; 17/5; 16/5; 16/5; 16/5; 100/30; 16/5; 16/5; 29/10; 33/10; 10/3; 16/5; ; 
Alaves; 6; 11/2; 6; 69/10; 6; 13/2; 6; 11/2; 6; 23/4; 6; 26/5; 6; 29/5; ; 
META; spain/la-liga-primera/valencia-v-alaves; 2018-03-06 15:02:41 GMT+2; 2018-03-17 15:15; e70300-dr003
Valencia; 4/9; 1/2; 8/15; 1/2; 14/25; 7/15; 7/15; 1/2; 1/2; 4/7; 8/15; 1/2; 1/2; 10/21; 5/11; 7/15; 8/15; 1/2
Draw; 10/3; 16/5; 3; 33/10; 16/5; 16/5; 3; 3; 16/5; 16/5; 31/10; 29/10; 33/10; 16/5; 3; 41/13; ; 
Alaves; 6; 11/2; 11/2; 6; 61/10; 11/2; 23/4; 11/2; 11/2; 5; 11/2; 6; 51/10; 6; 26/5; 23/4; 11/2; 67/13
META; spain/la-liga-primera/valencia-v-alaves; 2018-03-08 10:14:34 GMT+2; 2018-03-17 15:15; e70300-dr003
Valencia; 8/15; 1/2; 8/15; 1/2; 14/25; 4/9; 1/2; 4/9; 7/15; 1/2; 8/15; 8/15; 8/15; 1/2; 10/21; 5/11; 7/15; 1/2; 8/15; 1/2; 2/5
Draw; 3; 16/5; 3; 33/10; 3; 16/5; 3; 16/5; 3; 16/5; 3; 31/10; 29/10; 33/10; 16/5; 33/10; 3; 41/13; 14/5; ; 
Alaves; 5; 11/2; 11/2; 6; 61/10; 5; 11/2; 5; 23/4; 11/2; 11/2; 11/2; 11/2; 51/10; 6; 26/5; 23/4; 6; 11/2; 67/13; 23/5
META; spain/la-liga-primera/valencia-v-alaves; 2018-03-08 12:18:03 GMT+2; 2018-03-17 15:15; e70300-dr003
Valencia; 8/15; 1/2; 8/15; 1/2; 14/25; 4/9; 1/2; 4/9; 7/15; 1/2; 8/15; 8/15; 1/2; 1/2; 10/21; 5/11; 7/15; 1/2; 8/15; 18/35; 2/5
Draw; 3; 16/5; 3; 33/10; 3; 16/5; 3; 16/5; 3; 16/5; 3; 31/10; 29/10; 33/10; 16/5; 16/5; 3; 31/10; 14/5; ; 
Alaves; 5; 11/2; 11/2; 6; 61/10; 5; 11/2; 5; 23/4; 11/2; 11/2; 11/2; 11/2; 96/19; 6; 26/5; 23/4; 6; 11/2; 51/10; 23/5
META; spain/la-liga-primera/valencia-v-alaves; 2018-03-09 12:17:16 GMT+2; 2018-03-17 15:15; e70300-dr003
Valencia; 8/15; 1/2; 8/15; 1/2; 14/25; 4/9; 1/2; 4/9; 7/15; 1/2; 8/15; 8/15; 1/2; 1/2; 10/21; 5/11; 7/15; 1/2; 8/15; 2/5
Draw; 3; 16/5; 3; 33/10; 3; 16/5; 3; 16/5; 3; 16/5; 3; 31/10; 29/10; 33/10; 16/5; 33/10; 3; 14/5; ; 
Alaves; 5; 11/2; 11/2; 6; 61/10; 5; 11/2; 5; 23/4; 11/2; 11/2; 11/2; 11/2; 96/19; 6; 26/5; 23/4; 11/2; 11/2; 23/5
META; spain/la-liga-primera/valencia-v-alaves; 2018-03-10 12:17:46 GMT+2; 2018-03-17 15:15; e70300-dr003
Valencia; 8/15; 1/2; 1/2; 1/2; 27/50; 4/9; 7/15; 4/9; 7/15; 1/2; 1/2; 1/2; 4/7; 8/15; 1/2; 1/2; 10/21; 5/11; 7/15; 1/2; 1/2; 18/35; 2/5
Draw; 3; 16/5; 3; 67/20; 3; 16/5; 3; 16/5; 3; 16/5; 3; 16/5; 3; 31/10; 29/10; 33/10; 16/5; 33/10; 16/5; 31/10; 14/5; ; 
Alaves; 5; 11/2; 11/2; 6; 63/10; 5; 11/2; 5; 23/4; 11/2; 11/2; 6; 11/2; 6; 96/19; 6; 26/5; 23/4; 11/2; 11/2; 51/10; 24/5; 
META; spain/la-liga-primera/valencia-v-alaves; 2018-03-12 10:24:33 GMT+2; 2018-03-17 15:15; e70300-dr003
Valencia; 4/9; 4/9; 4/9; 1/2; 47/00; 40/85; 4/9; 2/5; 7/15; 4/9; 4/9; 4/9; 4/9; 2/5; 1/2; 2/5; 3/7; 5/11; 10/21; 7/15; 9/20; 4/9; 3/7; 4/9; 4/9; 4/9
Draw; 10/3; 7/2; 10/3; 16/5; 37/10; 7/2; 10/3; 16/5; 57/17; 13/4; 7/2; 7/2; 7/2; 10/3; 16/5; 33/10; 17/5; 16/5; 62/17; 33/10; 18/5; 10/3; 38/11; 3; 7/2; 7/2
Alaves; 6; 11/2; 6; 11/2; 36/5; 6; 11/2; 23/4; 6; 11/2; 11/2; 6; 11/2; 11/2; 6; 57/10; 23/4; 6; 13/2; 6; 11/2; 34/5; 7; ; ; 
META; spain/la-liga-primera/valencia-v-alaves; 2018-03-12 20:16:32 GMT+2; 2018-03-17 15:15; e70300-dr003
Valencia; 4/9; 4/9; 4/9; 1/2; 47/00; 40/85; 4/9; 2/5; 5/11; 4/9; 4/9; 1/2; 4/9; 4/9; 2/5; 4/9; 5/11; 10/21; 5/11; 9/20; 4/9; 4/9; 4/9; 4/9; 4/9; 4/9; 
Draw; 10/3; 7/2; 13/4; 16/5; 37/10; 7/2; 10/3; 16/5; 57/17; 16/5; 7/2; 7/2; 7/2; 10/3; 100/0; 33/10; 38/11; 16/5; 62/17; 33/10; 18/5; 10/3; 7/2; 3; 10/3; 7/2; 10/3
Alaves; 6; 11/2; 6; 11/2; 36/5; 6; 11/2; 13/2; 6; 11/2; 11/2; 6; 11/2; 25/4; 6; 57/10; 13/2; 6; 13/2; 25/4; 11/2; 28/5; 34/5; 32/5; ; ; 
META; spain/la-liga-primera/valencia-v-alaves; 2018-03-13 12:19:07 GMT+2; 2018-03-17 15:15; e70300-dr003
Valencia; 4/9; 4/9; 4/9; 4/9; 9/20; 2/5; 2/5; 2/5; 5/11; 2/5; 4/9; 4/9; 4/11; 9/20; 2/5; 7/17; 5/11; 6/13; 5/11; 4/9; 21/50; 5/12; 4/9; 2/5; 4/9; 4/9; 
Draw; 10/3; 7/2; 17/5; 17/5; 77/20; 18/5; 7/2; 7/2; 57/17; 10/3; 7/2; 10/3; 15/4; 17/5; 100/0; 33/10; 18/5; 16/5; 37/10; 33/10; 18/5; 7/2; 62/17; 3; 10/3; 7/2; 10/3
Alaves; 6; 11/2; 13/2; 6; 37/5; 7; 13/2; 13/2; 13/2; 6; 13/2; 6; 13/2; 13/2; 11/2; 27/4; 6; 29/5; 13/2; 13/2; 13/2; 27/4; 32/5; 5; 36/5; 31/5; 
META; spain/la-liga-primera/valencia-v-alaves; 2018-03-13 20:16:59 GMT+2; 2018-03-17 15:15; e70300-dr003
Valencia; 4/9; 4/9; 4/9; 4/9; 23/50; 2/5; 2/5; 2/5; 5/11; 2/5; 4/9; 4/9; 4/11; 9/20; 2/5; 7/17; 5/11; 6/13; 5/11; 4/9; 21/50; 5/12; 4/9; 2/5; 4/9; 2/5; 
Draw; 10/3; 7/2; 17/5; 17/5; 77/20; 18/5; 7/2; 7/2; 57/17; 10/3; 7/2; 10/3; 15/4; 17/5; 100/0; 33/10; 62/17; 16/5; 37/10; 33/10; 18/5; 7/2; 37/10; 10/3; 10/3; 7/2; 10/3
Alaves; 6; 13/2; 6; 7; 13/2; 13/2; 13/2; 6; 13/2; 6; 6; 13/2; 11/2; 27/4; 6; 29/5; 13/2; 6; 13/2; 27/4; 33/5; 31/5; 7; 29/5; ; ; 
META; spain/la-liga-primera/valencia-v-alaves; 2018-03-14 20:16:47 GMT+2; 2018-03-17 15:15; e70300-dr003
Valencia; 2/5; 4/9; 4/9; 4/9; 9/20; 2/5; 2/5; 2/5; 5/11; 2/5; 2/5; 4/9; 4/9; 4/11; 9/20; 2/5; 2/5; 5/11; 4/9; 5/11; 2/5; 2/5; 7/17; 4/11; 2/5; 4/9; 4/9
Draw; 7/2; 7/2; 7/2; 17/5; 39/10; 18/5; 7/2; 7/2; 57/17; 17/5; 18/5; 10/3; 15/4; 7/2; 100/0; 33/10; 37/10; 16/5; 15/4; 33/10; 15/4; 10/3; 15/4; 10/3; 10/3; 7/2; 7/2
Alaves; 7; 13/2; 6; 36/5; 7; 13/2; 13/2; 13/2; 13/2; 7; 13/2; 6; 13/2; 13/2; 11/2; 27/4; 6; 32/5; 13/2; 7; 7; 33/5; 31/5; 7; ; ; 
META; spain/la-liga-primera/valencia-v-alaves; 2018-03-15 10:23:08 GMT+2; 2018-03-17 15:15; e70300-dr003
Valencia; 4/9; 4/9; 4/9; 4/9; 9/20; 4/9; 2/5; 2/5; 5/11; 2/5; 2/5; 4/9; 4/9; 4/11; 9/20; 2/5; 3/7; 5/11; 4/9; 5/11; 2/5; 21/50; 3/7; 4/9; 2/5; 4/9; 4/9
Draw; 7/2; 7/2; 7/2; 17/5; 39/10; 15/4; 7/2; 7/2; 57/17; 17/5; 7/2; 10/3; 15/4; 7/2; 100/0; 33/10; 39/11; 16/5; 15/4; 33/10; 15/4; 7/2; 18/5; 10/3; 10/3; 7/2; 7/2
Alaves; 13/2; 6; 13/2; 6; 36/5; 7; 13/2; 13/2; 13/2; 13/2; 13/2; 13/2; 6; 13/2; 13/2; 11/2; 13/2; 6; 32/5; 13/2; 7; 13/2; 13/2; 33/5; 31/5; 7; 
META; spain/la-liga-primera/valencia-v-alaves; 2018-03-15 13:09:16 GMT+2; 2018-03-17 15:15; e70300-dr003
Valencia; 4/9; 4/9; 4/9; 4/9; 9/20; 4/9; 2/5; 2/5; 5/11; 2/5; 2/5; 4/9; 4/9; 4/11; 9/20; 2/5; 5/12; 5/11; 4/9; 5/11; 2/5; 21/50; 3/7; 4/9; 4/9; 4/9; 4/9
Draw; 7/2; 7/2; 7/2; 17/5; 39/10; 15/4; 7/2; 7/2; 57/17; 17/5; 7/2; 10/3; 15/4; 7/2; 100/0; 33/10; 18/5; 16/5; 15/4; 33/10; 15/4; 7/2; 62/17; 7/2; 7/2; 7/2; 7/2
Alaves; 13/2; 6; 13/2; 6; 36/5; 7; 13/2; 13/2; 13/2; 13/2; 13/2; 13/2; 6; 13/2; 13/2; 11/2; 13/2; 6; 32/5; 13/2; 7; 13/2; 27/4; 33/5; 34/5; 7; 
META; spain/la-liga-primera/valencia-v-alaves; 2018-03-15 20:16:49 GMT+2; 2018-03-17 15:15; e70300-dr003
