META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-21 02:22:08 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Maidenhead Utd; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-21 10:22:24 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Maidenhead Utd; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-21 14:22:57 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Maidenhead Utd; 5/6; 8/11; ; ; ; ; 3/4; ; ; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; 14/5; ; ; ; ; 5/2; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester; 10/3; 16/5; ; ; ; ; 16/5; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-21 18:22:16 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Maidenhead Utd; 5/6; 8/11; ; ; ; ; 3/4; ; ; ; 4/5; 3/4; ; ; ; ; ; ; ; ; ; 5/6; 4/5; ; ; ; ; 
Draw; 5/2; 14/5; ; ; ; ; 5/2; ; ; ; 5/2; 23/10; ; ; ; ; ; ; ; ; ; 5/2; 27/10; ; ; ; ; 
Chester; 10/3; 16/5; ; ; ; ; 16/5; ; ; ; 10/3; 16/5; ; ; ; ; ; ; ; ; ; 100/ 30; 17/5; ; ; ; ; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-21 22:21:56 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Maidenhead Utd; 5/6; 8/11; ; ; ; ; 3/4; ; ; ; 4/5; 3/4; ; ; ; 8/11; ; ; ; ; ; 5/6; 4/5; 4/5; ; ; ; 
Draw; 5/2; 14/5; ; ; ; ; 5/2; ; ; ; 5/2; 12/5; ; ; ; 5/2; ; ; ; ; ; 5/2; 27/10; 5/2; ; ; ; 
Chester; 10/3; 16/5; ; ; ; ; 16/5; ; ; ; 10/3; 3; ; ; ; 3; ; ; ; ; ; 100/ 30; 17/5; 10/3; ; ; ; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-22 02:21:51 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Maidenhead Utd; 5/6; 8/11; ; ; ; 8/11; 3/4; ; ; ; 4/5; 3/4; ; ; ; 8/11; ; ; ; ; ; 5/6; 4/5; 4/5; ; ; ; 
Draw; 5/2; 14/5; ; ; ; 5/2; 5/2; ; ; ; 5/2; 12/5; ; ; ; 5/2; ; ; ; ; ; 5/2; 27/10; 5/2; ; ; ; 
Chester; 10/3; 16/5; ; ; ; 10/3; 16/5; ; ; ; 10/3; 3; ; ; ; 3; ; ; ; ; ; 100/ 30; 17/5; 10/3; ; ; ; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-22 10:22:16 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Maidenhead Utd; 5/6; 8/11; 4/5; ; ; 8/11; 3/4; ; ; 4/5; 4/5; 3/4; ; ; ; 8/11; 3/4; 10/13; 3/4; ; ; 4/5; ; 4/5; 10/13; ; ; 
Draw; 5/2; 14/5; 5/2; ; ; 5/2; 5/2; ; ; 5/2; 5/2; 12/5; ; ; ; 5/2; 13/5; 12/5; 13/5; ; ; 13/5; ; 13/5; 27/11; ; ; 
Chester; 10/3; 16/5; 16/5; ; ; 10/3; 16/5; ; ; 16/5; 10/3; 3; ; ; ; 3; 16/5; 31/10; 16/5; ; ; 100/ 30; ; 16/5; 41/13; ; ; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-22 14:22:04 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Maidenhead Utd; 5/6; 3/4; 5/6; ; 17/20; 8/11; 3/4; ; ; 5/6; 4/5; 4/5; ; 5/6; 5/6; 4/5; 3/4; 10/13; 3/4; 5/6; ; 4/5; 5/6; 4/5; 10/13; ; ; 
Draw; 5/2; 13/5; 12/5; ; 66/25; 5/2; 5/2; ; ; 12/5; 5/2; 11/5; ; 12/5; 5/2; 12/5; 13/5; 12/5; 13/5; 28/11; ; 13/5; 13/5; 13/5; 27/11; ; ; 
Chester; 10/3; 10/3; 3; ; 15/4; 10/3; 10/3; ; ; 3; 10/3; 16/5; ; 3; 16/5; 3; 16/5; 31/10; 16/5; 27/10; ; 100/ 30; 33/10; 16/5; 41/13; ; ; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-22 18:22:05 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Maidenhead Utd; 5/6; 3/4; 4/5; ; 17/20; 3/4; 3/4; ; 4/5; 4/5; 4/5; 4/5; ; 4/5; 5/6; 8/11; 3/4; 4/5; 3/4; 5/6; 4/5; 4/5; 5/6; 4/5; 4/5; ; ; 
Draw; 5/2; 13/5; 12/5; ; 66/25; 5/2; 5/2; ; 12/5; 12/5; 5/2; 11/5; ; 12/5; 5/2; 12/5; 13/5; 27/11; 13/5; 13/5; 12/5; 13/5; 13/5; 13/5; 27/11; ; ; 
Chester; 10/3; 10/3; 16/5; ; 15/4; 16/5; 16/5; ; 31/10; 16/5; 10/3; 16/5; ; 31/10; 16/5; 16/5; 16/5; 41/13; 16/5; 58/19; 31/10; 100/ 30; 33/10; 16/5; 31/10; ; ; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-22 22:22:04 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Maidenhead Utd; 5/6; 3/4; 4/5; ; 17/20; 3/4; 4/5; ; 4/5; 4/5; 4/5; 4/5; ; 4/5; 5/6; 8/11; 3/4; 4/5; 3/4; 5/6; 4/5; 4/5; 5/6; 4/5; 4/5; 8/11; ; 
Draw; 5/2; 13/5; 12/5; ; 66/25; 5/2; 5/2; ; 12/5; 12/5; 5/2; 11/5; ; 12/5; 5/2; 12/5; 13/5; 27/11; 13/5; 13/5; 12/5; 13/5; 13/5; 13/5; 27/11; 12/5; ; 
Chester; 10/3; 10/3; 16/5; ; 15/4; 16/5; 16/5; ; 31/10; 16/5; 16/5; 16/5; ; 31/10; 16/5; 16/5; 16/5; 41/13; 16/5; 58/19; 31/10; 100/ 30; 33/10; 16/5; 16/5; 14/5; ; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-23 02:21:57 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Maidenhead Utd; 5/6; 3/4; 4/5; ; 17/20; 3/4; 3/4; ; 4/5; 4/5; 4/5; 4/5; ; 4/5; 5/6; 8/11; 3/4; 4/5; 3/4; 5/6; 4/5; 4/5; 5/6; 4/5; 4/5; 4/6; ; 
Draw; 5/2; 13/5; 12/5; ; 66/25; 5/2; 5/2; ; 12/5; 12/5; 5/2; 11/5; ; 12/5; 5/2; 12/5; 13/5; 27/11; 13/5; 13/5; 12/5; 13/5; 13/5; 13/5; 27/11; 11/5; ; 
Chester; 10/3; 10/3; 16/5; ; 15/4; 16/5; 16/5; ; 31/10; 16/5; 16/5; 16/5; ; 31/10; 16/5; 16/5; 16/5; 41/13; 16/5; 58/19; 31/10; 100/ 30; 33/10; 16/5; 16/5; 14/5; ; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-23 10:22:00 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Maidenhead Utd; 5/6; 3/4; 4/5; ; 17/20; 3/4; 4/5; ; 4/5; 4/5; 4/5; 4/5; ; 4/5; 5/6; 8/11; 3/4; 4/5; 3/4; 5/6; 4/5; 4/5; 5/6; 4/5; 4/5; 4/6; ; 
Draw; 5/2; 13/5; 12/5; ; 66/25; 5/2; 5/2; ; 12/5; 12/5; 5/2; 11/5; ; 12/5; 5/2; 12/5; 13/5; 27/11; 13/5; 13/5; 12/5; 13/5; 13/5; 13/5; 27/11; 11/5; ; 
Chester; 10/3; 10/3; 16/5; ; 15/4; 16/5; 16/5; ; 31/10; 16/5; 10/3; 16/5; ; 31/10; 16/5; 16/5; 16/5; 41/13; 16/5; 58/19; 31/10; 100/ 30; 33/10; 16/5; 16/5; 14/5; ; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-23 14:22:00 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Maidenhead Utd; 5/6; 3/4; 4/5; ; 17/20; 3/4; 4/5; ; 4/5; 4/5; 4/5; 4/5; ; 4/5; 5/6; 8/11; 3/4; 4/5; 3/4; 5/6; 4/5; 4/5; 5/6; 4/5; 4/5; 4/6; ; 
Draw; 5/2; 13/5; 12/5; ; 66/25; 5/2; 5/2; ; 12/5; 12/5; 5/2; 11/5; ; 12/5; 5/2; 12/5; 13/5; 27/11; 13/5; 13/5; 12/5; 13/5; 13/5; 13/5; 27/11; 11/5; ; 
Chester; 10/3; 10/3; 16/5; ; 15/4; 16/5; 16/5; ; 31/10; 16/5; 16/5; 16/5; ; 31/10; 16/5; 16/5; 16/5; 41/13; 16/5; 58/19; 31/10; 100/ 30; 33/10; 16/5; 16/5; 14/5; ; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-23 18:22:28 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Maidenhead Utd; 5/6; 3/4; 4/5; ; 17/20; 3/4; 3/4; ; 4/5; 4/5; 4/5; 4/5; ; 4/5; 5/6; 8/11; 3/4; 4/5; 3/4; 5/6; 4/5; 4/5; 5/6; 4/5; 4/5; 4/6; ; 
Draw; 5/2; 13/5; 12/5; ; 66/25; 5/2; 5/2; ; 12/5; 12/5; 5/2; 11/5; ; 12/5; 5/2; 12/5; 13/5; 27/11; 13/5; 13/5; 12/5; 13/5; 13/5; 13/5; 5/2; 11/5; ; 
Chester; 10/3; 10/3; 16/5; ; 15/4; 16/5; 16/5; ; 31/10; 16/5; 16/5; 16/5; ; 31/10; 16/5; 16/5; 16/5; 41/13; 16/5; 58/19; 31/10; 100/ 30; 33/10; 16/5; 16/5; 14/5; ; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-23 22:22:27 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Maidenhead Utd; 5/6; 3/4; 4/5; ; 17/20; 3/4; 3/4; ; 4/5; 4/5; 4/5; 4/5; ; 4/5; 5/6; 8/11; 3/4; 4/5; 3/4; 5/6; 4/5; 4/5; 5/6; 4/5; 4/5; ; 4/6; ; 
Maidenhead Utd; 8/13; 4/6; 4/6; 13/20; ; 8/13; 13/20; ; 11/17; 4/6; 4/6; 8/13; ; 13/20; 4/6; 8/13; 4/6; 11/17; 4/6; 7/11; 11/17; 8/13; 13/20; 13/20; 4/6; ; 4/7; 4/7; 
Draw; 11/4; 11/4; 13/5; 5/2; ; 13/5; 11/4; ; 27/11; 13/5; 13/5; 12/5; ; 13/5; 11/4; 5/2; 11/4; 45/17; 11/4; 37/13; 27/11; 14/5; 14/5; 27/10; 27/10; ; 13/5; 12/5; 
Chester; 9/2; 4; 4; 4; ; 15/4; 4; ; 4; 4; 19/5; 4; ; 4; 4; 4; 17/5; 77/19; 17/5; 75/19; 4; 4; 17/4; 17/4; 41/10; ; 7/2; 10/3; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-26 14:22:41 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Maidenhead Utd; 8/13; 4/6; 3/5; 4/6; 33/50; 6/10; 13/20; ; 11/17; 6/10; ; 6/10; ; 8/13; 8/13; 8/13; 4/6; 8/13; 4/6; 3/5; 11/17; 8/13; 8/13; 8/13; 11/17; ; 4/7; 8/15; 
Draw; 11/4; 11/4; 27/10; 14/5; 61/20; 27/10; 11/4; ; 27/11; 27/10; ; 12/5; ; 13/5; 3; 13/5; 11/4; 27/10; 11/4; 56/19; 27/11; 14/5; 29/10; 14/5; 11/4; ; 13/5; 5/2; 
Chester; 9/2; 4; 17/4; 4; 47/10; 4; 4; ; 4; 17/4; ; 4; ; 17/4; 4; 4; 17/5; 17/4; 17/5; 21/5; 4; 17/4; 9/2; 17/4; 43/10; ; 7/2; 7/2; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-26 18:22:28 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Maidenhead Utd; 8/13; 8/13; 4/6; 4/6; 69/ 100; 6/10; 13/20; ; 11/17; 4/6; 4/6; 8/13; ; 13/20; 8/13; 8/13; 4/6; 8/13; 4/6; 11/17; 11/17; 8/13; 13/20; 8/13; 11/17; ; 4/7; 4/7; 
Draw; 11/4; 14/5; 13/5; 14/5; 73/25; 27/10; 11/4; ; 27/11; 13/5; 13/5; 12/5; ; 5/2; 3; 13/5; 11/4; 27/10; 11/4; 14/5; 27/11; 14/5; 14/5; 14/5; 27/10; ; 27/10; 12/5; 
Chester; 9/2; 9/2; 4; 4; 23/5; 4; 4; ; 4; 4; ; 4; ; 4; 4; 4; 17/5; 21/5; 17/5; 4; 4; 17/4; 17/4; 17/4; 17/4; ; 7/2; 10/3; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-26 22:22:38 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Maidenhead Utd; 8/13; 8/13; 4/6; 4/6; 69/ 100; 6/10; 13/20; ; 11/17; 4/6; 4/6; 8/13; ; 13/20; 8/13; 8/13; 4/6; 8/13; 4/6; 11/17; 11/17; 8/13; 13/20; 8/13; 11/17; ; 4/7; 4/7; 
Draw; 11/4; 14/5; 13/5; 14/5; 74/25; 27/10; 11/4; ; 27/11; 13/5; 13/5; 12/5; ; 5/2; 3; 13/5; 11/4; 45/17; 11/4; 14/5; 27/11; 14/5; 14/5; 14/5; 27/10; ; 13/5; 12/5; 
Chester; 9/2; 9/2; 4; 4; 9/2; 4; 4; ; 4; 4; ; 4; ; 4; 4; 4; 17/5; 43/10; 17/5; 4; 4; 17/4; 17/4; 17/4; 43/10; ; 7/2; 10/3; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-27 02:22:12 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Maidenhead Utd; 8/13; 8/13; 4/6; 4/6; 69/ 100; 6/10; 13/20; ; 11/17; 4/6; 8/13; 8/13; ; 13/20; 8/13; 8/13; 4/6; 11/17; 4/6; 11/17; 11/17; 8/13; 13/20; 8/13; 11/17; ; 4/7; 4/7; 
Draw; 11/4; 14/5; 13/5; 14/5; 73/25; 27/10; 11/4; ; 27/11; 13/5; 11/4; 12/5; ; 5/2; 3; 13/5; 11/4; 45/17; 11/4; 14/5; 27/11; 14/5; 14/5; 14/5; 27/10; ; 14/5; 12/5; 
Chester; 9/2; 9/2; 4; 4; 23/5; 4; 4; ; 4; 4; ; 4; ; 4; 4; 4; 17/5; 17/4; 17/5; 4; 4; 17/4; 17/4; 17/4; 17/4; ; 7/2; 10/3; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-27 10:24:34 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Maidenhead Utd; 8/13; 4/6; 11/18; 4/6; 67/ 100; 6/10; 13/20; ; 11/17; 8/13; 8/13; 8/13; ; 8/13; 8/13; 8/13; 4/6; 8/13; 4/6; 5/8; 11/17; 8/13; 13/20; 8/13; 11/17; ; 4/6; 4/7; 
Draw; 11/4; 11/4; 13/5; 14/5; 149/ 50; 27/10; 11/4; ; 27/11; 13/5; 13/5; 5/2; ; 13/5; 3; 13/5; 11/4; 27/10; 11/4; 14/5; 27/11; 14/5; 14/5; 14/5; 27/10; ; 27/10; 12/5; 
Chester; 9/2; 17/4; 21/5; 4; 47/10; 4; 4; ; 4; 21/5; 21/5; 15/4; ; 4; 4; 4; 17/5; 17/4; 17/5; 41/10; 4; 17/4; 22/5; 17/4; 43/10; ; 4; 7/2; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-27 14:24:16 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Maidenhead Utd; 8/13; 4/6; 11/18; 4/6; 17/25; 6/10; 13/20; ; 11/17; 8/13; 8/13; 8/13; ; 13/20; 8/13; 8/13; 4/6; 8/13; 4/6; 11/18; 11/17; 8/13; 13/20; 8/13; 8/13; ; 4/6; 8/13; 
Draw; 11/4; 14/5; 13/5; 14/5; 149/ 50; 27/10; 11/4; ; 27/11; 13/5; 13/5; 5/2; ; 13/5; 3; 13/5; 11/4; 11/4; 11/4; 37/13; 27/11; 14/5; 14/5; 11/4; 11/4; ; 14/5; 13/5; 
Chester; 9/2; 4; 21/5; 4; 23/5; 4; 4; ; 4; 21/5; 21/5; 15/4; ; 4; 4; 4; 17/5; 43/10; 17/5; 43/10; 4; 17/4; 17/4; 17/4; 43/10; ; 21/5; 21/5; 
META; english/non-league/national-league/maidenhead-utd-v-chester; 2018-01-27 18:23:17 GMT+2; 2018-01-27 15:00; In Play; Xlenovo
Maidenhead Utd; ; 1/ 9999; 1/100; ; ; ; ; ; ; 1/ 1000; ; 1/500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 150; ; ; ; ; ; ; ; ; ; 100; ; ; 200; 400; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester; ; 200; ; ; ; ; ; ; ; ; ; 100; ; ; 500; 1000; ; ; ; ; ; ; ; ; ; ; ; ; 
