META; english/non-league/national-league/maidstone-v-chester; 2017-10-22 18:24:40 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 4/6; ; ; ; ; ; 13/20; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; 
Draw; 14/5; ; ; ; ; ; 11/4; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; 
Chester; 4; ; ; ; ; ; 4; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-22 22:25:03 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 4/6; ; ; ; ; ; 5/8; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; 13/20; ; ; ; ; 
Draw; 14/5; ; ; ; ; ; 11/4; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; 
Chester; 4; ; ; ; ; ; 4; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-23 02:24:01 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 4/6; ; ; ; ; ; 5/8; 8/15; ; ; 8/13; 8/13; ; ; ; 8/13; ; ; ; ; ; ; 8/13; 13/20; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-26 18:23:28 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 7/10; 8/11; 8/11; 7/10; 13/20; 7/10; 8/11; 4/6; 3/4; 8/11; 8/11; 7/10; ; 8/11; 8/11; 7/10; 8/13; 14/19; 77/100; 10/13; 3/4; 8/11; 7/10; 7/10; 14/19; ; 8/13; ; 
Draw; 14/5; 11/4; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 11/4; 9/4; ; 5/2; 11/4; 13/5; 13/5; 45/17; 71/25; 27/10; 13/5; 13/5; 14/5; 27/10; 45/17; ; 5/2; ; 
Chester; 15/4; 10/3; 7/2; 7/2; 7/2; 17/5; 7/2; 10/3; 31/10; 7/2; 10/3; 15/4; ; 7/2; 7/2; 7/2; 18/5; 38/11; 4; 13/4; 31/10; 7/2; 19/5; 15/4; 38/11; ; 14/5; ; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-26 22:24:19 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 7/10; 8/11; 8/11; 7/10; 13/20; 7/10; 8/11; 4/6; 3/4; 8/11; 8/11; 7/10; ; 8/11; 8/11; 7/10; 8/13; 14/19; 77/100; 10/13; 3/4; 8/11; 7/10; 7/10; 10/13; ; 4/7; 4/6; 
Draw; 14/5; 11/4; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 11/4; 9/4; ; 5/2; 11/4; 13/5; 13/5; 45/17; 71/25; 27/10; 13/5; 13/5; 14/5; 27/10; 45/17; ; 5/2; 23/10; 
Chester; 15/4; 10/3; 7/2; 7/2; 7/2; 17/5; 7/2; 10/3; 31/10; 7/2; 10/3; 15/4; ; 7/2; 7/2; 7/2; 18/5; 38/11; 4; 13/4; 31/10; 7/2; 19/5; 15/4; 57/17; ; 14/5; 10/3; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-27 02:23:40 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 7/10; 8/11; 8/11; 7/10; 13/20; 7/10; 8/11; 4/6; 3/4; 8/11; 8/11; 7/10; ; 8/11; 8/11; 7/10; 8/13; 10/13; 77/100; 10/13; 3/4; 8/11; 7/10; 7/10; 10/13; ; 4/6; 4/6; 
Draw; 14/5; 11/4; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 11/4; 9/4; ; 5/2; 11/4; 13/5; 13/5; 45/17; 71/25; 27/10; 13/5; 13/5; 14/5; 27/10; 45/17; ; 5/2; 23/10; 
Chester; 15/4; 10/3; 7/2; 7/2; 7/2; 17/5; 7/2; 10/3; 31/10; 7/2; 10/3; 15/4; ; 7/2; 7/2; 7/2; 18/5; 33/10; 4; 13/4; 31/10; 7/2; 19/5; 15/4; 57/17; ; 14/5; 10/3; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-27 10:23:59 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
