META; english/non-league/national-league/torquay-v-bromley; 2018-01-13 22:21:46 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
META; english/non-league/national-league/torquay-v-bromley; 2018-01-18 10:21:50 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; 13/10; 7/5; 23/17; 13/10; 29/20; 11/8; 11/8; ; 11/8; 27/20; 7/5; 13/10; ; 27/20; 7/5; 13/10; 23/17; 23/17; 23/17; 24/19; 11/8; 7/5; 11/8; 11/8; 23/17; ; 5/4; ; 
Bromley; 2; 19/10; 28/15; 15/8; 41/20; 9/5; 15/8; ; 17/10; 15/8; 15/8; 9/5; ; 37/20; 15/8; 9/5; 9/5; 19/10; 9/5; 33/19; 17/10; 15/8; 19/10; 19/10; 19/10; ; 13/8; ; 
Draw; 12/5; 12/5; 11/5; 9/4; 49/20; 11/5; 9/4; ; 40/17; 11/5; 9/4; 21/10; ; 11/5; 9/4; 11/5; 9/4; 23/10; 9/4; 12/5; 40/17; 23/10; 12/5; 23/10; 23/10; ; 21/10; ; 
META; english/non-league/national-league/torquay-v-bromley; 2018-01-18 14:21:47 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; 13/10; 7/5; 23/17; 13/10; 29/20; 11/8; 11/8; ; 11/8; 27/20; 7/5; 13/10; ; 27/20; 7/5; 13/10; 23/17; 23/17; 23/17; 24/19; 11/8; 7/5; 11/8; 11/8; 23/17; ; 5/4; 5/4; 
Bromley; 2; 19/10; 28/15; 15/8; 41/20; 9/5; 15/8; ; 17/10; 15/8; 15/8; 9/5; ; 37/20; 15/8; 9/5; 9/5; 19/10; 9/5; 33/19; 17/10; 15/8; 19/10; 19/10; 19/10; ; 13/8; 17/10; 
Draw; 12/5; 12/5; 11/5; 9/4; 49/20; 11/5; 9/4; ; 40/17; 11/5; 9/4; 21/10; ; 11/5; 9/4; 11/5; 9/4; 23/10; 9/4; 12/5; 40/17; 23/10; 12/5; 23/10; 23/10; ; 21/10; 19/10; 
META; english/non-league/national-league/torquay-v-bromley; 2018-01-18 18:21:52 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; 13/10; 7/5; 23/17; 13/10; 29/20; 11/8; 11/8; ; 11/8; 27/20; 7/5; 13/10; ; 27/20; 7/5; 13/10; 23/17; 23/17; 23/17; 7/5; 11/8; 7/5; 11/8; 11/8; 23/17; ; 13/10; 13/10; 
Bromley; 2; 19/10; 28/15; 15/8; 41/20; 9/5; 15/8; ; 17/10; 15/8; 15/8; 9/5; ; 37/20; 15/8; 9/5; 9/5; 19/10; 9/5; 9/5; 17/10; 15/8; 19/10; 19/10; 19/10; ; 9/5; 19/10; 
Draw; 12/5; 12/5; 11/5; 9/4; 49/20; 11/5; 9/4; ; 40/17; 11/5; 9/4; 21/10; ; 11/5; 9/4; 11/5; 9/4; 23/10; 9/4; 12/5; 40/17; 23/10; 12/5; 23/10; 23/10; ; 11/5; 2; 
META; english/non-league/national-league/torquay-v-bromley; 2018-01-18 22:23:15 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; 13/10; 7/5; 23/17; 13/10; 29/20; 11/8; 11/8; ; 11/8; 27/20; 7/5; 13/10; ; 27/20; 7/5; 13/10; 23/17; 23/17; 23/17; 7/5; 11/8; 7/5; 11/8; 11/8; 23/17; ; 13/10; 13/10; 
Bromley; 2; 19/10; 28/15; 15/8; 41/20; 9/5; 15/8; ; 17/10; 15/8; 15/8; 9/5; ; 37/20; 15/8; 9/5; 9/5; 19/10; 9/5; 9/5; 17/10; 15/8; 19/10; 19/10; 19/10; ; 9/5; 19/10; 
