META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-20 22:22:11 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-21 02:21:50 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-21 10:22:07 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-21 14:22:39 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 8/13; 4/7; ; ; ; ; 4/7; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; 14/5; ; ; ; ; 29/10; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 4; 9/2; ; ; ; ; 17/4; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-21 18:21:59 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 8/13; 4/7; ; ; ; ; 4/7; ; ; ; 4/7; 8/15; ; ; ; ; ; ; ; ; ; 4/7; 4/7; ; ; ; ; 
Draw; 3; 14/5; ; ; ; ; 29/10; ; ; ; 29/10; 3; ; ; ; ; ; ; ; ; ; 3; 3; ; ; ; ; 
Solihull Moors; 4; 9/2; ; ; ; ; 17/4; ; ; ; 21/5; 15/4; ; ; ; ; ; ; ; ; ; 4; 9/2; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-21 22:21:38 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 8/13; 4/7; ; ; ; ; 4/7; ; ; ; 4/7; 4/7; ; ; ; 4/7; ; ; ; ; ; 4/7; 4/7; 8/13; ; ; ; 
Draw; 3; 14/5; ; ; ; ; 29/10; ; ; ; 14/5; 13/5; ; ; ; 13/5; ; ; ; ; ; 3; 3; 3; ; ; ; 
Solihull Moors; 4; 9/2; ; ; ; ; 17/4; ; ; ; 9/2; 4; ; ; ; 4; ; ; ; ; ; 4; 19/4; 4; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-22 02:21:34 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 8/13; 4/7; ; ; ; 11/20; 4/7; ; ; ; 4/7; 4/7; ; ; ; 4/7; ; ; ; ; ; 4/7; 4/7; 8/13; ; ; ; 
Draw; 3; 14/5; ; ; ; 29/10; 29/10; ; ; ; 14/5; 13/5; ; ; ; 13/5; ; ; ; ; ; 3; 3; 3; ; ; ; 
Solihull Moors; 4; 9/2; ; ; ; 4; 17/4; ; ; ; 9/2; 4; ; ; ; 4; ; ; ; ; ; 4; 19/4; 4; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-22 10:21:57 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 4/7; 4/7; ; ; 59/ 100; 8/15; 5/9; ; ; ; 4/7; 11/20; ; ; ; 8/15; 4/7; 8/15; 4/7; ; ; 8/15; 4/7; 11/20; 8/15; ; ; 
Draw; 3; 14/5; ; ; 16/5; 29/10; 29/10; ; ; ; 29/10; 5/2; ; ; ; 11/4; 11/4; 14/5; 11/4; ; ; 3; 29/10; 3; 14/5; ; ; 
Solihull Moors; 19/4; 9/2; ; ; 53/10; 9/2; 9/2; ; ; ; 9/2; 9/2; ; ; ; 9/2; 17/4; 9/2; 17/4; ; ; 9/2; 5; 19/4; 50/11; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-22 14:21:47 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 13/20; 4/7; ; 4/6; 18/25; 6/10; 3/5; ; ; ; 8/13; 4/6; ; 13/20; 13/20; 8/13; 4/7; 11/17; 4/7; 3/5; ; 4/6; 13/20; 4/6; 10/17; ; ; 
Draw; 3; 3; ; 11/4; 61/20; 11/4; 14/5; ; ; ; 11/4; 5/2; ; 13/5; 14/5; 13/5; 11/4; 27/10; 11/4; 29/10; ; 14/5; 29/10; 57/20; 14/5; ; ; 
Solihull Moors; 4; 19/4; ; 7/2; 41/10; 4; 4; ; ; ; 4; 7/2; ; 15/4; 4; 15/4; 17/4; 18/5; 17/4; 39/11; ; 19/5; 4; 15/4; 41/10; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-22 18:21:47 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 13/20; 7/10; ; 4/6; 7/10; 6/10; 8/13; ; 11/17; ; 8/13; 4/6; ; 4/6; 13/20; 4/6; 4/7; 8/13; 4/7; 19/29; 11/17; 4/6; 13/20; 4/6; 11/18; ; 4/7; 
Draw; 3; 14/5; ; 11/4; 31/10; 11/4; 14/5; ; 45/17; ; 11/4; 5/2; ; 13/5; 14/5; 13/5; 11/4; 11/4; 11/4; 56/19; 45/17; 14/5; 29/10; 57/20; 11/4; ; 5/2; 
Solihull Moors; 4; 19/5; ; 7/2; 21/5; 4; 15/4; ; 15/4; ; 4; 7/2; ; 37/10; 4; 7/2; 17/4; 50/13; 17/4; 18/5; 15/4; 19/5; 4; 15/4; 50/13; ; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-22 22:21:47 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 13/20; 7/10; ; 4/6; 7/10; 6/10; 8/13; ; 11/17; ; 8/13; 4/6; ; 4/6; 13/20; 4/6; 4/7; 8/13; 4/7; 19/29; 11/17; 4/6; 13/20; 4/6; 8/13; 8/15; 4/7; 
Draw; 3; 14/5; ; 11/4; 31/10; 11/4; 14/5; ; 45/17; ; 11/4; 5/2; ; 13/5; 14/5; 13/5; 11/4; 11/4; 11/4; 56/19; 45/17; 14/5; 29/10; 57/20; 14/5; 5/2; 5/2; 
Solihull Moors; 4; 19/5; ; 7/2; 21/5; 4; 15/4; ; 15/4; ; 4; 7/2; ; 37/10; 4; 7/2; 17/4; 50/13; 17/4; 18/5; 15/4; 19/5; 4; 15/4; 39/10; 7/2; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-23 02:21:40 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 13/20; 7/10; ; 4/6; 7/10; 6/10; 5/8; ; 11/17; ; 8/13; 4/6; ; 4/6; 13/20; 4/6; 4/7; 8/13; 4/7; 19/29; 11/17; 4/6; 13/20; 4/6; 8/13; 8/13; 4/7; 
Draw; 3; 14/5; ; 11/4; 31/10; 11/4; 14/5; ; 45/17; ; 11/4; 5/2; ; 13/5; 14/5; 13/5; 11/4; 11/4; 11/4; 56/19; 45/17; 14/5; 29/10; 57/20; 14/5; 27/10; 5/2; 
Solihull Moors; 4; 19/5; ; 7/2; 21/5; 4; 15/4; ; 15/4; ; 4; 7/2; ; 37/10; 4; 7/2; 17/4; 50/13; 17/4; 18/5; 15/4; 19/5; 4; 15/4; 39/10; 7/2; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-23 10:21:42 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 13/20; 7/10; ; 4/6; 7/10; 6/10; 5/8; ; 11/17; ; 8/13; 4/6; ; 4/6; 13/20; 4/6; 4/7; 8/13; 4/7; 19/29; 11/17; 4/6; 13/20; 4/6; 8/13; 8/15; 4/7; 
Draw; 3; 14/5; ; 11/4; 31/10; 11/4; 14/5; ; 45/17; ; 11/4; 5/2; ; 13/5; 14/5; 13/5; 11/4; 11/4; 11/4; 56/19; 45/17; 14/5; 29/10; 57/20; 14/5; 12/5; 5/2; 
Solihull Moors; 4; 19/5; ; 7/2; 21/5; 4; 15/4; ; 15/4; ; 4; 7/2; ; 37/10; 4; 7/2; 17/4; 50/13; 17/4; 18/5; 15/4; 19/5; 4; 15/4; 39/10; 7/2; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-23 14:21:42 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 13/20; 7/10; ; 4/6; 7/10; 6/10; 5/8; ; 11/17; ; 4/6; 4/6; ; 4/6; 13/20; 4/6; 4/7; 8/13; 4/7; 19/29; 11/17; 4/6; 13/20; 4/6; 8/13; 8/15; 4/7; 
Draw; 3; 14/5; ; 11/4; 31/10; 11/4; 14/5; ; 45/17; ; 11/4; 5/2; ; 13/5; 14/5; 13/5; 11/4; 11/4; 11/4; 56/19; 45/17; 14/5; 29/10; 57/20; 14/5; 12/5; 5/2; 
Solihull Moors; 4; 19/5; ; 7/2; 21/5; 4; 15/4; ; 15/4; ; 19/5; 7/2; ; 37/10; 4; 7/2; 17/4; 50/13; 17/4; 18/5; 15/4; 19/5; 4; 15/4; 39/10; 7/2; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-23 18:22:10 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 13/20; 3/4; ; 4/6; 7/10; 6/10; 5/8; ; 11/17; ; 4/6; 4/6; ; 4/6; 13/20; 4/6; 4/7; 8/13; 4/7; 19/29; 11/17; 4/6; 7/10; 4/6; 11/17; 8/15; 4/6; 
Draw; 3; 11/4; ; 11/4; 31/10; 11/4; 14/5; ; 45/17; ; 11/4; 5/2; ; 13/5; 14/5; 13/5; 11/4; 11/4; 11/4; 56/19; 45/17; 14/5; 14/5; 57/20; 11/4; 12/5; 23/10; 
Solihull Moors; 4; 18/5; ; 7/2; 21/5; 4; 15/4; ; 15/4; ; 19/5; 7/2; ; 18/5; 4; 7/2; 17/4; 19/5; 17/4; 18/5; 15/4; 19/5; 15/4; 15/4; 50/13; 7/2; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-23 22:22:10 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 13/20; 3/4; ; 4/6; 7/10; 6/10; 5/8; ; 11/17; ; 4/6; 4/6; ; 4/6; 13/20; 4/6; 4/7; 8/13; 4/7; 19/29; 11/17; 4/6; 7/10; 4/6; 11/17; ; 8/15; 4/6; 
Solihull Moors; 3; 3; 3; 3; ; 16/5; 16/5; ; 31/10; 3; 31/10; 14/5; ; 29/10; 16/5; 14/5; 10/3; 41/13; 10/3; 27/10; 31/10; 3; 31/10; 3; 16/5; ; 10/3; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-26 14:22:22 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 4/5; 17/20; 4/5; 5/6; 41/50; 3/4; 4/5; ; 3/4; 4/5; 4/5; 3/4; ; 5/6; 4/5; 4/5; 13/18; 10/13; 13/18; 13/15; 3/4; 4/5; 5/6; 10/13; 10/13; ; 8/11; 8/11; 
Draw; 14/5; 13/5; 5/2; 5/2; 29/10; 13/5; 13/5; ; 45/17; 5/2; 13/5; 23/10; ; 49/20; 13/5; 5/2; 13/5; 45/17; 13/5; 11/4; 45/17; 13/5; 27/10; 53/20; 27/10; ; 13/5; 9/4; 
Solihull Moors; 3; 3; 3; 10/3; 71/20; 16/5; 16/5; ; 31/10; 3; 31/10; 16/5; ; 29/10; 16/5; 3; 10/3; 16/5; 10/3; 27/10; 31/10; 3; 31/10; 10/3; 13/4; ; 10/3; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-26 18:22:10 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 4/5; 17/20; 4/5; 5/6; 81/ 100; 3/4; 4/5; ; 3/4; 4/5; 4/5; 3/4; ; 5/6; 4/5; 4/5; 13/18; 10/13; 13/18; 11/13; 3/4; 4/5; 5/6; 10/13; 10/13; ; 8/11; 8/11; 
Draw; 14/5; 13/5; 5/2; 5/2; 29/10; 13/5; 13/5; ; 45/17; 5/2; 13/5; 23/10; ; 12/5; 13/5; 5/2; 13/5; 45/17; 13/5; 14/5; 45/17; 13/5; 27/10; 53/20; 27/10; ; 13/5; 12/5; 
Solihull Moors; 3; 3; 3; 10/3; 18/5; 16/5; 16/5; ; 31/10; 3; 31/10; 16/5; ; 3; 16/5; 3; 10/3; 16/5; 10/3; 11/4; 31/10; 3; 31/10; 10/3; 13/4; ; 10/3; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-26 22:22:19 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 4/5; 17/20; 4/5; 5/6; 5/6; 3/4; 4/5; ; 3/4; 4/5; 4/5; 3/4; ; 4/5; 4/5; 4/5; 13/18; 10/13; 13/18; 11/13; 3/4; 4/5; 4/5; 4/5; 10/13; ; 4/5; 8/11; 
Draw; 14/5; 13/5; 5/2; 5/2; 14/5; 5/2; 13/5; ; 45/17; 5/2; 13/5; 12/5; ; 12/5; 13/5; 5/2; 13/5; 45/17; 13/5; 14/5; 45/17; 13/5; 11/4; 53/20; 45/17; ; 13/5; 12/5; 
Solihull Moors; 3; 3; 16/5; 10/3; 18/5; 3; 16/5; ; 31/10; 16/5; 31/10; 16/5; ; 31/10; 16/5; 3; 10/3; 13/4; 10/3; 11/4; 31/10; 3; 16/5; 16/5; 13/4; ; 3; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-27 02:21:53 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 4/5; 17/20; 4/5; 4/5; 5/6; 3/4; 4/5; ; 3/4; 4/5; 4/5; 3/4; ; 4/5; 4/5; 4/5; 13/18; 10/13; 13/18; 11/13; 3/4; 4/5; 4/5; 4/5; 10/13; ; 4/5; 8/11; 
Draw; 14/5; 13/5; 5/2; 11/4; 14/5; 5/2; 13/5; ; 45/17; 5/2; 13/5; 12/5; ; 12/5; 13/5; 5/2; 13/5; 45/17; 13/5; 14/5; 45/17; 13/5; 11/4; 53/20; 45/17; ; 13/5; 12/5; 
Solihull Moors; 3; 3; 16/5; 16/5; 18/5; 3; 16/5; ; 31/10; 16/5; 31/10; 16/5; ; 31/10; 16/5; 3; 10/3; 13/4; 10/3; 11/4; 31/10; 3; 16/5; 16/5; 13/4; ; 3; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-27 10:24:12 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 3/4; 4/5; 8/11; 4/5; 4/5; 8/11; 3/4; ; 3/4; 8/11; 4/5; 8/11; ; 8/11; 3/4; 8/11; 13/18; 14/19; 13/18; 3/4; 3/4; 8/11; 3/4; 3/4; 14/19; ; 8/11; 8/11; 
Draw; 11/4; 13/5; 13/5; 11/4; 72/25; 13/5; 11/4; ; 45/17; 13/5; 13/5; 5/2; ; 5/2; 13/5; 5/2; 13/5; 27/10; 13/5; 11/4; 45/17; 13/5; 11/4; 53/20; 27/10; ; ; 11/4; 
Solihull Moors; 10/3; 10/3; 10/3; 16/5; 37/10; 16/5; 10/3; ; 31/10; 10/3; 31/10; 16/5; ; 10/3; 7/2; 16/5; 10/3; 17/5; 10/3; 33/10; 31/10; 100/ 30; 7/2; 7/2; 38/11; ; 7/2; 10/3; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-27 14:23:52 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 8/11; 4/5; 4/5; 3/4; 4/5; 8/11; 3/4; ; 3/4; 4/5; 8/11; 3/4; ; 4/5; 3/4; 8/11; 13/18; 14/19; 13/18; 16/19; 3/4; 8/11; 4/5; 3/4; 14/19; ; 8/11; 8/11; 
Draw; 11/4; 13/5; 12/5; 5/2; 69/25; 5/2; 13/5; ; 45/17; 12/5; 5/2; 12/5; ; 47/20; 13/5; 12/5; 13/5; 13/5; 13/5; 45/17; 45/17; 13/5; 13/5; 53/20; 13/5; ; 13/5; 5/2; 
Solihull Moors; 7/2; 10/3; 10/3; 10/3; 39/10; 17/5; 7/2; ; 31/10; 10/3; 7/2; 3; ; 10/3; 7/2; 10/3; 13/4; 18/5; 13/4; 3; 31/10; 7/2; 17/5; 7/2; 62/17; ; 7/2; 10/3; 
META; english/non-league/national-league/dagenham-redbridge-v-solihull-moors; 2018-01-27 18:22:59 GMT+2; 2018-01-27 15:00; In Play; Xlenovo
Solihull Moors; 8/11; 4/5; 7/10; 4/7; 21/25; ; ; ; 5/6; 7/10; 8/11; 6/10; ; 8/11; 4/6; 4/6; ; 13/19; ; 5/7; ; ; ; 10/13; ; ; ; ; 
Draw; 12/5; 9/4; 11/5; 12/5; 121/ 50; ; ; ; 9/5; 11/5; 12/5; 11/5; ; 11/5; 9/4; 9/4; ; 23/10; ; 28/13; ; ; ; 47/20; ; ; ; ; 
Dagenham & Redbridge; 9/2; 9/2; 17/4; 5; 15/4; ; ; ; 22/5; 17/4; 9/2; 9/2; ; 17/4; 17/4; 9/2; ; 17/4; ; 4; ; ; ; 4; ; ; ; ; 
