META; champions-league/borussia-dortmund-v-monaco; 2017-03-17 16:15:16 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 7/10; ; 4/6; 4/6; ; 8/13; 4/6; 8/13; 8/13; 4/6; 8/13; 8/13; 13/20; 13/20; 7/10; 8/13; 4/6; 8/13; 8/13; 7/10; 19/29; 11/17; 6/10; 11/17; ; 4/7; 4/7; 
Draw; 16/5; 16/5; ; 5/2; 16/5; ; 33/10; 29/10; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 10/3; 33/10; 3; 16/5; 3; ; 14/5; 11/4; 
Monaco; 17/4; 10/3; ; 10/3; 19/5; ; 4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 75/19; 15/4; 4; 4; 41/10; 18/5; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-17 20:15:03 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 7/10; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 8/13; 13/20; 13/20; 7/10; 8/13; 4/6; 8/13; 8/13; 67/100; 19/29; 11/17; 6/10; 11/17; ; 4/7; 4/7; 
Draw; 16/5; 16/5; 16/5; 5/2; 16/5; 16/5; 33/10; 29/10; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 33/10; 3; 16/5; 3; ; 14/5; 11/4; 
Monaco; 17/4; 10/3; 19/5; 10/3; 19/5; 7/2; 19/5; 7/2; 19/5; 15/4; 4; 4; 4; 4; 7/2; 4; 4; 15/4; 4; 4; 41/10; 18/5; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-18 00:15:03 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 7/10; 13/20; 4/6; 4/6; 4/6; ; 4/6; 8/13; 13/20; 4/6; 8/13; 8/13; 13/20; 13/20; 7/10; 8/13; 4/6; 8/13; 8/13; 67/100; 19/29; 11/17; 8/13; 11/17; ; 4/7; 4/7; 
Draw; 16/5; 16/5; 16/5; 5/2; 16/5; 16/5; ; 29/10; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 14/5; 14/5; 
Monaco; 17/4; 10/3; 19/5; 10/3; 19/5; 7/2; ; 7/2; 19/5; 7/2; 4; 4; 4; 4; 7/2; 4; 39/10; 15/4; 4; 39/10; 41/10; 18/5; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-18 04:15:05 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 7/10; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 8/13; 8/13; 13/20; 13/20; 7/10; 8/13; 4/6; 8/13; 8/13; 67/100; 19/29; 11/17; 8/13; 11/17; ; 4/7; 4/7; 
Draw; 16/5; 16/5; 16/5; 5/2; 16/5; 16/5; 33/10; 29/10; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 14/5; 14/5; 
Monaco; 17/4; 10/3; 19/5; 10/3; 19/5; 7/2; 19/5; 7/2; 19/5; 7/2; 4; 4; 4; 4; 7/2; 4; 39/10; 15/4; 4; 39/10; 41/10; 18/5; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-18 08:15:05 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 7/10; 13/20; 4/6; 4/6; 4/6; ; 4/6; 8/13; 13/20; 4/6; 8/13; 8/13; 13/20; 13/20; 7/10; 8/13; 4/6; 8/13; 4/6; 67/100; 19/29; 11/17; 8/13; 11/17; ; 4/7; 4/7; 
Draw; 16/5; 16/5; 16/5; 5/2; 16/5; 16/5; ; 29/10; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 58/19; 71/20; 33/10; 3; 16/5; 3; ; 14/5; 14/5; 
Monaco; 17/4; 10/3; 19/5; 10/3; 19/5; 7/2; ; 7/2; 19/5; 7/2; 4; 4; 4; 4; 7/2; 4; 39/10; 15/4; 4; 39/10; 41/10; 18/5; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-18 12:15:04 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 8/13; 13/20; 13/20; 13/20; 7/10; 11/17; 4/6; 8/13; 11/17; 67/100; 19/29; 11/17; 8/13; 11/17; ; 4/7; 4/7; 
Draw; 16/5; 16/5; 16/5; 5/2; 16/5; 16/5; 33/10; 29/10; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 33/10; 3; 16/5; 3; ; 14/5; 14/5; 
Monaco; 17/4; 18/5; 19/5; 10/3; 19/5; 7/2; 19/5; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 4; 19/5; 15/4; 4; 19/5; 41/10; 18/5; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-18 16:15:05 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 8/13; 13/20; 13/20; 13/20; 4/6; 11/17; 4/6; 8/13; 11/17; 67/100; 19/29; 11/17; 8/13; 11/17; ; 8/13; 4/7; 
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 29/10; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 10/3; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 14/5; 14/5; 
Monaco; 17/4; 18/5; 19/5; 7/2; 19/5; 7/2; 19/5; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 4; 19/5; 15/4; 4; 19/5; 41/10; 18/5; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-18 20:15:06 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 19/29; 11/17; 8/13; 11/17; ; 8/13; 4/7; 
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 29/10; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 10/3; 13/4; 14/5; 3; 13/4; 71/20; 33/10; 3; 16/5; 3; ; 14/5; 14/5; 
Monaco; 17/4; 18/5; 19/5; 7/2; 19/5; 7/2; 19/5; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 4; 50/13; 4; 4; 50/13; 41/10; 18/5; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-19 00:15:04 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 19/29; 11/17; 8/13; 11/17; ; 8/13; 4/7; 
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 29/10; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 10/3; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 14/5; 11/4; 
Monaco; 17/4; 18/5; 19/5; 7/2; 19/5; 7/2; 19/5; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 4; 50/13; 4; 4; 50/13; 41/10; 18/5; 4; 15/4; 4; ; 7/2; 7/2; 
