META; english/championship/ipswich-v-brentford; 2017-02-26 00:20:24 GMT+2; 2017-03-04 15:00; e70300-dr003
Ipswich; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Brentford; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/ipswich-v-brentford; 2017-02-26 04:21:02 GMT+2; 2017-03-04 15:00; e70300-dr003
Ipswich; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Brentford; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/ipswich-v-brentford; 2017-02-26 08:21:02 GMT+2; 2017-03-04 15:00; e70300-dr003
Ipswich; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Brentford; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/ipswich-v-brentford; 2017-02-26 12:23:28 GMT+2; 2017-03-04 15:00; e70300-dr003
Ipswich; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/11; ; ; ; ; ; ; ; ; ; 1/50; ; 
Brentford; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/ipswich-v-brentford; 2017-02-26 16:23:41 GMT+2; 2017-03-04 15:00; e70300-dr003
Ipswich; 6/4; 3/2; ; ; 29/20; ; 6/4; ; 6/4; ; ; ; ; ; ; 17/11; ; ; 7/5; ; ; ; 7/5; ; ; 4/5; ; 
Brentford; 7/4; 13/8; ; ; 19/10; ; 9/5; ; 9/5; ; ; ; ; ; ; 7/4; ; ; 19/10; ; ; ; 37/19; ; ; 20/21; ; 
Draw; 23/10; 23/10; ; ; 5/2; ; 12/5; ; 12/5; ; ; ; ; ; ; 12/5; ; ; 9/4; ; ; ; 9/4; ; ; 11/5; ; 
META; english/championship/ipswich-v-brentford; 2017-02-26 20:22:10 GMT+2; 2017-03-04 15:00; e70300-dr003
Ipswich; 13/10; 3/2; ; ; 7/5; ; 11/8; ; 7/5; 11/8; ; 29/20; ; 13/10; ; 7/5; 7/5; ; 7/5; 7/5; ; ; 7/5; ; ; 6/5; ; 
Brentford; 2; 13/8; ; ; 2; ; 2; ; 2; 2; ; 19/10; ; 2; ; 2; 37/19; ; 19/10; 37/19; ; ; 37/19; ; ; 9/5; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; 23/10; 23/10; ; 23/10; ; 12/5; ; 12/5; 9/4; ; 9/4; 9/4; ; ; 9/4; ; ; 11/5; ; 
META; english/championship/ipswich-v-brentford; 2017-02-27 00:20:09 GMT+2; 2017-03-04 15:00; e70300-dr003
Ipswich; 13/10; 3/2; ; ; 7/5; ; 11/8; ; 7/5; 13/10; ; 13/10; 27/20; 11/8; ; 7/5; 7/5; ; 7/5; 7/5; ; ; 7/5; ; ; 13/10; ; 
Brentford; 2; 13/8; ; ; 21/10; ; 2; ; 2; 2; ; 21/10; 2; 2; ; 2; 37/19; ; 19/10; 37/19; ; ; 37/19; ; ; 2; ; 
Draw; 12/5; 23/10; ; ; 23/10; ; 12/5; ; 23/10; 23/10; ; 9/4; 23/10; 23/10; ; 12/5; 9/4; ; 9/4; 9/4; ; ; 9/4; ; ; 9/4; ; 
META; english/championship/ipswich-v-brentford; 2017-02-27 04:20:02 GMT+2; 2017-03-04 15:00; e70300-dr003
Ipswich; 13/10; 3/2; ; ; 7/5; ; 29/20; ; 7/5; 11/8; ; 13/10; 27/20; 7/5; ; 16/11; 7/5; ; 7/5; 7/5; ; ; 7/5; ; ; 27/20; ; 
Brentford; 2; 13/8; ; ; 21/10; ; 19/10; ; 2; 19/10; ; 21/10; 2; 2; ; 15/8; 37/19; ; 19/10; 37/19; ; ; 37/19; ; ; 19/10; ; 
Draw; 12/5; 23/10; ; ; 23/10; ; 12/5; ; 23/10; 23/10; ; 9/4; 23/10; 9/4; ; 12/5; 9/4; ; 9/4; 9/4; ; ; 9/4; ; ; 9/4; ; 
META; english/championship/ipswich-v-brentford; 2017-02-27 08:20:13 GMT+2; 2017-03-04 15:00; e70300-dr003
Ipswich; 13/10; 3/2; ; ; 7/5; ; 29/20; ; 7/5; 11/8; ; 7/5; 7/5; 7/5; ; 16/11; 23/17; ; 7/5; 23/17; ; ; 7/5; ; ; 27/20; ; 
Brentford; 2; 13/8; ; ; 21/10; ; 19/10; ; 2; 19/10; ; 19/10; 39/20; 2; ; 15/8; 2; ; 19/10; 2; ; ; 37/19; ; ; 19/10; ; 
Draw; 12/5; 23/10; ; ; 23/10; ; 12/5; ; 23/10; 23/10; ; 23/10; 23/10; 9/4; ; 12/5; 23/10; ; 9/4; 23/10; ; ; 9/4; ; ; 9/4; ; 
META; english/championship/ipswich-v-brentford; 2017-02-27 12:20:47 GMT+2; 2017-03-04 15:00; e70300-dr003
Ipswich; 13/10; 6/4; ; 29/20; 7/5; 7/5; 29/20; 13/10; 7/5; 11/8; 27/20; 7/5; 7/5; 7/5; 7/5; 16/11; 23/17; 13/10; 7/5; 23/17; ; ; 7/5; ; ; 27/20; 13/10; 
Brentford; 2; 9/5; ; 19/10; 21/10; 41/20; 19/10; 19/10; 2; 19/10; 19/10; 2; 39/20; 19/10; 2; 2; 37/19; 2; 19/10; 37/19; ; ; 37/19; ; ; 19/10; 19/10; 
Draw; 12/5; 23/10; ; 9/4; 23/10; 23/10; 12/5; 21/10; 23/10; 23/10; 21/10; 11/5; 23/10; 23/10; 23/10; 23/10; 9/4; 23/10; 9/4; 9/4; ; ; 9/4; ; ; 9/4; 9/4; 
META; english/championship/ipswich-v-brentford; 2017-02-27 16:22:25 GMT+2; 2017-03-04 15:00; e70300-dr003
Ipswich; 13/10; 6/4; 7/5; 29/20; 7/5; 7/5; 29/20; 13/10; 7/5; 7/5; 27/20; 7/5; 7/5; 7/5; 7/5; 16/11; 23/17; 13/10; 7/5; 23/17; 6/4; 15/11; 7/5; ; ; 27/20; 13/10; 
Brentford; 2; 9/5; 2; 19/10; 2; 41/20; 19/10; 19/10; 2; 2; 19/10; 2; 39/20; 19/10; 2; 2; 37/19; 2; 19/10; 37/19; 41/20; 16/9; 37/19; ; ; 19/10; 19/10; 
Draw; 12/5; 23/10; 9/4; 9/4; 12/5; 23/10; 12/5; 21/10; 23/10; 9/4; 21/10; 11/5; 23/10; 23/10; 23/10; 23/10; 9/4; 23/10; 9/4; 9/4; 12/5; 40/17; 9/4; ; ; 9/4; 9/4; 
META; english/championship/ipswich-v-brentford; 2017-02-27 20:21:18 GMT+2; 2017-03-04 15:00; e70300-dr003
Ipswich; 13/10; 7/5; 7/5; 29/20; 7/5; 7/5; 29/20; 13/10; 7/5; 7/5; 27/20; 7/5; 7/5; 7/5; 7/5; 7/5; 23/17; 13/10; 7/5; 23/17; 6/4; 15/11; 7/5; ; ; 27/20; 13/10; 
Brentford; 2; 19/10; 2; 19/10; 21/10; 41/20; 19/10; 19/10; 2; 2; 19/10; 2; 39/20; 19/10; 2; 2; 2; 2; 19/10; 2; 41/20; 16/9; 37/19; ; ; 19/10; 19/10; 
Draw; 12/5; 23/10; 9/4; 9/4; 23/10; 23/10; 12/5; 21/10; 23/10; 11/5; 21/10; 11/5; 23/10; 23/10; 23/10; 23/10; 9/4; 23/10; 9/4; 9/4; 12/5; 40/17; 9/4; ; ; 9/4; 9/4; 
META; english/championship/ipswich-v-brentford; 2017-02-28 00:20:11 GMT+2; 2017-03-04 15:00; e70300-dr003
Ipswich; 13/10; 7/5; 7/5; 29/20; 7/5; 7/5; 29/20; 13/10; 7/5; 7/5; 27/20; 7/5; 7/5; 7/5; 7/5; 7/5; 23/17; 13/10; 7/5; 23/17; 6/4; 15/11; 7/5; ; ; 11/8; 27/20; 
Brentford; 2; 19/10; 2; 19/10; 21/10; 41/20; 19/10; 19/10; 2; 2; 19/10; 2; 39/20; 19/10; 2; 2; 2; 2; 19/10; 2; 41/20; 16/9; 37/19; ; ; 19/10; 19/10; 
Draw; 12/5; 23/10; 23/10; 9/4; 23/10; 23/10; 12/5; 21/10; 23/10; 9/4; 11/5; 11/5; 23/10; 23/10; 23/10; 23/10; 9/4; 23/10; 9/4; 9/4; 12/5; 40/17; 9/4; ; ; 9/4; 9/4; 
META; english/championship/ipswich-v-brentford; 2017-02-28 04:20:21 GMT+2; 2017-03-04 15:00; e70300-dr003
Ipswich; 13/10; 7/5; 7/5; 29/20; 7/5; 7/5; 29/20; 13/10; 7/5; 7/5; 27/20; 7/5; 7/5; 7/5; 7/5; 7/5; 23/17; 13/10; 7/5; ; 6/4; 15/11; 7/5; ; ; 11/8; 27/20; 
Brentford; 2; 19/10; 2; 19/10; 21/10; 41/20; 19/10; 19/10; 2; 2; 19/10; 2; 39/20; 19/10; 2; 2; 2; 2; 19/10; ; 41/20; 16/9; 37/19; ; ; 19/10; 19/10; 
Draw; 12/5; 23/10; 23/10; 9/4; 23/10; 23/10; 12/5; 21/10; 23/10; 9/4; 11/5; 11/5; 23/10; 23/10; 23/10; 23/10; 9/4; 23/10; 9/4; ; 12/5; 40/17; 9/4; ; ; 9/4; 9/4; 
META; english/championship/ipswich-v-brentford; 2017-02-28 08:20:05 GMT+2; 2017-03-04 15:00; e70300-dr003
Ipswich; 13/10; 7/5; 7/5; 29/20; 7/5; 7/5; 29/20; 13/10; 7/5; 7/5; 27/20; 7/5; 7/5; 7/5; 7/5; 7/5; 23/17; 13/10; 7/5; 23/17; 6/4; 15/11; 7/5; ; ; 11/8; 5/4; 
Brentford; 2; 19/10; 2; 19/10; 21/10; 41/20; 19/10; 19/10; 2; 2; 19/10; 2; 39/20; 19/10; 2; 2; 2; 2; 19/10; 2; 41/20; 16/9; 37/19; ; ; 19/10; 19/10; 
