META; english/championship/nottingham-forest-v-brentford; 2017-03-04 16:21:27 GMT+2; 2017-03-07 19:45; e70300-dr003
Brentford; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-04 20:20:39 GMT+2; 2017-03-07 19:45; e70300-dr003
Brentford; 8/5; ; ; ; 8/5; ; 8/5; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; 4/5; ; 
Nottingham Forest; 8/5; ; ; ; 9/5; ; 17/10; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; 1; ; 
Draw; 12/5; ; ; ; 12/5; ; 12/5; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 13/10; ; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-05 00:20:44 GMT+2; 2017-03-07 19:45; e70300-dr003
Nottingham Forest; 8/5; 6/4; 33/20; 6/4; 7/4; ; 8/5; ; ; ; 31/20; ; ; 13/8; ; 8/5; ; ; 7/4; ; ; ; 7/4; ; ; 21/20; ; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-06 09:45:47 GMT+2; 2017-03-07 19:45; e70300-dr003
Nottingham Forest; 6/4; 11/8; 7/5; 6/4; 29/20; 29/20; 29/20; 5/4; 7/5; 7/5; 27/20; 7/5; 11/8; 6/4; 7/5; 16/11; 16/11; 23/17; 27/20; 16/11; 6/4; 13/9; 23/17; 7/5; ; 7/5; 11/8; 
Brentford; 19/10; 9/5; 37/20; 8/5; 19/10; 19/10; 19/10; 15/8; 15/8; 9/5; 7/4; 9/5; 9/5; 15/8; 15/8; 15/8; 24/13; 19/10; 19/10; 24/13; 39/20; 20/11; 37/19; 9/5; ; 19/10; 9/5; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 12/5; 13/5; 11/5; 5/2; 12/5; 12/5; 12/5; 51/20; 13/5; 5/2; 13/5; 12/5; 23/10; 23/10; 12/5; 51/20; 5/2; 40/17; 23/10; ; 12/5; 23/10; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-06 11:45:44 GMT+2; 2017-03-07 19:45; e70300-dr003
Nottingham Forest; 6/4; 11/8; 7/5; 6/4; 29/20; 29/20; 29/20; 5/4; 7/5; 7/5; 27/20; 7/5; 11/8; 6/4; 7/5; 16/11; 16/11; 23/17; 27/20; 16/11; 6/4; 13/9; 23/17; 7/5; ; 7/5; 11/8; 
Brentford; 19/10; 9/5; 37/20; 8/5; 19/10; 19/10; 19/10; 15/8; 15/8; 9/5; 7/4; 9/5; 9/5; 15/8; 15/8; 15/8; 24/13; 19/10; 19/10; 24/13; 39/20; 20/11; 37/19; 9/5; ; 19/10; 9/5; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 12/5; 13/5; 11/5; 5/2; 12/5; 12/5; 12/5; 51/20; 13/5; 5/2; 13/5; 12/5; 23/10; 23/10; 12/5; 51/20; 5/2; 40/17; 23/10; ; 12/5; 23/10; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-06 12:20:45 GMT+2; 2017-03-07 19:45; e70300-dr003
Nottingham Forest; 6/4; 11/8; 7/5; 6/4; 29/20; 29/20; 29/20; 5/4; 7/5; 7/5; 27/20; 7/5; 11/8; 6/4; 7/5; 16/11; 16/11; 23/17; 27/20; 16/11; 6/4; 13/9; 23/17; 7/5; ; 7/5; 11/8; 
Brentford; 19/10; 9/5; 37/20; 19/10; 19/10; 19/10; 19/10; 15/8; 15/8; 9/5; 7/4; 9/5; 9/5; 15/8; 15/8; 15/8; 24/13; 19/10; 19/10; 24/13; 39/20; 20/11; 37/19; 9/5; ; 19/10; 9/5; 
Draw; 13/5; 5/2; 5/2; 12/5; 5/2; 12/5; 13/5; 11/5; 5/2; 12/5; 12/5; 12/5; 51/20; 13/5; 5/2; 13/5; 12/5; 23/10; 23/10; 12/5; 51/20; 5/2; 40/17; 23/10; ; 12/5; 23/10; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-06 12:46:54 GMT+2; 2017-03-07 19:45; e70300-dr003
Nottingham Forest; 6/4; 11/8; 29/20; 6/4; 29/20; 6/4; 6/4; 5/4; 7/5; 7/5; 27/20; 7/5; 29/20; 6/4; 7/5; 16/11; 16/11; 23/17; 27/20; 16/11; 6/4; 13/9; 23/17; 6/4; ; 7/5; 11/8; 
Brentford; 19/10; 9/5; 19/10; 19/10; 19/10; 37/20; 9/5; 15/8; 15/8; 9/5; 7/4; 9/5; 9/5; 15/8; 15/8; 15/8; 24/13; 19/10; 19/10; 24/13; 39/20; 20/11; 37/19; 7/4; ; 19/10; 9/5; 
Draw; 13/5; 5/2; 13/5; 12/5; 5/2; 12/5; 13/5; 11/5; 5/2; 12/5; 12/5; 12/5; 51/20; 13/5; 5/2; 13/5; 12/5; 23/10; 23/10; 12/5; 51/20; 5/2; 40/17; 23/10; ; 12/5; 23/10; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-06 13:45:56 GMT+2; 2017-03-07 19:45; e70300-dr003
Nottingham Forest; 6/4; 11/8; 31/20; 6/4; 6/4; 6/4; 6/4; 5/4; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 7/5; 6/4; 6/4; 23/17; 27/20; 6/4; 31/20; 13/9; 23/17; 6/4; ; 7/5; 7/5; 
Brentford; 19/10; 9/5; 9/5; 19/10; 15/8; 20/11; 9/5; 15/8; 9/5; 17/10; 13/8; 9/5; 7/4; 9/5; 15/8; 15/8; 9/5; 19/10; 19/10; 9/5; 47/25; 20/11; 37/19; 7/4; ; 9/5; 9/5; 
Draw; 13/5; 5/2; 13/5; 12/5; 12/5; 12/5; 13/5; 11/5; 5/2; 12/5; 12/5; 23/10; 51/20; 13/5; 5/2; 5/2; 12/5; 23/10; 23/10; 12/5; 51/20; 5/2; 40/17; 23/10; ; 12/5; 12/5; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-06 15:45:51 GMT+2; 2017-03-07 19:45; e70300-dr003
Nottingham Forest; 6/4; 7/5; 31/20; 6/4; 6/4; 31/20; 6/4; 7/5; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 7/5; 6/4; 6/4; 23/17; 27/20; 6/4; 31/20; 17/11; 23/17; 6/4; ; 7/5; 7/5; 
Brentford; 19/10; 7/4; 9/5; 19/10; 15/8; 20/11; 9/5; 9/5; 9/5; 17/10; 13/8; 9/5; 7/4; 9/5; 15/8; 15/8; 9/5; 19/10; 19/10; 9/5; 47/25; 17/10; 37/19; 7/4; ; 9/5; 9/5; 
Draw; 13/5; 13/5; 13/5; 12/5; 12/5; 12/5; 13/5; 12/5; 5/2; 12/5; 12/5; 23/10; 51/20; 13/5; 5/2; 13/5; 12/5; 23/10; 23/10; 12/5; 51/20; 27/11; 40/17; 23/10; ; 12/5; 12/5; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-06 16:20:57 GMT+2; 2017-03-07 19:45; e70300-dr003
Nottingham Forest; 31/20; 7/5; 31/20; 6/4; 8/5; 8/5; 8/5; 7/5; 7/5; 6/4; 29/20; 6/4; 31/20; 8/5; 8/5; 17/11; 17/11; 23/17; 6/4; 17/11; 31/20; 17/11; 6/4; 6/4; ; 6/4; 6/4; 
Brentford; 15/8; 7/4; 7/4; 7/4; 9/5; 7/4; 7/4; 9/5; 9/5; 13/8; 9/5; 17/10; 17/10; 9/5; 13/8; 15/8; 17/10; 19/10; 17/10; 17/10; 47/25; 17/10; 17/10; 17/10; ; 7/4; 7/4; 
Draw; 5/2; 5/2; 13/5; 13/5; 12/5; 12/5; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 51/20; 5/2; 5/2; 5/2; 12/5; 23/10; 12/5; 12/5; 51/20; 27/11; 27/11; 23/10; ; 12/5; 12/5; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-06 17:45:46 GMT+2; 2017-03-07 19:45; e70300-dr003
Nottingham Forest; 31/20; 7/5; 31/20; 6/4; 8/5; 8/5; 8/5; 7/5; 6/4; 6/4; 31/20; 6/4; 31/20; 8/5; 8/5; 17/11; 17/11; 6/4; 6/4; 17/11; 31/20; 17/11; 6/4; 6/4; ; 6/4; 6/4; 
Brentford; 15/8; 7/4; 7/4; 7/4; 7/4; 7/4; 7/4; 9/5; 9/5; 13/8; 9/5; 17/10; 17/10; 9/5; 13/8; 9/5; 17/10; 7/4; 17/10; 17/10; 47/25; 17/10; 17/10; 17/10; ; 7/4; 17/10; 
Draw; 5/2; 5/2; 13/5; 13/5; 12/5; 12/5; 13/5; 12/5; 5/2; 12/5; 5/2; 12/5; 51/20; 5/2; 5/2; 13/5; 12/5; 9/4; 12/5; 12/5; 51/20; 27/11; 27/11; 23/10; ; 12/5; 12/5; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-06 18:32:30 GMT+2; 2017-03-07 19:45; e70300-dr003
Nottingham Forest; 31/20; 6/4; 31/20; 6/4; 8/5; 8/5; 8/5; 7/5; 6/4; 6/4; 31/20; 6/4; 31/20; 8/5; 8/5; 17/11; 17/11; 6/4; 6/4; 17/11; 31/20; 17/11; 6/4; 6/4; ; 6/4; 6/4; 
Brentford; 15/8; 17/10; 7/4; 7/4; 7/4; 7/4; 7/4; 9/5; 9/5; 13/8; 9/5; 17/10; 17/10; 9/5; 13/8; 9/5; 17/10; 7/4; 17/10; 17/10; 47/25; 17/10; 17/10; 17/10; ; 7/4; 17/10; 
Draw; 5/2; 5/2; 13/5; 13/5; 12/5; 12/5; 5/2; 12/5; 5/2; 12/5; 5/2; 12/5; 51/20; 5/2; 5/2; 13/5; 12/5; 9/4; 12/5; 12/5; 51/20; 27/11; 27/11; 23/10; ; 12/5; 12/5; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-06 19:45:52 GMT+2; 2017-03-07 19:45; e70300-dr003
Nottingham Forest; 8/5; 6/4; 8/5; 6/4; 8/5; 13/8; 8/5; 7/5; 6/4; 6/4; 31/20; 6/4; 31/20; 8/5; 8/5; 17/11; 8/5; 6/4; 6/4; 8/5; 42/25; 8/5; 6/4; 8/5; ; 6/4; 6/4; 
Brentford; 7/4; 17/10; 17/10; 7/4; 7/4; 17/10; 7/4; 9/5; 9/5; 13/8; 9/5; 17/10; 17/10; 7/4; 13/8; 9/5; 28/17; 7/4; 17/10; 28/17; 42/25; 28/17; 17/10; 17/10; ; 17/10; 17/10; 
Draw; 13/5; 5/2; 13/5; 13/5; 5/2; 12/5; 13/5; 12/5; 5/2; 12/5; 5/2; 12/5; 51/20; 13/5; 5/2; 13/5; 27/11; 9/4; 12/5; 27/11; 129/50; 27/11; 27/11; 12/5; ; 5/2; 12/5; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-06 20:21:12 GMT+2; 2017-03-07 19:45; e70300-dr003
Nottingham Forest; 8/5; 6/4; 8/5; 6/4; 8/5; 13/8; 8/5; 7/5; 6/4; 6/4; 31/20; 6/4; 31/20; 8/5; 8/5; 17/11; 8/5; 6/4; 6/4; 8/5; 42/25; 8/5; 6/4; 8/5; ; 6/4; 6/4; 
Brentford; 7/4; 17/10; 17/10; 7/4; 7/4; 17/10; 7/4; 9/5; 9/5; 13/8; 9/5; 17/10; 17/10; 7/4; 13/8; 9/5; 28/17; 7/4; 17/10; 28/17; 42/25; 28/17; 17/10; 17/10; ; 7/4; 17/10; 
Draw; 13/5; 5/2; 13/5; 13/5; 5/2; 12/5; 13/5; 12/5; 5/2; 12/5; 5/2; 12/5; 51/20; 13/5; 5/2; 13/5; 27/11; 9/4; 12/5; 27/11; 129/50; 27/11; 27/11; 12/5; ; 5/2; 12/5; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-06 21:45:48 GMT+2; 2017-03-07 19:45; e70300-dr003
Nottingham Forest; 8/5; 6/4; 8/5; 6/4; 8/5; 13/8; 8/5; 7/5; 6/4; 6/4; 31/20; 6/4; 31/20; 8/5; 8/5; 17/11; 17/11; 6/4; 6/4; 17/11; 42/25; 8/5; 6/4; 8/5; ; 6/4; 6/4; 
Brentford; 7/4; 17/10; 17/10; 7/4; 7/4; 17/10; 7/4; 9/5; 9/5; 13/8; 9/5; 17/10; 17/10; 7/4; 13/8; 9/5; 17/10; 7/4; 17/10; 17/10; 42/25; 28/17; 17/10; 17/10; ; 17/10; 17/10; 
Draw; 13/5; 5/2; 13/5; 13/5; 5/2; 12/5; 13/5; 12/5; 5/2; 12/5; 5/2; 12/5; 51/20; 13/5; 5/2; 13/5; 27/11; 9/4; 12/5; 27/11; 129/50; 27/11; 27/11; 12/5; ; 5/2; 12/5; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-06 23:45:46 GMT+2; 2017-03-07 19:45; e70300-dr003
Nottingham Forest; 8/5; 6/4; 13/8; 6/4; 8/5; 13/8; 13/8; 7/5; 8/5; 6/4; 8/5; 8/5; 8/5; 13/8; 8/5; 17/11; 17/11; 6/4; 6/4; 17/11; 42/25; 8/5; 6/4; 8/5; ; 6/4; 13/8; 
Brentford; 7/4; 17/10; 17/10; 7/4; 7/4; 17/10; 17/10; 9/5; 13/8; 13/8; 17/10; 13/8; 33/20; 7/4; 13/8; 7/4; 17/10; 7/4; 17/10; 17/10; 42/25; 28/17; 17/10; 17/10; ; 17/10; 13/8; 
Draw; 13/5; 5/2; 13/5; 13/5; 12/5; 12/5; 13/5; 12/5; 5/2; 12/5; 5/2; 12/5; 51/20; 13/5; 5/2; 13/5; 27/11; 9/4; 12/5; 27/11; 129/50; 27/11; 27/11; 12/5; ; 12/5; 12/5; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-07 00:20:19 GMT+2; 2017-03-07 19:45; e70300-dr003
Nottingham Forest; 8/5; 6/4; 13/8; 6/4; 8/5; 13/8; 13/8; 7/5; 8/5; 6/4; 8/5; 8/5; 8/5; 13/8; 8/5; 17/11; 17/11; 6/4; 6/4; 17/11; 42/25; 8/5; 6/4; 8/5; ; 6/4; 13/8; 
Brentford; 7/4; 17/10; 17/10; 7/4; 7/4; 17/10; 17/10; 9/5; 13/8; 13/8; 17/10; 13/8; 33/20; 7/4; 13/8; 7/4; 17/10; 7/4; 17/10; 17/10; 42/25; 28/17; 17/10; 17/10; ; 17/10; 13/8; 
Draw; 13/5; 5/2; 13/5; 13/5; 12/5; 12/5; 13/5; 12/5; 5/2; 12/5; 5/2; 12/5; 51/20; 13/5; 5/2; 13/5; 27/11; 9/4; 12/5; 27/11; 129/50; 27/11; 27/11; 12/5; ; 12/5; 12/5; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-07 00:46:13 GMT+2; 2017-03-07 19:45; e70300-dr003
Nottingham Forest; 8/5; 6/4; 13/8; 6/4; 8/5; 13/8; 13/8; 7/5; 8/5; 6/4; 8/5; 8/5; 8/5; 13/8; 8/5; 17/11; 17/11; 6/4; 6/4; 17/11; 42/25; 17/11; 6/4; 8/5; ; 8/5; 13/8; 
