META; english/championship/reading-v-nottingham-forest; 2016-10-23 04:19:51 GMT+3; 2016-10-29 15:00; e70300-dr003
Reading; 19/20; 1; 1; 1; 1; 1; 1; 10/11; 1; 20/21; 1; 21/20; 19/20; 1; 1; 1; 19/20; 1; 10/11; 1; 19/20; 24/23; 22/23; 1; ; ; 1; 20/21; 1
Draw; 23/10; 12/5; 12/5; 9/4; 5/2; 5/2; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 49/20; 13/5; 23/10; 12/5; 40/17; 12/5; 23/10; 12/5; 40/17; 5/2; 27/11; 12/5; ; ; 12/5; 12/5; 5/2
Nottingham Forest; 3; 11/4; 11/4; 3; 5/2; 14/5; 14/5; 11/4; 14/5; 14/5; 11/4; 13/5; 57/20; 5/2; 3; 14/5; 11/4; 37/13; 29/10; 14/5; 11/4; 31/10; 28/11; 37/13; ; ; 14/5; 14/5; 14/5
META; english/championship/reading-v-nottingham-forest; 2016-10-27 00:21:43 GMT+3; 2016-10-29 15:00; e70300-dr003
Reading; 19/20; 1; 1; 1; 1; 1; 1; 10/11; 1; 20/21; 1; 21/20; 19/20; 1; 1; 1; 19/20; 1; 10/11; 1; 19/20; 24/23; 22/23; 1; ; ; 1; 20/21; 1
Draw; 23/10; 12/5; 12/5; 9/4; 5/2; 5/2; 5/2; 23/10; 5/2; 12/5; 12/5; 12/5; 49/20; 13/5; 23/10; 12/5; 40/17; 12/5; 23/10; 12/5; 40/17; 5/2; 27/11; 12/5; ; ; 12/5; 12/5; 5/2
Nottingham Forest; 3; 11/4; 11/4; 3; 5/2; 14/5; 14/5; 13/5; 14/5; 14/5; 11/4; 13/5; 57/20; 5/2; 3; 14/5; 11/4; 37/13; 29/10; 14/5; 11/4; 31/10; 28/11; 37/13; ; ; 14/5; 14/5; 14/5
META; english/championship/reading-v-nottingham-forest; 2016-10-27 04:21:52 GMT+3; 2016-10-29 15:00; e70300-dr003
Reading; 19/20; 1; 1; 1; 1; 1; 1; 10/11; 1; 20/21; 1; 21/20; 19/20; 1; 1; 1; 19/20; 19/20; 10/11; 20/21; 19/20; 24/23; 22/23; 19/20; ; ; 1; 20/21; 1
Draw; 23/10; 12/5; 12/5; 9/4; 5/2; 5/2; 5/2; 23/10; 5/2; 12/5; 12/5; 12/5; 49/20; 13/5; 23/10; 12/5; 40/17; 12/5; 23/10; 12/5; 40/17; 5/2; 27/11; 12/5; ; ; 12/5; 12/5; 5/2
Nottingham Forest; 3; 11/4; 11/4; 3; 5/2; 14/5; 14/5; 13/5; 14/5; 14/5; 11/4; 13/5; 57/20; 5/2; 3; 14/5; 11/4; 3; 29/10; 3; 11/4; 31/10; 28/11; 3; ; ; 14/5; 14/5; 14/5
META; english/championship/reading-v-nottingham-forest; 2016-10-27 08:21:48 GMT+3; 2016-10-29 15:00; e70300-dr003
Reading; 19/20; 1; 1; 1; 1; 1; 1; 10/11; 1; 20/21; 1; 21/20; 19/20; 1; 1; 1; 19/20; 19/20; 10/11; 20/21; 19/20; 24/23; 22/23; 19/20; ; ; 1; 20/21; 1
Draw; 23/10; 12/5; 12/5; 9/4; 5/2; 5/2; 5/2; 23/10; 5/2; 12/5; 12/5; 12/5; 49/20; 13/5; 23/10; 12/5; 40/17; 12/5; 23/10; 12/5; 40/17; 5/2; 27/11; 12/5; ; ; 12/5; 12/5; 5/2
Nottingham Forest; 3; 11/4; 11/4; 3; 5/2; 14/5; 14/5; 13/5; 14/5; 14/5; 11/4; 13/5; 57/20; 5/2; 3; 14/5; 11/4; 3; 29/10; 3; 11/4; 31/10; 28/11; 3; ; ; 14/5; 14/5; 14/5
META; english/championship/reading-v-nottingham-forest; 2016-10-27 16:22:16 GMT+3; 2016-10-29 15:00; e70300-dr003
Reading; 19/20; 1; 1; 1; 21/20; 1; 1; 10/11; 1; 20/21; 1; 21/20; 1; 1; 1; 1; 19/20; 1; 10/11; 1; 19/20; 24/23; 22/23; 1; ; ; 1; 20/21; 1
