META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-20 20:23:48 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; ; ; 21/20; 11/10; 11/10; ; 11/10; ; 21/20; ; 21/20; ; ; 21/20; 111/100; 10/9; ; ; ; ; 1; 21/20; 
Draw; 21/10; 21/10; 41/20; 21/10; 11/5; 41/20; ; ; 2; 21/10; 21/10; ; 11/5; ; 2; ; 21/10; ; ; 21/10; 11/5; 39/19; ; ; ; ; 2; 21/10; 
Cordoba; 14/5; 13/5; 5/2; 13/5; 11/4; 5/2; ; ; 5/2; 14/5; 5/2; ; 53/20; ; 3; ; 14/5; ; ; 14/5; 31/10; 40/17; ; ; ; ; 12/5; 5/2; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-21 00:23:05 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; ; ; 21/20; 11/10; 11/10; ; 11/10; ; 21/20; ; 1; 11/10; 20/21; 1; 111/100; 10/9; 39/40; 21/20; 1; ; 1; 21/20; 
Draw; 21/10; 21/10; 21/10; 21/10; 11/5; 41/20; ; ; 2; 21/10; 21/10; ; 11/5; ; 2; ; 21/10; 2; 21/10; 21/10; 11/5; 39/19; 28/13; 21/10; 11/5; ; 2; 21/10; 
Cordoba; 14/5; 13/5; 5/2; 13/5; 11/4; 5/2; ; ; 5/2; 14/5; 5/2; ; 53/20; ; 3; ; 14/5; 27/10; 14/5; 14/5; 31/10; 40/17; 56/19; 13/5; 3; ; 12/5; 5/2; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-21 04:22:54 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; ; ; 21/20; 11/10; 11/10; 11/10; 11/10; ; 21/20; ; 1; 11/10; 20/21; 1; 111/100; 10/9; 39/40; 21/20; 1; ; 1; 21/20; 
Draw; 21/10; 21/10; 21/10; 21/10; 11/5; 41/20; ; ; 2; 21/10; 21/10; 11/5; 11/5; ; 2; ; 21/10; 2; 21/10; 21/10; 11/5; 39/19; 28/13; 21/10; 11/5; ; 2; 21/10; 
Cordoba; 14/5; 13/5; 5/2; 13/5; 11/4; 5/2; ; ; 5/2; 14/5; 5/2; 5/2; 53/20; ; 3; ; 14/5; 27/10; 14/5; 14/5; 31/10; 40/17; 56/19; 13/5; 3; ; 12/5; 5/2; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-21 08:23:06 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; ; 1; 21/20; 11/10; 11/10; 11/10; 11/10; ; 21/20; ; 1; 11/10; 20/21; 1; 111/100; 10/9; 39/40; 21/20; 1; ; 1; 21/20; 
Draw; 21/10; 21/10; 21/10; 21/10; 11/5; 41/20; ; 21/10; 2; 21/10; 21/10; 11/5; 11/5; ; 2; ; 21/10; 2; 21/10; 21/10; 11/5; 39/19; 28/13; 21/10; 11/5; ; 2; 21/10; 
Cordoba; 14/5; 13/5; 5/2; 13/5; 11/4; 5/2; ; 13/5; 5/2; 14/5; 5/2; 5/2; 53/20; ; 3; ; 14/5; 27/10; 14/5; 14/5; 31/10; 40/17; 56/19; 13/5; 3; ; 12/5; 5/2; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-21 12:28:17 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 21/20; 23/20; 21/20; 11/10; 21/20; ; 1; 11/10; 11/10; 23/20; 11/10; 11/10; ; 23/20; ; 21/20; 11/10; 20/21; 21/20; 111/100; 10/9; 39/40; 21/20; 1; ; 1; 10/9; 
Draw; 21/10; 21/10; 41/20; 21/10; 11/5; 41/20; ; 21/10; 2; 21/10; 2; 11/5; 11/5; ; 21/10; ; 21/10; 2; 21/10; 21/10; 11/5; 39/19; 28/13; 21/10; 11/5; ; 2; 21/10; 
