META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-20 20:23:50 GMT+2; 2017-03-26 18:30; e70300-dr003
Elche; 1; ; 11/10; 23/20; 23/20; 21/20; 23/20; ; 21/20; 11/10; 11/10; ; 21/20; ; 23/20; ; 21/20; ; ; 11/10; 6/5; 10/9; ; ; ; ; 1; 10/9; 
Draw; 11/5; ; 43/20; 21/10; 11/5; 43/20; 11/5; ; 2; 21/10; 21/10; ; 23/10; ; 21/10; ; 21/10; ; ; 21/10; 11/5; 11/5; ; ; ; ; 2; 21/10; 
Zaragoza; 3; ; 49/20; 23/10; 13/5; 23/10; 27/10; ; 12/5; 13/5; 12/5; ; 13/5; ; 5/2; ; 28/11; ; ; 5/2; 14/5; 28/13; ; ; ; ; 9/4; 23/10; 
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-21 00:23:07 GMT+2; 2017-03-26 18:30; e70300-dr003
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 23/20; ; 21/20; 23/20; 11/10; ; 21/20; ; 23/20; ; 11/10; 21/20; 10/9; 11/10; 6/5; 10/9; 19/17; 21/20; 8/7; ; 1; 10/9; 
Draw; 11/5; 21/10; 43/20; 21/10; 11/5; 43/20; 11/5; ; 2; 21/10; 21/10; ; 23/10; ; 21/10; ; 28/13; 21/10; 21/10; 28/13; 11/5; 11/5; 21/10; 11/5; 28/13; ; 2; 21/10; 
Zaragoza; 13/5; 12/5; 49/20; 23/10; 13/5; 23/10; 27/10; ; 12/5; 13/5; 12/5; ; 13/5; ; 5/2; ; 28/11; 27/10; 5/2; 28/11; 14/5; 28/13; 28/11; 12/5; 13/5; ; 9/4; 23/10; 
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-21 04:22:56 GMT+2; 2017-03-26 18:30; e70300-dr003
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 23/20; ; 21/20; 23/20; 11/10; 11/10; 21/20; ; 23/20; ; 11/10; 21/20; 10/9; 11/10; 6/5; 10/9; 19/17; 21/20; 8/7; ; 1; 10/9; 
Draw; 11/5; 21/10; 43/20; 21/10; 11/5; 43/20; 11/5; ; 2; 21/10; 21/10; 11/5; 23/10; ; 21/10; ; 28/13; 21/10; 21/10; 28/13; 11/5; 11/5; 21/10; 11/5; 28/13; ; 2; 21/10; 
Zaragoza; 13/5; 12/5; 49/20; 23/10; 13/5; 23/10; 27/10; ; 12/5; 13/5; 12/5; 12/5; 13/5; ; 5/2; ; 28/11; 27/10; 5/2; 28/11; 14/5; 28/13; 28/11; 12/5; 13/5; ; 9/4; 23/10; 
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-21 08:23:08 GMT+2; 2017-03-26 18:30; e70300-dr003
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 23/20; ; 21/20; 23/20; 11/10; 11/10; 21/20; ; 23/20; ; 11/10; 21/20; 10/9; 11/10; 6/5; 10/9; 19/17; 21/20; 8/7; ; 1; 10/9; 
Draw; 11/5; 21/10; 43/20; 21/10; 11/5; 43/20; 11/5; ; 2; 21/10; 21/10; 11/5; 23/10; ; 21/10; ; 21/10; 21/10; 21/10; 21/10; 11/5; 11/5; 21/10; 11/5; 28/13; ; 2; 21/10; 
Zaragoza; 13/5; 12/5; 49/20; 23/10; 13/5; 23/10; 27/10; ; 12/5; 13/5; 12/5; 12/5; 13/5; ; 5/2; ; 28/11; 27/10; 5/2; 28/11; 14/5; 28/13; 28/11; 12/5; 13/5; ; 9/4; 23/10; 
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-21 12:28:20 GMT+2; 2017-03-26 18:30; e70300-dr003
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 23/20; ; 21/20; 23/20; 11/10; 11/10; 21/20; ; 23/20; ; 11/10; 21/20; 10/9; 11/10; 6/5; 10/9; 19/17; 21/20; 8/7; ; 1; 10/9; 
Draw; 11/5; 21/10; 43/20; 21/10; 11/5; 43/20; 11/5; ; 2; 21/10; 21/10; 11/5; 23/10; ; 21/10; ; 21/10; 21/10; 21/10; 21/10; 11/5; 11/5; 21/10; 11/5; 28/13; ; 2; 21/10; 
Zaragoza; 13/5; 12/5; 49/20; 23/10; 13/5; 23/10; 27/10; ; 12/5; 13/5; 12/5; 12/5; 13/5; ; 5/2; ; 5/2; 27/10; 5/2; 5/2; 14/5; 28/13; 28/11; 12/5; 13/5; ; 9/4; 23/10; 
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-21 16:25:35 GMT+2; 2017-03-26 18:30; e70300-dr003
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 23/20; 1; 21/20; 11/10; 11/10; 11/10; 21/20; ; 23/20; ; 21/20; 21/20; 10/9; 21/20; 6/5; 10/9; 19/17; 1; 8/7; ; 1; 10/9; 10/9
Draw; 11/5; 21/10; 43/20; 21/10; 11/5; 43/20; 11/5; 21/10; 2; 21/10; 21/10; 11/5; 23/10; ; 21/10; ; 28/13; 21/10; 21/10; 28/13; 11/5; 11/5; 21/10; 23/10; 28/13; ; 2; 21/10; 9/4
Zaragoza; 13/5; 5/2; 49/20; 23/10; 13/5; 12/5; 27/10; 5/2; 12/5; 13/5; 12/5; 12/5; 13/5; ; 5/2; ; 45/17; 27/10; 5/2; 45/17; 14/5; 28/13; 28/11; 5/2; 13/5; ; 23/10; 12/5; 14/5
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-22 00:23:29 GMT+2; 2017-03-26 18:30; e70300-dr003
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 23/20; 1; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 21/20; 10/9; 11/10; 6/5; 10/9; 19/17; 11/10; 8/7; ; 21/20; 1; 23/20
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; 11/5; 21/10; 2; 21/10; 21/10; 11/5; 23/10; 9/4; 21/10; 11/5; 28/13; 21/10; 21/10; 28/13; 11/5; 11/5; 21/10; 9/4; 28/13; ; 2; 21/10; 23/10
Zaragoza; 13/5; 12/5; 49/20; 23/10; 13/5; 23/10; 27/10; 5/2; 12/5; 13/5; 12/5; 12/5; 13/5; 23/10; 5/2; 5/2; 28/11; 27/10; 5/2; 28/11; 14/5; 28/13; 28/11; 9/4; 13/5; ; 23/10; 12/5; 11/4
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-22 04:22:11 GMT+2; 2017-03-26 18:30; e70300-dr003
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 23/20; 1; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 21/20; 10/9; 11/10; 6/5; 10/9; 19/17; 11/10; 8/7; ; 21/20; 1; 23/20
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; 11/5; 21/10; 2; 21/10; 21/10; 11/5; 23/10; 9/4; 21/10; 11/5; 28/13; 21/10; 21/10; 28/13; 11/5; 11/5; 21/10; 9/4; 28/13; ; 2; 21/10; 23/10
Zaragoza; 13/5; 12/5; 49/20; 23/10; 13/5; 23/10; 27/10; 5/2; 12/5; 13/5; 12/5; 12/5; 13/5; 23/10; 5/2; 5/2; 5/2; 27/10; 5/2; 5/2; 14/5; 28/13; 28/11; 9/4; 13/5; ; 23/10; 12/5; 11/4
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-22 08:22:44 GMT+2; 2017-03-26 18:30; e70300-dr003
