META; english/championship/middlesbrough-v-nottingham-forest; 2018-04-03 18:19:31 GMT+3; 2018-04-07 15:00; e70300-dr003
Middlesbrough; 3/5; 4/6; 4/6; 4/6; 17/25; 13/20; 5/8; 8/13; 8/13; 4/6; 8/13; 8/13; 4/6; 7/10; 4/6; 11/17; 3/5; 7/11; 8/13; 13/20; 13/20; 11/17; 4/7; 4/7; 4/6
Draw; 11/4; 13/5; 13/5; 13/5; 73/25; 14/5; 11/4; 13/5; 45/17; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 27/10; 14/5; 27/10; 13/5; 11/4; 27/10; 11/4; 5/2; 23/10; 14/5
Nottingham Forest; 19/4; 9/2; 9/2; 9/2; 49/10; 9/2; 19/4; 9/2; 24/5; 19/4; 5; 9/2; 19/4; 5; 9/2; 47/10; 9/2; 4; 19/4; 19/4; 9/2; 19/4; 4; 24/5; 
META; english/championship/middlesbrough-v-nottingham-forest; 2018-04-04 08:18:40 GMT+3; 2018-04-07 15:00; e70300-dr003
Middlesbrough; 3/5; 8/13; 8/13; 4/6; 67/100; 7/10; 5/8; 4/6; 8/13; 8/13; 8/13; 8/13; 13/20; 7/10; 8/13; 11/17; 3/5; 7/11; 8/13; 8/13; 13/20; 11/17; 8/13; 4/7; 8/13
Draw; 11/4; 14/5; 13/5; 13/5; 72/25; 27/10; 11/4; 13/5; 45/17; 27/10; 13/5; 14/5; 27/10; 13/5; 11/4; 27/10; 14/5; 27/10; 13/5; 14/5; 27/10; 11/4; 5/2; 12/5; 11/4
Nottingham Forest; 19/4; 19/4; 19/4; 9/2; 51/10; 4; 19/4; 4; 24/5; 24/5; 5; 9/2; 19/4; 5; 24/5; 9/2; 4; 19/4; 5; 9/2; 63/13; 4; 21/5; 24/5; 
META; english/championship/middlesbrough-v-nottingham-forest; 2018-04-04 18:20:01 GMT+3; 2018-04-07 15:00; e70300-dr003
Middlesbrough; 3/5; 8/13; 8/13; 4/6; 33/50; 7/10; 8/13; 4/6; 8/13; 8/13; 8/13; 8/13; 13/20; 4/6; 8/13; 8/13; 3/5; 7/11; 8/13; 8/13; 13/20; 11/17; 8/13; 4/6; 4/7; 4/7
Draw; 11/4; 14/5; 13/5; 13/5; 29/10; 27/10; 11/4; 13/5; 45/17; 27/10; 11/4; 14/5; 27/10; 14/5; 14/5; 11/4; 14/5; 27/10; 13/5; 14/5; 27/10; 11/4; 5/2; 5/2; 14/5; 14/5
Nottingham Forest; 19/4; 19/4; 24/5; 9/2; 26/5; 4; 19/4; 4; 24/5; 24/5; 9/2; 9/2; 19/4; 5; 49/10; 9/2; 4; 19/4; 5; 19/4; 94/19; 4; 21/5; 26/5; 26/5; 
META; english/championship/middlesbrough-v-nottingham-forest; 2018-04-05 13:13:34 GMT+3; 2018-04-07 15:00; e70300-dr003
Middlesbrough; 3/5; 8/13; 8/13; 4/6; 4/6; 8/11; 8/13; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 13/20; 4/6; 8/13; 8/13; 3/5; 7/11; 8/13; 8/13; 11/17; 4/7; 8/13; 4/6; 4/7
Draw; 11/4; 14/5; 13/5; 13/5; 141/50; 11/4; 11/4; 13/5; 45/17; 27/10; 11/4; 14/5; 11/4; 27/10; 14/5; 14/5; 27/10; 14/5; 27/10; 13/5; 14/5; 11/4; 13/5; 13/5; 14/5; 14/5
Nottingham Forest; 19/4; 19/4; 24/5; 9/2; 53/10; 4; 19/4; 4; 24/5; 24/5; 9/2; 9/2; 9/2; 19/4; 5; 94/19; 9/2; 4; 19/4; 5; 4; 21/5; 26/5; 27/5; ; 
META; english/championship/middlesbrough-v-nottingham-forest; 2018-04-06 08:18:55 GMT+3; 2018-04-07 15:00; e70300-dr003
Middlesbrough; 4/6; 8/13; 6/10; 6/10; 16/25; 8/11; 3/5; 4/6; 4/7; 6/10; 8/13; 6/10; 6/10; 8/13; 8/13; 8/13; 11/18; 6/11; 7/12; 6/11; 8/13; 8/13; 4/7; 4/7; 4/7; 4/7
Draw; 14/5; 13/5; 27/10; 11/4; 147/50; 11/4; 11/4; 13/5; 37/13; 11/4; 14/5; 11/4; 11/4; 27/10; 3; 11/4; 11/4; 29/10; 14/5; 14/5; 14/5; 14/5; 5/2; 5/2; 14/5; 14/5
Nottingham Forest; 5; 5; 27/5; 4; 4; 11/2; 5; 5; 5; 5; 51/10; 5; 53/10; 11/2; 11/2; 67/13; 24/5; 24/5; 27/5; 27/5; ; ; ; ; ; 
