META; english/championship/norwich-v-aston-villa; 2018-04-03 18:19:13 GMT+3; 2018-04-07 12:30; e70300-dr003
Norwich; 6/4; 6/4; 31/20; 6/4; 8/5; 31/20; 6/4; 6/4; 6/4; 31/20; 29/20; 6/4; 13/8; 8/5; 6/4; 17/11; 6/4; 31/21; 6/4; 31/20; 31/20; 17/11; 7/5; 6/4; 6/4
Aston Villa; 7/4; 15/8; 15/8; 15/8; 2; 19/10; 15/8; 9/5; 9/5; 15/8; 9/5; 9/5; 37/20; 19/10; 15/8; 24/13; 9/5; 5/3; 9/5; 15/8; 9/5; 19/10; 9/5; 8/5; 19/10
Draw; 23/10; 9/4; 21/10; 11/5; 23/10; 11/5; 11/5; 21/10; 23/10; 21/10; 23/10; 9/4; 43/20; 23/10; 23/10; 11/5; 11/5; 23/10; 9/4; 9/4; 11/5; 9/4; 2; 9/4; 
META; english/championship/norwich-v-aston-villa; 2018-04-04 08:18:22 GMT+3; 2018-04-07 12:30; e70300-dr003
Norwich; 13/8; 8/5; 8/5; 6/4; 171/100; 9/5; 8/5; 7/4; 6/4; 13/8; 29/20; 13/8; 33/20; 17/10; 8/5; 28/17; 6/4; 31/21; 6/4; 8/5; 8/5; 28/17; 13/8; 7/5; 13/8
Aston Villa; 8/5; 7/4; 9/5; 15/8; 93/50; 13/8; 7/4; 8/5; 9/5; 9/5; 9/5; 9/5; 9/5; 15/8; 9/5; 7/4; 9/5; 5/3; 9/5; 9/5; 9/5; 7/4; 6/4; 13/8; 9/5
Draw; 23/10; 9/4; 21/10; 11/5; 58/25; 11/5; 11/5; 21/10; 23/10; 21/10; 23/10; 21/10; 43/20; 11/5; 9/4; 9/4; 11/5; 23/10; 9/4; 9/4; 11/5; 9/4; 2; 9/4; 
META; english/championship/norwich-v-aston-villa; 2018-04-04 18:19:43 GMT+3; 2018-04-07 12:30; e70300-dr003
Norwich; 13/8; 13/8; 33/20; 6/4; 173/00; 9/5; 13/8; 7/4; 6/4; 33/20; 17/10; 13/8; 33/20; 17/10; 8/5; 28/17; 6/4; 31/21; 6/4; 13/8; 8/5; 28/17; 13/8; 17/10; 17/10; 17/10
Aston Villa; 8/5; 17/10; 7/4; 15/8; 91/50; 13/8; 7/4; 8/5; 9/5; 7/4; 17/10; 9/5; 9/5; 15/8; 7/4; 7/4; 9/5; 5/3; 9/5; 7/4; 9/5; 7/4; 7/4; 9/5; 9/5; 9/5
Draw; 23/10; 9/4; 21/10; 11/5; 117/0; 11/5; 11/5; 21/10; 23/10; 21/10; 21/10; 21/10; 43/20; 11/5; 9/4; 9/4; 11/5; 23/10; 9/4; 9/4; 11/5; 9/4; 2; 9/4; 9/4; 
META; english/championship/norwich-v-aston-villa; 2018-04-05 13:13:16 GMT+3; 2018-04-07 12:30; e70300-dr003
Aston Villa; 13/8; 13/8; 33/20; 13/8; 43/25; 13/8; 13/8; 8/5; 28/17; 17/10; 17/10; 13/8; 13/8; 17/10; 7/4; 8/5; 28/17; 28/17; 17/11; 28/17; 13/8; 28/17; 13/8; 17/10; 13/8; 17/10
Norwich; 13/8; 17/10; 17/10; 17/10; 46/25; 9/5; 7/4; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 9/5; 7/4; 7/4; 7/4; 28/17; 8/5; 17/10; 7/4; 7/4; 13/8; 17/10; 9/5; 9/5
Draw; 23/10; 9/4; 21/10; 11/5; 58/25; 11/5; 11/5; 21/10; 11/5; 21/10; 21/10; 21/10; 9/4; 43/20; 23/10; 9/4; 11/5; 11/5; 23/10; 11/5; 23/10; 9/4; 21/10; 9/4; 9/4; 9/4
META; english/championship/norwich-v-aston-villa; 2018-04-06 08:18:37 GMT+3; 2018-04-07 12:30; e70300-dr003
Aston Villa; 8/5; 6/4; 6/4; 13/8; 159/100; 13/8; 6/4; 8/5; 28/17; 6/4; 13/8; 29/20; 6/4; 31/20; 8/5; 6/4; 17/11; 17/11; 31/21; 8/5; 31/20; 17/11; 6/4; 6/4; 6/4; 13/8
Norwich; 2; 19/10; 19/10; 17/10; 2; 9/5; 15/8; 7/4; 9/5; 19/10; 15/8; 15/8; 15/8; 19/10; 19/10; 15/8; 9/5; 28/15; 7/4; 2; 19/10; 19/10; 2; 19/10; 2; 
Draw; 9/4; 11/5; 21/10; 11/5; 58/25; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 9/4; 9/4; 21/10; 23/10; 9/4; 21/10; 40/17; 11/5; 23/10; 9/4; 21/10; 11/5; 9/4; 9/4; 
