META; english/league-2/wycombe-v-yeovil; 2017-01-08 00:23:12 GMT+2; 2017-01-14 15:00; e70300-dr003
Wycombe; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Yeovil; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/wycombe-v-yeovil; 2017-01-08 04:21:56 GMT+2; 2017-01-14 15:00; e70300-dr003
Wycombe; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Yeovil; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/wycombe-v-yeovil; 2017-01-08 08:22:06 GMT+2; 2017-01-14 15:00; e70300-dr003
Wycombe; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Yeovil; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/wycombe-v-yeovil; 2017-01-08 12:22:48 GMT+2; 2017-01-14 15:00; e70300-dr003
Wycombe; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Yeovil; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/wycombe-v-yeovil; 2017-01-08 16:22:59 GMT+2; 2017-01-14 15:00; e70300-dr003
Wycombe; 1; 1; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; 21/20; ; ; ; ; ; ; 
Draw; 5/2; 23/10; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; 13/5; ; ; ; ; ; ; 
Yeovil; 13/5; 13/5; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; 57/20; ; ; ; ; ; ; 
META; english/league-2/wycombe-v-yeovil; 2017-01-08 20:23:06 GMT+2; 2017-01-14 15:00; e70300-dr003
Wycombe; 1; 1; 1; ; ; ; 21/20; ; 21/20; 21/20; 1; ; 1; ; ; 21/20; 1; ; ; ; 1; 21/20; ; ; ; ; ; ; 
Draw; 5/2; 23/10; 43/20; ; ; ; 5/2; ; 12/5; 23/10; 21/10; ; 12/5; ; ; 12/5; 27/11; ; ; ; 27/11; 13/5; ; ; ; ; ; ; 
Yeovil; 13/5; 13/5; 27/10; ; ; ; 13/5; ; 14/5; 13/5; 27/10; ; 53/20; ; ; 11/4; 5/2; ; ; ; 5/2; 57/20; ; ; ; ; ; ; 
META; english/league-2/wycombe-v-yeovil; 2017-01-09 00:21:55 GMT+2; 2017-01-14 15:00; e70300-dr003
Wycombe; 1; 1; 21/20; ; 11/10; ; 21/20; ; 21/20; 21/20; 21/20; ; 1; ; ; 21/20; 1; ; ; ; 1; 21/20; ; ; ; ; 1; ; 
Draw; 5/2; 23/10; 43/20; ; 5/2; ; 5/2; ; 12/5; 23/10; 21/10; ; 12/5; ; ; 12/5; 40/17; ; ; ; 40/17; 13/5; ; ; ; ; 21/10; ; 
Yeovil; 13/5; 13/5; 13/5; ; 13/5; ; 13/5; ; 14/5; 13/5; 13/5; ; 53/20; ; ; 11/4; 28/11; ; ; ; 28/11; 57/20; ; ; ; ; 13/5; ; 
META; english/league-2/wycombe-v-yeovil; 2017-01-09 04:21:38 GMT+2; 2017-01-14 15:00; e70300-dr003
Wycombe; 1; 1; 21/20; 21/20; 11/10; ; 21/20; ; 21/20; 21/20; 21/20; ; 1; ; ; 21/20; 1; 42/41; ; 1; 1; 21/20; ; 42/41; ; ; 1; ; 
Draw; 5/2; 23/10; 43/20; 23/10; 5/2; ; 5/2; ; 12/5; 23/10; 21/10; ; 12/5; ; ; 12/5; 40/17; 40/17; ; 23/10; 40/17; 13/5; ; 40/17; ; ; 21/10; ; 
Yeovil; 13/5; 13/5; 13/5; 13/5; 13/5; ; 13/5; ; 14/5; 13/5; 13/5; ; 53/20; ; ; 11/4; 28/11; 45/17; ; 13/5; 28/11; 57/20; ; 45/17; ; ; 13/5; ; 
META; english/league-2/wycombe-v-yeovil; 2017-01-09 08:21:47 GMT+2; 2017-01-14 15:00; e70300-dr003
Wycombe; 1; 1; 21/20; 21/20; 11/10; ; 21/20; ; 21/20; 21/20; 21/20; ; 1; ; ; 21/20; 1; 42/41; ; 1; 1; 21/20; ; 42/41; ; ; 1; ; 
Draw; 5/2; 23/10; 43/20; 23/10; 5/2; ; 5/2; ; 12/5; 23/10; 21/10; ; 12/5; ; ; 12/5; 40/17; 40/17; ; 23/10; 40/17; 13/5; ; 40/17; ; ; 11/5; ; 
Yeovil; 13/5; 13/5; 13/5; 13/5; 13/5; ; 13/5; ; 14/5; 11/4; 13/5; ; 27/10; ; ; 11/4; 28/11; 45/17; ; 13/5; 28/11; 57/20; ; 45/17; ; ; 13/5; ; 
META; english/league-2/wycombe-v-yeovil; 2017-01-09 12:22:08 GMT+2; 2017-01-14 15:00; e70300-dr003
Wycombe; 1; 1; 21/20; 21/20; 11/10; 19/20; 21/20; 10/11; 21/20; 1; 21/20; ; 1; ; 1; 21/20; 1; 42/41; 1; 1; 1; 21/20; 19/20; 42/41; ; ; 1; 1; 
Draw; 5/2; 9/4; 43/20; 23/10; 5/2; 9/4; 5/2; 11/5; 12/5; 23/10; 21/10; ; 12/5; ; 12/5; 12/5; 40/17; 40/17; 12/5; 23/10; 40/17; 13/5; 23/10; 40/17; ; ; 11/5; 11/5; 
Yeovil; 13/5; 11/4; 13/5; 13/5; 13/5; 5/2; 13/5; 5/2; 14/5; 11/4; 13/5; ; 27/10; ; 11/4; 11/4; 28/11; 45/17; 13/5; 13/5; 28/11; 57/20; 13/5; 45/17; ; ; 13/5; 27/10; 
META; english/league-2/wycombe-v-yeovil; 2017-01-09 16:22:46 GMT+2; 2017-01-14 15:00; e70300-dr003
Wycombe; 1; 21/20; 21/20; 11/10; 1; 19/20; 21/20; 10/11; 11/10; 21/20; 21/20; 10/11; 1; ; 1; 21/20; 1; 1; 1; 1; 21/20; 1; 42/41; 21/20; ; 1; 1; 
Wycombe; 19/20; 19/20; 1; 1; 19/20; 9/10; 20/21; 10/11; 1; 10/11; 19/20; 10/11; 10/11; 19/20; 19/20; 19/20; 10/11; 1; 9/10; 10/11; 19/20; 19/20; 9/10; 19/20; ; 20/21; 20/21; 
Draw; 11/5; 23/10; 21/10; 11/5; 12/5; 43/20; 12/5; 23/10; 23/10; 9/4; 21/10; 11/5; 23/10; 11/5; 12/5; 12/5; 9/4; 12/5; 23/10; 9/4; 49/20; 23/10; 40/17; 9/4; ; 9/4; 9/4; 
Yeovil; 16/5; 3; 29/10; 3; 16/5; 14/5; 31/10; 16/5; 3; 16/5; 29/10; 5/2; 16/5; 10/3; 3; 3; 41/13; 13/5; 3; 41/13; 7/2; 11/4; 13/4; 3; ; 3; 14/5; 
META; english/league-2/wycombe-v-yeovil; 2017-01-11 04:22:15 GMT+2; 2017-01-14 15:00; e70300-dr003
Wycombe; 19/20; 19/20; 19/20; 20/21; 19/20; 9/10; 20/21; 10/11; 1; 10/11; 19/20; 10/11; 10/11; 19/20; 19/20; 19/20; 10/11; 1; 9/10; 10/11; 19/20; 19/20; 9/10; 19/20; ; 20/21; 5/6; 
Draw; 11/5; 23/10; 21/10; 9/4; 12/5; 43/20; 12/5; 23/10; 23/10; 9/4; 21/10; 11/5; 23/10; 11/5; 12/5; 12/5; 9/4; 12/5; 23/10; 9/4; 49/20; 23/10; 40/17; 9/4; ; 9/4; 9/4; 
Yeovil; 16/5; 3; 29/10; 16/5; 16/5; 14/5; 31/10; 16/5; 3; 16/5; 29/10; 5/2; 16/5; 10/3; 3; 3; 41/13; 13/5; 3; 41/13; 7/2; 11/4; 13/4; 3; ; 3; 14/5; 
META; english/league-2/wycombe-v-yeovil; 2017-01-11 08:22:12 GMT+2; 2017-01-14 15:00; e70300-dr003
Wycombe; 19/20; 19/20; 19/20; 20/21; 19/20; 9/10; 20/21; 10/11; 1; 10/11; 19/20; 10/11; 10/11; 19/20; 19/20; 19/20; 10/11; 1; 9/10; 10/11; 19/20; 19/20; 9/10; 19/20; ; 20/21; ; 
Draw; 11/5; 23/10; 21/10; 9/4; 12/5; 43/20; 12/5; 23/10; 23/10; 9/4; 21/10; 11/5; 23/10; 11/5; 12/5; 12/5; 23/10; 12/5; 23/10; 23/10; 49/20; 23/10; 40/17; 9/4; ; 9/4; ; 
Yeovil; 16/5; 3; 29/10; 16/5; 16/5; 14/5; 31/10; 16/5; 3; 16/5; 29/10; 5/2; 16/5; 10/3; 3; 3; 41/13; 13/5; 3; 41/13; 7/2; 11/4; 13/4; 3; ; 3; ; 
META; english/league-2/wycombe-v-yeovil; 2017-01-11 12:23:11 GMT+2; 2017-01-14 15:00; e70300-dr003
Wycombe; 19/20; 19/20; 19/20; 20/21; 19/20; 9/10; 20/21; 10/11; 1; 10/11; 10/11; 10/11; 10/11; 19/20; 19/20; 19/20; 10/11; 1; 9/10; 10/11; 19/20; 19/20; 9/10; 19/20; ; 20/21; 10/11; 
Draw; 11/5; 23/10; 21/10; 9/4; 12/5; 43/20; 12/5; 23/10; 23/10; 9/4; 23/10; 11/5; 23/10; 11/5; 12/5; 12/5; 9/4; 12/5; 23/10; 9/4; 49/20; 23/10; 40/17; 9/4; ; 9/4; 21/10; 
Yeovil; 16/5; 3; 29/10; 16/5; 10/3; 14/5; 31/10; 16/5; 3; 16/5; 16/5; 5/2; 16/5; 10/3; 3; 3; 31/10; 13/5; 3; 31/10; 7/2; 11/4; 13/4; 3; ; 3; 13/5; 
META; english/league-2/wycombe-v-yeovil; 2017-01-11 16:25:08 GMT+2; 2017-01-14 15:00; e70300-dr003
Wycombe; 19/20; 19/20; 19/20; 20/21; 19/20; 9/10; 20/21; 10/11; 1; 10/11; 10/11; 10/11; 10/11; 19/20; 19/20; 19/20; 10/11; 1; 9/10; 10/11; 19/20; 19/20; 9/10; 19/20; ; 10/11; 10/11; 20/21
Draw; 11/5; 23/10; 21/10; 9/4; 12/5; 43/20; 12/5; 11/5; 23/10; 9/4; 23/10; 11/5; 23/10; 11/5; 12/5; 12/5; 9/4; 12/5; 23/10; 9/4; 49/20; 23/10; 40/17; 9/4; ; 9/4; 9/4; 12/5
Yeovil; 16/5; 3; 3; 16/5; 10/3; 14/5; 31/10; 5/2; 3; 16/5; 16/5; 5/2; 16/5; 10/3; 3; 3; 31/10; 13/5; 3; 31/10; 7/2; 11/4; 13/4; 3; ; 3; 3; 7/2
META; english/league-2/wycombe-v-yeovil; 2017-01-12 00:21:59 GMT+2; 2017-01-14 15:00; e70300-dr003
Wycombe; 19/20; 10/11; 19/20; 20/21; 1; 9/10; 20/21; 10/11; 1; 10/11; 19/20; 10/11; 10/11; 19/20; 19/20; 19/20; 10/11; 19/20; 9/10; 10/11; 97/100; 19/20; 9/10; 19/20; ; 10/11; 10/11; 20/21
Draw; 11/5; 9/4; 43/20; 9/4; 23/10; 43/20; 12/5; 23/10; 23/10; 9/4; 9/4; 11/5; 23/10; 11/5; 12/5; 12/5; 23/10; 12/5; 23/10; 23/10; 61/25; 23/10; 40/17; 9/4; ; 23/10; 9/4; 12/5
Yeovil; 16/5; 16/5; 3; 16/5; 10/3; 14/5; 31/10; 16/5; 3; 16/5; 16/5; 5/2; 16/5; 10/3; 3; 3; 16/5; 14/5; 3; 16/5; 17/5; 11/4; 13/4; 3; ; 3; 3; 7/2
META; english/league-2/wycombe-v-yeovil; 2017-01-12 04:22:07 GMT+2; 2017-01-14 15:00; e70300-dr003
Wycombe; 19/20; 10/11; 10/11; 20/21; 19/20; 9/10; 20/21; 10/11; 1; 10/11; 10/11; 10/11; 10/11; 19/20; 19/20; 19/20; 10/11; 19/20; 9/10; 10/11; 97/100; 19/20; 9/10; 19/20; ; 10/11; 10/11; 10/11
Draw; 11/5; 23/10; 43/20; 9/4; 12/5; 43/20; 12/5; 23/10; 23/10; 23/10; 23/10; 11/5; 23/10; 11/5; 12/5; 12/5; 23/10; 12/5; 23/10; 23/10; 61/25; 23/10; 40/17; 9/4; ; 23/10; 23/10; 12/5
Yeovil; 16/5; 10/3; 31/10; 16/5; 16/5; 14/5; 31/10; 16/5; 3; 16/5; 16/5; 5/2; 16/5; 10/3; 3; 3; 16/5; 14/5; 3; 16/5; 17/5; 11/4; 13/4; 3; ; 3; 3; 7/2
META; english/league-2/wycombe-v-yeovil; 2017-01-12 08:22:14 GMT+2; 2017-01-14 15:00; e70300-dr003
Wycombe; 19/20; 10/11; 10/11; 20/21; 19/20; 17/20; 19/20; 10/11; 1; 10/11; 10/11; 10/11; 10/11; 19/20; 19/20; 19/20; 10/11; 19/20; 9/10; 10/11; 97/100; 10/11; 9/10; 19/20; ; 10/11; 9/10; 10/11
Draw; 11/5; 23/10; 43/20; 9/4; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 23/10; 11/5; 23/10; 11/5; 12/5; 12/5; 40/17; 12/5; 23/10; 40/17; 61/25; 23/10; 40/17; 9/4; ; 23/10; 23/10; 12/5
Yeovil; 16/5; 10/3; 31/10; 16/5; 16/5; 14/5; 31/10; 16/5; 3; 16/5; 16/5; 5/2; 16/5; 10/3; 3; 3; 16/5; 14/5; 3; 16/5; 17/5; 14/5; 13/4; 3; ; 3; 3; 7/2
META; english/league-2/wycombe-v-yeovil; 2017-01-12 12:23:26 GMT+2; 2017-01-14 15:00; e70300-dr003
