META; english/league-2/hartlepool-v-wycombe; 2017-03-12 04:22:32 GMT+2; 2017-03-18 15:00; e70300-dr003
Wycombe; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hartlepool; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/hartlepool-v-wycombe; 2017-03-12 08:23:06 GMT+2; 2017-03-18 15:00; e70300-dr003
Wycombe; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hartlepool; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/hartlepool-v-wycombe; 2017-03-12 12:22:07 GMT+2; 2017-03-18 15:00; e70300-dr003
Wycombe; 6/5; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; 
Hartlepool; 11/5; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/hartlepool-v-wycombe; 2017-03-12 16:22:09 GMT+2; 2017-03-18 15:00; e70300-dr003
Wycombe; 6/5; 6/5; ; ; 5/4; ; 5/4; ; 5/4; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; 
Hartlepool; 11/5; 21/10; ; ; 9/4; ; 9/4; ; 9/4; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; 5/2; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/hartlepool-v-wycombe; 2017-03-12 20:23:39 GMT+2; 2017-03-18 15:00; e70300-dr003
Wycombe; 6/5; 6/5; ; ; 6/5; ; 6/5; ; 5/4; ; 23/20; ; ; ; ; 5/4; ; ; ; 15/13; ; ; ; ; ; ; ; 
Hartlepool; 11/5; 21/10; ; ; 9/4; ; 9/4; ; 9/4; ; 21/10; ; ; ; ; 9/4; ; ; ; 28/13; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; 5/2; ; 9/4; ; ; ; ; 12/5; ; ; ; 40/17; ; ; ; ; ; ; ; 
META; english/league-2/hartlepool-v-wycombe; 2017-03-13 00:21:38 GMT+2; 2017-03-18 15:00; e70300-dr003
Wycombe; 6/5; 6/5; ; ; 6/5; ; 6/5; ; 5/4; ; 23/20; ; ; ; ; 6/5; 15/13; ; ; 15/13; ; ; ; ; ; ; ; 
Hartlepool; 11/5; 21/10; ; ; 9/4; ; 9/4; ; 9/4; ; 21/10; ; ; ; ; 11/5; 28/13; ; ; 28/13; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; 5/2; ; 9/4; ; ; ; ; 12/5; 40/17; ; ; 40/17; ; ; ; ; ; ; ; 
META; english/league-2/hartlepool-v-wycombe; 2017-03-13 04:21:18 GMT+2; 2017-03-18 15:00; e70300-dr003
Wycombe; 6/5; 6/5; ; ; 6/5; ; 6/5; ; 5/4; ; 23/20; ; ; ; ; 6/5; 15/13; ; ; 15/13; ; ; ; ; ; ; ; 
Hartlepool; 11/5; 21/10; ; ; 9/4; ; 9/4; ; 9/4; ; 21/10; ; ; ; ; 11/5; 28/13; ; ; 28/13; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; 5/2; ; 9/4; ; ; ; ; 12/5; 40/17; ; ; 40/17; ; ; ; ; ; ; ; 
META; english/league-2/hartlepool-v-wycombe; 2017-03-13 08:21:42 GMT+2; 2017-03-18 15:00; e70300-dr003
Wycombe; 6/5; 6/5; ; ; 6/5; ; 6/5; ; 5/4; ; 23/20; 6/5; 23/20; ; ; 6/5; 15/13; ; 23/20; 15/13; ; ; 13/11; ; ; ; ; 
Hartlepool; 11/5; 21/10; ; ; 9/4; ; 9/4; ; 9/4; ; 21/10; 11/5; 9/4; ; ; 11/5; 28/13; ; 11/5; 28/13; ; ; 11/5; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; 5/2; ; 9/4; 5/2; 49/20; ; ; 12/5; 40/17; ; 12/5; 40/17; ; ; 12/5; ; ; ; ; 
META; english/league-2/hartlepool-v-wycombe; 2017-03-13 12:22:56 GMT+2; 2017-03-18 15:00; e70300-dr003
Wycombe; 6/5; 6/5; ; ; 6/5; ; 6/5; 11/10; 5/4; ; 23/20; 6/5; 23/20; ; ; 6/5; 15/13; ; 23/20; 15/13; ; ; 13/11; ; ; ; ; 
Hartlepool; 11/5; 21/10; ; ; 9/4; ; 9/4; 9/4; 9/4; ; 21/10; 11/5; 9/4; ; ; 11/5; 28/13; ; 11/5; 28/13; ; ; 11/5; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; 12/5; 5/2; ; 9/4; 5/2; 49/20; ; ; 12/5; 40/17; ; 12/5; 40/17; ; ; 12/5; ; ; ; ; 
META; english/league-2/hartlepool-v-wycombe; 2017-03-13 16:26:07 GMT+2; 2017-03-18 15:00; e70300-dr003
Wycombe; 23/20; 6/5; 23/20; ; 6/5; ; 6/5; 11/10; 5/4; ; 23/20; 6/5; 23/20; ; ; 6/5; 15/13; ; 23/20; 15/13; ; ; 13/11; ; 13/11; ; ; ; 
META; english/league-2/hartlepool-v-wycombe; 2017-03-14 20:23:02 GMT+2; 2017-03-18 15:00; e70300-dr003
Wycombe; 23/20; 6/5; 6/5; 11/10; 6/5; 11/10; 23/20; 11/10; 5/4; 23/20; 6/5; 6/5; 23/20; ; 5/4; 6/5; 15/13; 6/5; 23/20; 15/13; 6/5; 13/12; 13/11; 23/20; 13/11; ; 8/11; ; 
Hartlepool; 23/10; 9/4; 43/20; 21/10; 23/10; 21/10; 23/10; 21/10; 9/4; 9/4; 21/10; 12/5; 9/4; ; 21/10; 23/10; 11/5; 23/10; 11/5; 11/5; 12/5; 39/19; 11/5; 9/4; 11/5; ; 13/10; ; 
Draw; 12/5; 23/10; 11/5; 23/10; 5/2; 23/10; 5/2; 11/5; 5/2; 12/5; 11/5; 9/4; 12/5; ; 12/5; 5/2; 40/17; 9/4; 12/5; 40/17; 13/5; 12/5; 12/5; 12/5; 12/5; ; 9/5; ; 
META; english/league-2/hartlepool-v-wycombe; 2017-03-15 00:21:39 GMT+2; 2017-03-18 15:00; e70300-dr003
Wycombe; 23/20; 6/5; 6/5; 11/10; 6/5; 11/10; 23/20; 11/10; 5/4; 23/20; 6/5; 6/5; 23/20; 6/5; 5/4; 6/5; 15/13; 6/5; 23/20; 15/13; 6/5; 13/12; 13/11; 23/20; 13/11; ; 11/10; ; 
Hartlepool; 23/10; 9/4; 43/20; 21/10; 23/10; 21/10; 23/10; 21/10; 9/4; 9/4; 21/10; 12/5; 9/4; 11/5; 21/10; 23/10; 11/5; 23/10; 11/5; 11/5; 12/5; 39/19; 11/5; 9/4; 11/5; ; 19/10; ; 
Draw; 12/5; 23/10; 11/5; 23/10; 5/2; 23/10; 5/2; 11/5; 5/2; 12/5; 11/5; 9/4; 12/5; 5/2; 12/5; 5/2; 40/17; 9/4; 12/5; 40/17; 13/5; 12/5; 12/5; 12/5; 12/5; ; 9/4; ; 
META; english/league-2/hartlepool-v-wycombe; 2017-03-15 04:21:18 GMT+2; 2017-03-18 15:00; e70300-dr003
Wycombe; 23/20; 6/5; 6/5; 11/10; 6/5; 11/10; 6/5; 11/10; 5/4; 23/20; 6/5; 6/5; 23/20; 6/5; 5/4; 6/5; 15/13; 6/5; 23/20; ; 6/5; 13/12; 13/11; 23/20; 13/11; ; 11/10; ; 
Hartlepool; 23/10; 9/4; 43/20; 21/10; 23/10; 21/10; 9/4; 21/10; 9/4; 9/4; 21/10; 12/5; 9/4; 11/5; 21/10; 23/10; 11/5; 23/10; 11/5; ; 12/5; 39/19; 11/5; 9/4; 11/5; ; 19/10; ; 
Draw; 12/5; 23/10; 11/5; 23/10; 5/2; 23/10; 5/2; 11/5; 5/2; 12/5; 11/5; 9/4; 12/5; 5/2; 12/5; 5/2; 40/17; 9/4; 12/5; ; 13/5; 12/5; 12/5; 12/5; 12/5; ; 9/4; ; 
META; english/league-2/hartlepool-v-wycombe; 2017-03-15 08:21:00 GMT+2; 2017-03-18 15:00; e70300-dr003
Wycombe; 23/20; 6/5; 6/5; 11/10; 6/5; 11/10; 6/5; 11/10; 5/4; 6/5; 23/20; 6/5; 23/20; 6/5; 5/4; 6/5; 15/13; 6/5; 23/20; 15/13; 6/5; 13/12; 13/11; 6/5; 13/11; ; 10/9; ; 
Hartlepool; 23/10; 9/4; 11/5; 21/10; 23/10; 21/10; 9/4; 21/10; 9/4; 9/4; 11/5; 23/10; 9/4; 9/4; 21/10; 23/10; 11/5; 23/10; 11/5; 11/5; 12/5; 39/19; 11/5; 9/4; 11/5; ; 11/5; ; 
Draw; 12/5; 23/10; 11/5; 23/10; 5/2; 9/4; 5/2; 11/5; 5/2; 23/10; 11/5; 23/10; 12/5; 12/5; 12/5; 5/2; 23/10; 9/4; 12/5; 23/10; 13/5; 12/5; 12/5; 9/4; 12/5; ; 11/5; ; 
META; english/league-2/hartlepool-v-wycombe; 2017-03-15 12:24:05 GMT+2; 2017-03-18 15:00; e70300-dr003
Wycombe; 23/20; 6/5; 6/5; 5/4; 6/5; 11/10; 6/5; 11/10; 5/4; 6/5; 23/20; 6/5; 23/20; 6/5; 5/4; 5/4; 15/13; 6/5; 23/20; 15/13; 6/5; 13/12; 13/11; 6/5; 13/11; ; 10/9; 6/5; 
Hartlepool; 23/10; 9/4; 11/5; 11/5; 23/10; 21/10; 9/4; 21/10; 9/4; 9/4; 11/5; 23/10; 9/4; 9/4; 21/10; 23/10; 11/5; 23/10; 11/5; 11/5; 12/5; 39/19; 11/5; 9/4; 11/5; ; 11/5; 9/4; 
Draw; 12/5; 23/10; 11/5; 23/10; 5/2; 9/4; 5/2; 11/5; 5/2; 23/10; 11/5; 23/10; 12/5; 12/5; 12/5; 12/5; 23/10; 9/4; 12/5; 23/10; 13/5; 12/5; 12/5; 9/4; 12/5; ; 11/5; 11/5; 
META; english/league-2/hartlepool-v-wycombe; 2017-03-15 16:21:38 GMT+2; 2017-03-18 15:00; e70300-dr003
Wycombe; 23/20; 6/5; 6/5; 5/4; 6/5; 11/10; 6/5; 11/10; 5/4; 6/5; 6/5; 6/5; 23/20; 6/5; 5/4; 5/4; 6/5; 6/5; 23/20; 6/5; 6/5; 13/12; 13/11; 6/5; 13/11; ; 10/9; 6/5; 
Hartlepool; 23/10; 9/4; 11/5; 11/5; 23/10; 21/10; 9/4; 21/10; 9/4; 9/4; 11/5; 23/10; 9/4; 9/4; 21/10; 23/10; 11/5; 23/10; 11/5; 11/5; 12/5; 39/19; 11/5; 9/4; 11/5; ; 23/10; 9/4; 
Draw; 12/5; 23/10; 11/5; 23/10; 5/2; 9/4; 5/2; 11/5; 5/2; 23/10; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 23/10; 9/4; 12/5; 23/10; 13/5; 12/5; 12/5; 9/4; 12/5; ; 11/5; 11/5; 
META; english/league-2/hartlepool-v-wycombe; 2017-03-15 20:21:48 GMT+2; 2017-03-18 15:00; e70300-dr003
Wycombe; 6/5; 5/4; 13/10; 5/4; 13/10; 6/5; 13/10; 11/10; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 5/4; 5/4; 5/4; 6/5; 23/20; 5/4; 6/5; 6/5; 13/11; 13/10; 13/11; ; 6/5; 13/10; 
Hartlepool; 11/5; 9/4; 21/10; 11/5; 11/5; 2; 85/40; 12/5; 9/4; 21/10; 21/10; 9/4; 11/5; 21/10; 21/10; 23/10; 11/5; 23/10; 11/5; 11/5; 12/5; 37/19; 11/5; 11/5; 11/5; ; 9/4; 21/10; 
Draw; 12/5; 9/4; 21/10; 23/10; 12/5; 43/20; 12/5; 23/10; 23/10; 9/4; 23/10; 21/10; 23/10; 23/10; 12/5; 12/5; 9/4; 11/5; 12/5; 9/4; 13/5; 9/4; 12/5; 11/5; 12/5; ; 21/10; 21/10; 
META; english/league-2/hartlepool-v-wycombe; 2017-03-16 00:27:16 GMT+2; 2017-03-18 15:00; e70300-dr003
Wycombe; 6/5; 5/4; 5/4; 5/4; 5/4; 23/20; 5/4; 11/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 6/5; 23/20; 5/4; 129/100; 6/5; 13/11; 5/4; 13/11; ; 6/5; 5/4; 
Hartlepool; 11/5; 9/4; 11/5; 11/5; 9/4; 41/20; 11/5; 12/5; 9/4; 11/5; 11/5; 11/5; 11/5; 9/4; 21/10; 23/10; 11/5; 23/10; 11/5; 11/5; 111/50; 37/19; 11/5; 11/5; 11/5; ; 21/10; 21/10; 
Draw; 12/5; 9/4; 21/10; 23/10; 12/5; 43/20; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 12/5; 9/4; 11/5; 12/5; 9/4; 129/50; 9/4; 12/5; 11/5; 12/5; ; 9/4; 21/10; 
META; english/league-2/hartlepool-v-wycombe; 2017-03-16 04:21:12 GMT+2; 2017-03-18 15:00; e70300-dr003
Wycombe; 6/5; 5/4; 5/4; 5/4; 13/10; 23/20; 5/4; 11/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; ; 23/20; 5/4; 129/100; 6/5; 13/11; 5/4; 13/11; ; 5/4; 6/5; 
Hartlepool; 11/5; 9/4; 11/5; 11/5; 23/10; 41/20; 11/5; 12/5; 9/4; 11/5; 11/5; 11/5; 11/5; 9/4; 21/10; 23/10; 11/5; ; 11/5; 11/5; 111/50; 37/19; 11/5; 9/4; 11/5; ; 21/10; 21/10; 
Draw; 12/5; 9/4; 21/10; 23/10; 23/10; 43/20; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 12/5; 23/10; ; 12/5; 23/10; 129/50; 9/4; 12/5; 11/5; 12/5; ; 9/4; 21/10; 
META; english/league-2/hartlepool-v-wycombe; 2017-03-16 08:21:12 GMT+2; 2017-03-18 15:00; e70300-dr003
Wycombe; 6/5; 5/4; 5/4; 5/4; 13/10; 23/20; 5/4; 11/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 6/5; 23/20; 5/4; 129/100; 6/5; 13/11; 5/4; 13/11; ; 5/4; 6/5; 
Hartlepool; 11/5; 9/4; 11/5; 11/5; 23/10; 41/20; 11/5; 12/5; 9/4; 11/5; 11/5; 11/5; 11/5; 9/4; 21/10; 23/10; 11/5; 23/10; 11/5; 11/5; 111/50; 37/19; 11/5; 9/4; 11/5; ; 21/10; 21/10; 
Draw; 12/5; 9/4; 21/10; 23/10; 23/10; 43/20; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 12/5; 23/10; 11/5; 12/5; 23/10; 129/50; 9/4; 12/5; 11/5; 12/5; ; 9/4; 21/10; 
META; english/league-2/hartlepool-v-wycombe; 2017-03-16 12:22:10 GMT+2; 2017-03-18 15:00; e70300-dr003
Wycombe; 6/5; 5/4; 5/4; 5/4; 13/10; 23/20; 5/4; 11/10; 13/10; 5/4; 5/4; 5/4; 6/5; 5/4; 13/10; 5/4; 6/5; 6/5; 23/20; 6/5; 129/100; 6/5; 13/11; 5/4; 13/11; ; 5/4; 6/5; 
