META; english/league-2/stevenage-v-crewe; 2016-07-27 00:19:36 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 16/11; 16/11; 13/10; 7/5; 7/5; 6/4; 23/17; ; 20/21; ; 
Crewe; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; 9/5; 31/16; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; 9/4; 5/2; 9/4; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 9/4; 11/5; 11/5; 11/5; 28/13; 5/2; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-27 04:19:27 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 16/11; 16/11; 13/10; 7/5; 7/5; 6/4; 23/17; ; 20/21; ; 
Crewe; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; 9/5; 31/16; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; 9/4; 5/2; 9/4; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 9/4; 11/5; 11/5; 11/5; 28/13; 5/2; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-27 08:19:36 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 16/11; 16/11; 13/10; 7/5; 7/5; ; 23/17; ; 20/21; ; 
Crewe; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; 9/5; ; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; 9/4; 5/2; 9/4; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 9/4; 11/5; 11/5; 11/5; 28/13; ; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-27 12:19:53 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 16/11; 16/11; 13/10; 7/5; 7/5; ; 23/17; ; 1; ; 
Crewe; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; 9/5; ; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; 9/4; 5/2; 9/4; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 9/4; 11/5; 11/5; 11/5; 28/13; ; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-27 16:20:04 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; ; 7/5; ; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 16/11; 16/11; 13/10; 7/5; 7/5; 6/4; 23/17; ; 1; ; 
Crewe; 7/4; 9/5; ; 9/5; ; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; 9/5; 31/16; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; ; 5/2; ; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 9/4; 11/5; 11/5; 11/5; 28/13; 5/2; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-27 20:20:34 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 16/11; 16/11; 13/10; 7/5; 7/5; 6/4; 23/17; ; 27/20; ; 
Crewe; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; 9/5; 31/16; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; 9/4; 5/2; 9/4; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 9/4; 11/5; 11/5; 11/5; 28/13; 5/2; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-28 00:19:46 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 16/11; 16/11; 13/10; 7/5; 7/5; 6/4; 23/17; ; 27/20; ; 
Crewe; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; 9/5; 31/16; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; 9/4; 5/2; 9/4; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 9/4; 11/5; 11/5; 11/5; 28/13; 5/2; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-28 04:18:38 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 16/11; 16/11; 13/10; 7/5; 7/5; 6/4; 23/17; ; 27/20; ; 
Crewe; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; 9/5; 31/16; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; 9/4; 5/2; 9/4; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 9/4; 11/5; 11/5; 11/5; 28/13; 5/2; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-28 08:20:01 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 16/11; 16/11; 13/10; 7/5; 7/5; 6/4; 23/17; ; 27/20; ; 
Crewe; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; 9/5; 31/16; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; 9/4; 5/2; 9/4; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 9/4; 11/5; 11/5; 11/5; 28/13; 5/2; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-28 12:20:17 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 16/11; 16/11; 13/10; 7/5; 7/5; 6/4; 23/17; ; 27/20; ; 
Crewe; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; 9/5; 31/16; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; 9/4; 5/2; 9/4; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 9/4; 11/5; 11/5; 11/5; 28/13; 5/2; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-28 16:20:30 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 16/11; 16/11; 13/10; 7/5; 7/5; 6/4; 23/17; ; 27/20; ; 
Crewe; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; 9/5; 31/16; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; 9/4; 5/2; 9/4; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 9/4; 11/5; 11/5; 11/5; 28/13; 5/2; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-28 20:20:54 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 16/11; 16/11; 13/10; 7/5; 7/5; 6/4; 23/17; ; 27/20; ; 
Crewe; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; 9/5; 31/16; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; 9/4; 5/2; 9/4; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 9/4; 11/5; 11/5; 11/5; 28/13; 5/2; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-29 00:19:42 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 16/11; 16/11; 13/10; 7/5; ; 6/4; 23/17; ; 27/20; ; 
Crewe; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; ; 31/16; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; 9/4; 5/2; 9/4; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 9/4; 11/5; 11/5; 11/5; ; 5/2; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-29 04:18:50 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 16/11; 16/11; 13/10; 7/5; 7/5; 6/4; 23/17; ; 27/20; ; 
Crewe; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; 9/5; 31/16; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; 9/4; 5/2; 9/4; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 9/4; 11/5; 11/5; 11/5; 11/5; 5/2; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-29 08:18:44 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 16/11; 16/11; 13/10; 7/5; 7/5; 6/4; 23/17; ; 27/20; ; 
Crewe; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; 9/5; 31/16; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; 9/4; 5/2; 9/4; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 9/4; 11/5; 11/5; 11/5; 28/13; 5/2; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-29 12:19:00 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 7/5; 16/11; 13/10; 7/5; 7/5; 6/4; 23/17; ; 27/20; ; 
Crewe; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; 9/5; 31/16; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; 9/4; 5/2; 9/4; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 12/5; 11/5; 11/5; 11/5; 11/5; 5/2; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-29 16:19:42 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 16/11; 16/11; 13/10; 7/5; 7/5; 6/4; 23/17; ; 27/20; ; 
Crewe; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; 9/5; 31/16; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; 9/4; 5/2; 9/4; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 9/4; 11/5; 11/5; 11/5; 11/5; 5/2; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-29 20:20:53 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 16/11; 16/11; 13/10; 7/5; 7/5; 6/4; 23/17; ; 27/20; ; 
Crewe; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; 9/5; 31/16; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; 9/4; 5/2; 9/4; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 9/4; 11/5; 11/5; 11/5; 11/5; 5/2; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-30 00:19:55 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 7/5; 16/11; 13/10; 7/5; 7/5; 6/4; 23/17; ; 27/20; ; 
Crewe; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; 9/5; 31/16; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; 9/4; 5/2; 9/4; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 12/5; 11/5; 11/5; 11/5; 11/5; 5/2; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-30 04:19:52 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 16/11; 16/11; 13/10; 7/5; 7/5; 6/4; 23/17; ; 27/20; ; 
Crewe; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; 9/5; 31/16; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; 9/4; 5/2; 9/4; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 9/4; 11/5; 11/5; 11/5; 11/5; 5/2; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-30 08:20:40 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 16/11; 16/11; 13/10; 7/5; 7/5; 6/4; 23/17; ; 27/20; ; 
Crewe; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; 9/5; 31/16; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; 9/4; 5/2; 9/4; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 9/4; 11/5; 11/5; 11/5; 11/5; 5/2; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-30 12:20:59 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 7/5; 16/11; 13/10; 7/5; 7/5; 6/4; 23/17; ; 27/20; ; 
Crewe; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; 9/5; 31/16; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; 9/4; 5/2; 9/4; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 12/5; 11/5; 11/5; 11/5; 11/5; 5/2; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-30 16:21:27 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 16/11; 16/11; 13/10; 7/5; 7/5; 6/4; 23/17; ; 27/20; ; 
Crewe; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; 9/5; 31/16; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; 9/4; 5/2; 9/4; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 9/4; 11/5; 11/5; 11/5; 11/5; 5/2; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-30 20:20:28 GMT+3; 2016-08-06 15:00; e70300-dr003
Stevenage; 29/20; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 11/8; ; 16/11; 7/5; 11/8; 29/20; 7/5; 29/20; 7/5; 7/5; 16/11; 13/10; 7/5; 7/5; 6/4; 23/17; ; 27/20; ; 
Crewe; 7/4; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 13/8; 15/8; 19/10; 19/10; 6/4; 17/10; 9/5; 15/8; 9/5; 7/4; 19/10; 9/5; 19/10; 9/5; 31/16; 28/17; ; 9/5; ; 
Draw; 12/5; 9/4; 9/4; 5/2; 9/4; 11/5; 5/2; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 5/2; 12/5; 11/5; 11/5; 11/5; 11/5; 5/2; 40/17; ; 11/5; ; 
META; english/league-2/stevenage-v-crewe; 2016-07-31 00:20:01 GMT+3; 2016-08-06 15:00; e70300-dr003
