META; english/league-2/notts-county-v-mansfield; 2017-01-08 00:23:05 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Notts County; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/notts-county-v-mansfield; 2017-01-08 04:21:49 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Notts County; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/notts-county-v-mansfield; 2017-01-08 08:21:57 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Notts County; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/notts-county-v-mansfield; 2017-01-08 12:22:41 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Notts County; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/notts-county-v-mansfield; 2017-01-08 16:22:48 GMT+2; 2017-01-14 15:00; e70300-dr003
Notts County; 6/4; 8/5; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; 167/100; ; ; ; ; ; ; 
Mansfield; 17/10; 8/5; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; 177/100; ; ; ; ; ; ; 
Draw; 12/5; 9/4; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; 49/20; ; ; ; ; ; ; 
META; english/league-2/notts-county-v-mansfield; 2017-01-08 20:22:58 GMT+2; 2017-01-14 15:00; e70300-dr003
Notts County; 8/5; 8/5; 8/5; ; ; ; 17/10; ; 13/8; 13/8; 8/5; ; 13/8; ; ; 8/5; 17/11; ; ; ; 17/11; 167/100; ; ; ; ; ; ; 
Mansfield; 8/5; 8/5; 8/5; ; ; ; 8/5; ; 13/8; 8/5; 8/5; ; 8/5; ; ; 8/5; 17/11; ; ; ; 17/11; 177/100; ; ; ; ; ; ; 
Draw; 12/5; 9/4; 11/5; ; ; ; 12/5; ; 12/5; 23/10; 11/5; ; 47/20; ; ; 12/5; 40/17; ; ; ; 40/17; 49/20; ; ; ; ; ; ; 
META; english/league-2/notts-county-v-mansfield; 2017-01-09 00:21:48 GMT+2; 2017-01-14 15:00; e70300-dr003
Notts County; 8/5; 8/5; 8/5; ; 17/10; ; 17/10; ; 13/8; 13/8; 8/5; ; 13/8; ; ; 8/5; 28/17; ; ; ; 28/17; 167/100; ; ; ; ; 13/8; ; 
Mansfield; 8/5; 8/5; 8/5; ; 17/10; ; 8/5; ; 13/8; 8/5; 31/20; ; 8/5; ; ; 8/5; 8/5; ; ; ; 8/5; 177/100; ; ; ; ; 6/4; ; 
Draw; 12/5; 9/4; 11/5; ; 12/5; ; 12/5; ; 12/5; 23/10; 11/5; ; 47/20; ; ; 12/5; 11/5; ; ; ; 11/5; 49/20; ; ; ; ; 23/10; ; 
META; english/league-2/notts-county-v-mansfield; 2017-01-09 04:21:30 GMT+2; 2017-01-14 15:00; e70300-dr003
Notts County; 8/5; 8/5; 8/5; 17/10; 17/10; ; 17/10; ; 13/8; 13/8; 8/5; ; 13/8; ; ; 8/5; 28/17; 28/17; ; 13/8; 28/17; 167/100; ; 28/17; ; ; 13/8; ; 
Mansfield; 8/5; 8/5; 8/5; 13/8; 17/10; ; 8/5; ; 13/8; 8/5; 31/20; ; 8/5; ; ; 8/5; 8/5; 8/5; ; 8/5; 8/5; 177/100; ; 8/5; ; ; 7/5; ; 
Draw; 12/5; 9/4; 11/5; 11/5; 12/5; ; 12/5; ; 12/5; 23/10; 11/5; ; 47/20; ; ; 12/5; 11/5; 40/17; ; 23/10; 11/5; 49/20; ; 40/17; ; ; 23/10; ; 
META; english/league-2/notts-county-v-mansfield; 2017-01-09 08:21:40 GMT+2; 2017-01-14 15:00; e70300-dr003
Notts County; 8/5; 8/5; 8/5; 17/10; 17/10; ; 17/10; ; 13/8; 13/8; 8/5; ; 13/8; ; ; 8/5; 28/17; 28/17; ; 13/8; 28/17; 167/100; ; 28/17; ; ; 13/8; ; 
Mansfield; 8/5; 8/5; 8/5; 13/8; 17/10; ; 8/5; ; 13/8; 8/5; 31/20; ; 8/5; ; ; 8/5; 8/5; 8/5; ; 8/5; 8/5; 177/100; ; 8/5; ; ; 7/5; ; 
Draw; 12/5; 9/4; 11/5; 11/5; 12/5; ; 12/5; ; 12/5; 23/10; 11/5; ; 47/20; ; ; 12/5; 11/5; 40/17; ; 23/10; 11/5; 49/20; ; 40/17; ; ; 23/10; ; 
META; english/league-2/notts-county-v-mansfield; 2017-01-09 12:22:01 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 11/8; 7/5; 11/8; 7/5; 29/20; 7/5; 29/20; 13/10; 6/4; 7/5; 11/8; ; 29/20; ; 6/4; 16/11; 16/11; 8/5; 23/17; 8/5; 16/11; 31/20; 7/5; 8/5; ; ; 7/5; 7/5; 
Notts County; 19/10; 19/10; 37/20; 15/8; 2; 17/10; 15/8; 17/10; 15/8; 9/5; 9/5; ; 9/5; ; 15/8; 15/8; 7/4; 28/17; 24/13; 13/8; 7/4; 19/10; 7/4; 28/17; ; ; 17/10; 17/10; 
Draw; 12/5; 12/5; 11/5; 12/5; 12/5; 43/20; 12/5; 11/5; 23/10; 23/10; 11/5; ; 47/20; ; 11/5; 12/5; 9/4; 40/17; 12/5; 23/10; 9/4; 49/20; 23/10; 40/17; ; ; 23/10; 23/10; 
META; english/league-2/notts-county-v-mansfield; 2017-01-09 16:22:38 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 11/8; 7/5; 7/5; 6/4; 6/4; 7/5; 29/20; 13/10; 6/4; 7/5; 7/5; 7/5; 7/5; ; 6/4; 16/11; 7/5; 23/17; 7/5; 7/5; 38/25; 7/5; 10/7; ; ; 7/5; 7/5; 
META; english/league-2/notts-county-v-mansfield; 2017-01-11 00:22:04 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 11/8; 6/4; 29/20; 6/4; 6/4; 11/8; 6/4; 6/4; 6/4; 7/5; 29/20; 7/5; 29/20; 7/5; 6/4; 6/4; 7/5; 23/17; 7/5; 7/5; 38/25; 7/5; 10/7; ; ; 7/5; 7/5; 
Notts County; 19/10; 9/5; 7/4; 15/8; 19/10; 7/4; 9/5; 9/5; 15/8; 9/5; 7/4; 8/5; 9/5; 9/5; 9/5; 9/5; 9/5; 24/13; 9/5; 9/5; 39/20; 7/4; 9/5; ; ; 15/8; 7/4; 
Draw; 12/5; 23/10; 43/20; 11/5; 12/5; 43/20; 12/5; 23/10; 23/10; 9/4; 21/10; 21/10; 47/20; 12/5; 23/10; 12/5; 9/4; 12/5; 12/5; 9/4; 49/20; 23/10; 12/5; ; ; 23/10; 9/4; 
META; english/league-2/notts-county-v-mansfield; 2017-01-11 04:22:07 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 11/8; 6/4; 29/20; 6/4; 29/20; 11/8; 29/20; 6/4; 6/4; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 6/4; 7/5; 23/17; 7/5; 7/5; 38/25; 7/5; 10/7; ; ; 7/5; 7/5; 
Notts County; 19/10; 9/5; 9/5; 15/8; 2; 7/4; 15/8; 9/5; 15/8; 15/8; 9/5; 8/5; 37/20; 15/8; 9/5; 15/8; 9/5; 24/13; 9/5; 9/5; 39/20; 7/4; 9/5; ; ; 15/8; 7/4; 
Draw; 12/5; 23/10; 43/20; 11/5; 12/5; 43/20; 12/5; 23/10; 23/10; 9/4; 21/10; 21/10; 47/20; 12/5; 23/10; 23/10; 9/4; 12/5; 12/5; 9/4; 49/20; 23/10; 12/5; ; ; 23/10; 9/4; 
META; english/league-2/notts-county-v-mansfield; 2017-01-11 08:22:04 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 11/8; 6/4; 29/20; 6/4; 29/20; 11/8; 29/20; 6/4; 6/4; 7/5; 7/5; 7/5; 7/5; 11/8; 6/4; 6/4; 7/5; 23/17; 7/5; 7/5; 38/25; 7/5; 10/7; ; ; 7/5; ; 
Notts County; 19/10; 9/5; 9/5; 15/8; 2; 7/4; 15/8; 9/5; 15/8; 15/8; 9/5; 8/5; 37/20; 15/8; 9/5; 15/8; 24/13; 24/13; 9/5; 24/13; 39/20; 7/4; 9/5; ; ; 15/8; ; 
Draw; 12/5; 23/10; 43/20; 11/5; 12/5; 43/20; 12/5; 23/10; 23/10; 9/4; 21/10; 21/10; 47/20; 12/5; 23/10; 23/10; 11/5; 12/5; 12/5; 11/5; 49/20; 23/10; 12/5; ; ; 23/10; ; 
META; english/league-2/notts-county-v-mansfield; 2017-01-11 12:23:01 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 11/8; 7/5; 7/5; 29/20; 29/20; 11/8; 6/4; 6/4; 6/4; 7/5; 29/20; 7/5; 7/5; 11/8; 6/4; 16/11; 7/5; 23/17; 7/5; 7/5; 38/25; 7/5; 10/7; ; ; 7/5; 11/8; 
Notts County; 19/10; 19/10; 37/20; 15/8; 19/10; 7/4; 15/8; 9/5; 15/8; 15/8; 19/10; 8/5; 37/20; 15/8; 9/5; 15/8; 9/5; 24/13; 9/5; 9/5; 39/20; 17/10; 9/5; ; ; 15/8; 9/5; 
Draw; 12/5; 23/10; 11/5; 23/10; 5/2; 43/20; 12/5; 23/10; 23/10; 9/4; 23/10; 21/10; 47/20; 12/5; 23/10; 12/5; 9/4; 12/5; 12/5; 9/4; 49/20; 23/10; 12/5; ; ; 23/10; 19/10; 
META; english/league-2/notts-county-v-mansfield; 2017-01-11 16:25:00 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 11/8; 7/5; 7/5; 6/4; 29/20; 11/8; 7/5; 13/10; 6/4; 7/5; 29/20; 7/5; 7/5; 11/8; 6/4; 16/11; 16/11; 23/17; 7/5; 16/11; 38/25; 7/5; 10/7; ; ; 7/5; 7/5; 6/4
Notts County; 19/10; 19/10; 37/20; 2; 19/10; 7/4; 15/8; 17/10; 15/8; 15/8; 19/10; 8/5; 37/20; 15/8; 9/5; 15/8; 24/13; 24/13; 9/5; 24/13; 39/20; 17/10; 9/5; ; ; 15/8; 9/5; 19/10
Draw; 12/5; 23/10; 43/20; 21/10; 5/2; 43/20; 5/2; 11/5; 23/10; 23/10; 23/10; 21/10; 47/20; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; 23/10; 49/20; 23/10; 12/5; ; ; 9/4; 9/4; 12/5
META; english/league-2/notts-county-v-mansfield; 2017-01-12 00:21:52 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 11/8; 7/5; 7/5; 6/4; 29/20; 11/8; 29/20; 6/4; 6/4; 7/5; 29/20; 7/5; 7/5; 11/8; 6/4; 16/11; 16/11; 23/17; 7/5; 16/11; 6/4; 7/5; 10/7; ; ; 7/5; 7/5; 6/4
Notts County; 19/10; 19/10; 37/20; 2; 2; 7/4; 15/8; 9/5; 15/8; 15/8; 19/10; 8/5; 37/20; 15/8; 9/5; 15/8; 24/13; 24/13; 9/5; 24/13; 99/50; 17/10; 9/5; ; ; 15/8; 9/5; 19/10
Draw; 12/5; 23/10; 43/20; 21/10; 12/5; 43/20; 12/5; 23/10; 23/10; 9/4; 23/10; 21/10; 47/20; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; 23/10; 49/20; 23/10; 12/5; ; ; 9/4; 9/4; 12/5
META; english/league-2/notts-county-v-mansfield; 2017-01-12 04:21:59 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 11/8; 6/4; 7/5; 6/4; 29/20; 11/8; 29/20; 6/4; 6/4; 7/5; 29/20; 7/5; 7/5; 11/8; 6/4; 6/4; 16/11; 23/17; 7/5; 16/11; 6/4; 7/5; 10/7; ; ; 7/5; 7/5; 6/4
Notts County; 19/10; 19/10; 37/20; 2; 2; 7/4; 15/8; 9/5; 15/8; 15/8; 15/8; 8/5; 37/20; 15/8; 9/5; 15/8; 24/13; 24/13; 9/5; 24/13; 99/50; 17/10; 9/5; ; ; 15/8; 9/5; 19/10
Draw; 12/5; 11/5; 43/20; 21/10; 12/5; 43/20; 12/5; 23/10; 23/10; 9/4; 23/10; 21/10; 47/20; 12/5; 23/10; 23/10; 23/10; 12/5; 12/5; 23/10; 49/20; 23/10; 12/5; ; ; 9/4; 11/5; 12/5
META; english/league-2/notts-county-v-mansfield; 2017-01-12 08:22:06 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 11/8; 6/4; 7/5; 6/4; 29/20; 27/20; 29/20; 6/4; 6/4; 7/5; 29/20; 7/5; 7/5; 11/8; 6/4; 6/4; 16/11; 23/17; 7/5; 16/11; 6/4; 7/5; 10/7; ; ; 7/5; 7/5; 6/4
Notts County; 19/10; 19/10; 37/20; 2; 2; 7/4; 15/8; 9/5; 15/8; 15/8; 15/8; 8/5; 37/20; 15/8; 9/5; 15/8; 24/13; 24/13; 9/5; 24/13; 99/50; 17/10; 9/5; ; ; 15/8; 9/5; 19/10
Draw; 12/5; 11/5; 43/20; 21/10; 12/5; 43/20; 12/5; 23/10; 23/10; 9/4; 23/10; 21/10; 47/20; 12/5; 23/10; 23/10; 9/4; 12/5; 12/5; 9/4; 49/20; 23/10; 12/5; ; ; 9/4; 11/5; 12/5
META; english/league-2/notts-county-v-mansfield; 2017-01-12 12:23:16 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 11/8; 7/5; 7/5; 6/4; 29/20; 27/20; 29/20; 6/4; 6/4; 7/5; 29/20; 7/5; 29/20; 11/8; 6/4; 16/11; 16/11; 23/17; 7/5; 16/11; 29/20; 7/5; 10/7; ; ; 7/5; 7/5; 6/4
Notts County; 19/10; 19/10; 37/20; 2; 2; 7/4; 15/8; 9/5; 15/8; 15/8; 19/10; 8/5; 19/10; 15/8; 9/5; 15/8; 24/13; 24/13; 9/5; 24/13; 41/20; 17/10; 9/5; ; ; 19/10; 9/5; 19/10
Draw; 12/5; 23/10; 43/20; 21/10; 12/5; 43/20; 12/5; 23/10; 23/10; 9/4; 23/10; 21/10; 47/20; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 49/20; 23/10; 40/17; ; ; 23/10; 11/5; 12/5
META; english/league-2/notts-county-v-mansfield; 2017-01-12 16:24:17 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 11/8; 7/5; 7/5; 29/20; 29/20; 27/20; 29/20; 7/5; 6/4; 7/5; 7/5; 6/4; 29/20; 29/20; 6/4; 16/11; 7/5; 23/17; 7/5; 7/5; 147/100; 7/5; 10/7; ; ; 7/5; 11/8; 7/5
Notts County; 19/10; 19/10; 37/20; 15/8; 2; 7/4; 15/8; 15/8; 15/8; 19/10; 19/10; 9/5; 19/10; 2; 9/5; 15/8; 19/10; 24/13; 9/5; 19/10; 101/50; 9/5; 9/5; ; ; 19/10; 15/8; 2
Draw; 12/5; 23/10; 43/20; 23/10; 12/5; 43/20; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 47/20; 5/2; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 49/20; 23/10; 40/17; ; ; 23/10; 9/4; 12/5
META; english/league-2/notts-county-v-mansfield; 2017-01-12 20:23:10 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 5/4; 7/5; 5/4; 5/4; 13/10; 23/20; 5/4; 13/10; 13/10; 5/4; 13/10; 7/5; 5/4; 13/10; 13/10; 13/10; 5/4; 6/5; 5/4; 5/4; 139/100; 6/5; 23/18; ; ; 13/10; 5/4; 13/10
Notts County; 21/10; 19/10; 21/10; 9/4; 11/5; 41/20; 11/5; 21/10; 9/4; 21/10; 2; 15/8; 11/5; 11/5; 21/10; 11/5; 21/10; 21/10; 2; 21/10; 85/40; 21/10; 39/19; ; ; 21/10; 2; 11/5
Draw; 12/5; 23/10; 11/5; 9/4; 12/5; 11/5; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 5/2; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 123/50; 23/10; 40/17; ; ; 23/10; 23/10; 12/5
META; english/league-2/notts-county-v-mansfield; 2017-01-13 00:21:52 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 5/4; 6/5; 5/4; 5/4; 13/10; 23/20; 5/4; 13/10; 13/10; 5/4; 5/4; 7/5; 5/4; 13/10; 13/10; 13/10; 5/4; 6/5; 5/4; 5/4; 13/10; 6/5; 23/18; ; ; 5/4; 6/5; 13/10
Notts County ; 21/10; 9/4; 21/10; 9/4; 11/5; 41/20; 11/5; 21/10; 9/4; 21/10; 21/10; 15/8; 11/5; 11/5; 21/10; 11/5; 28/13; 21/10; 2; 28/13; 9/4; 21/10; 39/19; ; ; 21/10; 2; 9/4
Draw; 12/5; 23/10; 11/5; 9/4; 12/5; 11/5; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 5/2; 23/10; 12/5; 40/17; 12/5; 23/10; 40/17; 5/2; 23/10; 40/17; ; ; 23/10; 23/10; 5/2
META; english/league-2/notts-county-v-mansfield; 2017-01-13 00:47:30 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 5/4; 6/5; 5/4; 5/4; 13/10; 23/20; 5/4; 13/10; 13/10; 5/4; 5/4; 7/5; 5/4; 13/10; 13/10; 13/10; 5/4; 6/5; 5/4; 5/4; 13/10; 6/5; 23/18; ; ; 5/4; 6/5; 13/10
Notts County ; 21/10; 9/4; 21/10; 9/4; 11/5; 41/20; 11/5; 21/10; 9/4; 21/10; 21/10; 15/8; 11/5; 11/5; 21/10; 11/5; 28/13; 21/10; 2; 28/13; 9/4; 21/10; 39/19; ; ; 21/10; 2; 9/4
Draw; 12/5; 23/10; 11/5; 9/4; 12/5; 11/5; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 5/2; 23/10; 12/5; 40/17; 12/5; 23/10; 40/17; 5/2; 23/10; 40/17; ; ; 23/10; 23/10; 5/2
META; english/league-2/notts-county-v-mansfield; 2017-01-13 01:46:59 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 5/4; 6/5; 5/4; 5/4; 13/10; 23/20; 5/4; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 13/10; 13/10; 5/4; 5/4; 6/5; 5/4; 5/4; 13/10; 6/5; 23/18; ; ; 5/4; 6/5; 13/10
Notts County ; 21/10; 9/4; 21/10; 9/4; 11/5; 41/20; 11/5; 21/10; 9/4; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 11/5; 28/13; 21/10; 2; 28/13; 9/4; 21/10; 39/19; ; ; 21/10; 2; 9/4
Draw; 12/5; 23/10; 11/5; 9/4; 12/5; 11/5; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 5/2; 23/10; 12/5; 40/17; 12/5; 23/10; 40/17; 5/2; 23/10; 40/17; ; ; 12/5; 23/10; 5/2
META; english/league-2/notts-county-v-mansfield; 2017-01-13 03:46:52 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 13/10; 6/5; 5/4; 5/4; 13/10; 23/20; 6/5; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 13/10; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 13/10; 6/5; 23/18; ; ; 5/4; 5/4; 13/10
Notts County ; 23/10; 9/4; 21/10; 9/4; 9/4; 41/20; 11/5; 21/10; 9/4; 21/10; 11/5; 11/5; 11/5; 9/4; 21/10; 11/5; 28/13; 21/10; 2; 28/13; 9/4; 21/10; 39/19; ; ; 21/10; 21/10; 9/4
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 11/5; 5/2; 23/10; 12/5; 23/10; 23/10; 23/10; 12/5; 5/2; 23/10; 12/5; 40/17; 12/5; 23/10; 40/17; 5/2; 23/10; 40/17; ; ; 12/5; 12/5; 5/2
META; english/league-2/notts-county-v-mansfield; 2017-01-13 04:21:48 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 13/10; 6/5; 5/4; 5/4; 13/10; 23/20; 6/5; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 13/10; 13/10; 5/4; 5/4; 6/5; 5/4; 5/4; 13/10; 6/5; 23/18; ; ; 5/4; 5/4; 13/10
Notts County ; 23/10; 9/4; 21/10; 9/4; 9/4; 41/20; 11/5; 21/10; 9/4; 21/10; 11/5; 11/5; 11/5; 9/4; 21/10; 11/5; 28/13; 21/10; 2; 28/13; 9/4; 21/10; 39/19; ; ; 21/10; 21/10; 9/4
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 11/5; 5/2; 23/10; 12/5; 23/10; 23/10; 23/10; 12/5; 5/2; 23/10; 12/5; 40/17; 12/5; 23/10; 40/17; 5/2; 23/10; 40/17; ; ; 12/5; 12/5; 5/2
META; english/league-2/notts-county-v-mansfield; 2017-01-13 05:46:54 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 13/10; 6/5; 5/4; 5/4; 13/10; 23/20; 6/5; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 13/10; 13/10; 5/4; 5/4; 6/5; 5/4; 5/4; 13/10; 6/5; 23/18; ; ; 5/4; 5/4; 13/10
Notts County ; 23/10; 9/4; 21/10; 9/4; 9/4; 41/20; 11/5; 21/10; 9/4; 21/10; 11/5; 11/5; 11/5; 9/4; 21/10; 11/5; 28/13; 21/10; 2; 28/13; 9/4; 21/10; 39/19; ; ; 21/10; 21/10; 9/4
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 11/5; 5/2; 23/10; 12/5; 23/10; 23/10; 23/10; 12/5; 5/2; 23/10; 12/5; 40/17; 12/5; 23/10; 40/17; 5/2; 23/10; 40/17; ; ; 12/5; 12/5; 5/2
META; english/league-2/notts-county-v-mansfield; 2017-01-13 06:28:29 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 13/10; 6/5; 5/4; 5/4; 13/10; 23/20; 6/5; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 13/10; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 13/10; 6/5; 23/18; ; ; 5/4; ; 13/10
Notts County ; 23/10; 9/4; 21/10; 9/4; 9/4; 41/20; 11/5; 21/10; 9/4; 21/10; 11/5; 11/5; 11/5; 9/4; 21/10; 11/5; 28/13; 21/10; 2; 28/13; 9/4; 21/10; 39/19; ; ; 21/10; ; 9/4
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 11/5; 5/2; 23/10; 12/5; 23/10; 23/10; 23/10; 12/5; 5/2; 23/10; 12/5; 40/17; 12/5; 23/10; 40/17; 5/2; 23/10; 40/17; ; ; 12/5; ; 5/2
META; english/league-2/notts-county-v-mansfield; 2017-01-13 07:46:57 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 13/10; 6/5; 5/4; 5/4; 13/10; 23/20; 6/5; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 13/10; 13/10; 5/4; 6/5; 6/5; 5/4; 6/5; 13/10; 6/5; 23/18; ; ; 5/4; 5/4; 13/10
Notts County ; 23/10; 9/4; 21/10; 9/4; 9/4; 41/20; 11/5; 21/10; 9/4; 21/10; 11/5; 11/5; 11/5; 9/4; 21/10; 11/5; 28/13; 21/10; 2; 28/13; 9/4; 21/10; 39/19; ; ; 21/10; 21/10; 9/4
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 11/5; 5/2; 23/10; 12/5; 23/10; 23/10; 23/10; 12/5; 5/2; 23/10; 12/5; 40/17; 12/5; 23/10; 40/17; 5/2; 23/10; 40/17; ; ; 12/5; 12/5; 5/2
META; english/league-2/notts-county-v-mansfield; 2017-01-13 08:21:38 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 13/10; 6/5; 5/4; 5/4; 13/10; 23/20; 6/5; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 13/10; 13/10; 5/4; 5/4; 6/5; 5/4; 5/4; 13/10; 6/5; 23/18; ; ; 5/4; 5/4; 13/10
Notts County ; 23/10; 9/4; 21/10; 9/4; 9/4; 41/20; 11/5; 21/10; 9/4; 21/10; 11/5; 11/5; 11/5; 9/4; 21/10; 11/5; 28/13; 21/10; 2; 28/13; 9/4; 21/10; 39/19; ; ; 21/10; 21/10; 11/5
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 11/5; 5/2; 23/10; 12/5; 23/10; 23/10; 23/10; 12/5; 5/2; 23/10; 12/5; 40/17; 12/5; 23/10; 40/17; 5/2; 23/10; 40/17; ; ; 12/5; 12/5; 5/2
META; english/league-2/notts-county-v-mansfield; 2017-01-13 09:46:54 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 13/10; 6/5; 5/4; 5/4; 13/10; 23/20; 13/10; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 13/10; 13/10; 5/4; 5/4; 6/5; 5/4; 5/4; 13/10; 6/5; 23/18; ; ; 5/4; 5/4; 13/10
Notts County ; 23/10; 9/4; 21/10; 9/4; 11/5; 2; 11/5; 21/10; 9/4; 21/10; 11/5; 11/5; 11/5; 9/4; 21/10; 11/5; 21/10; 21/10; 2; 21/10; 9/4; 21/10; 39/19; ; ; 21/10; 21/10; 11/5
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 11/5; 5/2; 23/10; 12/5; 23/10; 23/10; 23/10; 12/5; 5/2; 23/10; 12/5; 40/17; 12/5; 23/10; 40/17; 5/2; 23/10; 40/17; ; ; 12/5; 12/5; 5/2
META; english/league-2/notts-county-v-mansfield; 2017-01-13 11:47:39 GMT+2; 2017-01-14 15:00; e70300-dr003
Mansfield; 27/20; 5/4; 13/10; 13/10; 11/8; 23/20; 7/5; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 11/8; 13/10; 13/10; 5/4; 6/5; 5/4; 5/4; 13/10; 6/5; 23/18; ; ; 27/20; 27/20; 27/20
Notts County ; 11/5; 11/5; 2; 2; 21/10; 2; 2; 21/10; 85/40; 2; 21/10; 11/5; 21/10; 11/5; 21/10; 11/5; 21/10; 21/10; 2; 21/10; 9/4; 21/10; 39/19; ; ; 2; 2; 21/10
Draw; 5/2; 23/10; 11/5; 23/10; 12/5; 11/5; 5/2; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 5/2; 23/10; 12/5; 40/17; 12/5; 23/10; 40/17; 5/2; 23/10; 40/17; ; ; 23/10; 23/10; 5/2
META; english/league-2/notts-county-v-mansfield; 2017-01-13 12:25:25 GMT+2; 2017-01-14 15:00; e70300-dr003
