META; english/premier-league/west-brom-v-stoke; 2017-01-22 00:17:21 GMT+2; 2017-02-04 15:00; e70300-dr003
West Brom; 6/5; 5/4; 27/20; 13/10; 13/10; 27/20; 11/8; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 11/8; 13/10; 13/10; 13/10; 23/17; 5/4; 13/10; 69/50; 25/19; 5/4; ; ; 5/4; ; 
Stoke; 12/5; 9/4; 11/5; 9/4; 11/5; 23/10; 23/10; 9/4; 23/10; 9/4; 21/10; 11/5; 9/4; 21/10; 9/4; 12/5; 11/5; 2; 9/4; 11/5; 12/5; 9/4; 9/4; ; ; 19/10; ; 
Draw; 11/5; 9/4; 11/5; 21/10; 23/10; 23/10; 9/4; 21/10; 23/10; 21/10; 21/10; 11/5; 9/4; 12/5; 9/4; 23/10; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; ; ; 11/5; ; 
META; english/premier-league/west-brom-v-stoke; 2017-01-24 04:17:00 GMT+2; 2017-02-04 15:00; e70300-dr003
West Brom; 6/5; 5/4; 27/20; 13/10; 13/10; 27/20; 11/8; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 11/8; 13/10; 13/10; 13/10; 23/17; 5/4; 13/10; 69/50; 25/19; 5/4; ; ; 5/4; ; 
Stoke; 12/5; 9/4; 11/5; 9/4; 11/5; 23/10; 23/10; 9/4; 23/10; 9/4; 21/10; 11/5; 9/4; 21/10; 9/4; 12/5; 11/5; 2; 9/4; 11/5; 12/5; 9/4; 9/4; ; ; 19/10; ; 
Draw; 11/5; 9/4; 11/5; 21/10; 23/10; 23/10; 9/4; 21/10; 23/10; 21/10; 21/10; 11/5; 9/4; 12/5; 9/4; 23/10; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; ; ; 11/5; ; 
META; english/premier-league/west-brom-v-stoke; 2017-01-24 08:16:55 GMT+2; 2017-02-04 15:00; e70300-dr003
West Brom; 6/5; 5/4; 27/20; 13/10; 13/10; 27/20; 11/8; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 11/8; 13/10; 11/8; 13/10; 23/17; 5/4; 13/10; 69/50; 25/19; 5/4; ; ; 5/4; ; 
Stoke; 12/5; 9/4; 11/5; 9/4; 11/5; 23/10; 23/10; 9/4; 23/10; 9/4; 21/10; 11/5; 9/4; 21/10; 9/4; 23/10; 11/5; 2; 9/4; 11/5; 12/5; 9/4; 9/4; ; ; 19/10; ; 
Draw; 11/5; 9/4; 11/5; 21/10; 23/10; 23/10; 9/4; 21/10; 23/10; 21/10; 21/10; 11/5; 9/4; 12/5; 9/4; 23/10; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; ; ; 11/5; ; 
META; english/premier-league/west-brom-v-stoke; 2017-01-24 12:17:07 GMT+2; 2017-02-04 15:00; e70300-dr003
West Brom; 6/5; 5/4; 27/20; 13/10; 13/10; 27/20; 11/8; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 11/8; 13/10; 13/10; 13/10; 23/17; 5/4; 13/10; 69/50; 25/19; 5/4; ; ; 5/4; ; 
Stoke; 12/5; 9/4; 11/5; 9/4; 11/5; 23/10; 23/10; 9/4; 23/10; 9/4; 21/10; 11/5; 9/4; 21/10; 9/4; 12/5; 11/5; 2; 9/4; 11/5; 12/5; 9/4; 9/4; ; ; 19/10; ; 
Draw; 11/5; 9/4; 11/5; 21/10; 23/10; 23/10; 9/4; 21/10; 23/10; 21/10; 21/10; 11/5; 9/4; 12/5; 9/4; 23/10; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; ; ; 11/5; ; 
META; english/premier-league/west-brom-v-stoke; 2017-01-24 16:17:11 GMT+2; 2017-02-04 15:00; e70300-dr003
West Brom; 6/5; 5/4; 27/20; 13/10; 13/10; 27/20; 11/8; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 11/8; 13/10; 11/8; 13/10; 23/17; 5/4; 13/10; 69/50; 25/19; 5/4; ; ; 5/4; ; 
Stoke; 12/5; 9/4; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; 23/10; 9/4; 21/10; 11/5; 9/4; 21/10; 9/4; 23/10; 11/5; 2; 9/4; ; 12/5; 9/4; 9/4; ; ; 19/10; ; 
Draw; 11/5; 9/4; 11/5; 21/10; 11/5; 23/10; 9/4; 21/10; 23/10; 21/10; 21/10; 11/5; 9/4; 12/5; 9/4; 23/10; 11/5; 11/5; 9/4; ; 23/10; 11/5; 9/4; ; ; 11/5; ; 
META; english/premier-league/west-brom-v-stoke; 2017-01-24 20:17:05 GMT+2; 2017-02-04 15:00; e70300-dr003
West Brom; 6/5; 5/4; 27/20; 13/10; 13/10; 27/20; 11/8; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 11/8; 13/10; 13/10; 5/4; 23/17; 5/4; ; 69/50; 25/19; 5/4; ; ; 5/4; ; 
Stoke; 12/5; 9/4; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; 23/10; 9/4; 21/10; 11/5; 9/4; 21/10; 9/4; 12/5; 11/5; 2; 9/4; ; 12/5; 9/4; 9/4; ; ; 19/10; ; 
Draw; 11/5; 9/4; 11/5; 21/10; 11/5; 23/10; 9/4; 21/10; 23/10; 21/10; 21/10; 11/5; 9/4; 12/5; 9/4; 23/10; 11/5; 11/5; 9/4; ; 23/10; 11/5; 9/4; ; ; 11/5; ; 
META; english/premier-league/west-brom-v-stoke; 2017-01-25 00:16:46 GMT+2; 2017-02-04 15:00; e70300-dr003
West Brom; 6/5; 5/4; 27/20; 13/10; 13/10; 27/20; 11/8; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 11/8; 13/10; 13/10; 5/4; 23/17; 5/4; 5/4; 69/50; 25/19; 5/4; ; ; 5/4; ; 
Stoke; 12/5; 9/4; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; 23/10; 9/4; 21/10; 11/5; 9/4; 21/10; 9/4; 12/5; 11/5; 2; 9/4; 11/5; 12/5; 9/4; 9/4; ; ; 2; ; 
Draw; 11/5; 9/4; 11/5; 21/10; 11/5; 23/10; 9/4; 21/10; 23/10; 21/10; 21/10; 11/5; 9/4; 12/5; 9/4; 23/10; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; ; ; 11/5; ; 
META; english/premier-league/west-brom-v-stoke; 2017-01-25 04:16:44 GMT+2; 2017-02-04 15:00; e70300-dr003
West Brom; 6/5; 5/4; 27/20; 13/10; 13/10; 27/20; 11/8; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 11/8; 13/10; 13/10; 13/10; 23/17; 5/4; 13/10; 69/50; 25/19; 5/4; ; ; 5/4; ; 
Stoke; 12/5; 9/4; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; 23/10; 9/4; 21/10; 11/5; 9/4; 21/10; 9/4; 12/5; 11/5; 2; 9/4; 11/5; 12/5; 9/4; 9/4; ; ; 2; ; 
Draw; 11/5; 9/4; 11/5; 21/10; 11/5; 23/10; 9/4; 21/10; 23/10; 21/10; 21/10; 11/5; 9/4; 12/5; 9/4; 23/10; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; ; ; 11/5; ; 
META; english/premier-league/west-brom-v-stoke; 2017-01-25 08:16:43 GMT+2; 2017-02-04 15:00; e70300-dr003
West Brom; 6/5; 5/4; 27/20; 13/10; 13/10; 27/20; 11/8; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 11/8; 13/10; 13/10; 5/4; 23/17; 5/4; 5/4; 69/50; 25/19; 5/4; ; ; 5/4; ; 
Stoke; 12/5; 9/4; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; 23/10; 9/4; 21/10; 11/5; 9/4; 21/10; 9/4; 12/5; 11/5; 2; 9/4; 11/5; 12/5; 9/4; 9/4; ; ; 21/10; ; 
Draw; 11/5; 9/4; 11/5; 21/10; 9/4; 23/10; 9/4; 21/10; 23/10; 21/10; 21/10; 11/5; 9/4; 12/5; 9/4; 23/10; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; ; ; 9/4; ; 
META; english/premier-league/west-brom-v-stoke; 2017-01-25 12:17:19 GMT+2; 2017-02-04 15:00; e70300-dr003
West Brom; 6/5; 5/4; 27/20; 13/10; 13/10; 27/20; 11/8; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 11/8; 13/10; 13/10; 13/10; 23/17; 5/4; 13/10; 69/50; 25/19; 5/4; ; ; 5/4; ; 
Stoke; 12/5; 9/4; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; 23/10; 9/4; 21/10; 11/5; 9/4; 21/10; 9/4; 12/5; 11/5; 2; 9/4; 11/5; 12/5; 9/4; 9/4; ; ; 21/10; ; 
Draw; 11/5; 9/4; 11/5; 21/10; 9/4; 23/10; 9/4; 21/10; 23/10; 21/10; 21/10; 11/5; 9/4; 12/5; 9/4; 23/10; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; ; ; 9/4; ; 
META; english/premier-league/west-brom-v-stoke; 2017-01-25 16:16:58 GMT+2; 2017-02-04 15:00; e70300-dr003
West Brom; 6/5; 5/4; 27/20; 13/10; 13/10; 27/20; 11/8; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 11/8; 13/10; 13/10; 13/10; 23/17; 5/4; 13/10; 69/50; 25/19; 5/4; ; ; 5/4; ; 
Stoke; 12/5; 9/4; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; 23/10; 9/4; 21/10; 11/5; 9/4; 21/10; 9/4; 12/5; 11/5; 2; 9/4; 11/5; 12/5; 9/4; 9/4; ; ; 21/10; ; 
Draw; 11/5; 9/4; 11/5; 21/10; 9/4; 23/10; 9/4; 21/10; 23/10; 21/10; 21/10; 11/5; 9/4; 12/5; 9/4; 23/10; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; ; ; 11/5; ; 
META; english/premier-league/west-brom-v-stoke; 2017-01-25 20:16:56 GMT+2; 2017-02-04 15:00; e70300-dr003
West Brom; 6/5; 5/4; 27/20; 13/10; 13/10; 27/20; 11/8; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 11/8; 13/10; 13/10; 13/10; 23/17; 5/4; 13/10; 69/50; 25/19; 5/4; ; ; 5/4; ; 
Draw; 11/5; 11/5; 11/5; 21/10; 9/4; 23/10; 9/4; 21/10; 23/10; 21/10; 21/10; 11/5; 9/4; 12/5; 9/4; 9/4; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; ; ; 11/5; ; 
