META; english/championship/bristol-city-v-burton; 2017-09-30 22:21:14 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Bristol City; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 16/5; ; ; ; ; 
Burton; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; 
META; english/championship/bristol-city-v-burton; 2017-10-01 02:21:11 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Bristol City; ; 1/2; ; ; ; ; ; 4/9; 1/2; ; ; ; ; ; ; ; ; 1/2; ; ; ; 1/2; ; 1/2; ; ; ; ; 
Draw; ; 3; ; ; ; ; ; 7/2; 7/2; ; ; ; ; ; ; ; ; 17/5; ; ; ; 17/5; ; 10/3; ; ; ; ; 
Burton; ; 5; ; ; ; ; ; 9/2; 23/5; ; ; ; ; ; ; ; ; 9/2; ; ; ; 9/2; ; 5; ; ; ; ; 
META; english/championship/bristol-city-v-burton; 2017-10-01 10:21:07 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Bristol City; ; 1/2; ; ; ; ; ; 4/9; 1/2; ; ; ; ; ; ; ; ; 1/2; ; ; ; 1/2; ; 1/2; ; ; ; ; 
Draw; ; 3; ; ; ; ; ; 7/2; 7/2; ; ; ; ; ; ; ; ; 17/5; ; ; ; 17/5; ; 10/3; ; ; ; ; 
Burton; ; 5; ; ; ; ; ; 5; 23/5; ; ; ; ; ; ; ; ; 9/2; ; ; ; 9/2; ; 5; ; ; ; ; 
META; english/championship/bristol-city-v-burton; 2017-10-01 14:21:17 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Bristol City; 4/11; 1/2; ; 4/11; 4/11; ; 2/5; 1/3; 2/5; ; 2/5; ; ; ; ; 2/5; ; 2/5; 4/11; ; ; 2/5; ; 4/11; ; ; ; ; 
Draw; 15/4; 3; ; 15/4; 18/5; ; 15/4; 7/2; 18/5; ; 7/2; ; ; ; ; 15/4; ; 18/5; 37/10; ; ; 18/5; ; 7/2; ; ; ; ; 
Burton; 7; 5; ; 15/2; 15/2; ; 15/2; 8; 6; ; 7; ; ; ; ; 15/2; ; 6; 27/4; ; ; 6; ; 7; ; ; ; ; 
META; english/championship/bristol-city-v-burton; 2017-10-01 18:20:44 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Bristol City; 4/11; 1/2; ; 4/11; 4/11; 38/100; 4/11; 1/3; 2/5; ; 4/11; ; ; ; 4/11; 4/11; 6/17; 2/5; 4/11; ; 6/17; 2/5; ; 4/11; ; ; ; ; 
Draw; 15/4; 3; ; 15/4; 18/5; 4; 18/5; 7/2; 18/5; ; 7/2; ; ; ; 4; 15/4; 15/4; 18/5; 37/10; ; 62/17; 18/5; ; 7/2; ; ; ; ; 
Burton; 7; 5; ; 15/2; 15/2; 31/4; 17/2; 8; 6; ; 15/2; ; ; ; 15/2; 8; 29/4; 6; 13/2; ; 59/10; 6; ; 7; ; ; ; ; 
META; english/championship/bristol-city-v-burton; 2017-10-01 22:20:33 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Bristol City; 4/11; 4/9; ; 4/11; 4/11; 38/100; 4/11; 1/3; 2/5; ; 4/11; 2/5; ; 4/11; 4/11; 2/5; 6/17; 2/5; 4/11; ; 6/17; 2/5; ; 4/11; ; ; 1/3; ; 
Draw; 15/4; 10/3; ; 15/4; 18/5; 4; 18/5; 7/2; 18/5; ; 7/2; 15/4; ; 4; 4; 15/4; 15/4; 18/5; 37/10; ; 62/17; 18/5; ; 7/2; ; ; 14/5; ; 
Burton; 7; 6; ; 15/2; 15/2; 31/4; 17/2; 8; 6; ; 15/2; 15/2; ; 8; 15/2; 15/2; 29/4; 6; 13/2; ; 59/10; 6; ; 7; ; ; 29/5; ; 
META; english/championship/bristol-city-v-burton; 2017-10-02 02:20:26 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Bristol City; 4/11; 4/9; ; 4/11; 4/11; 38/100; 2/5; 1/3; 2/5; ; 4/11; 2/5; ; 4/11; 2/5; 2/5; 6/17; 2/5; 7/19; ; 6/17; 2/5; ; 4/11; ; ; 1/3; ; 
Draw; 15/4; 10/3; ; 15/4; 18/5; 4; 18/5; 7/2; 18/5; ; 7/2; 15/4; ; 4; 15/4; 15/4; 15/4; 18/5; 37/10; ; 62/17; 18/5; ; 7/2; ; ; 14/5; ; 
Burton; 7; 6; ; 15/2; 15/2; 31/4; 8; 8; 6; ; 15/2; 15/2; ; 8; 7; 15/2; 29/4; 6; 13/2; ; 59/10; 6; ; 7; ; ; 29/5; ; 
META; english/championship/bristol-city-v-burton; 2017-10-02 10:20:53 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Bristol City; 4/11; 4/9; ; 4/11; 4/11; 38/100; 4/11; 1/3; 2/5; ; 4/11; 2/5; ; 4/11; 2/5; 2/5; 6/17; 2/5; 7/19; ; 6/17; 2/5; ; 4/11; ; ; 4/11; ; 
Draw; 15/4; 10/3; ; 15/4; 18/5; 4; 15/4; 7/2; 18/5; ; 7/2; 15/4; ; 4; 15/4; 15/4; 15/4; 18/5; 37/10; ; 62/17; 18/5; ; 7/2; ; ; 7/2; ; 
Burton; 7; 6; ; 15/2; 15/2; 31/4; 8; 8; 6; ; 15/2; 15/2; ; 8; 7; 15/2; 29/4; 6; 13/2; ; 59/10; 6; ; 7; ; ; 37/5; ; 
META; english/championship/bristol-city-v-burton; 2017-10-02 18:21:08 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Bristol City; 4/11; 2/5; ; 4/11; 4/11; 38/100; 4/11; 1/3; 2/5; ; 4/11; 2/5; ; 4/11; 2/5; 4/11; 6/17; 10/29; 2/5; 6/17; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 
Draw; 15/4; 19/5; 18/5; 15/4; 18/5; 4; 7/2; 7/2; 37/10; 18/5; 15/4; 37/10; ; 19/5; 15/4; 7/2; 15/4; 62/17; 4; 62/17; 18/5; 19/5; 19/5; 15/4; ; 3; ; 
Burton; 7; 13/2; 7; 15/2; 15/2; 31/4; 7; 8; 13/2; 13/2; 15/2; 7; ; 8; 7; 7; 29/4; 27/4; 42/5; 11/2; 13/2; 7; 7; 15/2; ; 36/5; ; 
META; english/championship/bristol-city-v-burton; 2017-10-04 10:21:31 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Bristol City; 4/11; 2/5; 2/5; 4/11; 4/11; 38/100; 4/11; 1/3; 2/5; 2/5; 4/11; 2/5; ; 4/11; 2/5; 4/11; 6/17; 4/11; 2/5; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 
Draw; 15/4; 19/5; 18/5; 15/4; 18/5; 4; 7/2; 7/2; 37/10; 18/5; 15/4; 37/10; ; 19/5; 15/4; 7/2; 15/4; 62/17; 4; 62/17; 18/5; 19/5; 19/5; 15/4; ; 3; ; 
Burton; 7; 13/2; 7; 15/2; 15/2; 31/4; 7; 8; 13/2; 13/2; 15/2; 7; ; 8; 7; 7; 29/4; 27/4; 42/5; 11/2; 13/2; 7; 15/2; 15/2; ; 11/2; ; 
META; english/championship/bristol-city-v-burton; 2017-10-04 14:21:35 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Bristol City; 4/11; 2/5; 2/5; 4/11; 4/11; 38/100; 4/11; 1/3; 2/5; 2/5; 4/11; 2/5; ; 4/11; 2/5; 4/11; 6/17; 4/11; 2/5; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 
Draw; 15/4; 19/5; 18/5; 15/4; 18/5; 4; 7/2; 7/2; 37/10; 18/5; 15/4; 37/10; ; 19/5; 15/4; 7/2; 15/4; 37/10; 4; 62/17; 18/5; 19/5; 19/5; 15/4; ; 10/3; ; 
Burton; 7; 13/2; 7; 15/2; 15/2; 31/4; 7; 8; 13/2; 13/2; 15/2; 7; ; 8; 7; 7; 29/4; 27/4; 42/5; 11/2; 13/2; 7; 15/2; 15/2; ; 31/5; ; 
META; english/championship/bristol-city-v-burton; 2017-10-04 18:21:35 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Bristol City; 4/11; 2/5; 2/5; 4/11; 4/11; 38/100; 4/11; 1/3; 2/5; 2/5; 4/11; 2/5; ; 4/11; 2/5; 4/11; 6/17; 4/11; 2/5; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 
Draw; 15/4; 19/5; 18/5; 15/4; 18/5; 4; 7/2; 7/2; 37/10; 18/5; 15/4; 37/10; ; 19/5; 15/4; 7/2; 15/4; 37/10; 4; 62/17; 18/5; 19/5; 19/5; 15/4; ; 10/3; ; 
Burton; 7; 13/2; 7; 15/2; 15/2; 31/4; 7; 8; 13/2; 13/2; 15/2; 7; ; 8; 7; 7; 29/4; 27/4; 42/5; 11/2; 13/2; 7; 15/2; 15/2; ; 31/5; ; 
META; english/championship/bristol-city-v-burton; 2017-10-04 22:21:22 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Bristol City; 4/11; 2/5; 2/5; 4/11; 4/11; 38/100; 4/11; 1/3; 2/5; 2/5; 4/11; 2/5; ; 4/11; 2/5; 4/11; 6/17; 4/11; 2/5; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 
Draw; 15/4; 19/5; 18/5; 15/4; 18/5; 4; 7/2; 7/2; 37/10; 18/5; 15/4; 37/10; ; 19/5; 15/4; 7/2; 15/4; 37/10; 4; 62/17; 18/5; 19/5; 19/5; 15/4; ; 10/3; ; 
Burton; 7; 13/2; 7; 15/2; 15/2; 31/4; 7; 8; 13/2; 13/2; 15/2; 7; ; 8; 7; 7; 29/4; 27/4; 42/5; 11/2; 13/2; 7; 15/2; 15/2; ; 11/2; ; 
META; english/championship/bristol-city-v-burton; 2017-10-05 02:21:24 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Bristol City; 4/11; 2/5; 2/5; 4/11; 4/11; 38/100; 4/11; 1/3; 2/5; 2/5; 4/11; 2/5; ; 4/11; 2/5; 4/11; 6/17; 4/11; 2/5; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 
Draw; 15/4; 19/5; 18/5; 15/4; 18/5; 4; 7/2; 7/2; 37/10; 18/5; 15/4; 37/10; ; 19/5; 15/4; 7/2; 15/4; 37/10; 4; 62/17; 18/5; 19/5; 19/5; 15/4; ; 7/2; ; 
Burton; 7; 13/2; 7; 15/2; 15/2; 31/4; 7; 8; 13/2; 13/2; 15/2; 7; ; 8; 7; 7; 29/4; 27/4; 42/5; 11/2; 13/2; 7; 15/2; 15/2; ; 31/5; ; 
META; english/championship/bristol-city-v-burton; 2017-10-05 10:21:35 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Bristol City; 4/11; 2/5; 2/5; 4/11; 4/11; 38/100; 4/11; 1/3; 2/5; 2/5; 4/11; 2/5; ; 4/11; 2/5; 4/11; 6/17; 4/11; 2/5; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 
Draw; 15/4; 19/5; 18/5; 15/4; 18/5; 4; 7/2; 7/2; 37/10; 18/5; 15/4; 37/10; ; 19/5; 15/4; 7/2; 15/4; 37/10; 4; 62/17; 18/5; 19/5; 19/5; 15/4; ; 10/3; ; 
Burton; 7; 13/2; 7; 15/2; 15/2; 31/4; 7; 8; 13/2; 13/2; 15/2; 7; ; 8; 7; 7; 29/4; 27/4; 42/5; 11/2; 13/2; 7; 15/2; 15/2; ; 31/5; ; 
META; english/championship/bristol-city-v-burton; 2017-10-05 14:21:43 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Bristol City; 4/11; 2/5; 2/5; 4/11; 4/11; 38/100; 4/11; 1/3; 2/5; 2/5; 4/11; 2/5; ; 4/11; 2/5; 4/11; 6/17; 4/11; 2/5; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 
Draw; 15/4; 19/5; 18/5; 15/4; 18/5; 4; 7/2; 7/2; 37/10; 18/5; 15/4; 37/10; ; 19/5; 15/4; 7/2; 15/4; 37/10; 4; 62/17; 18/5; 19/5; 19/5; 15/4; ; 3; ; 
Burton; 7; 13/2; 7; 15/2; 15/2; 31/4; 7; 8; 13/2; 13/2; 15/2; 7; ; 8; 7; 7; 29/4; 27/4; 42/5; 11/2; 13/2; 7; 15/2; 15/2; ; 31/5; ; 
META; english/championship/bristol-city-v-burton; 2017-10-05 18:22:02 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Bristol City; 4/11; 2/5; 2/5; 4/11; 4/11; 38/100; 4/11; 1/3; 2/5; 2/5; 4/11; 2/5; ; 4/11; 2/5; 4/11; 6/17; 4/11; 2/5; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 
Draw; 15/4; 19/5; 18/5; 15/4; 18/5; 4; 7/2; 7/2; 37/10; 18/5; 15/4; 37/10; ; 19/5; 15/4; 7/2; 15/4; 37/10; 4; 62/17; 18/5; 19/5; 19/5; 15/4; ; 7/2; ; 
Burton; 7; 13/2; 7; 15/2; 15/2; 31/4; 7; 8; 13/2; 13/2; 15/2; 7; ; 8; 7; 7; 29/4; 27/4; 42/5; 11/2; 13/2; 7; 15/2; 15/2; ; 7; ; 
META; english/championship/bristol-city-v-burton; 2017-10-05 22:21:45 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Bristol City; 4/11; 2/5; 2/5; 4/11; 4/11; 38/100; 4/11; 1/3; 2/5; 2/5; 4/11; 2/5; ; 4/11; 2/5; 4/11; 6/17; 4/11; 2/5; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 
Draw; 15/4; 19/5; 18/5; 15/4; 18/5; 4; 7/2; 7/2; 37/10; 18/5; 15/4; 37/10; ; 19/5; 15/4; 7/2; 15/4; 37/10; 4; 62/17; 18/5; 19/5; 19/5; 15/4; ; 3; ; 
Burton; 7; 13/2; 7; 15/2; 15/2; 31/4; 7; 8; 13/2; 13/2; 15/2; 7; ; 8; 7; 7; 29/4; 27/4; 42/5; 11/2; 13/2; 7; 15/2; 15/2; ; 36/5; ; 
META; english/championship/bristol-city-v-burton; 2017-10-06 02:23:04 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Bristol City; 4/11; 2/5; 2/5; 4/11; 4/11; 38/100; 4/11; 1/3; 2/5; 2/5; 4/11; 2/5; ; 4/11; 2/5; 4/11; 6/17; 4/11; 2/5; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 
Draw; 15/4; 19/5; 18/5; 15/4; 18/5; 4; 7/2; 7/2; 37/10; 18/5; 15/4; 37/10; ; 19/5; 15/4; 7/2; 15/4; 37/10; 4; 62/17; 18/5; 19/5; 19/5; 15/4; ; 7/2; ; 
Burton; 7; 13/2; 7; 15/2; 15/2; 31/4; 7; 8; 13/2; 13/2; 15/2; 7; ; 8; 7; 7; 29/4; 27/4; 42/5; 11/2; 13/2; 7; 15/2; 15/2; ; 7; ; 
META; english/championship/bristol-city-v-burton; 2017-10-06 10:21:42 GMT+3; 2017-10-13 19:45; Nothing; Xlenovo
Bristol City; 4/11; 2/5; 2/5; 4/11; 4/11; 38/100; 4/11; 1/3; 2/5; 2/5; 4/11; 2/5; ; 4/11; 2/5; 4/11; 6/17; 4/11; 2/5; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 
Draw; 15/4; 19/5; 18/5; 15/4; 18/5; 4; 7/2; 7/2; 37/10; 18/5; 15/4; 37/10; ; 19/5; 15/4; 7/2; 15/4; 37/10; 4; 62/17; 18/5; 19/5; 19/5; 15/4; ; 7/2; ; 
Burton; 7; 13/2; 7; 15/2; 15/2; 31/4; 7; 8; 13/2; 13/2; 15/2; 7; ; 8; 7; 7; 29/4; 27/4; 42/5; 11/2; 13/2; 7; 15/2; 15/2; ; 7; ; 
