META; english/championship/cardiff-v-barnsley; 2018-03-03 18:21:30 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Cardiff; 4/9; 1/2; 49/00; 40/85; 7/15; 4/9; 5/11; 1/2; 9/20; 1/2; 1/2; 1/2; 6/13; 5/11; 1/2; 1/2; 1/2; 4/9
Draw; 16/5; 3; 7/2; 10/3; 10/3; 16/5; 57/17; 3; 16/5; 100/0; 16/5; 58/19; 31/10; 13/4; 10/3; 16/5; 58/19; 3
Barnsley; 13/2; 6; 69/10; 13/2; 6; 23/4; 6; 11/2; 13/2; 53/10; 47/10; 23/4; 6; 11/2; 91/17; 29/5; ; 
META; english/championship/cardiff-v-barnsley; 2018-03-03 22:20:33 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Cardiff; 4/9; 8/15; 1/2; 1/2; 40/85; 7/15; 4/9; 5/11; 1/2; 9/20; 11/20; 8/15; 8/15; 1/2; 1/2; 6/13; 5/11; 1/2; 1/2; 1/2; 4/9
Draw; 16/5; 14/5; 3; 69/20; 10/3; 16/5; 16/5; 57/17; 29/10; 16/5; 14/5; 3; 16/5; 16/5; 58/19; 31/10; 13/4; 16/5; 16/5; 58/19; 3
Barnsley; 13/2; 11/2; 11/2; 34/5; 13/2; 6; 23/4; 11/2; 6; 11/2; 11/2; 11/2; 6; 21/4; 47/10; 23/4; 6; 11/2; 53/10; 29/5; 
META; english/championship/cardiff-v-barnsley; 2018-03-04 02:20:11 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Cardiff; 4/9; 8/15; 1/2; 1/2; 1/2; 8/15; 7/15; 4/9; 5/11; 1/2; 1/2; 11/20; 8/15; 8/15; 1/2; 1/2; 10/21; 6/13; 5/11; 1/2; 1/2; 1/2; 4/9
Draw; 16/5; 3; 14/5; 69/20; 10/3; 16/5; 3; 57/17; 29/10; 3; 14/5; 3; 16/5; 3; 58/19; 10/3; 31/10; 13/4; 16/5; 16/5; 58/19; 3; 
Barnsley; 13/2; 11/2; 11/2; 5; 34/5; 6; 11/2; 23/4; 11/2; 6; 11/2; 11/2; 11/2; 6; 21/4; 21/4; 47/10; 23/4; 6; 11/2; 53/10; 11/2; 
META; english/championship/cardiff-v-barnsley; 2018-03-04 10:20:15 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Cardiff; 4/9; 8/15; 1/2; 11/20; 1/2; 8/15; 1/2; 4/9; 5/11; 1/2; 1/2; 11/20; 11/20; 8/15; 1/2; 1/2; 10/21; 7/15; 5/11; 1/2; 1/2; 18/35; 1/2
Draw; 16/5; 3; 3; 69/20; 10/3; 16/5; 3; 57/17; 29/10; 3; 14/5; 3; 16/5; 3; 10/3; 58/19; 13/4; 16/5; 16/5; 58/19; 3; ; 
Barnsley; 13/2; 11/2; 11/2; 5; 34/5; 6; 11/2; 23/4; 11/2; 6; 11/2; 11/2; 11/2; 6; 21/4; 21/4; 47/10; 23/4; 6; 11/2; 53/10; 11/2; 
META; english/championship/cardiff-v-barnsley; 2018-03-04 14:20:51 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Cardiff; 4/9; 8/15; 8/15; 11/20; 13/25; 8/15; 1/2; 1/2; 5/11; 8/15; 1/2; 11/20; 11/20; 11/20; 8/15; 18/35; 10/21; 7/15; 5/11; 8/15; 1/2; 18/35; 4/9; 1/2
Draw; 16/5; 3; 29/10; 3; 17/5; 10/3; 3; 57/17; 14/5; 3; 14/5; 29/10; 16/5; 3; 10/3; 3; 13/4; 31/10; 16/5; 3; 13/5; ; ; 
Barnsley; 13/2; 11/2; 11/2; 5; 32/5; 6; 11/2; 11/2; 23/4; 11/2; 6; 11/2; 5; 11/2; 21/4; 21/4; 24/5; 23/4; 11/2; 11/2; 53/10; 11/2; 23/5; 
META; english/championship/cardiff-v-barnsley; 2018-03-04 18:20:39 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Cardiff; 11/20; 8/15; 4/7; 11/20; 29/50; 13/20; 8/15; 4/7; 1/2; 4/7; 8/15; 4/7; 6/10; 4/7; 8/15; 8/15; 10/21; 7/15; 1/2; 4/7; 8/15; 8/15; 8/15; 8/15
Draw; 14/5; 3; 14/5; 3; 63/20; 3; 29/10; 11/4; 31/10; 14/5; 3; 14/5; 14/5; 3; 14/5; 37/13; 10/3; 3; 31/10; 3; 59/20; 29/10; 14/5; 14/5
Barnsley; 11/2; 11/2; 5; 59/10; 5; 11/2; 9/2; 21/4; 11/2; 11/2; 5; 5; 11/2; 51/10; 21/4; 24/5; 21/4; 21/4; 11/2; 67/13; 5; 26/5; ; 
META; english/championship/cardiff-v-barnsley; 2018-03-04 22:20:16 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Cardiff; 11/20; 4/7; 4/7; 11/20; 29/50; 13/20; 8/15; 4/7; 1/2; 4/7; 8/15; 4/7; 4/7; 6/10; 4/7; 8/15; 8/15; 10/21; 7/15; 1/2; 8/13; 8/15; 8/15; 8/15; 8/15; 8/15
Draw; 14/5; 14/5; 14/5; 3; 63/20; 3; 29/10; 11/4; 31/10; 14/5; 3; 14/5; 3; 14/5; 3; 14/5; 37/13; 10/3; 3; 31/10; 3; 59/20; 37/13; 14/5; 11/4; 3
Barnsley; 11/2; 5; 5; 59/10; 5; 11/2; 9/2; 21/4; 11/2; 11/2; 5; 5; 11/2; 51/10; 21/4; 24/5; 21/4; 11/2; 11/2; 67/13; 26/5; 26/5; 29/5; ; ; 
META; english/championship/cardiff-v-barnsley; 2018-03-05 02:20:31 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Cardiff; 11/20; 4/7; 6/10; 11/20; 3/5; 13/20; 5/9; 4/7; 1/2; 6/10; 4/7; 6/10; 6/10; 8/13; 4/7; 4/7; 8/15; 1/2; 6/11; 1/2; 8/13; 4/7; 5/9; 4/7; 4/7; 4/7
Draw; 14/5; 14/5; 11/4; 3; 61/20; 3; 29/10; 11/4; 31/10; 14/5; 3; 14/5; 14/5; 11/4; 3; 14/5; 14/5; 29/10; 37/13; 31/10; 3; 59/20; 37/13; 14/5; 27/10; 3
Barnsley; 11/2; 5; 5; 29/5; 5; 11/2; 9/2; 21/4; 5; 9/2; 5; 5; 96/19; 23/4; 41/10; 21/4; 21/4; 5; 51/10; 26/5; 24/5; 29/5; ; ; ; 
META; english/championship/cardiff-v-barnsley; 2018-03-05 10:20:29 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Cardiff; 3/5; 8/13; 6/10; 11/20; 3/5; 13/20; 5/9; 4/7; 1/2; 6/10; 4/7; 6/10; 6/10; 8/13; 4/7; 4/7; 8/15; 1/2; 6/11; 1/2; 8/13; 4/7; 5/9; 4/7; 4/7; 8/15
Draw; 3; 14/5; 11/4; 3; 61/20; 3; 29/10; 11/4; 31/10; 14/5; 11/4; 14/5; 14/5; 11/4; 3; 14/5; 14/5; 29/10; 37/13; 31/10; 3; 59/20; 37/13; 14/5; 27/10; 5/2
Barnsley; 11/2; 19/4; 5; 29/5; 5; 9/2; 21/4; 5; 11/2; 9/2; 5; 5; 5; 23/4; 41/10; 21/4; 21/4; 5; 96/19; 26/5; 24/5; 24/5; ; ; ; 
META; english/championship/cardiff-v-barnsley; 2018-03-05 14:20:49 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Cardiff; 8/13; 8/13; 8/13; 8/13; 31/50; 13/20; 5/9; 4/7; 4/7; 8/13; 4/7; 8/13; 11/20; 13/20; 8/13; 4/7; 4/7; 6/11; 11/17; 6/11; 8/13; 3/5; 4/7; 4/7; 4/7; 4/7
Draw; 3; 14/5; 27/10; 14/5; 149/0; 3; 29/10; 11/4; 56/19; 11/4; 3; 14/5; 11/4; 11/4; 14/5; 14/5; 11/4; 29/10; 14/5; 29/10; 3; 59/20; 11/4; 14/5; 5/2; 14/5
Barnsley; 11/2; 19/4; 19/4; 9/2; 28/5; 5; 9/2; 27/5; 24/5; 5; 9/2; 11/2; 19/4; 5; 49/10; 5; 9/2; 21/4; 21/4; 5; 94/19; 5; 24/5; 28/5; ; 
META; english/championship/cardiff-v-barnsley; 2018-03-05 18:20:51 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Cardiff; 8/13; 8/13; 6/10; 8/13; 31/50; 13/20; 5/9; 4/7; 4/7; 8/13; 3/5; 11/20; 13/20; 8/13; 8/13; 4/7; 6/11; 11/17; 6/11; 13/20; 3/5; 4/7; 4/7; 4/7; 4/7; 
Draw; 3; 14/5; 27/10; 14/5; 149/0; 3; 29/10; 11/4; 56/19; 11/4; 11/4; 14/5; 11/4; 14/5; 14/5; 14/5; 27/10; 29/10; 14/5; 29/10; 14/5; 59/20; 11/4; 14/5; 14/5; 14/5
Barnsley; 11/2; 19/4; 24/5; 9/2; 28/5; 5; 9/2; 27/5; 5; 9/2; 11/2; 5; 9/2; 94/19; 5; 9/2; 21/4; 21/4; 5; 5; 26/5; 11/2; ; ; ; 
META; english/championship/cardiff-v-barnsley; 2018-03-05 22:20:54 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Cardiff; 8/13; 8/13; 6/10; 8/13; 8/13; 8/13; 3/5; 4/7; 4/7; 6/10; 4/7; 11/20; 13/20; 8/13; 4/7; 4/7; 6/11; 8/13; 6/11; 8/13; 3/5; 4/7; 4/7; 4/7; 4/7; 
Draw; 3; 14/5; 11/4; 14/5; 61/20; 31/10; 29/10; 11/4; 56/19; 11/4; 3; 14/5; 11/4; 14/5; 14/5; 14/5; 11/4; 29/10; 14/5; 29/10; 3; 59/20; 14/5; 14/5; 14/5; 3
Barnsley; 11/2; 19/4; 24/5; 9/2; 11/2; 11/2; 5; 27/5; 5; 9/2; 11/2; 5; 5; 49/10; 5; 24/5; 21/4; 21/4; 5; 94/19; 26/5; 27/5; 11/2; ; ; 
META; english/championship/cardiff-v-barnsley; 2018-03-06 02:20:48 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
