META; english/championship/bristol-city-v-sheffield-utd; 2018-04-29 10:19:02 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 7/5; 7/5; 13/10; 5/4; 13/10; 13/10; 29/20; 6/4; 7/5; 23/17; 7/5; 5/4; 29/20; 23/17; 21/20
Sheffield Utd; 9/5; 15/8; 15/8; 2; 9/5; 9/5; 15/8; 15/8; 15/8; 24/13; 9/5; 2; 15/8; 24/13; 7/5
Draw; 12/5; 23/10; 23/10; 5/2; 9/4; 13/5; 12/5; 23/10; 5/2; 40/17; 12/5; 27/11; 12/5; 40/17; 11/5
META; english/championship/bristol-city-v-sheffield-utd; 2018-04-29 14:19:40 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 7/5; 13/10; 13/10; 7/5; 13/10; 13/10; 13/10; 11/8; 7/5; 7/5; 6/4; 11/8; 7/5; 7/5; 17/13; 13/10; 11/8; 7/5; 23/20
Sheffield Utd; 9/5; 2; 9/5; 15/8; 9/5; 19/10; 9/5; 19/10; 9/5; 19/10; 15/8; 19/10; 9/5; 9/5; 48/29; 19/10; 2; 24/13; 6/4
Draw; 12/5; 12/5; 12/5; 23/10; 23/10; 5/2; 23/10; 12/5; 12/5; 12/5; 23/10; 5/2; 23/10; 12/5; 27/11; 27/11; 12/5; 40/17; 11/5
META; english/championship/bristol-city-v-sheffield-utd; 2018-04-29 18:19:19 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 7/5; 13/10; 13/10; 29/20; 7/5; 13/10; 13/10; 11/8; 11/8; 7/5; 7/5; 6/4; 7/5; 7/5; 7/5; 17/13; 13/10; 11/8; 7/5; 13/10
Sheffield Utd; 9/5; 2; 9/5; 101/0; 15/8; 9/5; 19/10; 7/4; 19/10; 9/5; 15/8; 15/8; 19/10; 24/13; 9/5; 48/29; 19/10; 2; 24/13; 6/4
Draw; 12/5; 12/5; 12/5; 64/25; 12/5; 23/10; 5/2; 23/10; 12/5; 12/5; 12/5; 23/10; 5/2; 40/17; 12/5; 27/11; 27/11; 12/5; 12/5; 19/10
META; english/championship/bristol-city-v-sheffield-utd; 2018-04-29 22:19:08 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 7/5; 13/10; 13/10; 29/20; 7/5; 13/10; 13/10; 13/10; 11/8; 7/5; 7/5; 6/4; 11/8; 7/5; 7/5; 17/13; 13/10; 11/8; 7/5; 20/21
Sheffield Utd; 9/5; 2; 9/5; 101/0; 15/8; 9/5; 19/10; 9/5; 19/10; 9/5; 15/8; 15/8; 19/10; 24/13; 9/5; 48/29; 19/10; 2; 24/13; 7/4
Draw; 12/5; 12/5; 12/5; 64/25; 12/5; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 23/10; 5/2; 40/17; 12/5; 27/11; 27/11; 12/5; 12/5; 19/10
META; english/championship/bristol-city-v-sheffield-utd; 2018-04-30 02:18:53 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 7/5; 13/10; 13/10; 29/20; 7/5; 13/10; 13/10; 13/10; 11/8; 7/5; 7/5; 6/4; 11/8; 7/5; 7/5; 17/13; 13/10; 11/8; 7/5; 20/21
Sheffield Utd; 9/5; 2; 9/5; 101/0; 15/8; 9/5; 19/10; 9/5; 19/10; 9/5; 15/8; 15/8; 19/10; 24/13; 9/5; 48/29; 19/10; 2; 24/13; 7/4
Draw; 12/5; 12/5; 12/5; 64/25; 12/5; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 23/10; 5/2; 40/17; 12/5; 27/11; 27/11; 12/5; 12/5; 19/10
META; english/championship/bristol-city-v-sheffield-utd; 2018-04-30 10:18:59 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 7/5; 13/10; 13/10; 29/20; 7/5; 7/5; 13/10; 13/10; 13/10; 11/8; 7/5; 7/5; 7/5; 11/8; 7/5; 7/5; 17/13; 13/10; 11/8; 7/5; 13/10
Sheffield Utd; 9/5; 2; 9/5; 101/0; 19/10; 15/8; 9/5; 19/10; 9/5; 19/10; 9/5; 15/8; 9/5; 19/10; 24/13; 9/5; 48/29; 19/10; 2; 24/13; 7/4
Draw; 12/5; 12/5; 12/5; 64/25; 5/2; 12/5; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 9/4; 5/2; 40/17; 12/5; 27/11; 27/11; 12/5; 12/5; 9/4
META; english/championship/bristol-city-v-sheffield-utd; 2018-04-30 14:19:35 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 7/5; 13/10; 13/10; 73/50; 7/5; 7/5; 13/10; 13/10; 13/10; 11/8; 7/5; 7/5; 7/5; 11/8; 7/5; 7/5; 17/13; 13/10; 11/8; 7/5; 13/10; 27/20; 7/5
Sheffield Utd; 9/5; 2; 9/5; 97/50; 19/10; 9/5; 9/5; 19/10; 9/5; 19/10; 9/5; 15/8; 9/5; 19/10; 9/5; 9/5; 48/29; 19/10; 19/10; 24/13; 9/5; 7/4; 19/10
Draw; 12/5; 12/5; 12/5; 53/20; 5/2; 12/5; 23/10; 5/2; 23/10; 12/5; 12/5; 49/20; 9/4; 5/2; 27/11; 12/5; 27/11; 27/11; 5/2; 27/11; 23/10; 23/10; 13/5
META; english/championship/bristol-city-v-sheffield-utd; 2018-04-30 18:19:35 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 7/5; 13/10; 11/8; 13/10; 149/00; 7/5; 7/5; 13/10; 13/10; 11/8; 13/10; 11/8; 7/5; 7/5; 7/5; 11/8; 7/5; 7/5; 17/13; 13/10; 11/8; 7/5; 13/10; 27/20; 7/5; 7/5
Sheffield Utd; 9/5; 2; 15/8; 9/5; 48/25; 19/10; 9/5; 9/5; 19/10; 9/5; 7/4; 19/10; 9/5; 15/8; 9/5; 15/8; 9/5; 9/5; 48/29; 19/10; 2; 24/13; 9/5; 7/4; 15/8; 15/8
Draw; 12/5; 12/5; 12/5; 12/5; 131/0; 5/2; 12/5; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 49/20; 9/4; 5/2; 27/11; 12/5; 27/11; 27/11; 12/5; 27/11; 23/10; 23/10; 13/5; 13/5
META; english/championship/bristol-city-v-sheffield-utd; 2018-04-30 22:19:35 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 7/5; 13/10; 29/20; 13/10; 149/00; 7/5; 7/5; 13/10; 13/10; 7/5; 11/8; 29/20; 11/8; 29/20; 7/5; 7/5; 7/5; 7/5; 17/13; 13/10; 11/8; 7/5; 13/10; 27/20; 7/5; 7/5
Sheffield Utd; 9/5; 2; 9/5; 9/5; 48/25; 19/10; 9/5; 9/5; 19/10; 9/5; 7/4; 15/8; 9/5; 37/20; 9/5; 15/8; 9/5; 9/5; 48/29; 19/10; 19/10; 24/13; 9/5; 7/4; 15/8; 15/8
Draw; 12/5; 12/5; 12/5; 12/5; 131/0; 5/2; 12/5; 23/10; 5/2; 23/10; 23/10; 23/10; 12/5; 49/20; 9/4; 12/5; 12/5; 12/5; 27/11; 27/11; 5/2; 12/5; 23/10; 23/10; 13/5; 13/5
META; english/championship/bristol-city-v-sheffield-utd; 2018-05-01 02:19:25 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 7/5; 13/10; 29/20; 13/10; 149/00; 7/5; 7/5; 13/10; 13/10; 7/5; 11/8; 29/20; 11/8; 29/20; 7/5; 7/5; 7/5; 7/5; 17/13; 13/10; 7/5; 7/5; 27/20; 5/4; 7/5; 7/5
Sheffield Utd; 9/5; 2; 9/5; 9/5; 48/25; 19/10; 9/5; 9/5; 19/10; 7/4; 7/4; 15/8; 9/5; 37/20; 9/5; 15/8; 9/5; 9/5; 48/29; 19/10; 15/8; 24/13; 9/5; 7/4; 15/8; 15/8
Draw; 12/5; 12/5; 12/5; 12/5; 131/0; 5/2; 12/5; 23/10; 5/2; 23/10; 23/10; 23/10; 12/5; 49/20; 9/4; 12/5; 27/11; 12/5; 27/11; 27/11; 5/2; 27/11; 23/10; 21/10; 13/5; 13/5
META; english/championship/bristol-city-v-sheffield-utd; 2018-05-01 10:19:27 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 7/5; 13/10; 29/20; 13/10; 149/00; 7/5; 7/5; 13/10; 13/10; 7/5; 11/8; 29/20; 11/8; 29/20; 7/5; 7/5; 7/5; 7/5; 17/13; 13/10; 7/5; 7/5; 11/8; 11/8; 7/5
Sheffield Utd; 9/5; 2; 9/5; 9/5; 48/25; 19/10; 9/5; 9/5; 19/10; 7/4; 7/4; 15/8; 9/5; 37/20; 9/5; 15/8; 9/5; 9/5; 48/29; 19/10; 15/8; 24/13; 9/5; 9/5; 15/8
Draw; 12/5; 12/5; 12/5; 12/5; 131/0; 5/2; 12/5; 23/10; 5/2; 23/10; 23/10; 23/10; 12/5; 49/20; 9/4; 12/5; 27/11; 12/5; 27/11; 27/11; 5/2; 27/11; 23/10; 23/10; 13/5
META; english/championship/bristol-city-v-sheffield-utd; 2018-05-01 14:19:32 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 7/5; 13/10; 29/20; 13/10; 149/00; 29/20; 7/5; 13/10; 13/10; 7/5; 11/8; 7/5; 11/8; 29/20; 13/10; 7/5; 7/5; 7/5; 17/13; 13/10; 7/5; 7/5; 11/8; 7/5; 7/5
Sheffield Utd; 9/5; 2; 9/5; 9/5; 19/10; 15/8; 9/5; 7/4; 19/10; 7/4; 7/4; 9/5; 7/4; 37/20; 7/4; 15/8; 9/5; 9/5; 48/29; 19/10; 15/8; 9/5; 7/4; 15/8; 9/5
Draw; 12/5; 12/5; 12/5; 12/5; 53/20; 12/5; 12/5; 23/10; 5/2; 12/5; 23/10; 12/5; 5/2; 12/5; 5/2; 12/5; 27/11; 12/5; 27/11; 27/11; 5/2; 27/11; 23/10; 13/5; 13/5
META; english/championship/bristol-city-v-sheffield-utd; 2018-05-01 18:19:33 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 7/5; 13/10; 29/20; 13/10; 149/00; 29/20; 7/5; 13/10; 13/10; 7/5; 11/8; 7/5; 11/8; 29/20; 13/10; 7/5; 16/11; 7/5; 17/13; 13/10; 7/5; 16/11; 7/5; 11/8; 11/8; 7/5; 7/5
META; english/championship/bristol-city-v-sheffield-utd; 2018-05-03 22:19:51 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 17/10; 6/4; 13/8; 6/4; 13/8; 8/5; 6/4; 6/4; 33/20; 8/5; 13/8; 8/5; 13/8; 6/4; 28/17; 17/11; 13/8; 31/21; 8/5; 28/17; 8/5; 6/4; 6/4; 13/8; 13/8; ; 
Sheffield Utd; 6/4; 13/8; 31/20; 8/5; 41/25; 17/10; 8/5; 8/5; 17/10; 31/20; 13/8; 31/20; 6/4; 8/5; 8/5; 17/11; 8/5; 20/13; 28/17; 8/5; 8/5; 6/4; 6/4; 13/8; 8/5; 6/4; 
Draw; 12/5; 5/2; 12/5; 23/10; 53/20; 5/2; 12/5; 12/5; 28/11; 5/2; 12/5; 5/2; 5/2; 49/20; 12/5; 5/2; 5/2; 12/5; 13/5; 5/2; 13/5; 5/2; 5/2; 23/10; 23/10; 13/5; 13/5
META; english/championship/bristol-city-v-sheffield-utd; 2018-05-04 02:19:39 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Sheffield Utd; 6/4; 13/8; 31/20; 8/5; 41/25; 17/10; 8/5; 8/5; 17/10; 31/20; 8/5; 31/20; 8/5; 8/5; 8/5; 8/5; 8/5; 11/7; 28/17; 8/5; 8/5; 6/4; 8/5; 5/4; 8/5; 13/8; 
Bristol City; 17/10; 6/4; 13/8; 6/4; 13/8; 8/5; 6/4; 6/4; 33/20; 8/5; 13/8; 8/5; 13/8; 6/4; 28/17; 17/11; 13/8; 31/21; 8/5; 28/17; 13/8; 13/8; 6/4; 13/8; 13/8; ; 
Draw; 12/5; 5/2; 12/5; 23/10; 53/20; 5/2; 12/5; 12/5; 28/11; 5/2; 12/5; 12/5; 12/5; 49/20; 12/5; 5/2; 27/11; 12/5; 28/11; 5/2; 13/5; 5/2; 12/5; 12/5; 19/10; 13/5; 5/2
META; english/championship/bristol-city-v-sheffield-utd; 2018-05-04 10:19:40 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Sheffield Utd; 17/10; 13/8; 31/20; 8/5; 33/20; 17/10; 8/5; 8/5; 17/10; 31/20; 17/10; 31/20; 8/5; 8/5; 8/5; 8/5; 8/5; 11/7; 28/17; 13/8; 8/5; 6/4; 6/4; 5/4; 8/5; 13/8; 
Bristol City; 17/10; 6/4; 13/8; 8/5; 173/00; 13/8; 13/8; 6/4; 6/4; 33/20; 13/8; 13/8; 8/5; 13/8; 6/4; 28/17; 17/11; 13/8; 31/21; 13/8; 28/17; 13/8; 13/8; 6/4; 13/8; 13/8; 
Draw; 5/2; 5/2; 12/5; 12/5; 131/0; 5/2; 12/5; 12/5; 28/11; 5/2; 12/5; 12/5; 12/5; 49/20; 12/5; 5/2; 27/11; 12/5; 28/11; 5/2; 5/2; 5/2; 12/5; 12/5; 19/10; 13/5; 5/2
META; english/championship/bristol-city-v-sheffield-utd; 2018-05-04 14:19:56 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Sheffield Utd; 17/10; 13/8; 31/20; 8/5; 169/00; 17/10; 8/5; 8/5; 17/10; 8/5; 17/10; 31/20; 8/5; 8/5; 8/5; 8/5; 8/5; 11/7; 28/17; 13/8; 28/17; 8/5; 6/4; 6/4; 13/8; 13/8; 
Bristol City; 17/10; 6/4; 8/5; 8/5; 169/00; 13/8; 8/5; 6/4; 6/4; 13/8; 13/8; 13/8; 8/5; 13/8; 6/4; 8/5; 17/11; 13/8; 31/21; 13/8; 28/17; 6/4; 13/8; 13/8; 13/8; 13/8; 
Draw; 5/2; 5/2; 12/5; 12/5; 131/0; 5/2; 12/5; 12/5; 28/11; 5/2; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; 27/11; 12/5; 28/11; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 13/5; 5/2
META; english/championship/bristol-city-v-sheffield-utd; 2018-05-04 18:20:02 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 17/10; 6/4; 31/20; 8/5; 163/00; 13/8; 8/5; 6/4; 17/11; 31/20; 13/8; 31/20; 6/4; 31/20; 6/4; 8/5; 17/11; 17/11; 6/4; 8/5; 8/5; 6/4; 13/8; 13/8; 8/5; 13/8; 
Sheffield Utd; 17/10; 13/8; 13/8; 8/5; 7/4; 17/10; 13/8; 8/5; 17/10; 13/8; 17/10; 13/8; 8/5; 17/10; 8/5; 28/17; 8/5; 13/8; 28/17; 7/4; 28/17; 13/8; 8/5; 13/8; 17/10; 13/8; 
Draw; 5/2; 5/2; 12/5; 12/5; 131/0; 5/2; 12/5; 12/5; 13/5; 5/2; 12/5; 5/2; 5/2; 5/2; 12/5; 5/2; 27/11; 12/5; 13/5; 5/2; 13/5; 5/2; 5/2; 12/5; 5/2; 13/5; 5/2
META; english/championship/bristol-city-v-sheffield-utd; 2018-05-04 22:19:54 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 17/10; 6/4; 31/20; 8/5; 163/00; 13/8; 8/5; 6/4; 17/11; 31/20; 13/8; 31/20; 6/4; 31/20; 6/4; 8/5; 17/11; 17/11; 6/4; 8/5; 8/5; 6/4; 13/8; 13/8; 8/5; 13/8; 
Sheffield Utd; 17/10; 13/8; 13/8; 8/5; 7/4; 17/10; 13/8; 8/5; 17/10; 13/8; 17/10; 13/8; 8/5; 17/10; 8/5; 28/17; 8/5; 13/8; 28/17; 7/4; 28/17; 13/8; 13/8; 13/8; 17/10; 13/8; 
Draw; 5/2; 5/2; 12/5; 12/5; 131/0; 5/2; 12/5; 12/5; 13/5; 5/2; 12/5; 5/2; 5/2; 5/2; 12/5; 5/2; 27/11; 12/5; 13/5; 5/2; 13/5; 5/2; 5/2; 12/5; 5/2; 13/5; 5/2
META; english/championship/bristol-city-v-sheffield-utd; 2018-05-05 02:19:41 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 17/10; 6/4; 31/20; 8/5; 41/25; 13/8; 8/5; 6/4; 17/11; 31/20; 13/8; 8/5; 6/4; 31/20; 6/4; 8/5; 17/11; 17/11; 6/4; 8/5; 8/5; 6/4; 6/4; 6/4; 13/8; 13/8; 
Sheffield Utd; 17/10; 13/8; 13/8; 8/5; 43/25; 17/10; 13/8; 8/5; 17/10; 33/20; 17/10; 13/8; 13/8; 17/10; 8/5; 28/17; 8/5; 13/8; 28/17; 7/4; 28/17; 8/5; 13/8; 13/8; 13/8; 13/8; 
Draw; 5/2; 5/2; 12/5; 12/5; 53/20; 5/2; 12/5; 12/5; 13/5; 5/2; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; 5/2; 12/5; 13/5; 5/2; 13/5; 28/11; 5/2; 12/5; 23/10; 13/5; 5/2
META; english/championship/bristol-city-v-sheffield-utd; 2018-05-05 10:19:48 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 17/10; 6/4; 31/20; 8/5; 41/25; 13/8; 8/5; 6/4; 17/11; 31/20; 13/8; 31/20; 6/4; 31/20; 6/4; 8/5; 17/11; 17/11; 6/4; 8/5; 8/5; 6/4; 6/4; 6/4; 13/8; 17/10; 
Sheffield Utd; 17/10; 13/8; 13/8; 8/5; 43/25; 17/10; 13/8; 8/5; 17/10; 33/20; 17/10; 13/8; 13/8; 17/10; 8/5; 28/17; 8/5; 13/8; 28/17; 7/4; 28/17; 8/5; 13/8; 13/8; 13/8; 13/8; 
Draw; 5/2; 5/2; 12/5; 12/5; 53/20; 5/2; 12/5; 12/5; 13/5; 5/2; 12/5; 5/2; 12/5; 5/2; 12/5; 5/2; 5/2; 12/5; 13/5; 5/2; 13/5; 5/2; 5/2; 12/5; 23/10; 13/5; 13/5
META; english/championship/bristol-city-v-sheffield-utd; 2018-05-05 14:20:26 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 17/10; 6/4; 31/20; 8/5; 41/25; 13/8; 8/5; 6/4; 17/11; 31/20; 13/8; 31/20; 6/4; 31/20; 6/4; 8/5; 17/11; 17/11; 6/4; 8/5; 8/5; 6/4; 6/4; 8/5; 13/8; 17/10; 
Sheffield Utd; 17/10; 13/8; 13/8; 8/5; 43/25; 17/10; 13/8; 8/5; 17/10; 33/20; 17/10; 13/8; 13/8; 17/10; 8/5; 28/17; 8/5; 13/8; 28/17; 7/4; 28/17; 8/5; 13/8; 13/8; 13/8; 13/8; 
Draw; 5/2; 5/2; 12/5; 12/5; 53/20; 5/2; 5/2; 12/5; 13/5; 5/2; 12/5; 5/2; 12/5; 5/2; 12/5; 5/2; 5/2; 12/5; 13/5; 5/2; 13/5; 5/2; 5/2; 12/5; 5/2; 13/5; 13/5
META; english/championship/bristol-city-v-sheffield-utd; 2018-05-05 18:19:53 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 17/10; 6/4; 31/20; 8/5; 41/25; 13/8; 8/5; 6/4; 17/11; 31/20; 13/8; 31/20; 6/4; 31/20; 6/4; 17/11; 17/11; 17/11; 6/4; 8/5; 8/5; 6/4; 6/4; 8/5; 13/8; 13/8; 
Sheffield Utd; 17/10; 13/8; 13/8; 8/5; 43/25; 17/10; 13/8; 8/5; 17/10; 33/20; 17/10; 13/8; 13/8; 17/10; 8/5; 28/17; 8/5; 13/8; 28/17; 7/4; 28/17; 8/5; 13/8; 13/8; 13/8; 17/10; 
Draw; 5/2; 5/2; 12/5; 12/5; 53/20; 5/2; 5/2; 12/5; 13/5; 5/2; 12/5; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 12/5; 13/5; 5/2; 13/5; 28/11; 5/2; 12/5; 5/2; 13/5; 5/2
META; english/championship/bristol-city-v-sheffield-utd; 2018-05-05 22:18:33 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 31/20; 6/4; 29/20; 8/5; 157/00; 13/8; 6/4; 6/4; 17/11; 29/20; 13/8; 6/4; 6/4; 6/4; 7/5; 6/4; 6/4; 17/11; 16/11; 6/4; 31/20; 17/11; 6/4; 6/4; 6/4; 7/5; 
Sheffield Utd; 9/5; 13/8; 17/10; 8/5; 179/00; 17/10; 17/10; 8/5; 17/10; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 17/10; 17/10; 8/5; 19/11; 28/17; 9/5; 17/10; 13/8; 7/4; 7/4; 17/10; 19/10
Draw; 13/5; 5/2; 12/5; 133/0; 5/2; 5/2; 12/5; 13/5; 5/2; 12/5; 23/10; 5/2; 5/2; 12/5; 12/5; 13/5; 5/2; 28/11; 5/2; 12/5; 23/10; ; ; ; ; ; 
META; english/championship/bristol-city-v-sheffield-utd; 2018-05-06 02:18:56 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 31/20; 6/4; 29/20; 8/5; 79/50; 13/8; 6/4; 6/4; 17/11; 6/4; 13/8; 6/4; 7/5; 6/4; 7/5; 6/4; 6/4; 17/11; 16/11; 6/4; 31/20; 17/11; 6/4; 6/4; 8/5; 6/4; 13/8
Sheffield Utd; 9/5; 13/8; 17/10; 8/5; 89/50; 17/10; 17/10; 8/5; 17/10; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 17/10; 17/10; 8/5; 19/11; 28/17; 9/5; 17/10; 13/8; 17/10; 17/10; 17/10; 7/4
Draw; 13/5; 5/2; 12/5; 133/0; 5/2; 5/2; 12/5; 13/5; 5/2; 12/5; 23/10; 5/2; 5/2; 12/5; 12/5; 13/5; 5/2; 28/11; 5/2; 12/5; 5/2; 13/5; 5/2; ; ; ; 
META; english/championship/bristol-city-v-sheffield-utd; 2018-05-06 10:18:59 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 31/20; 6/4; 29/20; 8/5; 77/50; 13/8; 6/4; 6/4; 17/11; 6/4; 8/5; 6/4; 7/5; 29/20; 7/5; 6/4; 6/4; 6/4; 17/12; 6/4; 31/20; 6/4; 7/5; 7/5; 6/4; 6/4; 6/4
Sheffield Utd; 9/5; 13/8; 17/10; 8/5; 183/00; 17/10; 7/4; 8/5; 17/10; 7/4; 7/4; 7/4; 17/10; 9/5; 17/10; 17/10; 7/4; 9/5; 23/13; 28/17; 9/5; 7/4; 7/4; 9/5; 9/5; 15/8; 9/5
Draw; 13/5; 5/2; 12/5; 133/0; 5/2; 5/2; 12/5; 13/5; 5/2; 12/5; 23/10; 5/2; 49/20; 12/5; 12/5; 13/5; 5/2; 28/11; 5/2; 5/2; 5/2; 13/5; 13/5; ; ; ; 
META; english/championship/bristol-city-v-sheffield-utd; 2018-05-06 14:19:06 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Bristol City; 6/4; 6/4; 29/20; 6/4; 149/00; 6/4; 7/5; 6/4; 29/20; 6/4; 29/20; 7/5; 29/20; 13/10; 7/5; 16/11; 16/11; 24/17; 16/11; 31/20; 16/11; 7/5; 7/5; 6/4; 
Sheffield Utd; 19/10; 13/8; 9/5; 17/10; 15/8; 9/5; 9/5; 17/10; 24/13; 7/4; 9/5; 9/5; 7/4; 9/5; 7/4; 7/4; 9/5; 24/13; 9/5; 9/5; 9/5; 9/5; 7/4; 9/5; 19/10
Draw; 13/5; 5/2; 5/2; 12/5; 27/10; 5/2; 12/5; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; 12/5; 13/5; 28/11; 5/2; 5/2; 13/5; 
