META; english/championship/sunderland-v-aston-villa; 2018-03-03 18:21:53 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Aston Villa; 19/20; 21/20; 101/00; 1; 10/11; 9/10; 21/20; 1; 1; 42/41; 9/10; 21/20; 1; 10/11; ; ; ; 
Draw; 5/2; 9/4; 133/0; 12/5; 12/5; 23/10; 5/2; 11/5; 23/10; 5/2; 12/5; 40/17; 9/4; 27/11; 12/5; 47/20; 40/17; 11/5
Sunderland; 11/4; 11/4; 3; 14/5; 11/4; 3; 27/10; 3; 11/4; 14/5; 27/10; 40/17; 56/19; 14/5; 57/20; 27/10; 14/5; 
META; english/championship/sunderland-v-aston-villa; 2018-03-03 22:20:59 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Aston Villa; 21/20; 21/20; 11/10; 11/10; 21/20; 1; 19/20; 11/10; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 19/20; 11/10; 21/20; 21/20; 20/21; 
Draw; 12/5; 23/10; 11/5; 64/25; 23/10; 12/5; 9/4; 5/2; 11/5; 9/4; 9/4; 12/5; 12/5; 23/10; 9/4; 27/11; 12/5; 47/20; 23/10; 21/10
Sunderland; 5/2; 13/5; 13/5; 14/5; 29/10; 11/4; 11/4; 14/5; 13/5; 11/4; 27/10; 13/5; 13/5; 5/2; 9/4; 11/4; 13/5; 13/5; 5/2; 27/10
META; english/championship/sunderland-v-aston-villa; 2018-03-04 02:20:35 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Aston Villa; 21/20; 11/10; 11/10; 19/20; 11/10; 21/20; 21/20; 1; 19/20; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 19/20; 11/10; 21/20; 21/20; 20/21
Draw; 12/5; 23/10; 11/5; 11/5; 64/25; 23/10; 12/5; 9/4; 5/2; 11/5; 9/4; 11/5; 9/4; 12/5; 23/10; 23/10; 23/10; 9/4; 27/11; 12/5; 47/20; 23/10; 21/10
Sunderland; 5/2; 13/5; 13/5; 11/4; 14/5; 29/10; 11/4; 11/4; 14/5; 13/5; 11/4; 13/5; 27/10; 13/5; 13/5; 5/2; 13/5; 9/4; 11/4; 13/5; 13/5; 5/2; 27/10
META; english/championship/sunderland-v-aston-villa; 2018-03-04 10:20:38 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Aston Villa; 21/20; 11/10; 11/10; 23/20; 23/20; 21/20; 11/10; 1; 19/20; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 19/20; 11/10; 21/20; 21/20; 20/21
Draw; 12/5; 23/10; 11/5; 9/4; 51/20; 23/10; 23/10; 9/4; 5/2; 11/5; 9/4; 11/5; 9/4; 12/5; 12/5; 23/10; 23/10; 9/4; 27/11; 12/5; 47/20; 23/10; 21/10
Sunderland; 5/2; 13/5; 13/5; 5/2; 133/0; 29/10; 5/2; 11/4; 14/5; 13/5; 11/4; 13/5; 27/10; 13/5; 13/5; 5/2; 13/5; 9/4; 11/4; 13/5; 13/5; 5/2; 27/10
META; english/championship/sunderland-v-aston-villa; 2018-03-04 14:21:15 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Aston Villa; 21/20; 11/10; 11/10; 23/20; 107/00; 11/10; 11/10; 1; 15/13; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 15/13; 11/10; 1; 11/10; 1; 
Draw; 12/5; 23/10; 11/5; 9/4; 129/0; 5/2; 23/10; 23/10; 9/4; 11/5; 23/10; 12/5; 9/4; 12/5; 23/10; 9/4; 23/10; 9/4; 11/5; 23/10; 47/20; 9/4; 23/10; 21/10
Sunderland; 5/2; 13/5; 27/10; 5/2; 72/25; 14/5; 5/2; 13/5; 5/2; 13/5; 11/4; 13/5; 11/4; 13/5; 13/5; 27/11; 13/5; 9/4; 27/11; 27/10; 14/5; 27/11; 13/5; 23/10
META; english/championship/sunderland-v-aston-villa; 2018-03-04 18:21:03 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Aston Villa; 21/20; 11/10; 11/10; 23/20; 109/00; 21/20; 21/20; 10/11; 1; 11/10; 21/20; 21/20; 11/10; 11/10; 11/10; 1; 21/20; 21/20; 1; 21/20; 1; 20/21; 21/20; 
Draw; 12/5; 23/10; 11/5; 9/4; 127/0; 5/2; 23/10; 23/10; 12/5; 9/4; 9/4; 12/5; 9/4; 12/5; 23/10; 23/10; 23/10; 9/4; 40/17; 12/5; 47/20; 40/17; 23/10; 12/5
Sunderland; 5/2; 13/5; 27/10; 5/2; 57/20; 3; 13/5; 11/4; 11/4; 27/10; 11/4; 13/5; 11/4; 13/5; 13/5; 13/5; 13/5; 9/4; 27/10; 27/10; 14/5; 45/17; 14/5; 14/5
META; english/championship/sunderland-v-aston-villa; 2018-03-04 22:20:40 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Aston Villa; 21/20; 21/20; 11/10; 23/20; 109/00; 21/20; 21/20; 10/11; 1; 11/10; 21/20; 21/20; 11/10; 11/10; 11/10; 11/10; 1; 21/20; 21/20; 1; 23/20; 1; 1; 11/10; 21/20; 
Draw; 12/5; 23/10; 11/5; 9/4; 127/0; 5/2; 23/10; 23/10; 12/5; 9/4; 9/4; 12/5; 23/10; 9/4; 12/5; 23/10; 23/10; 23/10; 9/4; 40/17; 12/5; 47/20; 23/10; 23/10; 23/10; 5/2
Sunderland; 5/2; 11/4; 27/10; 5/2; 57/20; 3; 13/5; 11/4; 11/4; 27/10; 11/4; 13/5; 13/5; 11/4; 13/5; 13/5; 13/5; 13/5; 9/4; 27/10; 14/5; 14/5; 45/17; 13/5; 13/5; 14/5
META; english/championship/sunderland-v-aston-villa; 2018-03-05 02:20:54 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Aston Villa; 21/20; 21/20; 21/20; 11/10; 11/10; 21/20; 21/20; 10/11; 1; 21/20; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 1; 21/20; 21/20; 1; 11/10; 1; 21/20; 21/20; 21/20; 
Draw; 12/5; 23/10; 11/5; 9/4; 123/0; 5/2; 23/10; 23/10; 12/5; 11/5; 9/4; 23/10; 23/10; 9/4; 12/5; 23/10; 9/4; 23/10; 9/4; 40/17; 12/5; 47/20; 23/10; 23/10; 9/4; 12/5
Sunderland; 5/2; 11/4; 14/5; 13/5; 73/25; 3; 11/4; 11/4; 11/4; 14/5; 11/4; 11/4; 13/5; 29/10; 13/5; 13/5; 27/10; 13/5; 9/4; 27/10; 29/10; 14/5; 27/10; 14/5; 11/4; 14/5
META; english/championship/sunderland-v-aston-villa; 2018-03-05 10:20:52 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Aston Villa; 21/20; 1; 21/20; 11/10; 109/00; 21/20; 21/20; 10/11; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 1; 21/20; 68/67; 1; 21/20; 1; 1; 21/20; 21/20; 
Draw; 5/2; 23/10; 11/5; 9/4; 123/0; 5/2; 23/10; 23/10; 12/5; 11/5; 9/4; 23/10; 23/10; 9/4; 12/5; 9/4; 9/4; 23/10; 9/4; 40/17; 5/2; 47/20; 9/4; 23/10; 12/5; 11/5
Sunderland; 3; 29/10; 14/5; 13/5; 59/20; 3; 11/4; 11/4; 11/4; 29/10; 11/4; 11/4; 11/4; 29/10; 13/5; 14/5; 11/4; 13/5; 40/17; 27/10; 3; 14/5; 11/4; 14/5; 14/5; 5/2
META; english/championship/sunderland-v-aston-villa; 2018-03-05 14:21:13 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Aston Villa; 21/20; 1; 11/10; 21/20; 113/00; 21/20; 21/20; 10/11; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 21/20; 1; 21/20; 30/29; 1; 23/20; 21/20; 21/20; 21/20; 11/10; 10/9
Draw; 5/2; 23/10; 11/5; 23/10; 121/0; 5/2; 23/10; 23/10; 23/10; 11/5; 23/10; 23/10; 11/5; 11/5; 23/10; 9/4; 9/4; 23/10; 9/4; 40/17; 23/10; 47/20; 9/4; 23/10; 12/5; 12/5
Sunderland; 3; 29/10; 27/10; 11/4; 143/0; 3; 11/4; 11/4; 27/10; 27/10; 11/4; 13/5; 14/5; 11/4; 3; 11/4; 45/17; 13/5; 23/10; 27/10; 29/10; 57/20; 45/17; 14/5; 14/5; 14/5
META; english/championship/sunderland-v-aston-villa; 2018-03-05 18:21:15 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Aston Villa; 21/20; 11/10; 21/20; 21/20; 28/25; 21/20; 21/20; 1; 11/10; 11/10; 21/20; 21/20; 21/20; 23/20; 21/20; 21/20; 21/20; 21/20; 13/12; 15/14; 23/20; 21/20; 21/20; 21/20; 10/9; 10/9
Draw; 5/2; 23/10; 11/5; 23/10; 123/0; 5/2; 23/10; 23/10; 23/10; 11/5; 9/4; 23/10; 11/5; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 9/4; 23/10; 47/20; 23/10; 23/10; 12/5; 12/5
Sunderland; 3; 13/5; 27/10; 11/4; 71/25; 3; 11/4; 11/4; 27/10; 27/10; 11/4; 13/5; 14/5; 11/4; 11/4; 13/5; 13/5; 13/5; 27/10; 45/17; 29/10; 57/20; 13/5; 14/5; 14/5; 11/4
META; english/championship/sunderland-v-aston-villa; 2018-03-05 22:21:18 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Aston Villa; 21/20; 11/10; 21/20; 21/20; 113/00; 11/10; 11/10; 1; 11/10; 11/10; 21/20; 21/20; 21/20; 23/20; 21/20; 21/20; 21/20; 21/20; 13/12; 15/14; 11/10; 21/20; 21/20; 21/20; 10/9; 10/9
Draw; 5/2; 9/4; 11/5; 23/10; 121/0; 12/5; 23/10; 23/10; 23/10; 11/5; 23/10; 23/10; 11/5; 9/4; 12/5; 23/10; 9/4; 23/10; 23/10; 9/4; 5/2; 47/20; 9/4; 9/4; 23/10; 12/5
Sunderland; 3; 13/5; 27/10; 11/4; 143/0; 29/10; 11/4; 11/4; 27/10; 11/4; 11/4; 13/5; 14/5; 11/4; 11/4; 13/5; 45/17; 13/5; 27/10; 45/17; 14/5; 57/20; 45/17; 14/5; 14/5; 14/5
