META; english/championship/qpr-v-derby; 2018-03-03 18:21:46 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Derby; 11/10; 6/5; 6/5; 11/10; 11/10; 1; 21/20; 23/20; 11/10; 23/20; 11/10; 15/13; 22/19; 19/20; 23/20; 23/20; 15/13; 21/20
Draw; 12/5; 9/4; 63/25; 12/5; 12/5; 23/10; 23/10; 9/4; 23/10; 12/5; 12/5; 23/10; 27/11; 12/5; 47/20; 40/17; 11/5; 
QPR; 5/2; 23/10; 51/20; 13/5; 5/2; 5/2; 27/10; 23/10; 5/2; 12/5; 12/5; 23/10; 2; 27/10; 12/5; 12/5; 23/10; 12/5
META; english/championship/qpr-v-derby; 2018-03-03 22:20:53 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Derby; 11/10; 13/10; 6/5; 6/5; 6/5; 11/10; 11/10; 21/20; 6/5; 23/20; 6/5; 6/5; 6/5; 11/10; 22/19; 19/20; 6/5; 15/13; 10/9; 
Draw; 12/5; 23/10; 23/10; 63/25; 5/2; 23/10; 23/10; 23/10; 9/4; 23/10; 47/20; 12/5; 23/10; 23/10; 23/10; 27/11; 12/5; 40/17; 23/10; 
QPR; 5/2; 21/10; 9/4; 51/20; 13/5; 12/5; 12/5; 27/10; 9/4; 12/5; 47/20; 23/10; 12/5; 23/10; 2; 27/10; 23/10; 47/20; 40/17; 12/5
META; english/championship/qpr-v-derby; 2018-03-04 02:20:28 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Derby; 11/10; 23/20; 6/5; 1; 6/5; 6/5; 6/5; 11/10; 21/20; 6/5; 23/20; 6/5; 6/5; 6/5; 11/10; 11/10; 11/10; 22/19; 19/20; 6/5; 15/13; 10/9; 
Draw; 12/5; 12/5; 23/10; 11/5; 63/25; 5/2; 23/10; 23/10; 23/10; 9/4; 23/10; 23/10; 47/20; 12/5; 12/5; 23/10; 23/10; 23/10; 27/11; 12/5; 40/17; 23/10; 
QPR; 5/2; 23/10; 9/4; 5/2; 51/20; 13/5; 23/10; 12/5; 27/10; 9/4; 12/5; 23/10; 47/20; 23/10; 12/5; 23/10; 12/5; 2; 27/10; 23/10; 47/20; 23/10; 12/5
META; english/championship/qpr-v-derby; 2018-03-04 10:20:31 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Derby; 11/10; 23/20; 6/5; 5/4; 121/00; 6/5; 6/5; 11/10; 6/5; 6/5; 23/20; 6/5; 6/5; 5/4; 6/5; 15/13; 11/10; 7/6; 6/5; 6/5; 15/13; 10/9; 
Draw; 12/5; 12/5; 23/10; 23/10; 5/2; 5/2; 12/5; 23/10; 12/5; 23/10; 23/10; 23/10; 12/5; 12/5; 12/5; 40/17; 23/10; 40/17; 40/17; 5/2; 12/5; 23/10; 
QPR; 5/2; 23/10; 11/5; 11/5; 127/0; 13/5; 23/10; 12/5; 11/5; 11/5; 12/5; 23/10; 47/20; 11/5; 23/10; 11/5; 12/5; 23/12; 11/5; 9/4; 47/20; 11/5; 12/5
META; english/championship/qpr-v-derby; 2018-03-04 14:21:08 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Derby; 6/5; 23/20; 6/5; 5/4; 61/50; 6/5; 6/5; 11/10; 6/5; 6/5; 23/20; 6/5; 5/4; 5/4; 6/5; 6/5; 11/10; 7/6; 6/5; 6/5; 6/5; 6/5; 10/9; 6/5
Draw; 12/5; 12/5; 23/10; 23/10; 5/2; 5/2; 23/10; 23/10; 12/5; 9/4; 23/10; 11/5; 47/20; 12/5; 23/10; 40/17; 23/10; 40/17; 40/17; 5/2; 40/17; 23/10; 21/10; 
QPR; 23/10; 23/10; 11/5; 11/5; 63/25; 13/5; 9/4; 12/5; 11/5; 11/5; 12/5; 12/5; 9/4; 11/5; 23/10; 21/10; 12/5; 23/12; 11/5; 9/4; 9/4; 21/10; 12/5; 19/10
META; english/championship/qpr-v-derby; 2018-03-04 18:20:56 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Derby; 6/5; 23/20; 5/4; 5/4; 13/10; 29/20; 5/4; 13/10; 15/13; 5/4; 5/4; 6/5; 5/4; 5/4; 6/5; 6/5; 11/10; 7/6; 15/13; 5/4; 6/5; 6/5; 6/5; 5/4
QPR; 23/10; 23/10; 21/10; 11/5; 117/0; 11/5; 11/5; 2; 23/10; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 28/13; 12/5; 23/12; 9/4; 11/5; 9/4; 28/13; 21/10; 9/4
Draw; 12/5; 12/5; 23/10; 23/10; 5/2; 23/10; 23/10; 11/5; 12/5; 23/10; 23/10; 12/5; 47/20; 12/5; 12/5; 23/10; 23/10; 40/17; 40/17; 12/5; 40/17; 9/4; 23/10; 
META; english/championship/qpr-v-derby; 2018-03-04 22:20:33 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Derby; 5/4; 13/10; 13/10; 5/4; 27/20; 29/20; 13/10; 13/10; 15/13; 13/10; 13/10; 13/10; 13/10; 27/20; 13/10; 13/10; 5/4; 6/5; 11/9; 15/13; 7/5; 13/10; 5/4; 13/10; 13/10; 13/10
QPR; 11/5; 21/10; 21/10; 11/5; 56/25; 11/5; 21/10; 2; 23/10; 21/10; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 39/19; 11/5; 24/13; 9/4; 11/5; 21/10; 21/10; 21/10; 11/5; 11/5
Draw; 12/5; 23/10; 9/4; 23/10; 5/2; 23/10; 23/10; 11/5; 12/5; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 9/4; 40/17; 40/17; 12/5; 23/10; 23/10; 23/10; 12/5; 
META; english/championship/qpr-v-derby; 2018-03-05 02:20:47 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Derby; 5/4; 13/10; 13/10; 5/4; 27/20; 29/20; 13/10; 13/10; 15/13; 13/10; 13/10; 13/10; 13/10; 27/20; 13/10; 13/10; 5/4; 6/5; 11/9; 15/13; 7/5; 13/10; 5/4; 13/10; 27/20; 13/10
QPR; 11/5; 21/10; 21/10; 11/5; 56/25; 11/5; 21/10; 2; 23/10; 21/10; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 39/19; 11/5; 24/13; 9/4; 11/5; 21/10; 21/10; 21/10; 21/10; 11/5
Draw; 12/5; 23/10; 9/4; 23/10; 5/2; 23/10; 23/10; 11/5; 12/5; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 9/4; 40/17; 40/17; 12/5; 23/10; 23/10; 23/10; 12/5; 
META; english/championship/qpr-v-derby; 2018-03-05 10:20:46 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Derby; 7/5; 13/10; 13/10; 5/4; 34/25; 29/20; 13/10; 13/10; 15/13; 13/10; 13/10; 13/10; 13/10; 27/20; 13/10; 13/10; 5/4; 6/5; 11/9; 15/13; 11/8; 13/10; 5/4; 13/10; 27/20; 6/5
QPR; 11/5; 21/10; 21/10; 11/5; 56/25; 11/5; 21/10; 2; 23/10; 21/10; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 39/19; 11/5; 24/13; 9/4; 11/5; 21/10; 21/10; 21/10; 21/10; 19/10
Draw; 12/5; 23/10; 9/4; 23/10; 62/25; 23/10; 23/10; 11/5; 12/5; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 9/4; 40/17; 40/17; 12/5; 23/10; 23/10; 23/10; 21/10; 
META; english/championship/qpr-v-derby; 2018-03-05 14:21:06 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Derby; 7/5; 13/10; 27/20; 7/5; 149/00; 29/20; 13/10; 13/10; 10/7; 27/20; 11/8; 13/10; 11/8; 11/8; 7/5; 11/8; 23/17; 13/10; 23/18; 7/5; 29/20; 7/5; 23/17; 7/5; 5/4; 7/5
QPR; 11/5; 21/10; 2; 21/10; 51/25; 11/5; 21/10; 2; 2; 2; 21/10; 41/20; 2; 19/10; 21/10; 30/17; 37/19; 21/10; 2; 37/19; 2; 19/10; 2; ; ; 
Draw; 12/5; 23/10; 9/4; 23/10; 49/20; 23/10; 23/10; 11/5; 23/10; 23/10; 23/10; 12/5; 11/5; 23/10; 23/10; 23/10; 9/4; 9/4; 40/17; 9/4; 12/5; 9/4; 23/10; 21/10; 12/5; 
META; english/championship/qpr-v-derby; 2018-03-05 18:21:08 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Derby; 29/20; 11/8; 11/8; 7/5; 149/00; 29/20; 13/10; 13/10; 10/7; 7/5; 11/8; 7/5; 11/8; 7/5; 7/5; 11/8; 23/17; 13/10; 11/8; 7/5; 29/20; 7/5; 23/17; 11/8; 7/5; 7/5
QPR; 21/10; 19/10; 19/10; 21/10; 101/0; 11/5; 21/10; 2; 2; 19/10; 21/10; 39/20; 2; 19/10; 21/10; 21/11; 37/19; 2; 19/10; 2; 21/10; 21/10; ; ; ; 
Draw; 12/5; 12/5; 9/4; 23/10; 62/25; 23/10; 23/10; 11/5; 23/10; 23/10; 9/4; 23/10; 11/5; 47/20; 23/10; 23/10; 9/4; 9/4; 5/2; 9/4; 5/2; 23/10; 23/10; 23/10; 12/5; 
META; english/championship/qpr-v-derby; 2018-03-05 22:21:11 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Derby; 29/20; 11/8; 11/8; 7/5; 149/00; 29/20; 7/5; 7/5; 10/7; 7/5; 7/5; 7/5; 11/8; 7/5; 7/5; 7/5; 23/17; 13/10; 11/8; 7/5; 29/20; 7/5; 23/17; 7/5; 7/5; 7/5
QPR; 21/10; 19/10; 19/10; 21/10; 197/00; 21/10; 19/10; 15/8; 2; 19/10; 19/10; 19/10; 21/10; 39/20; 19/10; 19/10; 24/13; 21/10; 21/11; 37/19; 2; 39/20; 24/13; 19/10; 2; 19/10
Draw; 12/5; 12/5; 23/10; 23/10; 51/20; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 11/5; 47/20; 5/2; 23/10; 23/10; 9/4; 5/2; 9/4; 5/2; 23/10; 23/10; 12/5; 5/2; 
META; english/championship/qpr-v-derby; 2018-03-06 02:21:05 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
