META; english/championship/sunderland-v-qpr; 2017-09-30 22:21:32 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sunderland; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; 
QPR; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; 
META; english/championship/sunderland-v-qpr; 2017-10-01 02:21:31 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sunderland; ; 11/10; ; ; ; ; ; 6/5; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 11/10; ; ; ; ; 
QPR; ; 9/4; ; ; ; ; ; 9/4; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 11/5; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 23/10; ; ; ; ; 
META; english/championship/sunderland-v-qpr; 2017-10-01 10:21:30 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sunderland; ; 11/10; ; ; ; ; ; 6/5; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 11/10; ; ; ; ; 
QPR; ; 9/4; ; ; ; ; ; 9/4; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 11/5; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 23/10; ; ; ; ; 
META; english/championship/sunderland-v-qpr; 2017-10-01 14:21:39 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sunderland; 19/20; 11/10; ; 21/20; ; ; 11/10; 1; 11/10; ; 1; ; ; ; ; 21/20; ; 11/10; 1; ; ; 11/10; ; 21/20; ; ; ; ; 
Draw; 9/4; 12/5; ; 12/5; ; ; 9/4; 12/5; 40/17; ; 12/5; ; ; ; ; 12/5; ; 23/10; 9/4; ; ; 23/10; ; 23/10; ; ; ; ; 
QPR; 31/10; 9/4; ; 13/5; ; ; 14/5; 11/4; 5/2; ; 14/5; ; ; ; ; 11/4; ; 27/11; 45/17; ; ; 27/11; ; 13/5; ; ; ; ; 
META; english/championship/sunderland-v-qpr; 2017-10-01 18:21:03 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sunderland; 19/20; 11/10; ; 21/20; 1; 19/20; 21/20; 1; 21/20; ; 21/20; ; ; ; 21/20; 21/20; 10/11; 24/23; 1; ; 42/41; 24/23; ; 21/20; ; ; ; ; 
Draw; 9/4; 12/5; ; 12/5; 11/5; 12/5; 12/5; 23/10; 12/5; ; 23/10; ; ; ; 23/10; 23/10; 23/10; 40/17; 23/10; ; 23/10; 40/17; ; 23/10; ; ; ; ; 
QPR; 31/10; 9/4; ; 13/5; 3; 16/5; 11/4; 11/4; 11/4; ; 11/4; ; ; ; 14/5; 14/5; 31/10; 45/17; 27/10; ; 23/10; 45/17; ; 13/5; ; ; ; ; 
META; english/championship/sunderland-v-qpr; 2017-10-01 22:20:52 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sunderland; 19/20; 11/10; ; 21/20; 1; 19/20; 21/20; 1; 21/20; ; 21/20; 11/10; ; 1; 21/20; 21/20; 10/11; 24/23; 1; ; 42/41; 24/23; ; 21/20; ; ; 8/11; ; 
Draw; 9/4; 12/5; ; 12/5; 11/5; 12/5; 12/5; 23/10; 12/5; ; 23/10; 12/5; ; 23/10; 23/10; 23/10; 23/10; 40/17; 23/10; ; 23/10; 40/17; ; 23/10; ; ; 17/10; ; 
QPR; 31/10; 9/4; ; 13/5; 3; 16/5; 11/4; 3; 11/4; ; 11/4; 13/5; ; 3; 14/5; 14/5; 31/10; 45/17; 27/10; ; 23/10; 45/17; ; 13/5; ; ; 2; ; 
META; english/championship/sunderland-v-qpr; 2017-10-02 02:20:45 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sunderland; 19/20; 11/10; ; 21/20; 1; 19/20; 21/20; 1; 21/20; ; 21/20; 11/10; ; 1; 21/20; 21/20; 10/11; 24/23; 1; ; 42/41; 24/23; ; 21/20; ; ; 4/5; ; 
Draw; 9/4; 12/5; ; 12/5; 11/5; 12/5; 12/5; 23/10; 12/5; ; 23/10; 12/5; ; 23/10; 23/10; 23/10; 23/10; 40/17; 23/10; ; 23/10; 40/17; ; 23/10; ; ; 9/5; ; 
QPR; 31/10; 9/4; ; 13/5; 3; 16/5; 11/4; 3; 11/4; ; 11/4; 13/5; ; 3; 14/5; 14/5; 31/10; 45/17; 27/10; ; 23/10; 45/17; ; 13/5; ; ; 12/5; ; 
META; english/championship/sunderland-v-qpr; 2017-10-02 10:21:12 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sunderland; 19/20; 11/10; ; 21/20; 1; 19/20; 21/20; 1; 21/20; ; 21/20; 11/10; ; 1; 21/20; 21/20; 10/11; 24/23; 1; ; 42/41; 24/23; ; 21/20; ; ; 4/5; ; 
Draw; 9/4; 12/5; ; 12/5; 11/5; 12/5; 12/5; 23/10; 12/5; ; 23/10; 12/5; ; 23/10; 23/10; 23/10; 23/10; 40/17; 23/10; ; 23/10; 40/17; ; 23/10; ; ; 21/10; ; 
QPR; 31/10; 9/4; ; 13/5; 3; 16/5; 11/4; 3; 11/4; ; 11/4; 13/5; ; 3; 14/5; 14/5; 31/10; 45/17; 27/10; ; 23/10; 45/17; ; 13/5; ; ; 12/5; ; 
META; english/championship/sunderland-v-qpr; 2017-10-02 18:21:28 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sunderland; 1; 21/20; ; 21/20; 1; 11/10; 21/20; 1; 21/20; ; 21/20; 11/10; ; 1; 21/20; 1; 21/20; 21/20; 11/10; 42/41; 24/23; 21/20; 21/20; 1; ; 10/11; ; 
Sunderland; 11/10; 11/10; 15/13; 21/20; 1; 11/10; 11/10; 1; 11/10; 11/10; 11/10; 23/20; ; 11/10; 21/20; 21/20; 21/20; 21/20; 29/25; 10/9; 11/10; 11/10; 23/20; 11/10; ; 1; ; 
Draw; 9/4; 12/5; 23/10; 12/5; 11/5; 23/10; 23/10; 23/10; 27/11; 23/10; 12/5; 12/5; ; 12/5; 5/2; 9/4; 11/5; 23/10; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; ; 11/5; ; 
QPR; 13/5; 12/5; 12/5; 13/5; 3; 29/10; 12/5; 13/5; 5/2; 23/10; 5/2; 12/5; ; 11/4; 13/5; 5/2; 11/4; 12/5; 14/5; 21/10; 27/11; 13/5; 12/5; 5/2; ; 23/10; ; 
META; english/championship/sunderland-v-qpr; 2017-10-04 10:21:50 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sunderland; 11/10; 11/10; 15/13; 21/20; 1; 11/10; 11/10; 1; 11/10; 11/10; 11/10; 23/20; ; 11/10; 21/20; 21/20; 21/20; 21/20; 29/25; 10/9; 11/10; 11/10; 23/20; 11/10; ; 1; ; 
Draw; 9/4; 12/5; 23/10; 12/5; 11/5; 23/10; 23/10; 23/10; 27/11; 23/10; 12/5; 12/5; ; 12/5; 5/2; 9/4; 11/5; 23/10; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; ; 11/5; ; 
QPR; 13/5; 12/5; 12/5; 13/5; 3; 29/10; 12/5; 13/5; 5/2; 23/10; 5/2; 12/5; ; 11/4; 13/5; 5/2; 11/4; 12/5; 14/5; 21/10; 27/11; 13/5; 12/5; 5/2; ; 21/10; ; 
META; english/championship/sunderland-v-qpr; 2017-10-04 14:21:55 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sunderland; 11/10; 11/10; 15/13; 21/20; 1; 11/10; 11/10; 1; 11/10; 11/10; 11/10; 23/20; ; 11/10; 21/20; 21/20; 21/20; 21/20; 29/25; 10/9; 11/10; 11/10; 23/20; 11/10; ; 1; ; 
Draw; 9/4; 12/5; 23/10; 12/5; 11/5; 23/10; 23/10; 23/10; 27/11; 23/10; 12/5; 12/5; ; 12/5; 5/2; 9/4; 11/5; 23/10; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; ; 11/5; ; 
QPR; 13/5; 12/5; 12/5; 13/5; 3; 29/10; 12/5; 13/5; 5/2; 23/10; 5/2; 12/5; ; 11/4; 13/5; 5/2; 11/4; 12/5; 14/5; 21/10; 27/11; 13/5; 12/5; 5/2; ; 23/10; ; 
META; english/championship/sunderland-v-qpr; 2017-10-04 18:21:54 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sunderland; 11/10; 11/10; 15/13; 21/20; 1; 11/10; 11/10; 1; 11/10; 11/10; 11/10; 23/20; ; 11/10; 21/20; 21/20; 21/20; 21/20; 29/25; 10/9; 11/10; 11/10; 23/20; 11/10; ; 1; ; 
Draw; 9/4; 12/5; 23/10; 12/5; 11/5; 23/10; 23/10; 23/10; 27/11; 23/10; 12/5; 12/5; ; 12/5; 5/2; 9/4; 11/5; 23/10; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; ; 11/5; ; 
QPR; 13/5; 12/5; 12/5; 13/5; 3; 29/10; 12/5; 13/5; 5/2; 23/10; 5/2; 12/5; ; 11/4; 13/5; 5/2; 11/4; 12/5; 14/5; 21/10; 27/11; 13/5; 12/5; 5/2; ; 23/10; ; 
META; english/championship/sunderland-v-qpr; 2017-10-04 22:21:41 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sunderland; 11/10; 11/10; 15/13; 21/20; 1; 11/10; 11/10; 1; 11/10; 11/10; 11/10; 23/20; ; 11/10; 21/20; 21/20; 21/20; 11/10; 29/25; 10/9; 11/10; 11/10; 23/20; 11/10; ; 1; ; 
Draw; 9/4; 12/5; 23/10; 12/5; 11/5; 23/10; 23/10; 23/10; 27/11; 23/10; 12/5; 12/5; ; 12/5; 5/2; 9/4; 11/5; 23/10; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; ; 11/5; ; 
QPR; 13/5; 12/5; 12/5; 13/5; 3; 29/10; 12/5; 13/5; 5/2; 23/10; 5/2; 12/5; ; 11/4; 13/5; 5/2; 11/4; 12/5; 14/5; 21/10; 27/11; 13/5; 12/5; 5/2; ; 23/10; ; 
META; english/championship/sunderland-v-qpr; 2017-10-05 02:21:44 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sunderland; 11/10; 11/10; 15/13; 21/20; 1; 11/10; 11/10; 1; 11/10; 11/10; 11/10; 23/20; ; 11/10; 21/20; 21/20; 21/20; 11/10; 29/25; 10/9; 11/10; 11/10; 23/20; 11/10; ; 1; ; 
Draw; 9/4; 12/5; 23/10; 12/5; 11/5; 23/10; 23/10; 23/10; 27/11; 23/10; 12/5; 12/5; ; 12/5; 5/2; 9/4; 11/5; 23/10; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; ; 11/5; ; 
QPR; 13/5; 12/5; 12/5; 13/5; 3; 29/10; 12/5; 13/5; 5/2; 23/10; 5/2; 12/5; ; 11/4; 13/5; 5/2; 11/4; 12/5; 14/5; 21/10; 27/11; 13/5; 12/5; 5/2; ; 11/5; ; 
META; english/championship/sunderland-v-qpr; 2017-10-05 10:21:59 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sunderland; 11/10; 11/10; 15/13; 21/20; 1; 23/20; 11/10; 1; 11/10; 11/10; 11/10; 23/20; ; 11/10; 21/20; 21/20; 11/10; 11/10; 29/25; 10/9; 11/10; 11/10; 23/20; 11/10; ; 1; ; 
Draw; 9/4; 12/5; 23/10; 12/5; 11/5; 23/10; 23/10; 23/10; 27/11; 23/10; 12/5; 12/5; ; 12/5; 23/10; 9/4; 11/5; 23/10; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; ; 21/10; ; 
QPR; 13/5; 12/5; 12/5; 13/5; 3; 27/10; 12/5; 13/5; 5/2; 23/10; 5/2; 12/5; ; 11/4; 11/4; 5/2; 13/5; 12/5; 14/5; 21/10; 27/11; 13/5; 12/5; 5/2; ; 11/5; ; 
META; english/championship/sunderland-v-qpr; 2017-10-05 14:22:02 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sunderland; 11/10; 11/10; 15/13; 21/20; 1; 23/20; 11/10; 1; 11/10; 11/10; 11/10; 23/20; ; 11/10; 21/20; 21/20; 11/10; 11/10; 29/25; 10/9; 11/10; 11/10; 23/20; 11/10; ; 1; ; 
Draw; 9/4; 12/5; 23/10; 12/5; 11/5; 23/10; 23/10; 23/10; 27/11; 23/10; 12/5; 12/5; ; 12/5; 23/10; 9/4; 11/5; 23/10; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; ; 21/10; ; 
QPR; 13/5; 12/5; 12/5; 13/5; 3; 27/10; 12/5; 13/5; 5/2; 23/10; 5/2; 12/5; ; 11/4; 11/4; 5/2; 13/5; 12/5; 14/5; 21/10; 27/11; 13/5; 12/5; 5/2; ; 12/5; ; 
META; english/championship/sunderland-v-qpr; 2017-10-05 18:22:23 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sunderland; 11/10; 11/10; 15/13; 21/20; 1; 23/20; 11/10; 1; 11/10; 11/10; 11/10; 23/20; ; 11/10; 21/20; 21/20; 11/10; 11/10; 29/25; 10/9; 11/10; 11/10; 23/20; 11/10; ; 1; ; 
Draw; 9/4; 12/5; 23/10; 12/5; 11/5; 23/10; 23/10; 23/10; 27/11; 23/10; 12/5; 12/5; ; 12/5; 23/10; 9/4; 11/5; 23/10; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; ; 21/10; ; 
QPR; 13/5; 12/5; 12/5; 13/5; 3; 27/10; 12/5; 13/5; 5/2; 23/10; 5/2; 12/5; ; 11/4; 11/4; 5/2; 13/5; 12/5; 14/5; 21/10; 27/11; 13/5; 12/5; 5/2; ; 12/5; ; 
META; english/championship/sunderland-v-qpr; 2017-10-05 22:22:04 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sunderland; 11/10; 11/10; 15/13; 21/20; 1; 23/20; 11/10; 1; 11/10; 11/10; 11/10; 23/20; ; 11/10; 21/20; 21/20; 11/10; 11/10; 29/25; 10/9; 11/10; 11/10; 23/20; 11/10; ; 1; ; 
Draw; 9/4; 12/5; 23/10; 12/5; 11/5; 23/10; 23/10; 23/10; 27/11; 23/10; 12/5; 12/5; ; 12/5; 23/10; 9/4; 11/5; 23/10; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; ; 21/10; ; 
QPR; 13/5; 12/5; 12/5; 13/5; 3; 27/10; 12/5; 13/5; 5/2; 23/10; 5/2; 12/5; ; 11/4; 11/4; 5/2; 13/5; 12/5; 14/5; 21/10; 27/11; 5/2; 12/5; 49/20; ; 4/11; ; 
META; english/championship/sunderland-v-qpr; 2017-10-06 02:23:25 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sunderland; 11/10; 11/10; 15/13; 21/20; 1; 23/20; 11/10; 1; 11/10; 11/10; 11/10; 23/20; ; 11/10; 21/20; 21/20; 11/10; 11/10; 29/25; 10/9; 11/10; 11/10; 23/20; 11/10; ; 1; ; 
Draw; 9/4; 12/5; 23/10; 12/5; 11/5; 23/10; 23/10; 23/10; 27/11; 23/10; 12/5; 12/5; ; 12/5; 23/10; 9/4; 11/5; 23/10; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; ; 21/10; ; 
QPR; 13/5; 12/5; 12/5; 13/5; 3; 27/10; 12/5; 13/5; 5/2; 23/10; 5/2; 12/5; ; 11/4; 11/4; 5/2; 13/5; 12/5; 14/5; 21/10; 27/11; 5/2; 12/5; 49/20; ; 4/11; ; 
META; english/championship/sunderland-v-qpr; 2017-10-06 10:22:02 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
