META; english/championship/sheffield-wednesday-v-cardiff; 2018-01-14 02:20:56 GMT+2; 2018-01-20 17:30; Nothing; Xlenovo
Sheffield Wednesday; ; 8/5; ; ; ; 31/20; 6/4; 6/4; 7/5; ; 8/5; ; ; ; ; 6/4; ; 7/5; ; ; 7/5; ; 6/4; 6/4; 7/5; ; 21/20; ; 
META; english/championship/sheffield-wednesday-v-cardiff; 2018-01-16 14:24:04 GMT+2; 2018-01-20 17:30; Nothing; Xlenovo
Cardiff; 6/4; 6/4; 17/11; 7/4; 83/50; 13/8; 8/5; 13/8; 7/4; 8/5; 6/4; 8/5; 11/8; 8/5; 17/10; 6/4; 8/5; 17/11; 8/5; 16/11; 17/10; 13/8; 31/20; 8/5; 17/11; ; 6/4; 6/4; 13/8
Sheffield Wednesday; 7/4; 9/5; 9/5; 13/8; 19/10; 9/5; 9/5; 7/4; 17/10; 9/5; 9/5; 9/5; 2; 37/20; 9/5; 9/5; 28/17; 9/5; 28/17; 17/10; 28/17; 9/5; 9/5; 9/5; 9/5; ; 17/10; 7/4; 19/10
Draw; 23/10; 23/10; 21/10; 11/5; 117/50; 9/4; 11/5; 11/5; 9/4; 21/10; 9/4; 21/10; 9/4; 11/5; 21/10; 11/5; 11/5; 11/5; 11/5; 23/10; 11/5; 9/4; 23/10; 21/10; 11/5; ; 21/10; 2; 23/10
META; english/championship/sheffield-wednesday-v-cardiff; 2018-01-16 18:23:58 GMT+2; 2018-01-20 17:30; Nothing; Xlenovo
Cardiff; 6/4; 6/4; 17/11; 7/4; 83/50; 13/8; 8/5; 13/8; 7/4; 8/5; 6/4; 8/5; 11/8; 8/5; 17/10; 6/4; 8/5; 17/11; 8/5; 16/11; 17/10; 13/8; 31/20; 8/5; 17/11; ; 6/4; 6/4; 13/8
Sheffield Wednesday; 7/4; 9/5; 9/5; 13/8; 191/100; 9/5; 9/5; 7/4; 17/10; 9/5; 9/5; 9/5; 2; 37/20; 9/5; 9/5; 28/17; 9/5; 28/17; 17/10; 28/17; 9/5; 9/5; 9/5; 9/5; ; 17/10; 7/4; 19/10
Draw; 23/10; 23/10; 21/10; 11/5; 58/25; 9/4; 11/5; 11/5; 9/4; 21/10; 9/4; 21/10; 9/4; 43/20; 21/10; 11/5; 11/5; 11/5; 11/5; 23/10; 11/5; 9/4; 23/10; 21/10; 11/5; ; 2; 2; 23/10
META; english/championship/sheffield-wednesday-v-cardiff; 2018-01-16 22:22:39 GMT+2; 2018-01-20 17:30; Nothing; Xlenovo
Cardiff; 6/4; 6/4; 17/11; 7/4; 83/50; 13/8; 8/5; 13/8; 7/4; 8/5; 6/4; 8/5; 11/8; 8/5; 8/5; 6/4; 8/5; 17/11; 8/5; 16/11; 17/10; 13/8; 31/20; 8/5; 8/5; ; 6/4; 6/4; 13/8
Sheffield Wednesday; 7/4; 9/5; 9/5; 13/8; 191/100; 9/5; 9/5; 7/4; 17/10; 9/5; 9/5; 9/5; 2; 15/8; 9/5; 9/5; 28/17; 9/5; 28/17; 17/10; 28/17; 9/5; 9/5; 9/5; 24/13; ; 7/4; 7/4; 19/10
Draw; 23/10; 23/10; 21/10; 11/5; 58/25; 9/4; 11/5; 11/5; 9/4; 21/10; 9/4; 21/10; 9/4; 43/20; 11/5; 11/5; 11/5; 11/5; 11/5; 23/10; 11/5; 9/4; 23/10; 21/10; 9/4; ; 21/10; 2; 23/10
META; english/championship/sheffield-wednesday-v-cardiff; 2018-01-17 02:21:35 GMT+2; 2018-01-20 17:30; Nothing; Xlenovo
Cardiff; 6/4; 6/4; 17/11; 7/4; 83/50; 13/8; 8/5; 13/8; 7/4; 8/5; 6/4; 8/5; 11/8; 8/5; 8/5; 6/4; 8/5; 17/11; 8/5; 16/11; 17/10; 13/8; 31/20; 8/5; 8/5; ; 6/4; 6/4; 13/8
Sheffield Wednesday; 7/4; 9/5; 9/5; 13/8; 191/100; 9/5; 9/5; 7/4; 17/10; 9/5; 9/5; 9/5; 2; 15/8; 9/5; 9/5; 28/17; 9/5; 28/17; 7/4; 28/17; 9/5; 9/5; 9/5; 24/13; ; 7/4; 7/4; 19/10
Draw; 23/10; 23/10; 21/10; 11/5; 58/25; 9/4; 11/5; 11/5; 9/4; 21/10; 9/4; 21/10; 9/4; 43/20; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 23/10; 21/10; 9/4; ; 21/10; 2; 23/10
META; english/championship/sheffield-wednesday-v-cardiff; 2018-01-17 10:21:28 GMT+2; 2018-01-20 17:30; Nothing; Xlenovo
Cardiff; 6/4; 6/4; 17/11; 7/4; 83/50; 13/8; 8/5; 13/8; 7/4; 8/5; 6/4; 8/5; 11/8; 8/5; 8/5; 6/4; 8/5; 17/11; 8/5; 16/11; 17/10; 13/8; 31/20; 8/5; 8/5; ; 6/4; 6/4; 13/8
Sheffield Wednesday; 7/4; 9/5; 9/5; 13/8; 191/100; 9/5; 9/5; 7/4; 17/10; 9/5; 9/5; 9/5; 2; 15/8; 9/5; 9/5; 28/17; 9/5; 28/17; 7/4; 28/17; 9/5; 9/5; 9/5; 24/13; ; 7/4; 7/4; 19/10
Draw; 23/10; 23/10; 21/10; 11/5; 58/25; 9/4; 11/5; 11/5; 9/4; 21/10; 9/4; 21/10; 9/4; 43/20; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 23/10; 21/10; 9/4; ; 21/10; 2; 23/10
META; english/championship/sheffield-wednesday-v-cardiff; 2018-01-17 14:24:00 GMT+2; 2018-01-20 17:30; Nothing; Xlenovo
Cardiff; 6/4; 6/4; 17/11; 7/4; 42/25; 13/8; 8/5; 8/5; 7/4; 8/5; 8/5; 8/5; 11/8; 8/5; 8/5; 8/5; 6/4; 8/5; 6/4; 16/11; 17/10; 13/8; 31/20; 8/5; 8/5; ; 6/4; 6/4; 13/8
Sheffield Wednesday; 7/4; 9/5; 9/5; 13/8; 48/25; 15/8; 9/5; 9/5; 17/10; 15/8; 9/5; 9/5; 2; 15/8; 9/5; 7/4; 9/5; 9/5; 9/5; 7/4; 28/17; 9/5; 9/5; 9/5; 24/13; ; 7/4; 7/4; 19/10
Draw; 23/10; 23/10; 21/10; 11/5; 57/25; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 21/10; 9/4; 43/20; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 23/10; 21/10; 11/5; ; 21/10; 2; 9/4
META; english/championship/sheffield-wednesday-v-cardiff; 2018-01-17 18:20:39 GMT+2; 2018-01-20 17:30; Nothing; Xlenovo
Cardiff; 6/4; 6/4; 17/11; 7/4; 42/25; 13/8; 8/5; 8/5; 7/4; 8/5; 8/5; 8/5; 11/8; 8/5; 8/5; 8/5; 6/4; 8/5; 6/4; 16/11; 17/10; 13/8; 31/20; 8/5; 8/5; ; 6/4; 6/4; 13/8
Sheffield Wednesday; 7/4; 9/5; 9/5; 13/8; 48/25; 15/8; 9/5; 9/5; 17/10; 15/8; 9/5; 9/5; 2; 15/8; 9/5; 9/5; 9/5; 9/5; 9/5; 7/4; 28/17; 9/5; 9/5; 9/5; 24/13; ; 7/4; 7/4; 19/10
Draw; 23/10; 9/4; 21/10; 11/5; 57/25; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 21/10; 9/4; 43/20; 11/5; 21/10; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 23/10; 21/10; 11/5; ; 21/10; 2; 9/4
META; english/championship/sheffield-wednesday-v-cardiff; 2018-01-17 22:20:25 GMT+2; 2018-01-20 17:30; Nothing; Xlenovo
Cardiff; 6/4; 6/4; 17/11; 6/4; 42/25; 13/8; 8/5; 8/5; 7/4; 8/5; 8/5; 8/5; 11/8; 8/5; 8/5; 6/4; 6/4; 8/5; 6/4; 16/11; 17/10; 13/8; 31/20; 8/5; 8/5; ; 6/4; 6/4; 13/8
Sheffield Wednesday; 7/4; 9/5; 9/5; 15/8; 48/25; 15/8; 9/5; 9/5; 17/10; 15/8; 9/5; 9/5; 2; 15/8; 9/5; 9/5; 9/5; 9/5; 9/5; 7/4; 28/17; 9/5; 9/5; 9/5; 24/13; ; 7/4; 7/4; 19/10
Draw; 23/10; 9/4; 21/10; 11/5; 57/25; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 21/10; 9/4; 43/20; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 23/10; 21/10; 11/5; ; 21/10; 2; 9/4
META; english/championship/sheffield-wednesday-v-cardiff; 2018-01-18 02:20:18 GMT+2; 2018-01-20 17:30; Nothing; Xlenovo
Cardiff; 6/4; 6/4; 17/11; 6/4; 13/8; 13/8; 6/4; 8/5; 17/11; 8/5; 8/5; 31/20; 11/8; 8/5; 8/5; 6/4; 6/4; 17/11; 6/4; 16/11; 6/4; 8/5; 31/20; 31/20; 17/11; ; 7/5; 6/4; 6/4
Sheffield Wednesday; 7/4; 9/5; 28/15; 15/8; 197/100; 15/8; 15/8; 9/5; 37/19; 15/8; 9/5; 15/8; 2; 15/8; 9/5; 15/8; 9/5; 19/10; 9/5; 7/4; 15/8; 15/8; 9/5; 15/8; 19/10; ; 9/5; 9/5; 2
Draw; 23/10; 9/4; 21/10; 11/5; 23/10; 11/5; 11/5; 21/10; 11/5; 21/10; 11/5; 21/10; 9/4; 43/20; 11/5; 21/10; 11/5; 11/5; 11/5; 9/4; 28/13; 11/5; 23/10; 21/10; 11/5; ; 21/10; 2; 9/4
META; english/championship/sheffield-wednesday-v-cardiff; 2018-01-18 10:20:20 GMT+2; 2018-01-20 17:30; Nothing; Xlenovo
Cardiff; 6/4; 6/4; 17/11; 6/4; 13/8; 13/8; 6/4; 8/5; 17/11; 8/5; 8/5; 6/4; 11/8; 8/5; 8/5; 6/4; 6/4; 17/11; 6/4; 16/11; 6/4; 8/5; 31/20; 31/20; 17/11; ; 6/4; 6/4; 6/4
Sheffield Wednesday; 7/4; 9/5; 28/15; 15/8; 197/100; 15/8; 15/8; 9/5; 37/19; 15/8; 9/5; 15/8; 2; 19/10; 9/5; 9/5; 9/5; 19/10; 9/5; 7/4; 15/8; 15/8; 9/5; 15/8; 19/10; ; 9/5; 9/5; 2
Draw; 23/10; 9/4; 21/10; 11/5; 23/10; 11/5; 11/5; 21/10; 11/5; 21/10; 11/5; 11/5; 9/4; 43/20; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 28/13; 11/5; 23/10; 21/10; 11/5; ; 21/10; 2; 9/4
META; english/championship/sheffield-wednesday-v-cardiff; 2018-01-18 14:20:19 GMT+2; 2018-01-20 17:30; Nothing; Xlenovo
Cardiff; 6/4; 6/4; 17/11; 6/4; 13/8; 13/8; 6/4; 8/5; 17/11; 8/5; 8/5; 6/4; 11/8; 8/5; 8/5; 6/4; 6/4; 17/11; 6/4; 16/11; 6/4; 8/5; 31/20; 31/20; 17/11; ; 6/4; 6/4; 6/4
Sheffield Wednesday; 7/4; 9/5; 28/15; 15/8; 197/100; 15/8; 15/8; 9/5; 37/19; 15/8; 9/5; 15/8; 2; 19/10; 9/5; 15/8; 9/5; 19/10; 9/5; 7/4; 15/8; 15/8; 9/5; 15/8; 19/10; ; 9/5; 9/5; 2
Draw; 23/10; 9/4; 21/10; 11/5; 23/10; 11/5; 11/5; 21/10; 11/5; 21/10; 11/5; 11/5; 9/4; 43/20; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 28/13; 11/5; 23/10; 21/10; 11/5; ; 21/10; 2; 9/4
META; english/championship/sheffield-wednesday-v-cardiff; 2018-01-18 18:20:24 GMT+2; 2018-01-20 17:30; Nothing; Xlenovo
Cardiff; 11/8; 6/4; 16/11; 6/4; 38/25; 13/8; 6/4; 8/5; 17/11; 29/20; 29/20; 7/5; 11/8; 29/20; 6/4; 7/5; 6/4; 16/11; 6/4; 19/13; 6/4; 6/4; 29/20; 6/4; 16/11; ; 6/4; 6/4; 7/5
Sheffield Wednesday; 19/10; 9/5; 2; 15/8; 85/40; 15/8; 15/8; 9/5; 37/19; 2; 19/10; 19/10; 2; 41/20; 2; 19/10; 9/5; 2; 9/5; 31/16; 15/8; 2; 2; 21/10; 2; ; 19/10; 19/10; 21/10
Draw; 23/10; 9/4; 21/10; 11/5; 23/10; 11/5; 11/5; 21/10; 11/5; 21/10; 11/5; 23/10; 9/4; 43/20; 11/5; 9/4; 11/5; 11/5; 11/5; 23/10; 28/13; 11/5; 23/10; 21/10; 11/5; ; 21/10; 2; 9/4
META; english/championship/sheffield-wednesday-v-cardiff; 2018-01-18 22:21:45 GMT+2; 2018-01-20 17:30; Nothing; Xlenovo
Cardiff; 11/8; 6/4; 16/11; 7/5; 6/4; 6/4; 7/5; 7/5; 11/8; 29/20; 7/5; 7/5; 11/8; 6/4; 6/4; 7/5; 23/17; 7/5; 23/17; 19/13; 23/17; 6/4; 6/4; 6/4; 7/5; ; 7/5; 7/5; 7/5
Sheffield Wednesday; 19/10; 9/5; 2; 2; 107/50; 2; 2; 2; 21/10; 2; 2; 19/10; 2; 2; 2; 2; 21/10; 39/19; 21/10; 31/16; 39/19; 2; 21/10; 21/10; 39/19; ; 2; 2; 21/10
Draw; 23/10; 9/4; 21/10; 11/5; 58/25; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 23/10; 9/4; 43/20; 11/5; 9/4; 21/10; 11/5; 21/10; 23/10; 11/5; 11/5; 23/10; 21/10; 9/4; ; 21/10; 21/10; 23/10
META; english/championship/sheffield-wednesday-v-cardiff; 2018-01-19 02:21:42 GMT+2; 2018-01-20 17:30; Nothing; Xlenovo
Cardiff; 29/20; 7/5; 16/11; 7/5; 6/4; 6/4; 7/5; 7/5; 11/8; 29/20; 7/5; 7/5; 11/8; 6/4; 6/4; 7/5; 6/4; 7/5; 6/4; 19/13; 23/17; 6/4; 6/4; 6/4; 7/5; ; 7/5; 7/5; 7/5
Sheffield Wednesday; 11/5; 19/10; 2; 2; 107/50; 2; 2; 2; 21/10; 2; 2; 19/10; 2; 2; 2; 2; 19/10; 39/19; 19/10; 31/16; 39/19; 2; 21/10; 21/10; 21/10; ; 2; 2; 21/10
Draw; 9/4; 11/5; 21/10; 11/5; 58/25; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 23/10; 9/4; 43/20; 11/5; 11/5; 21/10; 11/5; 21/10; 23/10; 11/5; 11/5; 23/10; 21/10; 11/5; ; 21/10; 21/10; 23/10
META; english/championship/sheffield-wednesday-v-cardiff; 2018-01-19 10:21:26 GMT+2; 2018-01-20 17:30; Nothing; Xlenovo
Cardiff; 29/20; 6/4; 16/11; 7/5; 6/4; 6/4; 7/5; 7/5; 11/8; 29/20; 7/5; 7/5; 11/8; 6/4; 6/4; 7/5; 6/4; 7/5; 6/4; 22/15; 23/17; 6/4; 6/4; 6/4; 7/5; ; 7/5; 7/5; 7/5
Sheffield Wednesday; 11/5; 2; 2; 2; 107/50; 2; 2; 2; 21/10; 2; 2; 19/10; 2; 2; 2; 2; 19/10; 39/19; 19/10; 37/19; 39/19; 2; 21/10; 21/10; 21/10; ; 2; 2; 21/10
