META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-19 02:31:02 GMT+2; 2018-04-08 15:00; Nothing; Xlenovo
Real Sociedad; 4/5; 20/21; 4/5; 5/6; 5/6; 4/5; 4/5; 5/6
Draw; 11/4; 139/0; 13/5; 13/5; 28/11; 11/4; 27/10; 13/5
Girona; 16/5; 16/5; 16/5; 16/5; 58/19; 17/5; 16/5; 31/10
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-19 10:31:08 GMT+2; 2018-04-08 15:00; Nothing; Xlenovo
Real Sociedad; 4/5; 5/6; 20/21; 4/5; 5/6; 5/6; 5/6; 4/5; 4/5; 4/5; 5/6
Draw; 11/4; 5/2; 139/0; 13/5; 13/5; 11/4; 28/11; 11/4; 11/4; 27/10; 13/5
Girona; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 58/19; 3; 17/5; 16/5; 31/10
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-19 14:31:10 GMT+2; 2018-04-08 15:00; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 20/21; 4/5; 5/6; 5/6; 5/6; 5/6; 4/5; 4/5; 10/13; 5/6
Draw; 11/4; 11/4; 139/0; 13/5; 13/5; 27/10; 11/4; 28/11; 11/4; 11/4; 11/4; 13/5
Girona; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 16/5; 58/19; 3; 17/5; 10/3; 31/10
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-19 18:31:14 GMT+2; 2018-04-08 15:00; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 21/25; 3/4; 4/5; 5/6; 5/6; 5/6; 4/5; 10/13; 3/4; 10/13; 5/6
Draw; 11/4; 11/4; 29/10; 13/5; 13/5; 11/4; 11/4; 28/11; 11/4; 14/5; 14/5; 11/4; 13/5
Girona; 16/5; 10/3; 73/20; 10/3; 10/3; 16/5; 16/5; 58/19; 3; 56/19; 7/2; 10/3; 31/10
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-19 22:31:14 GMT+2; 2018-04-08 15:00; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 21/25; 3/4; 4/5; 4/5; 5/6; 5/6; 5/6; 4/5; 10/13; 4/5; 3/4; 10/13; 5/6
Draw; 11/4; 11/4; 29/10; 13/5; 13/5; 13/5; 11/4; 11/4; 28/11; 11/4; 14/5; 13/5; 14/5; 11/4; 13/5
Girona; 16/5; 10/3; 73/20; 10/3; 7/2; 10/3; 16/5; 16/5; 58/19; 3; 56/19; 17/5; 7/2; 10/3; 31/10
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-20 02:31:24 GMT+2; 2018-04-08 15:00; Nothing; Xlenovo
Real Sociedad; 4/5; 4/5; 21/25; 3/4; 4/5; 4/5; 5/6; 5/6; 5/6; 4/5; 10/13; 4/5; 3/4; 10/13; 5/6
Draw; 11/4; 14/5; 29/10; 13/5; 13/5; 11/4; 11/4; 11/4; 28/11; 11/4; 14/5; 13/5; 14/5; 11/4; 13/5
Girona; 16/5; 16/5; 73/20; 10/3; 7/2; 16/5; 16/5; 16/5; 58/19; 3; 56/19; 17/5; 7/2; 10/3; 31/10
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-20 10:31:28 GMT+2; 2018-04-08 15:00; Nothing; Xlenovo
Real Sociedad; 4/5; 4/5; 21/25; 3/4; 4/5; 4/5; 5/6; 5/6; 5/6; 4/5; 10/13; 4/5; 3/4; 10/13; 5/6
Draw; 11/4; 14/5; 29/10; 13/5; 13/5; 13/5; 11/4; 11/4; 28/11; 11/4; 14/5; 13/5; 14/5; 11/4; 13/5
Girona; 16/5; 16/5; 73/20; 10/3; 7/2; 10/3; 16/5; 16/5; 58/19; 3; 56/19; 17/5; 7/2; 10/3; 31/10
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-20 14:31:21 GMT+2; 2018-04-08 15:00; Nothing; Xlenovo
Real Sociedad; 4/5; 4/5; 21/25; 3/4; 4/5; 4/5; 5/6; 5/6; 5/6; 4/5; 10/13; 4/5; 3/4; 10/13; 5/6
Draw; 11/4; 14/5; 29/10; 13/5; 13/5; 13/5; 11/4; 11/4; 28/11; 11/4; 14/5; 13/5; 14/5; 11/4; 13/5
Girona; 16/5; 16/5; 73/20; 10/3; 7/2; 10/3; 16/5; 16/5; 58/19; 3; 56/19; 17/5; 7/2; 10/3; 31/10
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-20 18:31:25 GMT+2; 2018-04-08 15:00; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 21/25; 3/4; 4/5; 4/5; 5/6; 5/6; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13
Draw; 11/4; 14/5; 147/0; 11/4; 13/5; 13/5; 11/4; 11/4; 45/17; 11/4; 14/5; 13/5; 14/5; 11/4; 45/17
Girona; 16/5; 16/5; 18/5; 16/5; 7/2; 10/3; 16/5; 16/5; 16/5; 3; 56/19; 17/5; 7/2; 10/3; 13/4
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-20 22:31:25 GMT+2; 2018-04-08 15:00; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 21/25; 3/4; 4/5; 4/5; 5/6; 5/6; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13
Draw; 11/4; 14/5; 147/0; 11/4; 13/5; 13/5; 11/4; 11/4; 45/17; 11/4; 14/5; 13/5; 14/5; 11/4; 45/17
Girona; 16/5; 16/5; 18/5; 16/5; 7/2; 10/3; 16/5; 16/5; 16/5; 3; 56/19; 17/5; 7/2; 10/3; 13/4
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-21 02:31:37 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 21/25; 3/4; 4/5; 3/4; 5/6; 5/6; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13
Draw; 11/4; 14/5; 147/0; 11/4; 13/5; 14/5; 11/4; 11/4; 45/17; 11/4; 14/5; 13/5; 14/5; 11/4; 45/17
Girona; 16/5; 16/5; 18/5; 16/5; 7/2; 16/5; 16/5; 16/5; 16/5; 3; 56/19; 17/5; 7/2; 10/3; 13/4
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-21 10:31:39 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 21/25; 3/4; 4/5; 4/5; 5/6; 5/6; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13
Draw; 11/4; 14/5; 147/0; 11/4; 13/5; 13/5; 11/4; 11/4; 45/17; 11/4; 14/5; 13/5; 14/5; 11/4; 45/17
Girona; 16/5; 16/5; 18/5; 16/5; 7/2; 10/3; 16/5; 16/5; 16/5; 3; 56/19; 17/5; 7/2; 10/3; 13/4
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-21 14:31:40 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 21/25; 3/4; 4/5; 4/5; 5/6; 5/6; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13
Draw; 11/4; 14/5; 11/4; 147/0; 11/4; 13/5; 13/5; 11/4; 11/4; 45/17; 11/4; 14/5; 13/5; 14/5; 11/4; 45/17
Girona; 16/5; 16/5; 16/5; 18/5; 16/5; 7/2; 10/3; 16/5; 16/5; 16/5; 3; 56/19; 17/5; 7/2; 10/3; 13/4
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-21 18:31:42 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 21/25; 3/4; 4/5; 4/5; 5/6; 5/6; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13
Draw; 11/4; 14/5; 11/4; 147/0; 11/4; 13/5; 13/5; 11/4; 11/4; 45/17; 11/4; 14/5; 13/5; 14/5; 11/4; 45/17
Girona; 16/5; 16/5; 16/5; 18/5; 16/5; 7/2; 10/3; 16/5; 16/5; 16/5; 3; 56/19; 17/5; 7/2; 10/3; 13/4
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-21 22:31:40 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 21/25; 3/4; 4/5; 4/5; 5/6; 5/6; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13
Draw; 11/4; 14/5; 11/4; 147/0; 11/4; 13/5; 13/5; 11/4; 11/4; 45/17; 11/4; 14/5; 13/5; 14/5; 11/4; 45/17
Girona; 16/5; 16/5; 16/5; 18/5; 16/5; 7/2; 10/3; 16/5; 16/5; 16/5; 3; 56/19; 17/5; 7/2; 10/3; 13/4
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-22 02:31:37 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 21/25; 3/4; 4/5; 4/5; 5/6; 5/6; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13
Draw; 11/4; 14/5; 11/4; 147/0; 11/4; 13/5; 13/5; 11/4; 11/4; 45/17; 11/4; 14/5; 13/5; 14/5; 11/4
Girona; 16/5; 10/3; 16/5; 18/5; 16/5; 7/2; 10/3; 16/5; 16/5; 16/5; 3; 56/19; 17/5; 7/2; 10/3
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-22 10:31:42 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 21/25; 3/4; 4/5; 4/5; 4/5; 5/6; 4/5; 4/5; 10/13; 4/5; 3/4; 10/13; 5/6
Draw; 11/4; 14/5; 11/4; 147/0; 11/4; 13/5; 13/5; 11/4; 11/4; 28/11; 11/4; 14/5; 13/5; 14/5; 11/4; 13/5
Girona; 16/5; 10/3; 16/5; 18/5; 10/3; 7/2; 10/3; 10/3; 16/5; 31/10; 3; 56/19; 17/5; 7/2; 10/3; 41/13
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-22 14:31:48 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 21/25; 3/4; 3/4; 8/11; 4/5; 4/5; 5/6; 5/6; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13; 4/6
Girona; 16/5; 16/5; 16/5; 15/4; 16/5; 10/3; 16/5; 7/2; 7/2; 10/3; 100/0; 33/10; 3; 56/19; 17/5; 7/2; 10/3; 33/10; 3
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-25 14:31:41 GMT+2; 2018-04-08 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 5/6; 7/10; 4/5; 4/6; 4/5; 5/6; 4/5; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13; 4/6; 
Draw; 11/4; 13/5; 11/4; 143/0; 13/5; 13/5; 13/5; 13/5; 5/2; 27/10; 11/4; 13/5; 11/4; 14/5; 13/5; 14/5; 27/10; 13/5; 12/5
Girona; 16/5; 10/3; 16/5; 15/4; 16/5; 10/3; 16/5; 7/2; 7/2; 10/3; 100/0; 33/10; 3; 56/19; 17/5; 7/2; 10/3; 33/10; 3
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-25 18:31:36 GMT+2; 2018-04-08 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 5/6; 7/10; 4/5; 4/6; 4/5; 5/6; 4/5; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13; 4/6; 
Draw; 11/4; 13/5; 11/4; 143/0; 13/5; 13/5; 13/5; 13/5; 5/2; 27/10; 11/4; 13/5; 11/4; 14/5; 13/5; 14/5; 27/10; 13/5; 12/5
Girona; 16/5; 10/3; 16/5; 15/4; 16/5; 10/3; 16/5; 7/2; 7/2; 10/3; 100/0; 33/10; 3; 56/19; 17/5; 7/2; 10/3; 57/17; 3
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-25 22:31:34 GMT+2; 2018-04-08 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 5/6; 7/10; 3/4; 4/6; 4/5; 3/4; 5/6; 4/5; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13; 4/6; 
Draw; 11/4; 13/5; 11/4; 143/0; 13/5; 13/5; 13/5; 13/5; 11/4; 5/2; 27/10; 11/4; 13/5; 11/4; 14/5; 13/5; 14/5; 27/10; 13/5; 12/5
Girona; 16/5; 10/3; 16/5; 15/4; 16/5; 10/3; 16/5; 7/2; 7/2; 7/2; 10/3; 100/0; 33/10; 3; 56/19; 17/5; 7/2; 10/3; 33/10; 3
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-26 02:31:29 GMT+2; 2018-04-08 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 5/6; 7/10; 3/4; 4/6; 4/5; 3/4; 5/6; 4/5; 8/11; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13; 4/6; 
Draw; 11/4; 11/4; 11/4; 143/0; 13/5; 13/5; 13/5; 13/5; 11/4; 13/5; 27/10; 11/4; 13/5; 13/5; 11/4; 14/5; 13/5; 14/5; 27/10; 13/5; 12/5
Girona; 16/5; 10/3; 16/5; 15/4; 16/5; 10/3; 16/5; 7/2; 7/2; 10/3; 10/3; 100/0; 10/3; 57/17; 3; 56/19; 17/5; 7/2; 10/3; 57/17; 3
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-26 10:31:32 GMT+2; 2018-04-08 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 5/6; 7/10; 3/4; 4/6; 4/5; 3/4; 5/6; 4/5; 4/5; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13; 4/6; 
Draw; 11/4; 11/4; 11/4; 143/0; 13/5; 13/5; 13/5; 13/5; 11/4; 5/2; 27/10; 11/4; 13/5; 13/5; 11/4; 14/5; 13/5; 14/5; 27/10; 13/5; 12/5
Girona; 16/5; 10/3; 16/5; 15/4; 16/5; 10/3; 16/5; 7/2; 7/2; 7/2; 10/3; 100/0; 10/3; 57/17; 3; 56/19; 17/5; 7/2; 10/3; 57/17; 3
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-26 14:31:35 GMT+2; 2018-04-08 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 5/6; 7/10; 3/4; 4/6; 4/5; 3/4; 5/6; 4/5; 4/5; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13; 4/6; 
Draw; 11/4; 11/4; 11/4; 143/0; 13/5; 13/5; 13/5; 13/5; 11/4; 5/2; 27/10; 11/4; 13/5; 13/5; 11/4; 14/5; 13/5; 14/5; 27/10; 13/5; 12/5
Girona; 16/5; 10/3; 16/5; 15/4; 16/5; 10/3; 16/5; 7/2; 7/2; 7/2; 10/3; 100/0; 10/3; 57/17; 3; 56/19; 17/5; 7/2; 10/3; 57/17; 3
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-26 18:31:31 GMT+2; 2018-04-08 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 5/6; 7/10; 3/4; 4/6; 4/5; 3/4; 5/6; 4/5; 4/5; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13; 4/6; 
Draw; 11/4; 11/4; 11/4; 143/0; 13/5; 13/5; 13/5; 13/5; 11/4; 5/2; 27/10; 11/4; 13/5; 13/5; 11/4; 14/5; 13/5; 14/5; 27/10; 13/5; 12/5
Girona; 16/5; 10/3; 16/5; 15/4; 16/5; 10/3; 16/5; 7/2; 7/2; 7/2; 10/3; 100/0; 10/3; 33/10; 3; 56/19; 17/5; 7/2; 10/3; 33/10; 3
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-26 22:31:30 GMT+2; 2018-04-08 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 5/6; 7/10; 3/4; 4/6; 4/5; 3/4; 5/6; 4/5; 4/5; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13; 8/13; 
Draw; 11/4; 11/4; 11/4; 143/0; 13/5; 13/5; 13/5; 13/5; 11/4; 5/2; 27/10; 11/4; 13/5; 13/5; 11/4; 14/5; 13/5; 14/5; 27/10; 13/5; 12/5
Girona; 16/5; 10/3; 16/5; 15/4; 16/5; 10/3; 16/5; 7/2; 7/2; 7/2; 10/3; 100/0; 10/3; 57/17; 3; 56/19; 17/5; 7/2; 10/3; 57/17; 14/5
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-27 02:31:31 GMT+2; 2018-04-08 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 5/6; 7/10; 3/4; 4/6; 4/5; 3/4; 5/6; 4/5; 4/5; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13; 8/13; 
Draw; 11/4; 11/4; 11/4; 143/0; 13/5; 13/5; 13/5; 13/5; 11/4; 5/2; 27/10; 11/4; 13/5; 13/5; 11/4; 14/5; 13/5; 14/5; 27/10; 13/5; 12/5
Girona; 16/5; 7/2; 16/5; 15/4; 16/5; 10/3; 16/5; 7/2; 7/2; 7/2; 10/3; 100/0; 10/3; 33/10; 3; 56/19; 17/5; 7/2; 10/3; 33/10; 14/5
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-27 10:31:34 GMT+2; 2018-04-08 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 5/6; 7/10; 3/4; 4/6; 4/5; 4/5; 5/6; 4/5; 4/5; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13; 1/25; 
Draw; 11/4; 11/4; 11/4; 143/0; 13/5; 13/5; 13/5; 13/5; 11/4; 5/2; 27/10; 11/4; 13/5; 13/5; 11/4; 14/5; 13/5; 14/5; 27/10; 13/5; 19/10
Girona; 16/5; 10/3; 16/5; 15/4; 16/5; 10/3; 16/5; 7/2; 10/3; 7/2; 10/3; 100/0; 10/3; 33/10; 3; 56/19; 17/5; 7/2; 10/3; 33/10; 1/25
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-27 14:31:39 GMT+2; 2018-04-08 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 5/6; 7/10; 3/4; 4/6; 4/5; 3/4; 5/6; 4/5; 4/5; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13; 8/13; 
Draw; 11/4; 11/4; 11/4; 143/0; 13/5; 13/5; 13/5; 13/5; 11/4; 5/2; 27/10; 11/4; 13/5; 13/5; 11/4; 14/5; 13/5; 14/5; 27/10; 13/5; 12/5
Girona; 16/5; 10/3; 16/5; 15/4; 16/5; 10/3; 16/5; 7/2; 7/2; 7/2; 10/3; 100/0; 10/3; 33/10; 3; 56/19; 17/5; 7/2; 10/3; 33/10; 14/5
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-27 18:31:47 GMT+2; 2018-04-08 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 5/6; 7/10; 3/4; 4/6; 4/5; 3/4; 5/6; 4/5; 4/5; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13; 8/13; 
Draw; 11/4; 11/4; 11/4; 143/0; 13/5; 13/5; 13/5; 13/5; 11/4; 5/2; 27/10; 11/4; 13/5; 13/5; 11/4; 14/5; 13/5; 14/5; 27/10; 13/5; 12/5
Girona; 16/5; 10/3; 16/5; 15/4; 16/5; 10/3; 16/5; 7/2; 7/2; 7/2; 10/3; 100/0; 10/3; 33/10; 3; 56/19; 17/5; 7/2; 10/3; 33/10; 14/5
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-27 22:31:38 GMT+2; 2018-04-08 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 5/6; 7/10; 3/4; 4/6; 4/5; 3/4; 5/6; 4/5; 4/5; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13; 8/13; 
Draw; 11/4; 11/4; 11/4; 143/0; 13/5; 13/5; 13/5; 13/5; 11/4; 5/2; 27/10; 11/4; 13/5; 13/5; 11/4; 14/5; 13/5; 14/5; 27/10; 13/5; 12/5
Girona; 16/5; 10/3; 16/5; 15/4; 16/5; 10/3; 16/5; 7/2; 7/2; 7/2; 10/3; 100/0; 10/3; 57/17; 3; 56/19; 17/5; 7/2; 10/3; 17/5; 14/5
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-28 02:31:34 GMT+2; 2018-04-08 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 5/6; 7/10; 3/4; 4/6; 4/5; 3/4; 5/6; 4/5; 4/5; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13; 8/13; 
Draw; 11/4; 11/4; 11/4; 143/0; 13/5; 13/5; 13/5; 13/5; 11/4; 13/5; 27/10; 11/4; 13/5; 13/5; 11/4; 14/5; 13/5; 14/5; 27/10; 13/5; 12/5
Girona; 16/5; 10/3; 16/5; 15/4; 16/5; 10/3; 16/5; 7/2; 7/2; 10/3; 10/3; 100/0; 10/3; 33/10; 3; 56/19; 17/5; 7/2; 10/3; 33/10; 14/5
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-28 10:31:35 GMT+2; 2018-04-08 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 5/6; 7/10; 3/4; 4/6; 4/5; 3/4; 5/6; 4/5; 4/5; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13; 8/13; 
Draw; 11/4; 11/4; 11/4; 143/0; 13/5; 13/5; 13/5; 13/5; 11/4; 5/2; 27/10; 11/4; 13/5; 13/5; 11/4; 14/5; 13/5; 14/5; 27/10; 13/5; 12/5
Girona; 16/5; 10/3; 16/5; 15/4; 16/5; 10/3; 16/5; 7/2; 7/2; 7/2; 10/3; 100/0; 10/3; 33/10; 3; 56/19; 17/5; 7/2; 10/3; 33/10; 14/5
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-28 14:31:44 GMT+2; 2018-04-08 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 5/6; 7/10; 3/4; 4/6; 4/5; 3/4; 5/6; 4/5; 4/5; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13; 8/13; 
Draw; 11/4; 11/4; 11/4; 143/0; 13/5; 13/5; 13/5; 13/5; 11/4; 5/2; 27/10; 11/4; 13/5; 13/5; 11/4; 14/5; 13/5; 14/5; 27/10; 13/5; 12/5
Girona; 16/5; 10/3; 16/5; 15/4; 16/5; 10/3; 16/5; 7/2; 7/2; 7/2; 10/3; 100/0; 10/3; 33/10; 3; 56/19; 17/5; 7/2; 10/3; 33/10; 14/5
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-28 18:31:41 GMT+2; 2018-04-08 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 5/6; 7/10; 3/4; 4/6; 4/5; 3/4; 5/6; 4/5; 4/5; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13; 8/13; 
Draw; 11/4; 11/4; 11/4; 143/0; 13/5; 13/5; 13/5; 13/5; 11/4; 5/2; 27/10; 11/4; 13/5; 13/5; 11/4; 14/5; 13/5; 14/5; 27/10; 13/5; 12/5
Girona; 16/5; 10/3; 16/5; 15/4; 16/5; 10/3; 16/5; 7/2; 7/2; 7/2; 10/3; 100/0; 10/3; 33/10; 3; 56/19; 17/5; 7/2; 10/3; 33/10; 14/5
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-28 22:31:41 GMT+2; 2018-04-08 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 5/6; 7/10; 3/4; 4/6; 4/5; 3/4; 5/6; 4/5; 4/5; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13; 4/6; 
Draw; 11/4; 11/4; 11/4; 143/0; 13/5; 13/5; 13/5; 13/5; 11/4; 5/2; 27/10; 11/4; 13/5; 13/5; 11/4; 14/5; 13/5; 14/5; 27/10; 13/5; 12/5
Girona; 16/5; 10/3; 16/5; 15/4; 16/5; 10/3; 16/5; 7/2; 7/2; 7/2; 10/3; 100/0; 10/3; 57/17; 3; 56/19; 17/5; 7/2; 10/3; 33/10; 14/5
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-29 02:31:42 GMT+2; 2018-04-08 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 5/6; 7/10; 3/4; 4/6; 4/5; 3/4; 5/6; 4/5; 8/11; 10/13; 4/5; 10/13; 4/5; 3/4; 10/13; 10/13; 4/6; 
Draw; 11/4; 11/4; 11/4; 143/0; 13/5; 13/5; 13/5; 13/5; 11/4; 13/5; 27/10; 11/4; 13/5; 13/5; 11/4; 14/5; 13/5; 14/5; 27/10; 13/5; 12/5
Girona; 16/5; 10/3; 16/5; 15/4; 16/5; 10/3; 16/5; 7/2; 7/2; 10/3; 10/3; 100/0; 10/3; 33/10; 3; 56/19; 17/5; 7/2; 10/3; 33/10; 14/5
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-29 10:31:45 GMT+2; 2018-04-08 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 5/6; 7/10; 3/4; 4/6; 4/5; 3/4; 5/6; 4/5; 4/5; 10/13; 4/5; 10/13; 4/5; 4/5; 10/13; 10/13; 4/6; 
Draw; 11/4; 11/4; 11/4; 143/0; 13/5; 13/5; 13/5; 13/5; 11/4; 5/2; 27/10; 11/4; 13/5; 13/5; 11/4; 14/5; 13/5; 14/5; 27/10; 13/5; 12/5
Girona; 16/5; 10/3; 16/5; 15/4; 16/5; 10/3; 16/5; 7/2; 7/2; 7/2; 10/3; 100/0; 10/3; 57/17; 3; 56/19; 17/5; 17/5; 10/3; 57/17; 14/5
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-29 14:31:49 GMT+2; 2018-04-08 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 5/6; 7/10; 3/4; 4/6; 4/5; 3/4; 5/6; 4/5; 4/5; 4/5; 10/13; 4/5; 3/4; 4/5; 10/13; 4/6; 
Draw; 11/4; 11/4; 11/4; 143/0; 13/5; 13/5; 13/5; 13/5; 11/4; 5/2; 27/10; 11/4; 13/5; 11/4; 14/5; 13/5; 14/5; 27/10; 13/5; 12/5
Girona; 16/5; 10/3; 16/5; 15/4; 16/5; 10/3; 16/5; 7/2; 7/2; 7/2; 10/3; 100/0; 10/3; 3; 56/19; 17/5; 7/2; 10/3; 33/10; 14/5
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-29 18:19:49 GMT+3; 2018-04-08 17:30; Nothing; Xlenovo
Real Sociedad; 4/5; 3/4; 4/5; 5/6; 7/10; 3/4; 4/6; 4/5; 3/4; 5/6; 4/5; 4/5; 4/5; 10/13; 4/5; 3/4; 4/5; 10/13; 4/6; 
Draw; 11/4; 11/4; 11/4; 143/50; 13/5; 13/5; 13/5; 13/5; 11/4; 5/2; 27/10; 11/4; 13/5; 11/4; 14/5; 13/5; 14/5; 27/10; 13/5; 12/5
Girona; 16/5; 10/3; 16/5; 15/4; 16/5; 10/3; 16/5; 7/2; 7/2; 7/2; 10/3; 100/30; 10/3; 3; 56/19; 17/5; 7/2; 10/3; 33/10; 14/5
META; spain/la-liga-primera/real-sociedad-v-girona; 2018-03-29 22:19:49 GMT+3; 2018-04-08 17:30; Nothing; Xlenovo
