META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-17 18:19:31 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Celta Vigo; 23/10; 21/10; ; 21/10; 57/25; 23/10; 21/10; 11/5; 12/5; ; 11/5; 21/10; ; 41/20; 11/5; 2; 28/13; 11/5; 19/10; 12/5; 85/40; 85/40; 21/10; 28/13; ; ; 17/10; 
Draw; 23/10; 12/5; ; 12/5; 129/50; ; 12/5; 23/10; 27/11; ; 12/5; 23/10; ; 49/20; 12/5; 9/4; 40/17; 12/5; 5/2; 27/11; 12/5; 5/2; 49/20; 12/5; ; ; 2; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-22 18:19:16 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 6/5; 5/4; ; 5/4; 33/25; ; 5/4; 11/10; 11/10; ; 6/5; 13/10; ; 27/20; 5/4; 6/5; 6/5; 15/13; 17/14; 11/10; 5/4; 5/4; 5/4; 5/4; ; ; 6/5; 
Celta Vigo; 23/10; 21/10; ; 21/10; 57/25; 23/10; 21/10; 11/5; 12/5; ; 11/5; 21/10; ; 41/20; 11/5; 2; 28/13; 11/5; 19/10; 12/5; 85/40; 85/40; 21/10; 28/13; ; ; 17/10; 
Draw; 23/10; 12/5; ; 12/5; 129/50; ; 12/5; 23/10; 27/11; ; 12/5; 23/10; ; 49/20; 12/5; 9/4; 40/17; 12/5; 5/2; 27/11; 12/5; 5/2; 49/20; 12/5; ; ; 2; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-22 22:18:50 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 6/5; 5/4; ; 5/4; 33/25; 5/4; 5/4; 11/10; 6/5; ; 6/5; 13/10; ; 27/20; 5/4; 6/5; 5/4; 15/13; 17/14; 6/5; 5/4; 5/4; 5/4; 5/4; ; ; 6/5; 
Celta Vigo; 23/10; 21/10; ; 21/10; 57/25; 11/5; 2; 2; 28/13; ; 11/5; 21/10; ; 41/20; 11/5; 2; 28/13; 11/5; 19/10; 28/13; 85/40; 85/40; 21/10; 28/13; ; ; 17/10; 
Draw; 23/10; 12/5; ; 12/5; 129/50; ; 12/5; 23/10; 27/11; ; 12/5; 23/10; ; 49/20; 12/5; 9/4; 40/17; 12/5; 5/2; 27/11; 12/5; 5/2; 49/20; 12/5; ; ; 2; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-23 02:18:35 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 6/5; 5/4; 5/4; 5/4; 33/25; 5/4; 5/4; 11/10; 6/5; 5/4; 6/5; 13/10; ; 27/20; 5/4; 6/5; 5/4; 15/13; 17/14; 6/5; 5/4; 5/4; 5/4; 5/4; ; ; 6/5; 
Celta Vigo; 23/10; 21/10; 2; 21/10; 57/25; 11/5; 2; 2; 28/13; 2; 11/5; 21/10; ; 41/20; 11/5; 2; 28/13; 11/5; 19/10; 28/13; 85/40; 85/40; 21/10; 11/5; ; ; 17/10; 
Draw; 23/10; 12/5; 12/5; 12/5; 129/50; ; 12/5; 23/10; 27/11; 23/10; 12/5; 23/10; ; 49/20; 12/5; 9/4; 12/5; 12/5; 5/2; 27/11; 12/5; 5/2; 49/20; 12/5; ; ; 2; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-23 10:18:22 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 6/5; 5/4; 5/4; 5/4; 33/25; 5/4; 5/4; 11/10; 6/5; 5/4; 6/5; 13/10; ; 27/20; 5/4; 6/5; 5/4; 15/13; 17/14; 6/5; 5/4; 5/4; 5/4; 5/4; ; ; ; 
Celta Vigo; 23/10; 21/10; 2; 21/10; 57/25; 11/5; 2; 2; 28/13; 2; 11/5; 21/10; ; 41/20; 11/5; 2; 28/13; 11/5; 19/10; 28/13; 85/40; 85/40; 21/10; 11/5; ; ; ; 
Draw; 23/10; 12/5; 12/5; 12/5; 129/50; ; 12/5; 23/10; 27/11; 23/10; 12/5; 23/10; ; 49/20; 12/5; 9/4; 12/5; 12/5; 5/2; 27/11; 12/5; 5/2; 49/20; 12/5; ; ; ; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-23 14:18:35 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
