Bromley; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 5; 9/2; 9/2; 19/4; 9/2; 4; 9/2; 9/2; 19/4; 9/2; 63/13; 4; 9/2; 63/13; 47/10; 4; 9/2; ; ; 24/5; 22/5; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-09 20:22:20 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/13; 3/5; 6/10; 4/7; 3/5; 8/15; 4/7; 8/15; 4/7; 4/7; 4/7; 6/10; 4/7; 4/7; 4/7; 8/13; 5/9; 4/7; 8/15; 5/9; 63/100; 6/11; 6/11; ; ; 4/7; 4/7; 
Draw; 14/5; 13/5; 27/10; 5/2; 29/10; 13/5; 29/10; 11/4; 14/5; 14/5; 27/10; 11/4; 57/20; 14/5; 14/5; 14/5; 37/13; 13/5; 14/5; 37/13; 13/4; 29/10; 14/5; ; ; 14/5; 13/5; 
Bromley; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 5; 9/2; 9/2; 19/4; 9/2; 4; 9/2; 24/5; 19/4; 9/2; 63/13; 4; 9/2; 63/13; 47/10; 4; 9/2; ; ; 24/5; 22/5; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-10 00:22:01 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 11/20; 4/7; 4/7; 11/20; 4/7; 1/2; 11/20; 1/2; 8/15; 4/7; 4/7; 6/10; 11/20; 4/7; 4/7; 4/7; 8/15; 3/5; 8/15; 8/15; 61/100; 6/11; 6/11; ; ; 8/15; 1/2; 
Draw; 14/5; 14/5; 11/4; 13/5; 3; 27/10; 3; 11/4; 3; 14/5; 11/4; 11/4; 29/10; 29/10; 14/5; 14/5; 3; 27/10; 14/5; 3; 67/20; 29/10; 14/5; ; ; 3; 27/10; 
Bromley; 21/4; 9/2; 19/4; 9/2; 5; 17/4; 5; 9/2; 19/4; 5; 9/2; 4; 19/4; 24/5; 19/4; 5; 49/10; 15/4; 9/2; 49/10; 47/10; 4; 9/2; ; ; 24/5; 4; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-10 04:22:14 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 11/20; 4/7; 4/7; 11/20; 4/7; 1/2; 11/20; 1/2; 8/15; 4/7; 4/7; 6/10; 11/20; 4/7; 4/7; 4/7; 8/15; 3/5; 8/15; 8/15; 61/100; 6/11; 6/11; ; ; 8/15; 1/2; 
Draw; 14/5; 14/5; 11/4; 13/5; 3; 27/10; 3; 11/4; 3; 14/5; 11/4; 11/4; 29/10; 29/10; 14/5; 14/5; 3; 27/10; 14/5; 3; 67/20; 29/10; 14/5; ; ; 3; 27/10; 
Bromley; 21/4; 9/2; 19/4; 9/2; 5; 17/4; 5; 9/2; 19/4; 5; 9/2; 4; 19/4; 24/5; 19/4; 5; 94/19; 15/4; 9/2; 94/19; 47/10; 4; 9/2; ; ; 24/5; 4; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-10 08:21:59 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 11/20; 4/7; 4/7; 11/20; 4/7; 1/2; 11/20; 1/2; 8/15; 4/7; 4/7; 6/10; 11/20; 4/7; 4/7; 4/7; 8/15; 3/5; 8/15; 8/15; 61/100; 6/11; 6/11; ; ; 8/15; ; 
Draw; 14/5; 14/5; 11/4; 13/5; 3; 27/10; 3; 11/4; 3; 14/5; 11/4; 11/4; 29/10; 29/10; 14/5; 14/5; 3; 27/10; 14/5; 3; 67/20; 29/10; 14/5; ; ; 3; ; 
Bromley; 21/4; 9/2; 19/4; 9/2; 5; 17/4; 5; 9/2; 19/4; 5; 9/2; 4; 19/4; 24/5; 19/4; 5; 49/10; 15/4; 9/2; 49/10; 47/10; 4; 9/2; ; ; 24/5; ; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-10 12:22:48 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/15; 8/15; 8/15; 6/10; 4/7; 1/2; 8/15; 1/2; 8/15; 11/20; 8/15; 8/15; 11/20; 8/15; 4/7; 8/15; 8/15; 8/15; 8/15; 8/15; 61/100; 8/15; 6/11; ; ; 8/15; 4/9; 
Draw; 29/10; 29/10; 14/5; 11/4; 3; 27/10; 3; 11/4; 3; 3; 14/5; 13/5; 29/10; 3; 14/5; 3; 3; 11/4; 14/5; 3; 67/20; 56/19; 14/5; ; ; 3; 14/5; 
Bromley; 11/2; 5; 5; 4; 5; 17/4; 21/4; 9/2; 5; 5; 24/5; 9/2; 19/4; 5; 19/4; 5; 94/19; 17/4; 9/2; 94/19; 47/10; 21/5; 9/2; ; ; 24/5; 21/5; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-10 16:25:21 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/15; 8/15; 8/15; 4/7; 4/7; 1/2; 8/15; 1/2; 8/15; 11/20; 8/15; 8/15; 8/15; 8/15; 4/7; 8/15; 18/35; 8/15; 8/15; 18/35; 61/100; 8/15; 6/11; ; ; 8/15; 1/2; 
Draw; 29/10; 29/10; 14/5; 14/5; 3; 27/10; 3; 11/4; 3; 3; 14/5; 13/5; 59/20; 3; 14/5; 3; 3; 11/4; 14/5; 3; 67/20; 56/19; 14/5; ; ; 3; 14/5; 
Bromley; 11/2; 5; 5; 5; 5; 17/4; 11/2; 9/2; 5; 5; 5; 9/2; 5; 5; 19/4; 5; 94/19; 17/4; 9/2; 94/19; 47/10; 21/5; 9/2; ; ; 26/5; 24/5; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-10 20:23:10 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/15; 8/15; 8/15; 4/7; 4/7; 1/2; 8/15; 1/2; 8/15; 11/20; 8/15; 8/15; 8/15; 8/15; 4/7; 8/15; 4/7; 8/15; 8/15; 8/15; 61/100; 4/7; 6/11; ; ; 8/15; 1/2; 
Draw; 29/10; 29/10; 14/5; 14/5; 3; 27/10; 3; 11/4; 3; 3; 14/5; 13/5; 59/20; 3; 14/5; 3; 37/13; 11/4; 14/5; 29/10; 67/20; 29/10; 14/5; ; ; 3; 14/5; 
Bromley; 11/2; 5; 5; 5; 5; 17/4; 11/2; 9/2; 5; 5; 5; 9/2; 5; 5; 19/4; 5; 47/10; 17/4; 9/2; 49/10; 47/10; 5; 9/2; ; ; 26/5; 24/5; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-11 00:23:34 GMT+2; 2017-02-11 15:00; e70300-dr003
Tranmere; 8/15; 8/15; 8/15; 4/7; 4/7; 1/2; 8/15; 1/2; 8/15; 11/20; ; 8/15; 8/15; 8/15; 4/7; 8/15; 18/35; 8/15; 8/15; 18/35; 61/100; 4/7; 6/11; ; ; 8/15; 1/2; 
Draw; 29/10; 29/10; 14/5; 14/5; 3; 27/10; 3; 11/4; 3; 3; ; 13/5; 59/20; 3; 14/5; 3; 3; 11/4; 14/5; 3; 67/20; 29/10; 14/5; ; ; 3; 14/5; 
