META; english/non-league/national-league/dagenham-redbridge-v-lincoln; 2016-08-13 20:24:04 GMT+3; 2016-08-16 19:45; e70300-dr003
META; english/non-league/national-league/dagenham-redbridge-v-lincoln; 2016-08-15 20:22:33 GMT+3; 2016-08-16 19:45; e70300-dr003
Dagenham & Redbridge; 13/10; 11/8; 11/8; 11/8; 13/10; 6/5; 7/5; 5/4; 13/10; 23/17; 7/5; 27/20; 13/10; 11/8; ; 7/5; 13/10; 23/17; 5/4; 27/20; 23/17; 7/5; ; ; 7/5; 7/5; 
Lincoln; 9/5; 17/10; 9/5; 17/10; 9/5; 7/4; 9/5; 15/8; 9/5; 17/10; 9/5; 15/8; 2; 7/4; ; 17/10; 15/8; 17/10; 9/5; 17/10; 9/5; 21/10; ; ; 7/4; 7/4; 
Draw; 13/5; 23/10; 47/20; 21/10; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 49/20; ; 5/2; 12/5; 12/5; 9/4; 12/5; 12/5; 5/2; ; ; 23/10; 11/5; 
META; english/non-league/national-league/dagenham-redbridge-v-lincoln; 2016-08-16 00:21:42 GMT+3; 2016-08-16 19:45; e70300-dr003
Dagenham & Redbridge; 13/10; 11/8; 11/8; 11/8; 13/10; 6/5; 7/5; 5/4; 13/10; 23/17; 7/5; 27/20; 13/10; 11/8; ; 7/5; 13/10; 23/17; 5/4; 27/20; 23/17; 7/5; 7/5; ; 7/5; 7/5; 
Lincoln; 9/5; 17/10; 9/5; 17/10; 9/5; 7/4; 9/5; 15/8; 9/5; 17/10; 9/5; 15/8; 2; 7/4; ; 17/10; 15/8; 17/10; 9/5; 17/10; 9/5; 21/10; 17/10; ; 9/5; 7/4; 
Draw; 13/5; 23/10; 47/20; 21/10; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 49/20; ; 5/2; 12/5; 12/5; 9/4; 12/5; 40/17; 5/2; 5/2; ; 12/5; 11/5; 
META; english/non-league/national-league/dagenham-redbridge-v-lincoln; 2016-08-16 04:21:36 GMT+3; 2016-08-16 19:45; e70300-dr003
Dagenham & Redbridge; 13/10; 11/8; 11/8; 11/8; 13/10; 6/5; 7/5; 5/4; 13/10; 23/17; 7/5; 27/20; 13/10; 11/8; ; 7/5; 13/10; 23/17; 5/4; 27/20; 23/17; 7/5; ; ; 7/5; 7/5; 
