Draw; 13/5; 12/5; 47/20; 12/5; 13/5; 23/10; 13/5; 13/5; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 12/5; ; 5/2; ; 5/2; ; 5/2; ; ; 13/5; ; ; 23/10; 23/10; 
Solihull Moors; 3; 16/5; 31/10; 14/5; 16/5; 14/5; 17/5; 3; 3; 16/5; 3; 3; 3; 29/10; 3; ; 17/5; ; 14/5; ; 62/17; ; ; 3; ; ; 14/5; 3; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-20 12:22:31 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 17/20; 5/6; 17/20; 4/5; 5/6; 3/4; 4/5; 4/5; 5/6; 17/20; 5/6; 5/6; 5/6; 4/5; 10/11; ; 4/5; ; 7/9; ; 14/19; ; ; 4/5; ; ; 4/5; 4/5; 
Draw; 13/5; 12/5; 47/20; 12/5; 13/5; 23/10; 13/5; 13/5; 5/2; 5/2; 12/5; 12/5; 49/20; 23/10; 12/5; ; 5/2; ; 5/2; ; 28/11; ; ; 13/5; ; ; 23/10; 23/10; 
Solihull Moors; 3; 16/5; 31/10; 14/5; 16/5; 14/5; 17/5; 3; 3; 16/5; 16/5; 3; 16/5; 3; 3; ; 33/10; ; 14/5; ; 39/11; ; ; 3; ; ; 3; 3; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-20 16:22:18 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 17/20; 5/6; 17/20; 4/5; 5/6; 3/4; 5/6; 4/5; 5/6; 17/20; 5/6; 5/6; 5/6; 4/5; 5/6; ; 4/5; ; 7/9; ; 14/19; ; ; 4/5; ; ; 4/5; 4/5; 
Draw; 13/5; 12/5; 47/20; 12/5; 13/5; 23/10; 13/5; 13/5; 5/2; 5/2; 12/5; 12/5; 49/20; 23/10; 5/2; ; 5/2; ; 5/2; ; 28/11; ; ; 13/5; ; ; 23/10; 11/5; 
Solihull Moors; 3; 16/5; 31/10; 14/5; 16/5; 14/5; 16/5; 3; 3; 16/5; 16/5; 3; 16/5; 3; 16/5; ; 33/10; ; 14/5; ; 39/11; ; ; 3; ; ; 3; 14/5; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-20 20:23:18 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 17/20; 5/6; 17/20; 4/5; 5/6; 3/4; 5/6; 4/5; 5/6; 17/20; 5/6; 5/6; 5/6; 4/5; 5/6; ; 4/5; ; 7/9; ; 14/19; ; ; ; ; ; 5/6; 4/5; 
Draw; 13/5; 12/5; 47/20; 12/5; 13/5; 23/10; 13/5; 13/5; 5/2; 5/2; 12/5; 12/5; 49/20; 12/5; 5/2; ; 5/2; ; 5/2; ; 28/11; ; ; ; ; ; 5/2; 11/5; 
Solihull Moors; 3; 16/5; 31/10; 14/5; 16/5; 14/5; 16/5; 3; 3; 16/5; 16/5; 3; 16/5; 16/5; 16/5; ; 33/10; ; 14/5; ; 39/11; ; ; ; ; ; 3; 14/5; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-21 00:22:35 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 17/20; 5/6; 17/20; 4/5; 5/6; 3/4; 5/6; 4/5; 5/6; 17/20; 5/6; 5/6; 5/6; 4/5; 5/6; ; 4/5; ; 7/9; ; 14/19; ; ; 4/5; ; ; 5/6; 4/5; 
Draw; 13/5; 12/5; 47/20; 12/5; 13/5; 23/10; 13/5; 13/5; 5/2; 5/2; 12/5; 12/5; 49/20; 12/5; 5/2; ; 5/2; ; 5/2; ; 28/11; ; ; 13/5; ; ; 5/2; 23/10; 
Solihull Moors; 3; 16/5; 31/10; 14/5; 16/5; 14/5; 16/5; 3; 3; 16/5; 16/5; 3; 16/5; 16/5; 16/5; ; 33/10; ; 14/5; ; 39/11; ; ; 3; ; ; 3; 3; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-21 04:21:56 GMT+3; 2016-10-22 15:00; e70300-dr003
